close,open,date,high,volume,low
572.95,562.6,2025-08-04,576.0,287071,558.4
572.7,562.2,2025-08-05,578.7,221462,561.8
561.9,571.0,2025-08-06,577.8,216925,558.7
553.5,560.0,2025-08-07,561.35,308066,548.0
541.05,554.0,2025-08-08,559.3,241455,535.0
541.6,535.0,2025-08-11,545.7,252375,535.0
545.45,544.9,2025-08-12,547.1,207486,538.0
567.8,545.45,2025-08-13,571.5,482985,545.15
552.5,569.95,2025-08-14,570.35,209367,550.0
562.5,559.0,2025-08-18,564.95,246542,550.25
575.3,562.5,2025-08-19,576.45,359233,557.7
577.3,575.3,2025-08-20,583.55,261755,569.4
564.1,578.95,2025-08-21,579.75,210069,563.35
556.15,563.7,2025-08-22,568.2,135169,555.05
574.4,558.05,2025-08-25,577.3,336244,555.05
555.55,574.0,2025-08-26,574.0,317459,552.05
538.65,555.6,2025-08-28,557.45,270327,536.0
552.3,538.65,2025-08-29,557.1,196038,538.2
554.95,560.0,2025-09-01,561.95,167475,552.0
558.9,555.0,2025-09-02,565.35,216279,552.3
562.8,560.0,2025-09-03,572.0,142232,556.8
553.3,565.0,2025-09-04,567.3,149124,551.05
553.8,554.0,2025-09-05,556.95,160364,549.6
569.3,553.8,2025-09-08,573.8,354714,553.8
559.9,569.5,2025-09-09,569.5,190191,557.15
600.8,561.0,2025-09-10,614.6,5550329,561.0
590.0,603.8,2025-09-11,604.35,597168,583.15
600.5,591.0,2025-09-12,605.0,512670,584.0
602.55,600.5,2025-09-15,610.8,397732,595.5
624.5,603.0,2025-09-16,626.85,1164527,599.7
628.3,628.05,2025-09-17,633.35,430968,623.0
622.5,630.7,2025-09-18,631.75,237220,618.95
621.5,621.0,2025-09-19,634.9,380071,617.8
613.45,621.5,2025-09-22,628.15,264714,607.75
605.4,613.9,2025-09-23,615.3,245177,600.55
595.85,603.0,2025-09-24,606.45,292520,591.0
584.45,594.8,2025-09-25,594.8,235025,580.1
565.7,583.05,2025-09-26,584.0,281316,563.45
557.9,565.7,2025-09-29,574.2,243608,555.65
567.9,558.8,2025-09-30,571.65,229324,558.5
586.85,568.0,2025-10-01,592.85,664853,567.9
584.55,586.85,2025-10-03,591.6,317683,578.0
602.5,584.55,2025-10-06,604.8,522396,581.15
619.65,608.4,2025-10-07,626.0,1019426,596.6
606.7,622.7,2025-10-08,623.0,489437,604.0
603.85,610.0,2025-10-09,616.3,399395,601.55
556.85,607.0,2025-10-10,608.85,3780036,543.2
551.75,550.0,2025-10-13,555.35,611560,547.15
531.4,551.95,2025-10-14,558.15,720145,527.9
542.25,531.6,2025-10-15,544.0,341798,528.3
543.05,545.0,2025-10-16,551.85,280189,541.5
541.4,540.05,2025-10-17,543.1,312054,536.0
543.65,541.0,2025-10-20,547.3,216357,538.85
553.7,550.0,2025-10-21,555.4,129491,549.0
564.75,557.95,2025-10-23,574.9,627051,548.0
569.1,565.0,2025-10-24,572.0,250373,558.2
557.8,569.1,2025-10-27,573.95,261263,555.1
557.15,556.0,2025-10-28,565.8,307478,552.2
560.0,553.0,2025-10-29,563.15,240900,551.3
568.8,560.9,2025-10-30,572.2,275425,558.0
561.45,571.95,2025-10-31,574.8,167690,559.4
557.65,561.45,2025-11-03,570.45,287587,555.0
565.3,556.05,2025-11-04,570.8,230709,555.15
546.05,565.2,2025-11-06,565.2,313738,544.0
537.75,541.05,2025-11-07,546.5,258926,535.45
523.55,539.0,2025-11-10,540.4,314919,522.05
513.4,523.55,2025-11-11,525.25,345395,510.0
525.75,514.0,2025-11-12,526.6,304357,511.95
540.35,526.0,2025-11-13,542.6,388106,524.55
535.65,541.95,2025-11-14,553.3,274135,532.7
545.55,535.65,2025-11-17,547.0,288146,532.0
536.15,546.0,2025-11-18,548.95,171221,535.0
538.7,535.0,2025-11-19,552.85,390159,533.2
532.45,538.7,2025-11-20,539.1,183668,529.0
514.35,532.0,2025-11-21,540.95,354567,510.0
494.4,514.9,2025-11-24,517.2,546364,491.0
497.75,494.4,2025-11-25,500.0,405954,486.0
503.15,501.0,2025-11-26,507.4,222045,498.6
499.55,507.5,2025-11-27,507.5,176494,495.9
504.45,502.05,2025-11-28,513.7,380380,496.8
491.2,503.0,2025-12-01,505.7,278424,489.55
487.85,488.1,2025-12-02,492.2,186985,485.55
482.2,485.0,2025-12-03,488.85,433373,474.25
479.5,484.0,2025-12-04,491.5,169471,477.75
474.45,479.5,2025-12-05,482.7,226853,471.0
473.1,474.8,2025-12-08,476.55,308162,465.95
476.95,470.75,2025-12-09,479.3,232601,461.0
474.45,478.75,2025-12-10,488.55,178539,472.0
478.2,477.0,2025-12-11,480.0,156309,469.8
482.85,476.2,2025-12-12,485.0,123110,476.2
484.7,482.4,2025-12-15,488.5,191491,479.25
481.15,482.55,2025-12-16,488.0,134702,478.0
475.05,478.0,2025-12-17,482.4,117783,473.0
471.3,475.05,2025-12-18,475.1,113324,466.25
482.8,471.3,2025-12-19,484.95,298741,470.0
490.45,483.0,2025-12-22,493.8,268446,482.85
492.15,491.0,2025-12-23,498.0,139397,489.3
480.85,490.3,2025-12-24,492.5,174546,480.0
478.5,484.0,2025-12-26,488.85,152561,476.25
475.85,479.95,2025-12-29,486.8,236112,474.75
470.2,479.6,2025-12-30,480.55,505191,465.15
481.45,468.0,2025-12-31,483.55,245207,467.3
480.7,482.55,2026-01-01,489.55,169972,479.0
501.0,482.0,2026-01-02,516.0,1908336,481.9
497.55,502.5,2026-01-05,508.8,1288573,483.5
479.3,499.1,2026-01-06,501.0,448471,476.9
517.85,480.0,2026-01-07,524.5,12148545,480.0
503.35,520.95,2026-01-08,533.2,2418769,497.2
423.55,449.35,2026-01-09,457.8,12333997,415.05
409.9,421.6,2026-01-12,426.0,4308251,395.35
400.6,416.85,2026-01-13,422.8,1760588,397.5
395.95,401.95,2026-01-14,405.35,1105071,391.95
391.9,396.05,2026-01-16,398.35,883582,387.25
386.2,390.0,2026-01-19,390.25,463915,382.5
375.1,386.05,2026-01-20,387.6,775633,372.5
378.7,375.1,2026-01-21,383.0,1096767,361.5
378.65,381.65,2026-01-22,386.55,524589,369.2
375.0,380.3,2026-01-23,381.0,370363,369.3
368.45,374.95,2026-01-27,375.1,447390,363.3
389.5,369.0,2026-01-28,391.0,417521,369.0
394.5,393.0,2026-01-29,397.35,421959,385.2
408.1,394.5,2026-01-30,415.0,559920,392.2
401.7,394.0,2026-02-02,404.9,262809,389.8
447.05,421.0,2026-02-03,454.0,1643650,410.45
455.7,446.95,2026-02-04,458.9,541582,435.95
438.5,456.0,2026-02-05,456.4,351394,433.3
442.35,437.0,2026-02-06,446.85,246424,434.0
480.05,444.85,2026-02-09,491.0,2408017,444.0
469.0,480.05,2026-02-10,494.0,950278,466.1
455.3,470.5,2026-02-11,475.0,383254,453.0
444.7,457.5,2026-02-12,463.0,227881,442.7
434.2,444.7,2026-02-13,444.7,191768,431.3
434.45,434.2,2026-02-16,441.3,221878,426.95
440.75,432.65,2026-02-17,448.5,200495,432.65
439.1,443.0,2026-02-18,444.2,185210,436.0
424.95,439.1,2026-02-19,445.0,198484,422.35
421.3,424.95,2026-02-20,430.5,143012,412.1
426.35,423.05,2026-02-23,431.8,166681,423.0
419.7,426.4,2026-02-24,431.8,235468,416.5
423.15,421.0,2026-02-25,427.95,168987,417.25
423.55,422.9,2026-02-26,430.9,120546,419.3
415.85,423.35,2026-02-27,426.7,178733,413.3
406.0,397.0,2026-03-02,416.5,336982,393.0
392.4,402.45,2026-03-04,403.0,274014,388.95
399.9,394.15,2026-03-05,403.4,214729,389.25
410.15,400.0,2026-03-06,436.0,1836415,397.4
405.45,400.0,2026-03-09,408.6,298962,390.5
401.95,411.0,2026-03-10,424.0,348163,399.35
401.3,402.6,2026-03-11,408.8,206347,398.0
391.0,395.0,2026-03-12,398.75,481045,384.5
380.65,390.0,2026-03-13,392.95,417893,374.85
375.65,380.0,2026-03-16,380.7,345882,366.3
382.8,376.5,2026-03-17,394.5,564438,372.15
397.75,383.05,2026-03-18,416.0,601580,383.05
383.35,391.75,2026-03-19,393.45,544917,380.75
389.85,387.95,2026-03-20,404.75,829289,387.15
379.05,388.85,2026-03-23,388.85,416909,372.5
384.55,390.75,2026-03-24,393.0,509541,373.15
387.25,390.4,2026-03-25,397.8,459413,386.0
372.3,386.0,2026-03-27,386.75,525878,370.1
354.75,370.0,2026-03-30,370.0,586379,352.0
381.35,367.95,2026-04-01,387.65,587693,367.15
388.15,377.0,2026-04-02,389.65,422165,367.5
391.6,388.15,2026-04-06,395.55,375805,381.0
394.95,390.0,2026-04-07,395.95,246511,385.05
