close,open,date,high,volume,low
544.15,552.5,2025-07-16,553.25,246153,542.05
553.6,544.2,2025-07-17,559.95,352501,544.2
548.95,553.6,2025-07-18,559.5,2530072,547.15
552.9,548.5,2025-07-21,556.95,194723,546.05
554.2,555.8,2025-07-22,559.6,209732,553.5
589.75,555.2,2025-07-23,596.7,6798629,552.05
593.55,592.45,2025-07-24,608.4,1657618,586.75
573.1,588.0,2025-07-25,589.15,410137,570.55
550.5,571.05,2025-07-28,578.45,548556,547.2
562.6,550.0,2025-07-29,565.0,457810,539.7
567.35,564.9,2025-07-30,573.95,195085,562.3
568.35,555.0,2025-07-31,574.0,248844,554.6
558.1,569.3,2025-08-01,571.2,182734,555.0
563.2,564.0,2025-08-04,568.0,231187,553.3
571.95,560.0,2025-08-05,577.4,676391,559.3
545.7,575.0,2025-08-06,588.7,1217588,542.0
532.6,545.0,2025-08-07,547.25,303664,524.2
512.25,534.0,2025-08-08,534.35,281288,509.5
508.9,511.1,2025-08-11,518.85,434481,501.5
518.55,508.35,2025-08-12,522.4,262809,508.35
500.3,520.0,2025-08-13,522.4,384039,499.5
493.1,504.5,2025-08-14,505.0,219910,489.9
504.65,497.0,2025-08-18,509.4,418074,497.0
507.7,504.95,2025-08-19,512.75,158403,501.6
506.55,504.5,2025-08-20,510.75,137363,503.2
505.4,507.75,2025-08-21,512.75,136437,503.0
499.6,504.0,2025-08-22,510.0,150203,498.6
496.55,503.8,2025-08-25,505.9,129811,495.0
483.3,496.1,2025-08-26,496.1,175842,480.1
484.6,483.0,2025-08-28,487.1,274877,475.0
471.85,486.0,2025-08-29,486.45,306079,469.85
473.85,475.7,2025-09-01,478.7,204024,469.0
494.7,474.0,2025-09-02,503.0,859335,471.6
490.9,495.0,2025-09-03,495.8,170861,486.25
485.75,495.1,2025-09-04,497.85,135687,482.0
477.05,485.7,2025-09-05,486.65,168803,474.3
473.7,478.55,2025-09-08,480.95,125183,472.3
470.2,477.5,2025-09-09,477.5,167831,468.1
469.75,473.9,2025-09-10,477.8,376238,468.3
469.35,474.5,2025-09-11,476.85,159480,467.05
468.05,470.6,2025-09-12,473.3,246259,466.05
464.65,470.4,2025-09-15,472.6,249145,463.35
467.2,468.85,2025-09-16,472.95,304790,464.1
494.45,468.2,2025-09-17,502.4,3860381,468.2
505.85,500.0,2025-09-18,513.3,1222875,496.75
500.35,507.5,2025-09-19,507.5,791990,499.0
496.85,499.05,2025-09-22,512.4,722256,495.35
503.1,500.0,2025-09-23,508.4,531334,491.55
500.9,501.7,2025-09-24,505.45,402398,495.0
495.5,501.9,2025-09-25,502.05,165970,495.0
485.95,495.5,2025-09-26,498.6,402635,477.0
476.6,487.0,2025-09-29,492.3,252718,473.0
482.2,480.5,2025-09-30,485.9,159710,478.05
481.95,482.0,2025-10-01,486.4,202357,479.75
494.4,485.9,2025-10-03,496.0,259726,483.15
486.05,493.0,2025-10-06,493.0,129933,481.0
496.25,489.1,2025-10-07,503.0,566924,484.0
485.85,490.0,2025-10-08,493.0,122471,484.1
487.85,484.0,2025-10-09,489.9,98870,482.3
483.85,485.0,2025-10-10,490.5,251902,480.35
472.3,485.0,2025-10-13,485.0,295276,469.05
462.9,474.05,2025-10-14,475.2,229610,461.0
460.45,463.3,2025-10-15,466.8,319895,458.5
470.55,461.85,2025-10-16,478.0,667871,458.95
465.75,472.85,2025-10-17,473.9,167754,464.3
466.6,468.75,2025-10-20,469.95,219659,458.85
475.5,470.6,2025-10-21,478.8,73015,470.0
470.45,486.95,2025-10-23,495.0,700255,468.0
487.65,475.6,2025-10-24,490.0,594129,469.5
490.3,492.0,2025-10-27,495.2,554549,486.05
496.9,492.0,2025-10-28,498.8,505478,490.3
505.15,497.0,2025-10-29,507.4,542994,492.3
501.6,508.0,2025-10-30,508.0,270557,496.55
497.4,505.0,2025-10-31,509.9,358780,496.1
495.65,500.9,2025-11-03,500.9,203122,493.4
482.3,498.0,2025-11-04,498.7,296963,480.9
483.4,481.7,2025-11-06,486.3,181574,478.65
479.15,481.0,2025-11-07,481.0,166325,473.0
474.45,479.2,2025-11-10,481.0,134593,473.0
486.5,474.45,2025-11-11,493.4,371977,469.6
491.8,486.2,2025-11-12,493.0,259525,484.55
500.0,502.0,2025-11-13,507.9,1084726,490.8
501.5,504.15,2025-11-14,504.8,166794,496.7
514.7,506.0,2025-11-17,534.4,3816106,500.15
504.9,518.8,2025-11-18,518.8,496364,502.75
504.55,507.95,2025-11-19,508.0,331749,499.25
507.55,506.1,2025-11-20,513.35,1486495,501.0
492.75,507.0,2025-11-21,508.0,460572,491.05
495.85,494.0,2025-11-24,498.45,468674,487.15
480.5,495.5,2025-11-25,495.75,4580258,473.3
498.65,486.0,2025-11-26,510.0,3670073,483.05
498.55,503.2,2025-11-27,507.55,675937,492.95
510.5,498.55,2025-11-28,520.8,3298236,498.55
500.15,510.0,2025-12-01,512.7,572043,498.55
505.95,500.15,2025-12-02,513.0,521046,500.15
506.5,509.0,2025-12-03,515.0,654373,504.8
491.45,508.5,2025-12-04,508.5,442139,489.85
500.8,492.0,2025-12-05,504.0,449580,492.0
483.25,503.5,2025-12-08,503.5,373946,482.1
492.75,484.1,2025-12-09,496.15,408257,476.3
485.6,492.95,2025-12-10,492.95,367022,484.0
484.75,485.75,2025-12-11,489.65,181317,482.0
487.9,487.25,2025-12-12,490.8,317625,484.15
488.65,487.9,2025-12-15,494.2,303435,486.8
478.55,488.65,2025-12-16,493.0,587297,475.6
467.8,478.95,2025-12-17,480.1,265863,466.3
467.4,467.0,2025-12-18,470.7,200593,464.25
470.6,470.3,2025-12-19,473.0,204090,467.0
472.95,474.6,2025-12-22,477.05,283782,469.7
470.45,473.95,2025-12-23,476.3,489041,468.5
465.9,471.95,2025-12-24,473.3,231914,464.8
462.8,465.9,2025-12-26,467.3,167795,462.1
455.95,461.0,2025-12-29,468.45,713997,453.4
472.0,456.15,2025-12-30,477.25,1872675,451.35
473.75,470.05,2025-12-31,479.8,452922,466.15
476.15,474.35,2026-01-01,479.05,155578,473.75
483.8,479.0,2026-01-02,484.6,282270,477.3
476.7,483.8,2026-01-05,486.65,282136,475.35
466.85,475.0,2026-01-06,476.35,181984,465.75
472.05,466.1,2026-01-07,477.95,679371,466.1
456.6,470.0,2026-01-08,473.1,431826,455.15
447.1,456.6,2026-01-09,457.75,370613,444.8
440.3,447.1,2026-01-12,453.75,361808,432.2
440.2,441.95,2026-01-13,448.45,223622,436.0
439.25,438.0,2026-01-14,445.2,156577,437.75
431.35,440.75,2026-01-16,442.95,241572,427.6
429.6,428.15,2026-01-19,433.0,148183,425.0
415.55,425.8,2026-01-20,431.4,421908,413.2
425.1,410.0,2026-01-21,430.7,1617030,408.25
439.35,427.2,2026-01-22,441.25,336671,427.2
425.0,442.0,2026-01-23,444.15,188655,422.8
423.05,425.95,2026-01-27,430.6,219600,416.25
431.3,423.5,2026-01-28,437.5,335433,423.5
421.1,431.3,2026-01-29,436.95,336109,419.1
431.2,421.1,2026-01-30,436.0,659852,417.2
433.6,435.1,2026-02-02,437.3,232086,424.4
492.35,490.0,2026-02-03,496.7,3098880,470.2
492.55,479.1,2026-02-04,496.5,549369,479.05
487.55,493.7,2026-02-05,494.4,226513,484.65
485.4,485.1,2026-02-06,489.55,478238,483.55
498.6,496.5,2026-02-09,506.05,801216,490.0
495.2,504.0,2026-02-10,504.0,278173,492.7
497.5,499.0,2026-02-11,503.2,245157,493.15
512.25,507.0,2026-02-12,519.9,4040181,503.4
509.55,513.05,2026-02-13,523.65,2365077,499.4
501.7,507.15,2026-02-16,518.5,868028,461.9
516.65,503.0,2026-02-17,517.8,496166,503.0
537.25,519.5,2026-02-18,545.0,1859109,517.75
524.55,540.25,2026-02-19,544.7,508962,521.55
532.25,520.55,2026-02-20,534.3,649812,515.0
549.35,535.0,2026-02-23,552.5,885028,532.05
540.7,547.0,2026-02-24,548.85,395827,537.05
544.95,546.4,2026-02-25,549.5,332733,540.35
541.25,549.5,2026-02-26,549.55,337936,537.35
534.75,542.95,2026-02-27,543.0,332072,532.6
520.1,517.1,2026-03-02,527.0,514278,506.95
497.55,508.05,2026-03-04,516.85,365100,494.95
518.4,498.45,2026-03-05,520.5,509400,497.5
519.0,515.15,2026-03-06,523.8,279628,511.75
504.95,507.0,2026-03-09,512.55,420076,492.55
518.2,512.35,2026-03-10,522.0,305556,505.1
501.1,515.75,2026-03-11,527.0,1144294,498.2
490.65,493.15,2026-03-12,497.85,497225,478.0
469.5,490.0,2026-03-13,490.0,417436,467.05
468.65,469.95,2026-03-16,472.6,280461,460.0
468.8,472.1,2026-03-17,473.85,331096,462.1
482.1,468.75,2026-03-18,489.45,492504,466.0
467.05,476.0,2026-03-19,478.45,200861,465.8
480.05,472.85,2026-03-20,486.0,348295,469.75
476.05,478.15,2026-03-23,486.4,1123776,455.0
480.95,484.0,2026-03-24,485.55,418164,468.25
487.35,483.0,2026-03-25,493.9,305061,483.0
473.4,484.9,2026-03-27,486.85,323028,471.8
467.15,473.4,2026-03-30,477.75,590531,464.8
479.1,479.0,2026-04-01,485.0,438826,473.6
479.7,479.1,2026-04-02,482.05,526650,460.1
479.9,479.7,2026-04-06,484.9,939942,472.0
482.65,475.05,2026-04-07,484.5,767246,475.05
499.0,492.85,2026-04-08,505.25,281917,492.85
499.6,506.4,2026-04-09,509.85,729426,495.85
512.8,499.6,2026-04-10,517.55,615458,499.6
515.65,504.0,2026-04-13,525.35,566483,499.4
531.0,522.5,2026-04-15,534.0,545935,520.0
541.65,536.0,2026-04-16,545.1,660706,529.6
549.15,540.0,2026-04-17,551.7,533281,539.7
551.95,551.0,2026-04-20,555.9,412602,543.3
542.95,553.75,2026-04-21,555.15,269940,541.6
554.7,543.0,2026-04-22,567.9,1208125,539.95
559.4,552.3,2026-04-23,562.7,331473,545.95
547.3,561.0,2026-04-24,561.8,295745,544.0
551.2,549.05,2026-04-27,562.3,252652,547.1
552.65,550.35,2026-04-28,556.0,184548,548.3
565.85,558.0,2026-04-29,574.7,766940,557.95
553.5,567.0,2026-04-30,567.0,295493,547.0
554.35,550.0,2026-05-04,560.5,172179,545.7
542.75,554.0,2026-05-05,556.25,127196,541.0
548.5,544.9,2026-05-06,550.0,154211,540.0
562.35,548.65,2026-05-07,566.8,418449,547.55
559.1,561.25,2026-05-08,571.8,368477,556.35
541.75,556.0,2026-05-11,556.0,266064,538.65
522.95,540.0,2026-05-12,540.9,340524,521.0
518.5,522.0,2026-05-13,529.15,155832,516.0
524.4,518.5,2026-05-14,528.0,226759,508.75
523.25,525.45,2026-05-15,534.75,135048,522.0
533.45,520.6,2026-05-18,535.75,474639,508.0
541.1,533.45,2026-05-19,544.2,209697,529.05
565.25,536.65,2026-05-20,571.85,1260530,529.05
567.4,569.95,2026-05-21,574.95,453648,559.0
560.15,567.4,2026-05-22,568.15,210810,557.2
567.9,562.35,2026-05-25,573.0,289333,561.0
563.0,567.5,2026-05-26,572.0,184542,560.5
577.9,568.4,2026-05-27,589.0,1232509,559.8
573.45,582.0,2026-05-29,633.85,6614154,567.3
580.25,580.0,2026-06-01,594.0,1000662,568.5
589.35,580.25,2026-06-02,590.75,403156,572.25
601.2,591.0,2026-06-03,607.0,1223194,580.35
622.15,599.4,2026-06-04,629.9,1850678,597.2
610.3,622.95,2026-06-05,631.7,378367,608.4
597.05,604.0,2026-06-08,607.0,350522,590.9
604.7,595.55,2026-06-09,608.15,274437,594.1
602.85,606.15,2026-06-10,612.45,263193,599.25
593.45,601.05,2026-06-11,609.0,245973,591.0
603.85,599.3,2026-06-12,608.65,358767,595.1
608.8,610.5,2026-06-15,618.7,287300,604.85
601.3,609.95,2026-06-16,618.0,297925,597.15
600.1,601.2,2026-06-17,614.7,270122,599.0
602.0,604.9,2026-06-18,609.9,236148,594.8
612.75,603.95,2026-06-19,614.95,773434,600.0
614.3,615.95,2026-06-22,622.75,387854,611.0
619.85,618.0,2026-06-23,628.45,663883,608.85
609.35,622.5,2026-06-24,628.0,253507,603.85
604.05,610.5,2026-06-25,615.8,423179,600.0
608.3,605.85,2026-06-29,620.0,1096508,593.95
598.1,614.9,2026-06-30,614.9,386471,596.35
605.85,602.5,2026-07-01,615.95,411033,601.65
594.0,609.8,2026-07-02,610.7,334032,592.0
578.55,597.1,2026-07-03,599.2,330765,576.65
591.9500122070312,571.5,2026-07-06,595.9000244140625,369408,571.0999755859375
589.0,595.9000244140625,2026-07-07,599.0,263114,584.2999877929688
575.5499877929688,584.0999755859375,2026-07-08,596.0,228428,571.0499877929688
588.7000122070312,580.0,2026-07-09,591.9500122070312,158588,577.7000122070312
576.3499755859375,592.0,2026-07-10,594.5,393180,569.4000244140625
573.2000122070312,570.4000244140625,2026-07-13,579.9500122070312,204518,568.6500244140625
576.6500244140625,568.0,2026-07-14,578.4500122070312,176266,565.4000244140625
571.0,576.3499755859375,2026-07-15,583.9500122070312,274795,569.1500244140625
581.5999755859375,574.0,2026-07-16,585.0,408354,569.8499755859375
581.7000122070312,582.0,2026-07-17,584.4500122070312,243585,569.7000122070312
588.0,584.0,2026-07-20,590.0,267775,575.2999877929688
601.0,588.9000244140625,2026-07-21,607.0,584861,585.7000122070312
583.2000122070312,601.8499755859375,2026-07-22,602.9500122070312,179050,580.2000122070312
