close,open,date,high,volume,low
573.6,567.0,2025-08-29,575.25,855383.0,562.5
582.15,574.0,2025-09-01,583.15,262840.0,571.5
595.7,585.0,2025-09-02,600.0,581897.0,581.2
590.9,600.0,2025-09-03,605.3,224303.0,589.3
615.5,606.0,2025-09-04,618.0,2581730.0,601.35
604.95,618.0,2025-09-05,618.0,500248.0,596.3
599.7,605.95,2025-09-08,609.7,254765.0,595.6
587.85,604.55,2025-09-09,604.55,353373.0,586.5
599.8,590.5,2025-09-10,605.0,298037.0,589.25
602.05,599.5,2025-09-11,603.9,221438.0,593.0
601.95,602.55,2025-09-12,606.55,202347.0,595.15
599.7,601.95,2025-09-15,605.6,191285.0,593.9
603.15,602.5,2025-09-16,606.9,224889.0,596.15
603.25,603.15,2025-09-17,607.6,218537.0,599.0
602.1,607.0,2025-09-18,614.0,263729.0,598.05
579.6,604.0,2025-09-19,605.55,827160.0,576.9
582.45,583.2,2025-09-22,591.5,232438.0,580.8
576.55,585.9,2025-09-23,585.9,660408.0,574.55
577.65,580.05,2025-09-24,581.9,229847.0,572.6
570.0,579.7,2025-09-25,581.85,518243.0,565.1
557.85,563.1,2025-09-26,567.9,301703.0,556.2
553.8,557.85,2025-09-29,562.25,2573129.0,545.65
538.25,553.05,2025-09-30,567.5,1013745.0,536.0
542.05,538.25,2025-10-01,546.15,543941.0,533.9
550.55,546.8,2025-10-03,553.75,305767.0,542.25
557.95,556.0,2025-10-06,560.0,374196.0,540.0
551.85,557.95,2025-10-07,558.55,282606.0,548.45
544.3,551.85,2025-10-08,554.5,439144.0,539.0
541.7,547.0,2025-10-09,548.05,481719.0,538.35
542.4,545.65,2025-10-10,547.2,1131658.0,539.1
536.85,544.0,2025-10-13,547.2,307328.0,535.9
532.0,537.25,2025-10-14,539.5,374966.0,528.0
540.35,531.0,2025-10-15,543.8,672407.0,528.5
538.95,540.35,2025-10-16,541.5,608369.0,533.0
551.5,542.45,2025-10-17,553.8,606408.0,538.1
541.45,551.1,2025-10-20,551.85,525731.0,539.0
544.0,545.0,2025-10-21,547.8,25760.0,542.05
546.6,544.15,2025-10-23,551.6,422193.0,536.65
544.65,549.9,2025-10-24,550.4,222364.0,539.0
544.85,547.0,2025-10-27,547.15,102703.0,543.1
550.6,545.3,2025-10-28,556.15,630741.0,542.4
543.95,550.75,2025-10-29,553.3,273916.0,542.15
542.7,542.25,2025-10-30,546.2,208381.0,541.35
534.4,542.4,2025-10-31,544.75,272709.0,533.65
533.7,535.15,2025-11-03,535.5,571507.0,524.5
537.6,534.85,2025-11-04,540.7,317900.0,532.4
523.0,537.6,2025-11-06,539.9,314468.0,520.2
514.1,524.5,2025-11-07,524.55,290217.0,512.55
