close,open,date,high,volume,low
241.62,236.54,2025-07-08,242.5,4073192,235.48
246.01,242.75,2025-07-09,250.4,11925363,240.83
250.14,247.6,2025-07-10,250.8,6305648,245.36
250.52,249.95,2025-07-11,255.45,7286224,248.31
249.08,250.52,2025-07-14,251.55,3120289,246.2
246.97,248.0,2025-07-15,250.82,2335530,244.6
246.58,246.9,2025-07-16,251.8,1939321,245.75
240.01,246.84,2025-07-17,247.33,2565470,238.77
235.23,240.0,2025-07-18,241.19,2032788,233.33
235.04,235.23,2025-07-21,238.95,2084897,233.19
242.23,236.8,2025-07-22,243.27,3546667,236.01
240.6,242.95,2025-07-23,243.0,1113272,238.5
234.71,240.85,2025-07-24,241.9,1843233,233.3
229.38,233.9,2025-07-25,236.0,2412302,227.11
216.48,226.2,2025-07-28,228.69,3511923,215.28
216.54,216.0,2025-07-29,219.14,2605197,213.81
215.73,217.25,2025-07-30,219.27,1728627,214.41
213.79,213.7,2025-07-31,216.3,1889145,212.0
206.94,213.5,2025-08-01,213.55,2133327,206.29
211.17,206.55,2025-08-04,211.9,1805332,205.57
210.15,212.0,2025-08-05,213.8,1086132,209.21
204.97,210.63,2025-08-06,212.0,1348119,204.12
203.24,204.65,2025-08-07,204.89,2029392,198.18
199.28,203.17,2025-08-08,204.52,1016810,198.5
203.03,195.41,2025-08-11,204.3,2237404,195.41
202.08,204.75,2025-08-12,204.75,1264566,200.2
201.24,202.85,2025-08-13,204.5,1573524,199.61
190.31,199.0,2025-08-14,200.39,3893290,189.2
191.31,192.74,2025-08-18,194.0,1683664,190.01
195.98,192.11,2025-08-19,197.46,3093602,191.5
194.32,196.0,2025-08-20,196.8,1840813,193.66
195.23,194.33,2025-08-21,198.5,2227545,194.33
191.51,195.59,2025-08-22,195.6,1260974,191.0
193.68,192.0,2025-08-25,194.65,1775676,190.9
195.68,193.66,2025-08-26,196.79,3242091,191.26
200.27,195.97,2025-08-28,201.4,4264872,192.74
198.34,200.3,2025-08-29,200.3,2420666,197.45
201.08,198.0,2025-09-01,202.6,2817978,196.08
203.43,201.75,2025-09-02,209.3,3390477,199.58
201.93,204.1,2025-09-03,206.29,1929159,201.2
199.61,203.58,2025-09-04,204.25,1609931,198.31
201.2,199.71,2025-09-05,202.41,1289520,197.74
200.84,201.9,2025-09-08,202.89,926628,200.0
205.7,202.0,2025-09-09,212.9,14297066,201.82
208.97,206.7,2025-09-10,216.95,8228418,206.15
208.92,209.85,2025-09-11,209.85,1990552,207.5
208.8,209.6,2025-09-12,210.37,1725394,207.03
210.88,213.1,2025-09-15,218.0,6840679,210.12
208.86,211.7,2025-09-16,213.4,2265727,208.55
210.06,209.6,2025-09-17,214.49,2867910,209.3
207.45,211.0,2025-09-18,211.0,1588960,206.78
206.6,207.45,2025-09-19,209.15,1613527,205.6
207.71,207.1,2025-09-22,211.26,1893719,206.4
203.7,207.54,2025-09-23,208.49,1959186,203.05
202.65,203.65,2025-09-24,206.74,1713821,201.7
198.85,202.65,2025-09-25,203.6,1917041,198.45
195.86,198.85,2025-09-26,199.19,1449456,194.02
192.61,196.9,2025-09-29,200.25,1821048,191.85
193.07,193.4,2025-09-30,196.75,2261111,191.13
201.66,193.15,2025-10-01,202.5,2494793,193.12
201.26,201.66,2025-10-03,202.79,1429783,199.01
198.31,201.99,2025-10-06,201.99,955107,197.65
201.62,199.2,2025-10-07,202.2,1628215,198.0
199.62,202.0,2025-10-08,203.99,1146607,198.64
202.43,199.62,2025-10-09,204.6,2385290,196.5
202.89,202.4,2025-10-10,205.7,2159142,200.1
199.56,202.75,2025-10-13,202.79,951302,198.67
196.14,199.43,2025-10-14,201.0,1180954,195.48
199.8,196.55,2025-10-15,200.76,983523,196.3
199.77,200.0,2025-10-16,200.79,757292,198.0
