close,open,date,high,volume,low
1768.7,1740.8,2025-08-22,1783.8,37828.0,1733.0
1796.8,1731.0,2025-08-25,1804.0,96043.0,1730.5
1801.7,1796.8,2025-08-26,1818.8,119285.0,1780.5
1792.5,1808.0,2025-08-28,1812.7,35980.0,1764.9
1800.2,1784.5,2025-08-29,1807.0,83216.0,1776.3
1772.2,1795.0,2025-09-01,1810.8,65930.0,1754.5
1771.0,1764.0,2025-09-02,1783.6,35376.0,1761.0
1779.9,1774.8,2025-09-03,1799.0,49511.0,1751.0
1763.6,1792.9,2025-09-04,1797.6,67679.0,1745.5
1729.1,1763.6,2025-09-05,1763.6,57421.0,1723.1
1711.5,1716.0,2025-09-08,1738.2,107911.0,1699.9
1710.0,1711.0,2025-09-09,1729.6,91005.0,1690.1
1713.7,1713.5,2025-09-10,1745.0,38381.0,1696.1
1699.2,1721.9,2025-09-11,1726.5,43002.0,1690.0
1675.9,1700.0,2025-09-12,1708.0,711888.0,1652.0
1673.9,1675.9,2025-09-15,1694.9,53469.0,1660.0
1661.9,1673.0,2025-09-16,1680.0,171548.0,1647.0
1648.6,1670.6,2025-09-17,1670.6,124717.0,1645.0
1636.1,1643.0,2025-09-18,1650.0,400337.0,1606.3
1639.6,1642.5,2025-09-19,1691.0,431938.0,1626.4
1640.3,1636.1,2025-09-22,1657.9,78776.0,1621.2
1634.9,1644.1,2025-09-23,1649.4,38744.0,1630.0
1626.9,1634.9,2025-09-24,1644.4,101445.0,1620.0
1626.1,1635.0,2025-09-25,1652.2,68358.0,1616.0
1585.5,1600.0,2025-09-26,1624.8,67085.0,1578.0
1578.1,1585.5,2025-09-29,1603.5,68213.0,1566.0
1585.9,1580.0,2025-09-30,1597.1,241690.0,1569.1
1624.9,1585.0,2025-10-01,1631.3,66608.0,1584.9
1593.3,1625.0,2025-10-03,1637.0,170802.0,1587.6
1607.2,1580.0,2025-10-06,1617.2,47179.0,1580.0
1598.2,1615.7,2025-10-07,1628.8,114287.0,1587.3
1600.8,1592.0,2025-10-08,1607.8,96490.0,1584.0
1592.4,1615.0,2025-10-09,1617.9,48122.0,1585.6
1596.0,1599.0,2025-10-10,1614.5,63017.0,1588.4
1610.1,1592.0,2025-10-13,1618.3,257896.0,1579.9
1599.4,1618.0,2025-10-14,1618.6,95726.0,1573.3
1584.1,1598.0,2025-10-15,1618.2,45605.0,1575.1
1587.0,1585.0,2025-10-16,1595.0,149975.0,1575.0
1596.4,1571.0,2025-10-17,1609.3,80345.0,1571.0
1602.6,1573.3,2025-10-20,1608.0,187510.0,1520.0
1585.5,1585.0,2025-10-21,1609.0,19249.0,1579.6
1589.6,1610.0,2025-10-23,1610.3,52200.0,1582.7
1582.6,1597.8,2025-10-24,1599.5,71837.0,1575.0
1627.8,1582.6,2025-10-27,1637.8,73167.0,1576.6
1628.4,1627.8,2025-10-28,1660.0,201102.0,1598.8
1629.6,1628.4,2025-10-29,1637.0,47135.0,1616.5
1619.9,1629.8,2025-10-30,1631.8,289492.0,1605.9
1591.7,1627.7,2025-10-31,1628.3,40393.0,1582.2
1597.3,1602.0,2025-11-03,1629.0,67296.0,1573.2
1601.0,1605.0,2025-11-04,1612.0,43178.0,1585.2
1585.4,1602.0,2025-11-06,1609.8,26672.0,1581.0
1594.2,1591.3,2025-11-07,1639.0,69695.0,1566.6
1591.8,1598.0,2025-11-10,1604.9,21794.0,1579.7
1596.7,1598.0,2025-11-11,1601.7,70338.0,1570.8
1575.2,1586.1,2025-11-12,1600.2,122463.0,1572.1
1518.1,1587.0,2025-11-13,1593.1,116740.0,1506.3
1550.4,1518.1,2025-11-14,1553.8,80731.0,1510.0
1566.5,1572.5,2025-11-17,1572.5,46611.0,1547.6
1575.7,1572.0,2025-11-18,1582.0,57402.0,1547.3
1610.9,1584.9,2025-11-19,1615.0,113609.0,1551.9
1669.6,1611.0,2025-11-20,1680.0,141566.0,1596.3
1666.0,1667.5,2025-11-21,1679.2,102184.0,1638.5
