close,open,date,high,volume,low
3650.4,3655.0,2025-09-02,3699.0,104113.0,3631.0
3677.5,3679.7,2025-09-03,3695.0,108272.0,3655.0
3633.3,3888.0,2025-09-04,4180.0,2660975.0,3605.0
3690.5,3660.0,2025-09-05,3720.3,243292.0,3621.1
3772.3,3699.8,2025-09-08,3821.3,228278.0,3650.0
3767.2,3794.9,2025-09-09,3798.0,121758.0,3720.0
3677.7,3785.8,2025-09-10,3786.2,279433.0,3640.0
3698.2,3680.0,2025-09-11,3721.0,90769.0,3664.9
3689.1,3698.1,2025-09-12,3732.0,77044.0,3661.9
3643.0,3700.0,2025-09-15,3715.0,63010.0,3633.0
3671.1,3665.6,2025-09-16,3698.0,85451.0,3622.3
3661.6,3671.9,2025-09-17,3694.0,111252.0,3648.6
3794.7,3694.0,2025-09-18,3814.9,630474.0,3692.2
3688.1,3794.4,2025-09-19,3794.5,147028.0,3670.0
3656.8,3703.0,2025-09-22,3717.5,80820.0,3641.0
3739.1,3672.0,2025-09-23,3764.9,199806.0,3585.0
3698.9,3745.0,2025-09-24,3748.0,131400.0,3652.1
3602.8,3714.9,2025-09-25,3714.9,232023.0,3585.9
3543.7,3612.8,2025-09-26,3637.0,67428.0,3525.5
3464.0,3550.9,2025-09-29,3570.0,243089.0,3445.2
3446.6,3464.5,2025-09-30,3470.0,142442.0,3404.0
3637.7,3446.6,2025-10-01,3699.9,602797.0,3446.6
3569.5,3670.0,2025-10-03,3671.9,132338.0,3557.4
3537.2,3580.0,2025-10-06,3594.2,74160.0,3530.0
3525.2,3537.0,2025-10-07,3569.4,380085.0,3488.2
3627.2,3525.2,2025-10-08,3742.8,522471.0,3525.2
3628.2,3654.2,2025-10-09,3657.1,100404.0,3610.1
3638.1,3630.0,2025-10-10,3693.9,108503.0,3610.6
3577.5,3611.2,2025-10-13,3616.9,51523.0,3570.0
3613.8,3580.0,2025-10-14,3645.0,121826.0,3576.0
3682.6,3624.0,2025-10-15,3690.0,157429.0,3601.9
3782.4,3695.0,2025-10-16,3793.9,200464.0,3688.2
3697.4,3766.0,2025-10-17,3779.0,68379.0,3685.7
3694.5,3710.1,2025-10-20,3726.4,31411.0,3685.0
3703.7,3696.0,2025-10-21,3724.4,8678.0,3690.0
3676.7,3706.0,2025-10-23,3722.2,40621.0,3661.0
3665.4,3676.7,2025-10-24,3694.9,63093.0,3608.1
3659.8,3670.0,2025-10-27,3692.0,25252.0,3640.7
3724.2,3651.0,2025-10-28,3736.0,93389.0,3651.0
3721.5,3722.0,2025-10-29,3763.8,63030.0,3698.2
3713.9,3725.5,2025-10-30,3732.9,26546.0,3685.0
3786.5,3712.0,2025-10-31,3824.0,152533.0,3697.3
