close,open,date,high,volume,low
384.75,391.35,2025-08-05,395.5,6696094.0,376.9
381.55,388.5,2025-08-06,391.7,4291389.0,379.7
379.9,380.1,2025-08-07,380.4,2467479.0,373.2
375.65,377.0,2025-08-08,381.0,1717927.0,374.25
377.65,375.65,2025-08-11,380.25,2391804.0,373.5
376.4,378.05,2025-08-12,379.25,1747236.0,374.9
375.7,377.3,2025-08-13,378.3,1889570.0,375.05
374.45,375.7,2025-08-14,376.8,1245199.0,370.75
376.3,379.85,2025-08-18,381.95,3208963.0,374.05
392.8,377.45,2025-08-19,394.45,24457473.0,376.0
396.3,395.1,2025-08-20,398.8,4081481.0,391.05
400.45,399.5,2025-08-21,402.35,4104887.0,394.3
396.05,400.45,2025-08-22,400.45,1862967.0,394.0
400.25,397.0,2025-08-25,403.6,2509380.0,392.4
396.8,400.25,2025-08-26,402.0,2480949.0,394.3
394.0,396.5,2025-08-28,397.9,2404867.0,391.0
396.25,394.0,2025-08-29,398.6,2247248.0,391.35
412.25,398.2,2025-09-01,413.45,4888750.0,396.3
416.2,414.8,2025-09-02,422.0,4896799.0,410.05
419.1,416.2,2025-09-03,420.7,2204668.0,412.3
405.65,422.95,2025-09-04,423.2,3308452.0,404.25
412.75,406.5,2025-09-05,414.8,1899722.0,406.5
427.35,415.0,2025-09-08,429.0,4458174.0,413.05
426.75,427.5,2025-09-09,430.0,2306523.0,423.05
422.25,427.0,2025-09-10,431.0,2555350.0,421.05
422.7,422.25,2025-09-11,425.05,1451017.0,420.55
418.55,422.7,2025-09-12,427.4,1868727.0,418.0
415.65,419.25,2025-09-15,422.2,1059766.0,413.85
418.2,415.75,2025-09-16,421.2,1549678.0,414.55
418.8,419.05,2025-09-17,421.0,1067243.0,417.1
425.15,419.8,2025-09-18,425.85,2015535.0,417.9
414.5,423.4,2025-09-19,425.1,3843720.0,413.4
403.85,415.15,2025-09-22,416.15,2474281.0,403.05
403.25,404.0,2025-09-23,410.5,2101382.0,402.6
399.6,403.25,2025-09-24,404.1,1558689.0,397.95
393.15,398.0,2025-09-25,399.3,2223246.0,391.2
388.8,393.2,2025-09-26,400.05,2218255.0,387.65
388.55,389.5,2025-09-29,392.0,1223452.0,385.75
390.75,388.55,2025-09-30,392.25,1686219.0,386.15
395.05,391.9,2025-10-01,396.35,1301811.0,390.15
398.05,394.9,2025-10-03,398.35,1614451.0,392.5
