close,open,date,high,volume,low
929.15,938.0,2025-07-07,943.6,110154,926.95
926.5,929.15,2025-07-08,955.0,248588,921.15
935.1,929.9,2025-07-09,953.0,224829,926.0
927.9,939.0,2025-07-10,939.7,97826,925.0
915.75,926.0,2025-07-11,932.55,108224,910.8
904.25,915.05,2025-07-14,920.35,147640,900.55
976.45,913.3,2025-07-15,989.0,8523654,912.05
970.6,970.0,2025-07-16,980.85,594086,952.6
967.45,972.5,2025-07-17,983.45,262786,960.2
953.9,969.45,2025-07-18,973.65,205231,951.0
960.1,953.95,2025-07-21,968.6,204822,943.8
949.75,963.95,2025-07-22,966.7,82775,946.35
943.0,954.5,2025-07-23,958.0,137693,940.1
976.7,944.95,2025-07-24,987.45,1436102,943.65
958.05,978.85,2025-07-25,997.0,591567,951.4
931.75,956.0,2025-07-28,959.2,189077,926.05
943.25,929.0,2025-07-29,950.7,286351,920.2
963.0,944.0,2025-07-30,976.0,606561,944.0
940.55,953.0,2025-07-31,956.95,168316,934.1
933.4,940.55,2025-08-01,963.0,225533,925.2
936.3,935.0,2025-08-04,948.0,158713,926.7
968.6,938.05,2025-08-05,983.0,1389813,938.05
941.35,974.0,2025-08-06,993.8,842103,930.0
932.6,940.9,2025-08-07,943.4,191324,917.1
926.05,933.5,2025-08-08,948.0,181249,921.1
914.75,923.1,2025-08-11,929.85,144289,905.0
947.5,916.4,2025-08-12,959.85,634028,914.75
987.5,953.0,2025-08-13,1006.6,2195111,933.3
963.7,989.0,2025-08-14,992.75,407231,957.8
964.75,967.55,2025-08-18,976.35,182322,957.15
979.6,964.0,2025-08-19,1005.8,1139691,955.0
1014.45,982.8,2025-08-20,1023.25,1349834,976.0
1011.0,1019.5,2025-08-21,1031.0,676313,1001.85
1010.55,1011.05,2025-08-22,1033.0,787368,1000.0
1015.9,1012.2,2025-08-25,1029.0,368301,1009.35
965.7,1002.05,2025-08-26,1011.65,340028,962.1
925.35,964.05,2025-08-28,964.05,301155,922.0
