close,open,date,high,volume,low
213.12,211.5,2025-06-30,214.4,13990271,210.01
218.72,214.35,2025-07-01,219.45,16637063,211.6
217.75,220.0,2025-07-02,220.0,11463228,216.17
216.99,217.75,2025-07-03,217.95,4618576,216.06
215.32,216.99,2025-07-04,218.25,5120183,214.05
215.05,215.51,2025-07-07,217.2,4643396,214.78
213.5,215.5,2025-07-08,215.6,5404402,213.03
213.89,213.61,2025-07-09,214.58,4586061,212.72
210.98,213.15,2025-07-10,214.68,3952305,210.2
207.38,210.98,2025-07-11,211.8,4009049,206.76
210.57,207.0,2025-07-14,211.4,5690671,206.39
211.67,211.0,2025-07-15,212.78,5149486,210.2
214.69,211.67,2025-07-16,215.4,8125748,211.67
212.59,214.67,2025-07-17,216.8,5632702,211.97
212.47,212.58,2025-07-18,213.32,6478635,211.1
212.78,212.45,2025-07-21,213.5,4607473,209.84
212.4,213.25,2025-07-22,214.0,5385123,211.61
212.81,212.49,2025-07-23,213.5,5401894,211.7
212.7,212.97,2025-07-24,215.18,6465529,212.22
208.14,212.25,2025-07-25,213.09,6563450,207.25
206.0,207.9,2025-07-28,210.43,8456565,205.7
205.21,205.67,2025-07-29,207.1,10354388,203.63
204.68,205.21,2025-07-30,205.76,5616031,202.76
202.43,203.0,2025-07-31,204.73,8617317,201.14
196.06,202.68,2025-08-01,202.92,10948324,194.41
196.46,185.8,2025-08-04,197.04,39513112,185.11
196.04,195.48,2025-08-05,196.9,5819712,194.08
197.37,196.48,2025-08-06,197.76,7011622,194.6
198.63,195.61,2025-08-07,199.27,6357907,195.0
196.35,198.6,2025-08-08,199.73,7038453,195.76
196.69,196.35,2025-08-11,198.0,8062362,195.65
195.98,197.0,2025-08-12,197.25,5218014,195.57
196.19,197.0,2025-08-13,197.9,6992167,195.44
195.86,196.39,2025-08-14,196.68,2679922,194.99
195.79,197.4,2025-08-18,197.65,6237845,194.84
200.05,196.69,2025-08-19,200.55,5129740,195.3
199.71,200.5,2025-08-20,201.24,5498900,199.22
199.43,199.5,2025-08-21,201.0,6033820,199.0
196.34,198.99,2025-08-22,199.42,2466153,196.0
195.01,196.34,2025-08-25,197.9,6443184,194.57
192.46,194.79,2025-08-26,195.99,6681812,191.91
191.76,191.5,2025-08-28,192.68,7746254,190.5
191.71,191.3,2025-08-29,193.86,4184028,191.12
193.58,191.71,2025-09-01,194.1,4546443,191.71
193.56,193.58,2025-09-02,195.41,3069260,193.04
193.23,193.5,2025-09-03,194.67,8091723,192.76
189.9,194.47,2025-09-04,194.67,7767020,188.4
190.52,191.0,2025-09-05,191.09,4068142,189.11
190.62,190.0,2025-09-08,191.97,9815612,189.28
191.63,190.99,2025-09-09,192.05,3712535,189.91
196.08,192.0,2025-09-10,196.9,5427537,191.72
196.65,196.08,2025-09-11,198.2,4449153,195.2
194.36,196.65,2025-09-12,196.96,4795808,193.88
196.27,194.25,2025-09-15,196.88,2036783,194.2
196.41,196.0,2025-09-16,197.27,3513785,195.55
198.97,197.0,2025-09-17,199.5,5372024,196.92
198.43,200.0,2025-09-18,200.47,6394641,197.81
197.92,198.43,2025-09-19,199.5,2693450,197.62
195.0,197.99,2025-09-22,198.56,5221899,194.55
195.13,196.0,2025-09-23,196.0,3435579,193.88
193.58,195.2,2025-09-24,196.82,2934434,193.3
193.33,193.6,2025-09-25,195.32,5665259,192.57
191.82,192.6,2025-09-26,194.14,3860755,190.28
190.08,193.0,2025-09-29,193.13,8268524,189.05
192.93,190.8,2025-09-30,194.0,7294473,190.56
193.76,193.0,2025-10-01,194.69,5901005,191.6
192.37,193.61,2025-10-03,195.5,6145378,192.21
193.66,192.21,2025-10-06,194.11,5036576,191.8
199.17,194.1,2025-10-07,199.92,12430510,194.1
202.61,200.5,2025-10-08,203.5,9371594,199.35
207.34,203.5,2025-10-09,207.91,13012847,202.15
208.3,206.91,2025-10-10,210.19,5126420,206.53
213.02,208.1,2025-10-13,213.5,15174980,207.32
215.44,212.94,2025-10-14,216.0,13286463,212.0
216.33,215.1,2025-10-15,217.18,7102306,214.1
214.5,216.5,2025-10-16,216.77,5674145,214.06
212.38,214.59,2025-10-17,215.27,9465410,211.52
227.08,216.5,2025-10-20,229.9,55614063,216.02
227.44,228.39,2025-10-21,229.3,2950169,227.0
227.86,227.44,2025-10-23,231.25,16833570,226.5
227.4,228.0,2025-10-24,232.2,25955732,226.89
234.04,229.9,2025-10-27,235.2,21764115,228.02
235.78,234.0,2025-10-28,236.63,15860246,232.35
234.91,236.2,2025-10-29,236.42,7589866,233.3
234.81,235.01,2025-10-30,237.44,11944357,234.4
236.61,234.7,2025-10-31,237.5,7758968,233.85
237.89,236.62,2025-11-03,238.89,7840791,236.27
237.85,237.84,2025-11-04,238.99,6499891,234.82
235.83,237.98,2025-11-06,238.34,4895857,235.05
237.26,235.0,2025-11-07,238.0,7026019,232.42
238.46,237.25,2025-11-10,238.89,7513078,236.56
235.89,238.44,2025-11-11,238.58,7025378,235.09
238.94,236.0,2025-11-12,239.91,8593960,233.48
235.79,238.53,2025-11-13,238.66,3764303,235.01
236.26,235.4,2025-11-14,237.19,3078306,235.08
239.06,237.11,2025-11-17,239.99,6245112,235.27
244.51,239.44,2025-11-18,246.75,24152192,239.0
246.02,245.3,2025-11-19,248.5,15310593,244.82
244.93,246.51,2025-11-20,246.88,4639649,243.85
245.06,244.19,2025-11-21,247.6,7135057,244.0
248.17,245.08,2025-11-24,251.22,16439268,244.46
255.99,248.4,2025-11-25,256.9,15576893,247.5
256.37,255.5,2025-11-26,258.8,10148728,253.74
254.87,256.0,2025-11-27,256.9,4560033,253.3
257.92,255.35,2025-11-28,258.24,5507931,253.86
256.6,259.7,2025-12-01,259.7,5687469,255.8
258.45,256.6,2025-12-02,262.0,8694935,256.6
258.25,259.0,2025-12-03,259.85,5218904,255.85
258.65,259.0,2025-12-04,261.2,5356973,257.05
259.2,259.0,2025-12-05,260.25,5002265,256.95
257.45,259.2,2025-12-08,259.9,5397988,255.35
260.85,256.45,2025-12-09,263.2,11474245,255.6
259.6,260.8,2025-12-10,262.0,8102670,258.35
260.9,259.65,2025-12-11,262.35,4776310,258.7
261.35,261.5,2025-12-12,263.6,8484790,259.95
265.25,262.0,2025-12-15,266.3,9935972,260.9
262.2,265.4,2025-12-16,265.75,6068364,261.05
263.6,262.4,2025-12-17,264.5,3437773,261.15
265.4,264.0,2025-12-18,266.75,7848032,263.05
267.85,265.4,2025-12-19,268.25,7746013,265.1
269.15,267.85,2025-12-22,271.1,7215889,267.85
265.45,270.3,2025-12-23,270.45,5290581,264.95
261.75,267.0,2025-12-24,267.25,5763276,261.2
262.0,261.7,2025-12-26,263.2,3931332,260.1
262.9,261.55,2025-12-29,264.0,4625001,260.25
267.6,263.45,2025-12-30,269.4,37037734,262.0
267.1,267.5,2025-12-31,269.1,6154254,264.15
266.25,267.65,2026-01-01,267.65,2846254,264.55
266.95,267.5,2026-01-02,268.75,3353300,265.85
263.75,266.95,2026-01-05,267.1,6650072,261.35
256.7,264.0,2026-01-06,265.0,10683533,254.8
258.55,256.7,2026-01-07,259.15,6991588,253.2
255.75,258.5,2026-01-08,259.15,8212373,253.8
255.3,255.55,2026-01-09,258.45,4731961,254.5
252.9,254.1,2026-01-12,256.4,7290684,250.45
249.3,253.15,2026-01-13,255.0,12045490,246.85
246.85,248.5,2026-01-14,248.5,11287769,242.3
270.25,247.5,2026-01-16,278.4,66836048,247.45
279.7,271.45,2026-01-19,280.25,31846487,270.25
273.25,278.0,2026-01-20,279.8,13733716,269.65
276.1,271.1,2026-01-21,276.6,12133282,268.95
282.2,280.05,2026-01-22,287.2,16816171,278.2
278.55,283.2,2026-01-23,284.85,12120387,277.55
284.95,279.0,2026-01-27,285.7,12030692,279.0
284.45,286.45,2026-01-28,286.45,10075884,282.2
287.6,284.45,2026-01-29,289.6,15848490,284.0
287.75,286.65,2026-01-30,288.65,4286394,282.5
281.3,284.8,2026-02-02,284.8,7143698,276.0
285.5,294.0,2026-02-03,298.25,8832776,283.35
287.4,285.5,2026-02-04,288.3,3498764,282.7
287.6,287.9,2026-02-05,289.15,2481799,285.4
286.8,289.0,2026-02-06,289.15,5682140,284.35
