close,open,date,high,volume,low
949.8,951.05,2025-07-15,956.65,150947,943.2
958.95,949.8,2025-07-16,964.8,190424,944.85
948.55,959.0,2025-07-17,961.45,202230,944.0
928.9,953.25,2025-07-18,954.9,272961,926.25
917.45,931.0,2025-07-21,939.7,267200,916.0
921.4,917.45,2025-07-22,932.45,141594,917.45
922.45,926.0,2025-07-23,928.0,232253,917.65
919.5,922.75,2025-07-24,927.2,203424,911.65
898.45,922.0,2025-07-25,922.0,204701,896.2
888.55,899.8,2025-07-28,904.0,112210,885.35
908.25,888.05,2025-07-29,913.95,125776,881.2
895.05,914.0,2025-07-30,921.2,190306,884.2
883.45,890.25,2025-07-31,897.7,236999,882.0
878.0,889.7,2025-08-01,897.15,91044,875.0
874.15,870.05,2025-08-04,879.9,100489,864.95
877.35,880.7,2025-08-05,885.65,93382,873.05
862.25,878.8,2025-08-06,883.1,128468,857.05
857.8,857.5,2025-08-07,862.2,86542,845.4
846.25,860.0,2025-08-08,861.45,104033,841.0
845.9,856.0,2025-08-11,859.95,128716,838.6
843.9,849.4,2025-08-12,857.05,270478,835.95
829.15,845.1,2025-08-13,851.0,149078,827.0
812.3,829.15,2025-08-14,833.6,345587,810.0
826.95,827.5,2025-08-18,833.45,190075,821.0
834.75,834.3,2025-08-19,839.9,194723,826.0
837.2,840.8,2025-08-20,854.95,237614,834.6
850.9,844.9,2025-08-21,857.0,604487,839.3
849.5,858.0,2025-08-22,905.0,2822215,844.65
839.25,853.9,2025-08-25,858.65,187814,837.5
822.05,838.9,2025-08-26,839.95,224503,819.0
816.5,819.65,2025-08-28,828.45,157222,814.8
820.25,820.55,2025-08-29,827.0,121264,812.25
842.15,823.7,2025-09-01,844.0,185303,820.7
859.3,850.0,2025-09-02,865.2,268114,839.6
856.85,861.9,2025-09-03,867.5,172157,852.25
843.2,858.3,2025-09-04,864.25,101403,841.15
846.45,843.0,2025-09-05,856.5,116666,838.55
833.3,846.65,2025-09-08,848.65,92777,832.0
838.15,833.6,2025-09-09,843.45,140915,833.0
844.1,843.6,2025-09-10,849.2,92742,840.0
843.6,844.25,2025-09-11,848.8,111835,840.1
846.6,845.85,2025-09-12,851.0,98197,841.1
854.9,849.05,2025-09-15,859.85,135223,847.2
844.55,858.95,2025-09-16,863.0,190420,843.1
851.4,848.2,2025-09-17,853.0,89817,846.0
844.25,855.0,2025-09-18,855.0,111163,842.5
830.85,844.9,2025-09-19,847.65,331080,829.05
835.45,830.95,2025-09-22,844.4,190619,830.0
826.6,835.8,2025-09-23,840.2,347466,820.5
826.8,825.0,2025-09-24,830.1,244904,821.05
820.25,826.0,2025-09-25,829.0,137681,818.05
819.8,820.85,2025-09-26,821.7,237849,810.0
802.05,821.0,2025-09-29,823.05,242735,800.9
817.45,803.3,2025-09-30,820.0,129044,803.3
820.7,820.0,2025-10-01,827.05,108300,813.05
827.85,820.7,2025-10-03,829.2,100898,817.2
828.05,832.0,2025-10-06,833.75,112455,818.35
818.8,829.75,2025-10-07,830.9,201631,809.0
812.0,818.8,2025-10-08,825.5,159994,808.0
805.6,815.0,2025-10-09,817.6,249406,803.0
803.25,806.4,2025-10-10,813.7,299189,799.45
798.25,803.0,2025-10-13,803.8,180138,792.0
785.65,803.65,2025-10-14,806.25,206439,784.0
790.35,791.4,2025-10-15,795.55,241609,784.7
791.5,796.0,2025-10-16,802.6,159722,789.0
782.9,796.65,2025-10-17,796.65,205315,779.8
787.25,791.85,2025-10-20,791.85,170008,779.8
796.1,798.8,2025-10-21,799.9,53128,790.1
790.65,796.1,2025-10-23,801.9,215402,790.0
785.4,793.95,2025-10-24,793.95,213279,784.0
794.5,790.0,2025-10-27,799.05,394025,786.0
785.5,800.0,2025-10-28,808.0,314195,783.7
795.1,789.5,2025-10-29,797.15,331413,784.0
789.25,799.0,2025-10-30,803.05,373165,785.65
785.9,794.8,2025-10-31,797.75,248713,784.1
796.75,786.75,2025-11-03,810.85,374196,786.75
787.4,799.9,2025-11-04,799.9,418819,783.55
769.95,790.0,2025-11-06,790.0,318264,768.3
766.55,771.9,2025-11-07,778.75,368014,753.0
793.55,772.4,2025-11-10,802.05,480266,770.15
786.15,795.6,2025-11-11,795.6,943457,763.35
788.4,794.1,2025-11-12,801.15,396438,781.0
789.3,791.8,2025-11-13,801.8,258937,783.15
783.05,787.05,2025-11-14,789.3,185616,778.15
793.15,790.0,2025-11-17,799.8,150950,786.6
785.15,790.0,2025-11-18,791.0,146598,783.35
775.7,785.15,2025-11-19,787.9,235519,769.3
767.45,776.35,2025-11-20,780.95,169247,766.0
758.1,768.4,2025-11-21,769.7,133522,757.0
