close,open,date,high,volume,low
579.05,572.0,2025-08-13,584.0,249918.0,571.95
585.7,580.0,2025-08-14,590.0,524947.0,577.2
597.1,589.4,2025-08-18,601.8,412483.0,589.05
588.25,600.2,2025-08-19,602.0,1067471.0,585.35
581.2,591.95,2025-08-20,592.5,750757.0,578.05
584.1,583.0,2025-08-21,589.75,447425.0,578.0
588.75,586.5,2025-08-22,590.35,430007.0,579.15
576.5,588.95,2025-08-25,591.0,1492382.0,574.25
562.7,578.15,2025-08-26,578.75,478833.0,559.5
552.75,564.8,2025-08-28,564.8,699469.0,550.1
545.05,551.05,2025-08-29,553.85,932926.0,542.7
549.2,550.5,2025-09-01,552.65,349918.0,542.15
526.95,555.55,2025-09-02,555.55,4440781.0,522.0
533.2,530.85,2025-09-03,541.0,2687655.0,527.2
526.65,541.95,2025-09-04,541.95,505395.0,525.4
532.35,527.5,2025-09-05,537.4,805886.0,524.0
532.4,534.85,2025-09-08,544.5,1837309.0,531.1
529.85,536.7,2025-09-09,536.85,1152957.0,528.7
535.3,533.45,2025-09-10,539.9,675011.0,528.3
530.0,540.5,2025-09-11,546.55,1354384.0,529.1
540.5,533.9,2025-09-12,548.6,1154926.0,529.1
541.2,544.5,2025-09-15,544.5,414825.0,535.5
544.45,541.5,2025-09-16,547.9,386188.0,539.15
542.7,547.2,2025-09-17,569.0,2416567.0,541.25
539.2,546.9,2025-09-18,548.1,682429.0,534.35
537.8,539.4,2025-09-19,543.3,1249033.0,534.5
535.65,537.8,2025-09-22,547.0,1865411.0,534.3
522.85,539.0,2025-09-23,539.0,918828.0,521.1
522.6,523.05,2025-09-24,547.0,3004127.0,521.15
519.95,525.2,2025-09-25,525.65,999361.0,515.5
510.25,521.4,2025-09-26,523.95,1210327.0,507.2
515.8,512.85,2025-09-29,520.5,1281458.0,501.0
536.6,517.05,2025-09-30,544.0,4237043.0,512.95
536.0,536.6,2025-10-01,545.0,782410.0,531.45
533.95,536.1,2025-10-03,537.55,548412.0,527.0
536.45,536.9,2025-10-06,541.0,1000239.0,532.25
532.6,537.3,2025-10-07,538.05,272315.0,530.9
524.0,536.5,2025-10-08,536.5,373448.0,521.7
524.35,525.6,2025-10-09,526.4,686586.0,513.3
528.5,526.9,2025-10-10,530.95,544948.0,522.0
524.4,522.25,2025-10-13,529.95,373258.0,520.5
514.9,527.0,2025-10-14,528.2,376505.0,513.5
528.55,517.85,2025-10-15,533.4,1283295.0,517.85
533.4,535.0,2025-10-16,536.2,559765.0,528.55
527.6,533.95,2025-10-17,534.45,481863.0,522.0
531.65,529.9,2025-10-20,544.0,1090233.0,524.75
535.95,534.3,2025-10-21,538.6,124426.0,531.0
536.95,540.0,2025-10-23,542.0,1136735.0,531.0
