close,open,date,high,volume,low
931.65,921.95,2025-08-12,935.45,2815033.0,918.2
945.8,933.0,2025-08-13,948.7,3010275.0,928.6
932.0,947.2,2025-08-14,951.05,1808600.0,929.0
938.25,944.8,2025-08-18,946.65,1441061.0,934.4
948.9,945.0,2025-08-19,950.85,1484535.0,936.0
963.95,952.8,2025-08-20,966.0,2071877.0,943.0
947.55,965.0,2025-08-21,971.0,2035584.0,945.15
934.4,944.55,2025-08-22,947.0,1777906.0,932.1
915.15,940.0,2025-08-25,941.85,1863978.0,913.0
916.0,915.15,2025-08-26,920.95,2279071.0,905.35
911.4,922.5,2025-08-28,924.8,1982246.0,908.95
911.5,911.4,2025-08-29,920.85,963721.0,904.4
924.65,918.8,2025-09-01,928.0,1081763.0,914.3
929.75,934.0,2025-09-02,940.0,1061729.0,920.6
956.6,934.2,2025-09-03,959.0,1737341.0,931.8
949.8,960.0,2025-09-04,960.0,1204974.0,944.55
947.85,955.0,2025-09-05,958.9,851085.0,941.5
942.9,949.05,2025-09-08,950.0,1072123.0,930.1
949.6,942.0,2025-09-09,954.9,911020.0,937.0
967.15,956.6,2025-09-10,968.9,1786226.0,948.05
965.95,973.3,2025-09-11,977.0,1846188.0,958.9
970.0,969.0,2025-09-12,974.95,836103.0,962.0
977.65,969.0,2025-09-15,979.0,817441.0,960.0
966.65,980.0,2025-09-16,983.2,763410.0,965.0
962.6,967.0,2025-09-17,970.2,1596331.0,952.05
968.4,966.0,2025-09-18,970.8,970002.0,953.25
953.95,967.6,2025-09-19,968.5,2694235.0,950.35
966.25,950.0,2025-09-22,972.25,975105.0,950.0
967.7,969.0,2025-09-23,979.3,1333250.0,962.7
960.4,969.0,2025-09-24,972.15,1197147.0,952.85
944.6,960.4,2025-09-25,965.0,1486815.0,942.5
932.75,939.0,2025-09-26,944.6,1580604.0,929.35
970.75,938.0,2025-09-29,974.9,4072382.0,933.9
969.8,972.0,2025-09-30,973.5,2065028.0,958.4
989.65,971.0,2025-10-01,996.9,2567566.0,967.5
980.4,996.1,2025-10-03,1004.7,3470330.0,970.85
1053.9,994.0,2025-10-06,1060.1,10745414.0,987.1
