close,open,date,high,volume,low
1005.35,990.0,2025-07-23,1020.0,483076,980.55
992.0,1010.0,2025-07-24,1015.9,191058,987.3
992.8,991.05,2025-07-25,1011.75,249859,982.55
984.3,997.8,2025-07-28,1014.0,239334,972.1
1026.1,983.9,2025-07-29,1031.95,448599,955.1
1049.85,1034.0,2025-07-30,1054.0,716722,1005.0
1037.25,1010.0,2025-07-31,1048.0,318320,992.4
1002.4,1031.0,2025-08-01,1044.0,279612,995.4
1029.0,1002.4,2025-08-04,1061.0,637852,1002.4
1003.3,1038.0,2025-08-05,1041.5,282240,992.2
1008.4,1005.9,2025-08-06,1029.8,240856,999.1
1015.0,1007.0,2025-08-07,1025.0,255134,988.5
1010.0,1015.0,2025-08-08,1026.9,205379,997.0
1013.2,1009.0,2025-08-11,1035.0,437816,995.0
1065.6,1025.0,2025-08-12,1082.0,1035119,1015.1
1109.6,1091.6,2025-08-13,1116.8,1205454,1048.0
1075.3,1111.0,2025-08-14,1120.0,333407,1068.3
1146.7,1082.1,2025-08-18,1178.0,1580048,1082.1
1174.9,1148.9,2025-08-19,1183.4,642525,1140.7
1186.3,1178.0,2025-08-20,1196.1,558423,1152.0
1200.0,1192.0,2025-08-21,1205.0,508536,1179.0
1192.9,1200.0,2025-08-22,1201.0,283962,1168.1
1135.3,1195.0,2025-08-25,1198.1,489013,1130.1
1120.5,1137.0,2025-08-26,1147.4,347039,1111.1
1133.9,1121.9,2025-08-28,1157.7,452298,1116.4
1152.4,1141.0,2025-08-29,1179.0,526846,1137.5
1229.4,1157.0,2025-09-01,1257.9,1274208,1148.1
1265.0,1239.9,2025-09-02,1287.0,647664,1221.0
1223.0,1263.0,2025-09-03,1265.0,588976,1215.3
1222.2,1240.0,2025-09-04,1270.0,423822,1213.9
1201.7,1228.0,2025-09-05,1250.5,376311,1195.0
1221.1,1203.0,2025-09-08,1236.0,213289,1203.0
1258.8,1231.0,2025-09-09,1284.0,828857,1225.6
1262.9,1269.4,2025-09-10,1280.0,638935,1215.0
1243.5,1263.0,2025-09-11,1267.3,261825,1235.5
