close,open,date,high,volume,low
379.6,383.0,2025-07-02,383.9,599697,377.1
377.45,380.8,2025-07-03,380.95,893283,377.0
379.95,378.0,2025-07-04,381.75,371809,377.0
378.4,380.4,2025-07-07,380.75,495890,376.35
374.7,378.5,2025-07-08,379.95,462273,373.5
372.5,373.4,2025-07-09,375.7,657429,370.5
376.85,374.8,2025-07-10,378.4,469998,373.7
375.25,375.4,2025-07-11,377.55,493638,372.05
382.85,375.8,2025-07-14,383.35,1154248,374.0
385.3,383.4,2025-07-15,387.9,1214002,382.05
393.3,385.3,2025-07-16,398.2,1281867,384.15
386.85,393.6,2025-07-17,394.95,469513,385.5
382.5,387.0,2025-07-18,389.35,491665,381.0
380.95,381.15,2025-07-21,382.95,466377,378.1
383.8,382.95,2025-07-22,388.6,581369,379.25
380.6,382.9,2025-07-23,384.15,235454,379.25
381.2,381.0,2025-07-24,384.85,246558,379.3
373.65,381.2,2025-07-25,381.95,302760,372.65
370.45,375.9,2025-07-28,376.95,288112,369.0
371.45,373.0,2025-07-29,374.5,297443,367.9
381.95,374.0,2025-07-30,390.85,3253435,374.0
392.15,381.0,2025-07-31,394.65,2141966,376.9
383.8,395.95,2025-08-01,396.0,491653,382.0
383.2,383.85,2025-08-04,385.0,268513,379.5
383.1,383.5,2025-08-05,393.95,1126612,382.2
380.3,384.15,2025-08-06,389.2,327779,378.35
377.6,380.4,2025-08-07,383.7,502720,373.95
393.25,392.0,2025-08-08,400.0,4416331,385.6
399.5,395.0,2025-08-11,403.0,1051714,389.4
394.15,400.95,2025-08-12,401.05,585291,392.65
393.85,398.0,2025-08-13,398.0,610523,390.15
386.25,395.05,2025-08-14,396.05,621004,385.0
389.0,396.0,2025-08-18,404.05,1527012,387.75
389.95,392.0,2025-08-19,395.0,589653,388.7
387.05,390.2,2025-08-20,393.3,486405,386.5
382.9,391.0,2025-08-21,398.0,2593820,382.15
380.8,383.7,2025-08-22,385.5,916943,378.2
379.3,382.6,2025-08-25,383.9,588138,379.0
373.1,379.3,2025-08-26,380.3,717025,372.0
366.55,376.5,2025-08-28,377.45,1231939,364.5
363.65,366.7,2025-08-29,370.0,712750,362.8
370.8,365.45,2025-09-01,372.45,624735,364.15
370.95,373.9,2025-09-02,376.7,987527,369.5
372.5,373.4,2025-09-03,376.45,1453185,370.15
366.4,376.0,2025-09-04,380.0,1713588,364.6
367.35,366.4,2025-09-05,368.6,655091,360.55
366.4,367.0,2025-09-08,371.0,1093112,361.6
365.95,365.0,2025-09-09,367.7,498812,362.7
367.65,366.0,2025-09-10,368.4,487318,365.25
370.15,367.0,2025-09-11,371.3,547713,366.85
369.4,370.25,2025-09-12,371.9,434233,367.05
374.25,370.0,2025-09-15,375.45,625248,368.55
369.7,374.95,2025-09-16,374.95,384225,368.8
365.85,370.3,2025-09-17,372.1,1167046,365.05
364.4,368.1,2025-09-18,368.5,620815,363.3
364.05,365.35,2025-09-19,365.9,667132,362.6
363.1,371.5,2025-09-22,371.55,1027641,362.6
363.6,366.0,2025-09-23,369.35,649197,363.0
362.9,363.95,2025-09-24,366.0,415494,361.75
360.1,363.0,2025-09-25,365.4,314325,358.85
359.7,359.95,2025-09-26,362.2,522014,355.0
363.65,361.1,2025-09-29,365.8,594361,359.15
368.65,363.0,2025-09-30,369.35,715232,362.05
366.3,368.8,2025-10-01,370.95,287098,364.85
365.9,367.5,2025-10-03,368.55,844857,363.6
381.05,367.05,2025-10-06,381.9,2034405,366.65
382.75,380.0,2025-10-07,391.0,2086123,380.0
374.15,381.95,2025-10-08,384.85,694853,372.25
378.2,374.15,2025-10-09,379.6,732871,369.65
383.85,378.55,2025-10-10,390.9,1411197,376.1
385.15,380.0,2025-10-13,386.0,914082,376.85
376.95,385.65,2025-10-14,385.65,721913,375.65
382.65,377.2,2025-10-15,384.35,496554,377.2
386.4,382.05,2025-10-16,389.9,1127437,377.5
383.6,382.55,2025-10-17,392.5,1021421,382.35
388.1,384.0,2025-10-20,390.0,510580,381.05
386.5,386.1,2025-10-21,388.75,89748,385.25
388.05,385.7,2025-10-23,391.8,696902,385.35
386.0,387.15,2025-10-24,390.9,519329,383.0
385.95,385.2,2025-10-27,388.0,423317,381.0
383.4,384.4,2025-10-28,388.0,183414,382.3
386.3,383.4,2025-10-29,387.5,227189,383.1
382.8,385.0,2025-10-30,386.5,196901,381.3
374.2,382.8,2025-10-31,383.6,560731,372.9
379.55,374.2,2025-11-03,380.15,262477,372.5
375.85,380.5,2025-11-04,380.9,435931,374.5
373.95,375.2,2025-11-06,376.8,305275,372.15
379.15,373.9,2025-11-07,382.35,506757,366.25
378.4,381.05,2025-11-10,381.9,298264,375.85
384.75,377.5,2025-11-11,385.8,476653,376.65
386.9,387.1,2025-11-12,388.15,456538,383.5
391.8,393.0,2025-11-13,393.5,1074717,386.2
393.05,392.95,2025-11-14,402.0,1338723,388.95
395.1,395.05,2025-11-17,400.75,725201,392.2
393.45,393.9,2025-11-18,396.4,692771,391.35
388.05,393.35,2025-11-19,394.05,324101,386.0
385.1,390.0,2025-11-20,392.0,193596,384.15
380.0,384.7,2025-11-21,385.9,234203,378.05
378.05,384.0,2025-11-24,384.95,569371,375.4
382.15,380.05,2025-11-25,383.7,237905,377.8
392.5,380.45,2025-11-26,393.5,1941255,380.2
384.75,393.45,2025-11-27,394.5,2023919,384.05
387.2,385.95,2025-11-28,388.7,305906,383.6
388.3,388.0,2025-12-01,391.9,211414,387.2
387.75,386.75,2025-12-02,391.8,294490,383.7
386.3,386.05,2025-12-03,388.45,361028,382.35
384.4,383.5,2025-12-04,388.15,391851,382.35
381.85,384.4,2025-12-05,386.55,272706,380.55
376.15,380.6,2025-12-08,381.25,421344,371.6
378.1,376.95,2025-12-09,380.4,438588,368.05
380.25,376.1,2025-12-10,383.9,304945,376.1
375.1,378.75,2025-12-11,380.85,734300,369.8
382.35,379.0,2025-12-12,387.0,694903,376.1
382.1,383.35,2025-12-15,385.2,407714,377.5
377.6,384.05,2025-12-16,384.15,148065,376.5
368.2,377.5,2025-12-17,378.4,280231,367.35
362.3,368.9,2025-12-18,369.7,478748,361.3
365.45,365.0,2025-12-19,371.35,707595,362.15
371.95,370.45,2025-12-22,374.45,631181,365.6
368.55,372.0,2025-12-23,374.0,308413,368.05
