close,open,date,high,volume,low
1859.0,1844.1,2025-07-11,1882.4,600435,1840.1
1889.6,1869.0,2025-07-14,1934.4,515348,1861.1
1895.8,1899.5,2025-07-15,1923.7,755579,1879.2
1970.9,1894.0,2025-07-16,2006.4,1474182,1891.0
2007.7,1987.2,2025-07-17,2027.0,1064470,1948.0
2000.3,2018.1,2025-07-18,2035.0,599204,1992.1
2013.7,2030.0,2025-07-21,2030.3,854137,1950.2
1961.8,2013.0,2025-07-22,2019.0,187153,1954.4
2038.0,1963.0,2025-07-23,2051.0,645632,1955.0
2018.1,2027.0,2025-07-24,2058.6,191641,2014.1
2018.3,2025.0,2025-07-25,2049.9,242134,1993.4
2052.4,2010.0,2025-07-28,2064.0,252690,2007.7
2102.1,2062.6,2025-07-29,2131.0,375226,2056.0
2060.7,2102.0,2025-07-30,2130.0,140627,2050.0
2064.8,2000.0,2025-07-31,2100.0,693215,1987.1
1978.5,2060.0,2025-08-01,2062.0,167710,1951.5
1982.8,1975.7,2025-08-04,1999.4,111010,1950.5
1964.7,1982.8,2025-08-05,2012.9,148493,1931.0
1957.5,2020.2,2025-08-06,2089.4,1948663,1940.3
1957.8,1939.8,2025-08-07,1977.0,256619,1925.0
1934.6,1957.0,2025-08-08,1972.5,152477,1929.7
1936.3,1934.6,2025-08-11,1945.2,78843,1907.3
1933.4,1943.0,2025-08-12,1967.0,208466,1914.7
1950.2,1934.0,2025-08-13,1970.0,202968,1922.0
1975.8,1948.0,2025-08-14,1998.0,208200,1945.0
1973.0,1976.0,2025-08-18,1995.1,162130,1953.1
1944.5,1970.0,2025-08-19,1973.0,193227,1925.2
1943.6,1944.5,2025-08-20,1953.9,237050,1892.5
1944.8,1945.4,2025-08-21,1965.0,274600,1935.5
1957.4,1945.0,2025-08-22,1964.7,430408,1911.1
1941.0,1960.0,2025-08-25,1980.0,42668,1930.2
1927.5,1927.0,2025-08-26,1947.4,96307,1913.1
1886.8,1927.5,2025-08-28,1929.0,251861,1875.1
1871.5,1887.5,2025-08-29,1904.0,140575,1852.6
1871.1,1880.0,2025-09-01,1890.6,73834,1848.1
1867.0,1871.0,2025-09-02,1894.5,59681,1862.3
1876.8,1882.0,2025-09-03,1895.1,53433,1860.1
1886.0,1890.0,2025-09-04,1903.9,68805,1865.1
1892.2,1885.0,2025-09-05,1940.0,160227,1880.1
1878.1,1900.5,2025-09-08,1909.4,79151,1856.0
1921.0,1878.0,2025-09-09,1930.0,431248,1871.5
1902.5,1931.0,2025-09-10,1964.3,133734,1887.0
1965.8,1912.5,2025-09-11,1985.8,318325,1902.7
2021.2,1975.6,2025-09-12,2027.0,242504,1952.0
2017.2,2015.0,2025-09-15,2046.0,227141,1996.0
2021.8,2015.1,2025-09-16,2049.8,191358,2008.6
1986.9,2027.3,2025-09-17,2045.0,217505,1971.0
2016.5,1987.0,2025-09-18,2025.0,271330,1987.0
2022.8,2010.2,2025-09-19,2034.4,176265,2007.9
2014.8,2025.0,2025-09-22,2025.0,173674,1991.1
2017.2,2023.8,2025-09-23,2055.0,132401,1988.2
1977.8,2020.0,2025-09-24,2028.0,85359,1970.0
1972.8,1991.0,2025-09-25,2007.6,102301,1968.1
1958.1,1900.1,2025-09-26,1989.0,594322,1880.0
1998.0,1950.0,2025-09-29,2074.0,1031408,1920.3
1991.6,2003.3,2025-09-30,2040.9,195031,1978.1
1981.6,1992.0,2025-10-01,2026.1,97274,1974.0
1951.4,1960.1,2025-10-03,2000.0,139407,1945.0
1939.6,1953.0,2025-10-06,1957.5,134166,1926.0
1940.3,1940.5,2025-10-07,1950.0,46464,1924.3
1957.0,1937.8,2025-10-08,1964.9,72177,1925.0
1952.8,1955.0,2025-10-09,1969.6,174390,1937.1
1923.4,1951.0,2025-10-10,1953.0,122166,1915.9
1928.6,1924.0,2025-10-13,1940.0,37208,1913.4
1920.8,1925.0,2025-10-14,1946.9,131802,1903.6
1936.5,1910.1,2025-10-15,1945.0,55891,1906.0
1917.6,1924.0,2025-10-16,1943.9,102534,1906.2
1937.8,1923.6,2025-10-17,1950.3,51691,1911.8
1924.8,1931.2,2025-10-20,1936.0,70362,1908.6
1922.5,1937.8,2025-10-21,1937.8,7496,1918.0
1932.1,1937.9,2025-10-23,1963.0,81037,1917.4
1941.4,1925.0,2025-10-24,1955.0,53471,1925.0
1918.1,1941.4,2025-10-27,1967.9,149880,1892.4
1902.4,1925.0,2025-10-28,1927.5,115935,1889.0
1904.5,1910.0,2025-10-29,1920.0,65125,1902.0
1905.8,1903.9,2025-10-30,1918.7,424860,1890.3
1928.9,1918.9,2025-10-31,1947.7,71429,1907.8
1972.0,1942.7,2025-11-03,2034.0,330511,1922.6
1911.8,1980.0,2025-11-04,1980.0,438747,1890.6
1898.6,1911.8,2025-11-06,1911.9,99824,1881.0
1863.0,1895.0,2025-11-07,1897.5,111371,1855.1
1881.1,1867.9,2025-11-10,1885.9,46074,1867.9
1851.2,1895.0,2025-11-11,1896.9,26989,1842.5
1837.9,1851.1,2025-11-12,1886.9,98290,1827.0
1829.2,1845.0,2025-11-13,1868.0,71801,1815.3
1830.0,1856.0,2025-11-14,1862.5,67384,1812.2
1815.3,1818.0,2025-11-17,1838.3,90653,1810.4
1790.1,1810.0,2025-11-18,1828.1,63404,1785.0
1769.8,1780.0,2025-11-19,1785.6,1333535,1738.0
1817.3,1771.0,2025-11-20,1830.0,266354,1768.1
1809.7,1812.0,2025-11-21,1821.5,371417,1769.9
1791.0,1809.7,2025-11-24,1810.0,44630,1780.0
1783.3,1782.0,2025-11-25,1798.0,41536,1772.8
1795.8,1775.1,2025-11-26,1812.9,41660,1775.1
1774.0,1795.0,2025-11-27,1800.9,25656,1770.0
1759.6,1773.9,2025-11-28,1776.9,150383,1730.0
1727.4,1768.2,2025-12-01,1768.2,62470,1724.1
1766.1,1727.4,2025-12-02,1794.2,424611,1727.1
1771.0,1765.0,2025-12-03,1815.0,131243,1747.0
1734.9,1771.0,2025-12-04,1771.0,133475,1715.5
1751.6,1730.0,2025-12-05,1768.0,106396,1717.0
1699.6,1745.0,2025-12-08,1750.2,160865,1681.0
1714.4,1685.0,2025-12-09,1720.0,77589,1678.4
1709.1,1705.0,2025-12-10,1718.7,59484,1693.7
1691.9,1703.5,2025-12-11,1713.8,150910,1664.8
1678.6,1706.8,2025-12-12,1720.3,172618,1672.4
1669.8,1678.9,2025-12-15,1680.0,25757,1656.9
1664.5,1677.2,2025-12-16,1683.3,44392,1661.0
1652.8,1674.0,2025-12-17,1674.0,17996,1651.1
1666.3,1657.6,2025-12-18,1672.0,67759,1630.5
1671.7,1666.3,2025-12-19,1697.8,104194,1658.9
1687.4,1672.3,2025-12-22,1691.7,62491,1672.3
1687.8,1687.4,2025-12-23,1695.0,45343,1671.2
1650.0,1686.4,2025-12-24,1688.2,57015,1643.6
1653.5,1650.0,2025-12-26,1668.5,289041,1634.0
1650.1,1650.0,2025-12-29,1661.8,58617,1629.6
1667.7,1645.5,2025-12-30,1684.9,160294,1631.1
