close,open,date,high,volume,low
2755.2,2784.0,2025-09-15,2785.1,50360.0,2739.3
2738.2,2760.9,2025-09-16,2769.9,56908.0,2727.5
2742.0,2742.0,2025-09-17,2768.0,182307.0,2731.9
2755.4,2751.0,2025-09-18,2775.0,110262.0,2719.9
2741.1,2767.5,2025-09-19,2767.5,85057.0,2730.0
2762.3,2754.0,2025-09-22,2779.6,81247.0,2725.3
2761.7,2764.0,2025-09-23,2780.0,68393.0,2730.6
2746.4,2758.0,2025-09-24,2765.0,37974.0,2735.2
2738.2,2744.0,2025-09-25,2761.9,33280.0,2725.0
2672.4,2705.1,2025-09-26,2705.1,229634.0,2640.1
2662.9,2669.9,2025-09-29,2709.0,89831.0,2622.6
2659.7,2663.0,2025-09-30,2694.2,58243.0,2645.8
2697.2,2659.7,2025-10-01,2729.8,46082.0,2659.7
2745.8,2693.0,2025-10-03,2759.9,47199.0,2686.0
2732.3,2754.0,2025-10-06,2770.0,83843.0,2698.0
2740.4,2745.0,2025-10-07,2763.6,57028.0,2715.1
2729.6,2732.0,2025-10-08,2757.5,68189.0,2719.2
2761.0,2730.0,2025-10-09,2772.0,81394.0,2725.1
2767.4,2755.0,2025-10-10,2782.4,39058.0,2733.4
2750.5,2753.6,2025-10-13,2780.0,55415.0,2741.7
2763.6,2751.9,2025-10-14,2774.2,61716.0,2741.3
2735.7,2763.0,2025-10-15,2763.0,33150.0,2726.0
2723.7,2738.0,2025-10-16,2747.9,38090.0,2716.1
2742.9,2741.0,2025-10-17,2750.7,53427.0,2708.4
2745.7,2739.0,2025-10-20,2759.9,69234.0,2716.1
2758.8,2754.0,2025-10-21,2766.6,6317.0,2751.0
2760.7,2752.0,2025-10-23,2795.9,40731.0,2752.0
2758.1,2764.0,2025-10-24,2764.1,36805.0,2733.8
2686.9,2760.0,2025-10-27,2760.0,66014.0,2679.9
2658.1,2672.0,2025-10-28,2723.7,80808.0,2652.0
2642.8,2671.0,2025-10-29,2680.0,65859.0,2621.0
2621.7,2652.0,2025-10-30,2652.0,86402.0,2601.0
2618.6,2632.7,2025-10-31,2696.7,92299.0,2606.1
2682.8,2644.0,2025-11-03,2694.0,109437.0,2618.7
2658.5,2685.4,2025-11-04,2693.9,96909.0,2641.2
2605.5,2658.5,2025-11-06,2668.5,89176.0,2562.0
2587.9,2605.5,2025-11-07,2609.8,185386.0,2479.0
2539.8,2587.0,2025-11-10,2590.6,59285.0,2534.2
2476.3,2548.0,2025-11-11,2550.7,256001.0,2467.5
2506.7,2486.0,2025-11-12,2536.6,123096.0,2473.1
2494.5,2506.7,2025-11-13,2548.1,61513.0,2486.3
2479.4,2499.8,2025-11-14,2515.2,51386.0,2470.9
2493.1,2491.7,2025-11-17,2524.9,174553.0,2474.7
2487.9,2505.0,2025-11-18,2505.0,68377.0,2481.3
2519.0,2490.0,2025-11-19,2526.4,53349.0,2471.4
2509.0,2514.5,2025-11-20,2532.6,31608.0,2501.1
2497.9,2501.2,2025-11-21,2523.4,72263.0,2488.0
2477.0,2497.9,2025-11-24,2497.9,127654.0,2404.2
2486.1,2477.0,2025-11-25,2499.0,81580.0,2430.0
2489.3,2483.0,2025-11-26,2509.9,65730.0,2459.7
2519.6,2489.7,2025-11-27,2524.4,44167.0,2465.1
2569.5,2519.6,2025-11-28,2585.1,110509.0,2479.0
2495.4,2551.0,2025-12-01,2558.5,90045.0,2490.0
2519.6,2495.6,2025-12-02,2525.5,80503.0,2482.0
2518.9,2512.0,2025-12-03,2529.9,118991.0,2461.1
2510.8,2520.0,2025-12-04,2539.0,82587.0,2494.9
2545.6,2492.0,2025-12-05,2582.5,159008.0,2491.2
2544.3,2545.6,2025-12-08,2567.0,75958.0,2511.1
2559.2,2534.3,2025-12-09,2569.5,118147.0,2491.0
2593.3,2555.0,2025-12-10,2618.0,73410.0,2547.0
2622.1,2592.0,2025-12-11,2635.0,74843.0,2570.0
2600.8,2624.0,2025-12-12,2635.0,170216.0,2559.0
2578.1,2587.7,2025-12-15,2608.9,25785.0,2571.0
2585.5,2578.1,2025-12-16,2599.9,41890.0,2572.2
2582.6,2585.0,2025-12-17,2589.7,65795.0,2562.0
2554.2,2594.5,2025-12-18,2594.5,67558.0,2506.7
2529.0,2575.0,2025-12-19,2575.0,126499.0,2510.0
2523.4,2530.1,2025-12-22,2550.1,54185.0,2519.9
2500.2,2525.0,2025-12-23,2536.3,51595.0,2485.0
2486.9,2501.0,2025-12-24,2510.3,39843.0,2476.0
2464.3,2488.0,2025-12-26,2488.8,32764.0,2459.5
2477.4,2483.0,2025-12-29,2487.5,51186.0,2445.0
2384.2,2462.2,2025-12-30,2468.4,517479.0,2362.6
2473.6,2419.4,2025-12-31,2482.5,114120.0,2382.0
2455.9,2476.0,2026-01-01,2476.0,40789.0,2442.5
2483.8,2461.3,2026-01-02,2487.7,27469.0,2443.9
2456.2,2484.9,2026-01-05,2484.9,44205.0,2452.0
2483.3,2456.0,2026-01-06,2504.0,45634.0,2437.2
2459.8,2483.3,2026-01-07,2528.0,155760.0,2448.0
2398.7,2455.0,2026-01-08,2455.3,43925.0,2386.8
2372.1,2390.0,2026-01-09,2404.0,81420.0,2350.0
2397.1,2372.0,2026-01-12,2403.8,44475.0,2337.6
2369.1,2397.0,2026-01-13,2417.1,58611.0,2349.0
2394.8,2369.0,2026-01-14,2411.5,56103.0,2361.0
2345.4,2409.8,2026-01-16,2409.8,59347.0,2340.0
2329.6,2345.9,2026-01-19,2354.8,22916.0,2324.9
2272.6,2329.0,2026-01-20,2337.3,100472.0,2263.3
2278.5,2270.1,2026-01-21,2299.0,100394.0,2220.3
2380.2,2304.0,2026-01-22,2393.5,88898.0,2291.3
2313.4,2381.9,2026-01-23,2420.0,86873.0,2307.6
2340.8,2319.0,2026-01-27,2356.2,46789.0,2278.3
2434.2,2351.0,2026-01-28,2442.9,78593.0,2331.9
2366.6,2438.2,2026-01-29,2438.2,73586.0,2345.0
2401.6,2359.9,2026-01-30,2414.0,109753.0,2306.3
2407.2,2400.2,2026-02-02,2426.6,75479.0,2342.1
2435.3,2465.0,2026-02-03,2475.6,89069.0,2401.8
2407.1,2406.6,2026-02-04,2420.0,36450.0,2385.1
2444.6,2407.1,2026-02-05,2456.5,51183.0,2370.3
2484.0,2444.6,2026-02-06,2489.0,75210.0,2405.0
2516.2,2489.0,2026-02-09,2540.0,104890.0,2475.0
2622.9,2550.4,2026-02-10,2675.0,356548.0,2541.6
2699.3,2622.0,2026-02-11,2719.8,114978.0,2610.0
2668.5,2705.7,2026-02-12,2705.7,43439.0,2644.8
2594.4,2645.0,2026-02-13,2668.5,61048.0,2584.8
2597.3,2590.0,2026-02-16,2639.0,34053.0,2584.8
2603.6,2590.8,2026-02-17,2627.0,87738.0,2579.0
2583.8,2603.6,2026-02-18,2644.0,44733.0,2578.6
2577.9,2584.0,2026-02-19,2625.0,57060.0,2560.0
2596.9,2577.0,2026-02-20,2610.4,39094.0,2558.1
2638.6,2616.8,2026-02-23,2668.8,59249.0,2610.5
2618.2,2635.1,2026-02-24,2635.1,57672.0,2591.3
2652.5,2602.5,2026-02-25,2667.4,39395.0,2602.5
2626.0,2650.0,2026-02-26,2650.0,34573.0,2610.0
2571.6,2632.1,2026-02-27,2633.1,46525.0,2566.0
2532.6,2520.0,2026-03-02,2581.6,106428.0,2511.7
2485.9,2501.0,2026-03-04,2512.1,52317.0,2480.0
2479.3,2487.0,2026-03-05,2525.0,46130.0,2450.1
2517.3,2478.0,2026-03-06,2528.9,32929.0,2470.5
2519.2,2500.0,2026-03-09,2529.9,44706.0,2450.8
2487.0,2527.0,2026-03-10,2554.0,60144.0,2473.0
2486.0,2489.5,2026-03-11,2541.0,42649.0,2471.0
2504.4,2486.0,2026-03-12,2519.4,47013.0,2436.8
2424.3,2500.0,2026-03-13,2500.0,51430.0,2397.7
2403.0,2413.0,2026-03-16,2432.4,43791.0,2379.2
2429.6,2404.9,2026-03-17,2440.0,31162.0,2396.0
2437.6,2428.9,2026-03-18,2472.0,26379.0,2418.2
2376.7,2401.0,2026-03-19,2419.6,23012.0,2372.4
2384.8,2376.8,2026-03-20,2416.0,58866.0,2362.5
2279.2,2353.4,2026-03-23,2364.9,50972.0,2269.1
2309.1,2301.0,2026-03-24,2340.0,51349.0,2284.6
2321.6,2310.0,2026-03-25,2352.5,87862.0,2305.2
2259.5,2320.6,2026-03-27,2330.4,61215.0,2255.1
2283.0,2259.5,2026-03-30,2296.9,129602.0,2217.6
2329.2,2305.0,2026-04-01,2401.9,70124.0,2291.2
2311.5,2293.1,2026-04-02,2339.8,109321.0,2261.9
2346.6,2307.0,2026-04-06,2355.9,37644.0,2267.8
2333.4,2339.9,2026-04-07,2357.9,54934.0,2315.2
2354.3,2377.0,2026-04-08,2396.9,56548.0,2348.0
2359.7,2354.3,2026-04-09,2374.3,23611.0,2345.0
2394.0,2359.7,2026-04-10,2431.8,56237.0,2357.0
2414.2,2370.1,2026-04-13,2468.8,63740.0,2341.2
2405.2,2430.0,2026-04-15,2439.3,61085.0,2391.0
2419.8,2417.2,2026-04-16,2441.6,34264.0,2391.6
2453.9,2419.8,2026-04-17,2465.4,42722.0,2410.0
2429.9,2465.0,2026-04-20,2466.1,35944.0,2410.9
2427.4,2429.9,2026-04-21,2450.0,19344.0,2420.1
2465.6,2420.2,2026-04-22,2496.0,58615.0,2397.1
2494.6,2480.0,2026-04-23,2529.9,69999.0,2456.0
2472.0,2496.4,2026-04-24,2509.6,56508.0,2459.8
2439.2,2472.0,2026-04-27,2495.0,121838.0,2427.0
2410.2,2450.0,2026-04-28,2466.3,53102.0,2404.2
2366.6,2415.0,2026-04-29,2428.5,161302.0,2359.5
2336.4,2367.2,2026-04-30,2370.8,113696.0,2319.4
2349.9,2342.0,2026-05-04,2387.4,114106.0,2322.5
2363.7,2335.0,2026-05-05,2399.0,103668.0,2335.0
2423.3,2380.0,2026-05-06,2450.0,70074.0,2365.0
2481.3,2423.5,2026-05-07,2490.0,129747.0,2423.5
2476.9,2481.3,2026-05-08,2504.9,68013.0,2441.0
2436.2,2476.9,2026-05-11,2476.9,31876.0,2430.5
2448.8,2436.2,2026-05-12,2493.7,84111.0,2407.4
2411.7,2449.9,2026-05-13,2520.0,137886.0,2400.4
2416.7,2437.1,2026-05-14,2466.2,57529.0,2400.0
2438.8,2418.0,2026-05-15,2458.6,44704.0,2407.4
2389.8,2438.8,2026-05-18,2440.0,70066.0,2370.0
2389.4,2400.0,2026-05-19,2422.6,76962.0,2377.2
2346.8,2388.0,2026-05-20,2397.8,80193.0,2340.1
2320.7,2379.0,2026-05-21,2379.2,106325.0,2314.0
2306.9,2330.0,2026-05-22,2344.0,185269.0,2297.0
2300.1,2329.0,2026-05-25,2341.0,111490.0,2297.0
2282.4,2300.1,2026-05-26,2314.4,155905.0,2278.1
2296.2,2295.0,2026-05-27,2315.9,179567.0,2283.2
2210.2,2259.9,2026-05-29,2267.0,304042.0,2194.4
2204.4,2200.0,2026-06-01,2219.9,81113.0,2183.2
2188.8,2204.3,2026-06-02,2204.3,93010.0,2154.0
2181.0,2190.1,2026-06-03,2198.1,53254.0,2165.0
2166.6,2170.0,2026-06-04,2188.5,38689.0,2162.4
2164.1,2167.6,2026-06-05,2185.0,28741.0,2160.0
2183.8,2154.7,2026-06-08,2189.9,84616.0,2142.0
2194.7,2195.0,2026-06-09,2216.0,84767.0,2186.0
2174.9,2204.8,2026-06-10,2210.0,68793.0,2164.0
2103.2,2165.0,2026-06-11,2170.0,238350.0,2096.0
2121.5,2116.0,2026-06-12,2131.9,357494.0,2088.1
2122.5,2135.1,2026-06-15,2169.8,162107.0,2111.0
2202.8,2127.0,2026-06-16,2208.7,199157.0,2126.0
2199.8,2210.0,2026-06-17,2213.0,230873.0,2171.0
2266.2,2200.0,2026-06-18,2276.1,225717.0,2188.0
2332.0,2260.0,2026-06-19,2350.0,251981.0,2237.6
2363.1,2358.1,2026-06-22,2375.9,134021.0,2322.3
2396.7,2369.9,2026-06-23,2404.8,115544.0,2355.1
2366.6,2396.9,2026-06-24,2398.9,100402.0,2360.1
