close,open,date,high,volume,low
2029.3,2067.0,2025-08-13,2069.3,466373.0,2023.0
2044.6,2039.3,2025-08-14,2052.8,986277.0,2017.0
1973.9,2009.9,2025-08-18,2042.9,1730646.0,1947.0
1945.8,1975.0,2025-08-19,1979.8,976629.0,1929.0
1924.0,1949.0,2025-08-20,1960.9,1227980.0,1918.3
1940.9,1924.0,2025-08-21,1963.8,890032.0,1901.1
1937.3,1940.9,2025-08-22,1959.5,466930.0,1930.0
1956.1,1940.9,2025-08-25,1964.0,531826.0,1933.0
1950.7,1956.5,2025-08-26,1976.0,1148175.0,1935.3
1936.9,1957.9,2025-08-28,1960.2,481992.0,1932.0
1923.9,1936.0,2025-08-29,1947.8,239914.0,1910.7
1926.8,1918.1,2025-09-01,1938.8,415464.0,1904.0
1918.8,1926.9,2025-09-02,1941.9,253254.0,1910.6
2004.4,1938.0,2025-09-03,2009.0,1381575.0,1929.0
1990.9,2025.0,2025-09-04,2026.4,493159.0,1979.6
2051.9,1990.9,2025-09-05,2055.2,977419.0,1990.9
2051.9,2062.0,2025-09-08,2075.9,842874.0,2034.6
2116.3,2073.0,2025-09-09,2119.9,1269358.0,2062.0
2130.9,2112.0,2025-09-10,2135.0,773741.0,2104.0
2127.7,2132.5,2025-09-11,2146.3,737140.0,2083.6
2132.5,2128.0,2025-09-12,2156.9,615392.0,2117.3
2099.5,2127.0,2025-09-15,2127.0,546804.0,2090.0
2077.0,2099.5,2025-09-16,2148.7,578050.0,2062.1
2042.4,2084.9,2025-09-17,2084.9,567155.0,2034.9
2108.4,2049.9,2025-09-18,2116.0,1114841.0,2049.9
2085.2,2116.0,2025-09-19,2119.0,686651.0,2078.2
2017.8,2094.0,2025-09-22,2103.4,710308.0,2006.2
2016.8,2020.5,2025-09-23,2048.0,413502.0,2010.5
2018.6,2016.8,2025-09-24,2050.2,651958.0,2004.2
2030.7,2031.6,2025-09-25,2052.5,1053509.0,2023.7
1971.7,2012.0,2025-09-26,2012.0,924467.0,1956.7
1958.2,1971.9,2025-09-29,1988.5,554275.0,1954.2
1952.7,1965.9,2025-09-30,1979.9,302233.0,1932.0
1959.2,1952.7,2025-10-01,1973.4,524801.0,1940.0
1980.2,1959.2,2025-10-03,1990.0,419687.0,1950.2
1971.2,1954.6,2025-10-06,1976.7,346596.0,1938.5
1962.6,1970.0,2025-10-07,1973.4,349591.0,1948.1
1929.3,1960.0,2025-10-08,1970.0,306722.0,1921.4
1935.6,1936.0,2025-10-09,1961.8,596524.0,1931.7
1939.3,1935.9,2025-10-10,1978.2,867422.0,1925.1
1909.6,1935.0,2025-10-13,1943.2,872789.0,1895.1
1892.8,1928.1,2025-10-14,1928.1,435764.0,1870.6
1894.2,1892.0,2025-10-15,1913.5,658841.0,1876.2
1864.4,1893.4,2025-10-16,1897.8,1132677.0,1857.5
1861.9,1876.4,2025-10-17,1882.7,247430.0,1855.4
1852.8,1858.0,2025-10-20,1871.8,188567.0,1850.7
1855.4,1852.8,2025-10-21,1871.0,49883.0,1844.9
1850.6,1869.0,2025-10-23,1879.2,668287.0,1845.9
1818.8,1864.4,2025-10-24,1864.4,536406.0,1809.7
1812.7,1815.0,2025-10-27,1844.0,1249701.0,1799.3
1815.1,1822.8,2025-10-28,1840.6,339261.0,1792.6
1843.3,1809.0,2025-10-29,1850.7,926177.0,1798.6
1882.8,1852.5,2025-10-30,1888.3,854083.0,1824.0
1891.2,1883.0,2025-10-31,1904.8,398054.0,1876.0
1898.4,1889.1,2025-11-03,1919.0,521647.0,1885.2
1845.1,1907.9,2025-11-04,1907.9,707890.0,1842.9
1810.4,1859.9,2025-11-06,1859.9,356061.0,1805.0
1811.5,1801.4,2025-11-07,1829.4,553200.0,1801.4
1829.9,1820.6,2025-11-10,1849.3,582091.0,1810.4
1817.3,1840.0,2025-11-11,1846.9,388962.0,1813.0
1847.8,1817.0,2025-11-12,1861.0,1811699.0,1807.0
1880.6,1862.1,2025-11-13,1918.9,1708579.0,1845.9
1895.6,1890.0,2025-11-14,1931.9,1808669.0,1855.0
1868.9,1855.1,2025-11-17,1924.9,6171268.0,1810.0
1842.8,1880.0,2025-11-18,1882.0,2126546.0,1818.0
1840.8,1835.5,2025-11-19,1866.5,548782.0,1832.1
1878.0,1845.0,2025-11-20,1894.8,1275173.0,1842.1
1844.2,1878.4,2025-11-21,1908.0,943929.0,1838.0
1842.4,1844.2,2025-11-24,1861.5,1430032.0,1825.1
1881.5,1842.0,2025-11-25,1893.6,1017631.0,1837.0
1921.3,1880.0,2025-11-26,1927.4,833315.0,1875.6
1944.0,1924.7,2025-11-27,1958.0,1272760.0,1922.3
1946.2,1949.5,2025-11-28,1958.0,687641.0,1937.8
1941.7,1950.0,2025-12-01,1965.9,456233.0,1923.1
1978.6,1951.8,2025-12-02,1984.0,1261494.0,1942.7
1965.9,1987.9,2025-12-03,1992.9,1004563.0,1954.9
1973.8,1960.1,2025-12-04,1984.9,414550.0,1960.1
1968.2,1964.0,2025-12-05,1988.0,420804.0,1957.0
1921.9,1969.4,2025-12-08,1978.9,834134.0,1909.3
1938.5,1912.0,2025-12-09,1951.0,782469.0,1892.7
1950.8,1936.0,2025-12-10,1959.7,489071.0,1934.1
1956.0,1945.0,2025-12-11,1967.6,385727.0,1944.3
1975.0,1965.3,2025-12-12,1979.7,359560.0,1951.1
1985.6,1975.0,2025-12-15,1990.9,299149.0,1950.8
1966.5,1988.8,2025-12-16,1992.4,497164.0,1957.9
1948.4,1976.7,2025-12-17,1976.7,283822.0,1935.4
1957.1,1945.0,2025-12-18,1959.4,359363.0,1920.2
1992.1,1960.0,2025-12-19,1996.2,527847.0,1952.6
2038.2,1997.9,2025-12-22,2042.7,706599.0,1992.1
2047.0,2041.0,2025-12-23,2082.5,1403145.0,2036.5
2020.1,2050.0,2025-12-24,2054.9,579266.0,2013.8
2010.6,2018.0,2025-12-26,2025.9,206579.0,2004.3
2009.7,2012.0,2025-12-29,2028.5,266984.0,2000.4
2029.8,2004.6,2025-12-30,2039.0,2304769.0,2000.0
2035.2,2030.9,2025-12-31,2048.4,360664.0,2025.7
2026.2,2034.0,2026-01-01,2039.1,278356.0,2011.0
2064.5,2025.9,2026-01-02,2073.0,388479.0,2021.0
2039.2,2071.5,2026-01-05,2091.8,333641.0,2031.5
2074.6,2031.5,2026-01-06,2080.8,223376.0,2031.5
2113.1,2076.0,2026-01-07,2147.5,1278367.0,2070.7
2079.8,2122.1,2026-01-08,2122.1,412000.0,2074.0
2007.2,2074.0,2026-01-09,2079.0,469242.0,1997.0
2017.5,2007.2,2026-01-12,2020.4,349821.0,1967.6
2008.2,2028.0,2026-01-13,2028.0,831792.0,1951.1
2011.3,2025.0,2026-01-14,2041.8,519013.0,2003.3
2000.7,2022.0,2026-01-16,2028.0,362053.0,1990.0
1989.8,1996.0,2026-01-19,2007.4,160656.0,1980.3
1935.0,1980.3,2026-01-20,1989.8,410874.0,1927.4
1941.4,1927.0,2026-01-21,1960.0,467805.0,1910.1
1997.2,1955.0,2026-01-22,2009.0,723617.0,1955.0
1967.7,2000.0,2026-01-23,2022.9,424174.0,1961.8
1999.7,1968.4,2026-01-27,2010.0,458666.0,1967.1
1993.5,2011.5,2026-01-28,2012.1,232602.0,1980.0
1985.6,2002.4,2026-01-29,2022.0,458197.0,1975.1
2015.9,1978.7,2026-01-30,2026.1,554016.0,1928.8
1920.4,1935.1,2026-02-02,1964.4,1487788.0,1842.0
1954.2,1995.0,2026-02-03,2006.6,535670.0,1947.6
1959.3,1954.2,2026-02-04,1992.1,388216.0,1945.9
1969.3,1955.2,2026-02-05,1976.3,401353.0,1926.0
1934.8,1969.3,2026-02-06,1969.3,490999.0,1911.0
1974.4,1958.0,2026-02-09,1979.9,399133.0,1941.4
1958.0,2000.0,2026-02-10,2000.1,278908.0,1953.4
2015.2,1959.9,2026-02-11,2018.9,548543.0,1949.9
2034.5,2020.0,2026-02-12,2039.0,339344.0,2001.1
1997.6,2034.0,2026-02-13,2047.9,865050.0,1992.0
2030.5,1997.6,2026-02-16,2037.4,642831.0,1988.0
2038.8,2028.9,2026-02-17,2046.9,201758.0,2021.8
2030.2,2038.0,2026-02-18,2044.5,352158.0,2009.0
2016.7,2028.0,2026-02-19,2057.0,360960.0,2005.0
2043.2,2005.0,2026-02-20,2049.8,308348.0,1999.2
2039.2,2043.2,2026-02-23,2053.6,294221.0,2021.8
2058.6,2028.5,2026-02-24,2078.5,372423.0,2025.4
2085.0,2070.0,2026-02-25,2092.3,455454.0,2061.0
2124.3,2080.0,2026-02-26,2139.0,516226.0,2080.0
2136.7,2125.6,2026-02-27,2159.8,616213.0,2116.4
2123.3,2112.5,2026-03-02,2149.9,316016.0,2094.4
2039.7,2106.3,2026-03-04,2110.5,414944.0,2031.1
2108.9,2042.2,2026-03-05,2118.9,523392.0,2042.2
2124.4,2094.4,2026-03-06,2138.0,431504.0,2094.4
2117.6,2100.0,2026-03-09,2124.8,304629.0,2050.2
2225.8,2140.0,2026-03-10,2240.0,1554898.0,2130.4
2272.7,2243.0,2026-03-11,2297.9,920351.0,2228.0
2256.4,2273.2,2026-03-12,2273.2,996025.0,2215.4
2170.7,2242.0,2026-03-13,2266.0,516548.0,2163.7
2175.4,2172.5,2026-03-16,2214.8,528614.0,2145.0
2145.9,2179.9,2026-03-17,2184.7,773805.0,2136.0
2186.3,2145.9,2026-03-18,2237.6,882940.0,2143.1
2097.5,2174.0,2026-03-19,2176.6,465494.0,2087.4
