close,open,date,high,volume,low
490.15,492.0,2025-07-03,495.0,447075,487.45
492.6,491.4,2025-07-04,497.35,485607,490.5
493.2,495.05,2025-07-07,496.7,372161,490.05
481.6,492.55,2025-07-08,493.0,636001,475.3
479.55,481.6,2025-07-09,487.5,436559,478.0
473.8,482.0,2025-07-10,482.95,433079,470.65
469.0,471.8,2025-07-11,478.75,331420,466.4
485.75,469.0,2025-07-14,489.5,792132,467.0
491.75,488.0,2025-07-15,493.5,530607,484.85
499.7,490.8,2025-07-16,503.8,2606968,489.5
502.45,503.0,2025-07-17,511.75,1929326,501.05
496.15,504.5,2025-07-18,505.75,540582,492.5
494.5,496.0,2025-07-21,499.55,435162,491.4
477.1,494.5,2025-07-22,495.7,890480,476.05
475.85,479.45,2025-07-23,480.05,500010,472.55
476.65,476.0,2025-07-24,485.65,698309,474.35
469.1,475.0,2025-07-25,477.75,552079,466.25
463.2,469.55,2025-07-28,480.55,904522,461.45
490.45,464.0,2025-07-29,492.0,1819374,464.0
492.15,492.0,2025-07-30,497.5,955819,487.65
474.9,484.0,2025-07-31,487.4,940607,473.85
451.75,475.95,2025-08-01,477.0,1307539,450.45
454.0,457.0,2025-08-04,460.45,1107534,447.05
448.7,454.0,2025-08-05,458.2,767391,443.2
439.35,447.0,2025-08-06,449.05,1307558,432.6
450.0,434.0,2025-08-07,452.8,2278957,434.0
439.55,452.0,2025-08-08,454.4,825371,438.3
440.55,439.15,2025-08-11,444.8,587525,439.15
455.1,442.55,2025-08-12,460.9,2097834,440.0
460.35,455.1,2025-08-13,466.6,778530,451.95
459.4,464.2,2025-08-14,472.8,1537810,455.55
461.35,464.95,2025-08-18,464.95,510848,455.5
458.05,461.35,2025-08-19,464.0,483094,456.0
461.35,458.0,2025-08-20,463.45,757670,452.5
462.0,461.35,2025-08-21,465.0,1066845,454.75
458.5,462.1,2025-08-22,465.8,945653,456.0
460.7,460.95,2025-08-25,469.1,2554531,456.6
469.5,459.0,2025-08-26,475.7,5766181,456.3
467.25,474.0,2025-08-28,478.9,6334967,466.0
492.25,470.0,2025-08-29,512.9,16943450,467.9
515.8,494.0,2025-09-01,524.8,7165474,492.45
507.8,515.8,2025-09-02,518.4,2853197,503.6
518.45,508.5,2025-09-03,522.9,1465035,507.3
512.85,520.0,2025-09-04,521.75,812710,509.0
511.4,513.0,2025-09-05,519.55,679631,507.3
519.25,513.4,2025-09-08,525.0,886659,511.4
525.1,523.2,2025-09-09,529.6,1145622,517.45
524.65,525.0,2025-09-10,527.7,741872,517.85
526.1,522.5,2025-09-11,530.25,616662,519.75
534.35,529.3,2025-09-12,535.9,1276767,523.0
533.35,535.45,2025-09-15,542.0,830343,529.05
539.8,535.5,2025-09-16,541.5,607742,533.4
546.05,539.8,2025-09-17,547.0,1519523,534.95
543.15,548.8,2025-09-18,553.0,1346859,540.0
543.4,546.0,2025-09-19,546.5,591413,535.5
526.3,545.05,2025-09-22,546.75,1182250,519.85
523.8,526.3,2025-09-23,529.2,439802,518.6
530.8,523.95,2025-09-24,534.95,528866,519.05
530.15,531.95,2025-09-25,536.5,489157,526.75
515.9,525.0,2025-09-26,526.0,1338310,510.55
514.6,515.95,2025-09-29,524.45,1235265,511.35
517.0,515.6,2025-09-30,525.95,512033,510.9
542.65,522.7,2025-10-01,545.25,2923363,522.7
557.3,544.95,2025-10-03,562.7,2387039,542.0
552.7,560.45,2025-10-06,561.0,549142,547.8
555.9,551.0,2025-10-07,558.5,512359,545.05
548.75,556.0,2025-10-08,565.0,645218,546.25
566.15,553.0,2025-10-09,575.35,2945411,553.0
568.55,569.0,2025-10-10,574.5,1270829,560.25
564.0,570.15,2025-10-13,571.7,542257,559.4
570.0,567.45,2025-10-14,576.55,2827239,560.0
568.85,577.0,2025-10-15,587.2,1913101,567.05
570.1,573.0,2025-10-16,576.1,508720,567.3
569.55,570.5,2025-10-17,574.7,727221,567.05
565.8,570.0,2025-10-20,571.95,561684,562.0
570.05,566.9,2025-10-21,572.9,123439,566.9
557.15,572.9,2025-10-23,573.75,1238739,554.45
564.55,559.75,2025-10-24,568.6,550932,554.85
565.6,563.95,2025-10-27,572.7,622704,558.05
569.95,565.65,2025-10-28,574.7,457943,565.0
571.3,572.0,2025-10-29,581.9,1589014,565.75
574.3,571.9,2025-10-30,576.0,284092,569.2
565.6,574.3,2025-10-31,575.0,384397,564.1
573.65,565.95,2025-11-03,576.1,461593,564.3
567.7,573.5,2025-11-04,578.05,388985,566.0
552.25,567.7,2025-11-06,570.0,696917,550.45
554.65,553.0,2025-11-07,557.7,307900,550.1
550.15,548.0,2025-11-10,555.5,209969,548.0
535.45,551.85,2025-11-11,555.0,831085,533.45
542.45,536.4,2025-11-12,544.4,480820,531.1
556.3,542.4,2025-11-13,561.8,2619899,536.2
548.2,558.0,2025-11-14,563.25,1196093,542.6
561.7,550.3,2025-11-17,563.8,612104,545.3
561.45,561.05,2025-11-18,565.0,614309,551.05
553.95,561.0,2025-11-19,563.15,432120,552.0
550.8,556.9,2025-11-20,557.35,296113,549.0
544.2,547.5,2025-11-21,554.95,373280,541.1
532.85,544.0,2025-11-24,544.25,819316,530.1
545.9,530.9,2025-11-25,549.7,3992807,529.85
545.9,548.9,2025-11-26,553.5,1500636,544.9
548.95,547.9,2025-11-27,555.75,722971,543.0
556.1,549.95,2025-11-28,559.4,857235,546.85
568.75,562.5,2025-12-01,571.1,1311056,559.05
570.2,571.0,2025-12-02,574.4,859527,565.0
568.3,571.95,2025-12-03,574.9,547213,563.15
566.4,568.0,2025-12-04,574.4,700498,564.5
560.85,568.85,2025-12-05,568.85,2352948,552.25
543.95,558.75,2025-12-08,567.35,667984,540.55
560.45,545.0,2025-12-09,564.4,2356196,541.1
554.85,561.2,2025-12-10,566.5,443770,552.6
564.75,554.9,2025-12-11,569.25,1638132,550.25
574.5,566.95,2025-12-12,577.5,1274628,563.4
571.6,576.95,2025-12-15,577.75,583309,569.4
