close,open,date,high,volume,low
2735.9,2709.1,2025-07-24,2743.3,997645,2667.3
2708.6,2735.0,2025-07-25,2735.9,360857,2694.2
2727.2,2704.1,2025-07-28,2754.5,547126,2697.0
2743.0,2727.2,2025-07-29,2750.0,743512,2705.0
2758.6,2740.0,2025-07-30,2794.0,772901,2733.1
2746.4,2735.0,2025-07-31,2771.8,581498,2727.7
2722.2,2748.0,2025-08-01,2766.5,329586,2716.0
2787.8,2730.0,2025-08-04,2792.3,570201,2720.8
2797.2,2799.0,2025-08-05,2824.9,782631,2784.7
2765.8,2800.0,2025-08-06,2800.0,393906,2758.0
2743.7,2764.0,2025-08-07,2772.7,591589,2718.8
2691.6,2743.7,2025-08-08,2748.9,1162918,2672.6
2758.9,2726.0,2025-08-11,2795.0,1236332,2720.0
2740.4,2757.0,2025-08-12,2761.9,553341,2705.1
2745.9,2760.0,2025-08-13,2766.0,479944,2725.5
2764.9,2745.9,2025-08-14,2770.0,618912,2731.1
2845.9,2795.0,2025-08-18,2865.4,1279195,2776.5
2828.3,2845.9,2025-08-19,2854.0,372899,2803.2
2864.9,2828.3,2025-08-20,2883.6,930944,2807.4
2881.2,2880.0,2025-08-21,2898.4,1138327,2855.0
2813.8,2881.1,2025-08-22,2881.1,671902,2801.4
2811.4,2825.7,2025-08-25,2832.7,591824,2791.6
2796.2,2803.6,2025-08-26,2818.5,425619,2780.4
2784.3,2775.0,2025-08-28,2806.0,528080,2772.2
2775.6,2784.3,2025-08-29,2797.8,542362,2762.7
2803.9,2778.0,2025-09-01,2816.8,499161,2773.4
2779.8,2815.0,2025-09-02,2820.0,468533,2773.7
2781.4,2789.0,2025-09-03,2809.2,500510,2770.5
2809.8,2801.0,2025-09-04,2865.2,1177036,2801.0
2804.0,2810.0,2025-09-05,2837.5,495200,2786.1
2804.1,2795.1,2025-09-08,2823.9,229922,2795.1
2795.9,2804.1,2025-09-09,2823.7,388718,2786.5
2785.8,2795.9,2025-09-10,2818.0,421783,2775.6
2799.0,2782.4,2025-09-11,2806.4,217951,2771.0
2802.0,2799.0,2025-09-12,2818.0,168095,2789.1
2802.4,2795.0,2025-09-15,2819.8,291664,2785.0
2843.0,2811.9,2025-09-16,2848.5,546549,2804.0
2865.4,2855.0,2025-09-17,2881.0,785107,2850.0
2878.8,2878.0,2025-09-18,2883.0,513800,2852.0
2877.9,2876.1,2025-09-19,2891.3,790137,2848.3
2854.1,2860.0,2025-09-22,2911.0,751168,2848.8
2813.5,2858.9,2025-09-23,2873.8,702680,2808.1
2807.4,2813.5,2025-09-24,2838.7,316532,2797.9
2778.6,2810.0,2025-09-25,2833.2,723479,2771.2
2746.8,2775.0,2025-09-26,2810.0,523045,2736.2
2746.9,2740.1,2025-09-29,2765.7,541455,2700.5
2756.9,2747.0,2025-09-30,2769.0,440278,2746.1
2789.7,2767.9,2025-10-01,2796.2,353196,2732.0
2791.4,2800.0,2025-10-03,2806.8,708063,2766.0
2807.4,2765.1,2025-10-06,2814.1,298274,2765.1
2808.0,2800.0,2025-10-07,2825.0,245369,2790.3
2778.2,2819.0,2025-10-08,2823.4,339604,2764.7
2810.6,2781.4,2025-10-09,2817.3,404859,2778.2
2811.0,2810.6,2025-10-10,2832.8,582587,2788.3
2798.0,2791.1,2025-10-13,2812.0,280622,2778.5
2775.8,2798.0,2025-10-14,2808.0,316183,2757.9
