close,open,date,high,volume,low
502.0,509.0,2025-08-20,512.55,553727.0,500.65
496.65,505.0,2025-08-21,508.85,537998.0,495.6
486.7,498.9,2025-08-22,501.4,575554.0,485.0
490.95,489.0,2025-08-25,493.2,376168.0,485.25
478.2,490.0,2025-08-26,490.0,334890.0,476.0
470.95,476.1,2025-08-28,479.85,303576.0,470.0
462.0,471.0,2025-08-29,473.1,363586.0,459.8
478.45,466.6,2025-09-01,480.75,491006.0,465.15
478.25,479.0,2025-09-02,498.0,800647.0,475.6
490.25,481.5,2025-09-03,495.0,598186.0,478.4
496.6,494.3,2025-09-04,510.8,1632493.0,493.0
492.45,498.8,2025-09-05,501.0,415169.0,490.4
491.1,495.5,2025-09-08,506.6,592203.0,485.7
499.1,493.5,2025-09-09,501.0,426064.0,490.2
508.85,502.0,2025-09-10,512.0,1003567.0,501.0
510.45,512.9,2025-09-11,515.9,689909.0,503.9
518.55,510.95,2025-09-12,523.0,1072838.0,507.0
514.45,519.15,2025-09-15,524.7,752190.0,512.5
510.5,516.0,2025-09-16,529.45,1206242.0,508.15
518.65,512.9,2025-09-17,522.4,542314.0,510.55
518.75,520.9,2025-09-18,531.0,1117121.0,515.6
521.35,519.0,2025-09-19,526.9,672131.0,516.35
517.2,521.0,2025-09-22,528.6,481523.0,515.05
519.35,519.0,2025-09-23,529.7,758187.0,516.35
521.9,518.0,2025-09-24,526.0,522066.0,517.0
521.8,520.1,2025-09-25,532.5,1015799.0,518.05
506.75,520.9,2025-09-26,521.45,513348.0,504.7
507.65,508.0,2025-09-29,519.0,474270.0,506.0
504.9,509.95,2025-09-30,511.0,266363.0,501.1
513.4,507.45,2025-10-01,518.2,340088.0,506.9
516.9,515.0,2025-10-03,521.25,601093.0,512.3
520.1,517.0,2025-10-06,534.9,872730.0,516.55
510.75,520.3,2025-10-07,523.3,498732.0,509.15
515.75,511.15,2025-10-08,544.0,3702439.0,509.65
535.35,518.75,2025-10-09,551.2,3797564.0,517.0
515.2,531.7,2025-10-10,531.8,1621813.0,512.5
519.45,515.4,2025-10-13,522.4,783214.0,506.2
518.6,520.0,2025-10-14,529.7,772100.0,515.0
511.3,518.1,2025-10-15,524.0,824815.0,506.0
521.35,513.9,2025-10-16,526.4,945628.0,512.1
512.25,518.0,2025-10-17,527.95,441286.0,511.15
506.8,514.6,2025-10-20,516.0,402535.0,504.1
513.15,508.85,2025-10-21,515.7,97340.0,508.5
514.4,516.0,2025-10-23,523.55,449391.0,510.6
515.7,516.6,2025-10-24,526.2,507984.0,514.4
524.2,518.0,2025-10-27,525.9,625086.0,515.0
534.8,524.2,2025-10-28,537.85,1469920.0,523.95
580.6,538.0,2025-10-29,585.0,9487780.0,536.0
588.85,578.0,2025-10-30,598.0,3180111.0,570.5
591.0,587.0,2025-10-31,594.0,1127330.0,581.1
583.55,591.0,2025-11-03,606.55,1201834.0,582.0
579.7,584.0,2025-11-04,592.5,638595.0,578.1
556.65,582.3,2025-11-06,583.2,788256.0,555.05
549.5,556.0,2025-11-07,557.0,501238.0,544.0
519.3,550.7,2025-11-10,555.25,1530693.0,511.05
531.8,540.0,2025-11-11,581.7,25128586.0,527.0
522.15,535.5,2025-11-12,538.8,2008269.0,520.35
515.25,525.3,2025-11-13,529.8,1101604.0,514.0
515.9,516.0,2025-11-14,521.6,745163.0,513.6
511.0,515.0,2025-11-17,517.9,913203.0,505.75
516.95,510.0,2025-11-18,524.45,1686317.0,505.6
520.1,518.7,2025-11-19,523.4,792713.0,511.05
513.45,522.0,2025-11-20,527.8,633493.0,511.0
503.45,513.95,2025-11-21,515.55,600067.0,501.7
