close,open,date,high,volume,low
4454.0,4275.8,2025-07-15,4465.0,1756329,4260.1
4424.5,4454.0,2025-07-16,4470.0,791606,4371.0
4443.6,4437.0,2025-07-17,4463.9,414759,4412.0
4396.7,4450.0,2025-07-18,4484.0,370997,4387.2
4408.2,4410.0,2025-07-21,4422.0,269975,4346.2
4342.4,4418.0,2025-07-22,4431.7,463290,4318.8
4363.7,4360.0,2025-07-23,4377.0,376802,4325.9
4301.9,4310.0,2025-07-24,4320.0,584473,4255.1
4230.7,4278.0,2025-07-25,4290.8,630896,4195.0
4291.1,4215.5,2025-07-28,4307.0,462891,4215.5
4325.2,4290.0,2025-07-29,4334.4,422393,4265.6
4251.3,4311.0,2025-07-30,4325.8,547169,4215.7
4260.7,4210.0,2025-07-31,4303.0,446590,4201.0
4311.6,4255.1,2025-08-01,4322.0,473918,4240.0
4535.9,4315.9,2025-08-04,4550.0,1454995,4310.1
4546.8,4536.0,2025-08-05,4581.5,803505,4515.9
4474.9,4549.6,2025-08-06,4549.9,574216,4462.1
4660.7,4430.0,2025-08-07,4674.9,2121194,4422.3
4599.8,4660.0,2025-08-08,4712.0,972461,4588.1
4562.2,4603.0,2025-08-11,4624.7,455558,4539.0
4645.2,4589.0,2025-08-12,4669.6,723767,4571.0
4768.7,4668.3,2025-08-13,4793.5,1342794,4650.2
4708.1,4770.0,2025-08-14,4773.5,373862,4690.5
4984.0,4900.0,2025-08-18,5119.0,3698091,4900.0
5118.2,4984.0,2025-08-19,5139.0,1509894,4984.0
5136.0,5120.0,2025-08-20,5165.0,916240,5111.1
5097.1,5136.0,2025-08-21,5158.9,819430,5040.0
4997.9,5097.1,2025-08-22,5123.3,1357460,4982.0
5063.8,5010.0,2025-08-25,5079.9,693190,4976.0
5073.4,5063.8,2025-08-26,5143.0,1662083,5041.0
5091.7,5230.0,2025-08-28,5246.0,1584393,5078.4
5087.7,5099.5,2025-08-29,5148.3,783364,5061.4
5244.0,5113.5,2025-09-01,5259.5,659443,5109.5
5312.0,5290.0,2025-09-02,5348.0,962257,5208.0
5349.0,5325.0,2025-09-03,5363.5,659989,5256.5
5351.0,5505.0,2025-09-04,5519.0,1187848,5341.0
5363.0,5360.0,2025-09-05,5419.5,517415,5348.5
5443.0,5370.0,2025-09-08,5524.5,726543,5335.0
5423.5,5465.5,2025-09-09,5488.0,608443,5391.0
5350.5,5450.0,2025-09-10,5458.0,536616,5317.5
5302.0,5350.5,2025-09-11,5363.0,765635,5286.0
5301.5,5306.0,2025-09-12,5389.5,537933,5286.0
5288.5,5324.0,2025-09-15,5356.0,588879,5268.0
5316.0,5307.0,2025-09-16,5349.0,925160,5284.0
5350.0,5344.0,2025-09-17,5388.0,616629,5310.5
5370.0,5360.0,2025-09-18,5387.0,420977,5340.0
5408.0,5390.0,2025-09-19,5435.0,579031,5372.0
5429.5,5409.0,2025-09-22,5499.0,672445,5400.0
5370.5,5450.0,2025-09-23,5514.0,507377,5351.0
5277.0,5370.0,2025-09-24,5376.0,410267,5265.0
5354.5,5270.0,2025-09-25,5374.0,640474,5231.0
5328.0,5354.5,2025-09-26,5454.0,689941,5308.5
5300.5,5328.0,2025-09-29,5429.0,8318930,5269.0
5472.5,5323.0,2025-09-30,5483.5,1141788,5323.0
5432.5,5472.5,2025-10-01,5519.0,701001,5410.0
5550.5,5465.0,2025-10-03,5584.0,1634394,5370.5
5581.5,5527.0,2025-10-06,5595.0,844413,5527.0
5615.0,5581.5,2025-10-07,5649.0,858678,5572.5
5512.5,5612.0,2025-10-08,5659.0,789561,5492.5
5512.0,5515.0,2025-10-09,5537.0,872880,5466.0
5500.0,5512.0,2025-10-10,5567.5,835407,5476.5
5559.0,5500.0,2025-10-13,5581.0,417645,5484.5
5571.5,5582.5,2025-10-14,5591.0,375269,5540.0
