close,open,date,high,volume,low
273.8,270.5,2025-07-21,276.0,4717598,268.6
271.95,275.0,2025-07-22,281.8,5475399,271.2
276.05,273.0,2025-07-23,279.9,6744816,272.0
273.75,277.35,2025-07-24,279.5,2660076,273.0
259.0,272.0,2025-07-25,272.2,7614416,255.6
248.3,256.7,2025-07-28,259.0,8486576,247.4
258.4,247.15,2025-07-29,260.45,5737676,245.15
258.35,258.95,2025-07-30,262.25,12381244,253.55
243.35,253.4,2025-07-31,256.4,14186163,241.8
236.96,243.0,2025-08-01,245.52,3520184,235.96
243.98,236.95,2025-08-04,245.39,3195310,234.3
247.14,243.98,2025-08-05,252.0,3194824,241.32
244.83,247.0,2025-08-06,248.61,1622040,242.7
241.27,243.2,2025-08-07,245.3,3325765,236.23
238.85,242.0,2025-08-08,243.05,1903598,235.9
237.72,237.3,2025-08-11,239.0,1701818,234.1
239.26,237.0,2025-08-12,241.19,1512752,236.25
242.2,240.0,2025-08-13,243.7,1905629,239.4
240.19,242.6,2025-08-14,243.01,1829311,238.8
241.33,242.5,2025-08-18,244.47,1881330,239.0
242.26,241.8,2025-08-19,243.49,1765371,238.0
240.57,241.95,2025-08-20,243.68,1842921,239.5
239.81,241.27,2025-08-21,242.88,829439,239.01
237.98,239.21,2025-08-22,240.5,1133353,236.55
236.17,238.48,2025-08-25,239.87,1427112,235.11
231.19,235.0,2025-08-26,237.49,2338135,229.5
230.91,230.7,2025-08-28,232.22,1543223,226.7
229.9,230.2,2025-08-29,232.0,1479650,227.55
232.82,228.1,2025-09-01,234.0,2348312,228.1
237.8,232.73,2025-09-02,241.68,2689463,232.3
247.97,239.03,2025-09-03,250.89,6565933,238.2
243.04,250.0,2025-09-04,250.85,1874814,242.25
244.23,243.0,2025-09-05,245.7,1388790,240.3
245.65,245.0,2025-09-08,250.4,2837568,241.52
244.33,245.5,2025-09-09,246.3,2048896,241.96
244.94,244.5,2025-09-10,249.49,2467258,243.75
248.58,244.93,2025-09-11,256.2,5314233,244.15
280.05,251.0,2025-09-12,282.4,50184477,250.99
280.49,280.05,2025-09-15,286.99,14666961,277.21
289.45,280.99,2025-09-16,294.25,18970326,279.2
284.58,287.97,2025-09-17,291.68,8785316,283.28
280.47,285.7,2025-09-18,286.25,5104886,278.95
282.86,279.0,2025-09-19,284.47,4970912,276.25
296.57,283.24,2025-09-22,305.4,35446549,282.0
307.43,298.1,2025-09-23,312.0,28399927,293.4
308.71,308.05,2025-09-24,313.9,13482206,305.52
328.23,315.75,2025-09-25,331.0,61651367,314.01
311.97,326.99,2025-09-26,326.99,17213905,310.0
319.46,315.45,2025-09-29,326.0,19567807,310.5
329.44,324.24,2025-09-30,336.5,36005290,322.66
335.3,329.0,2025-10-01,339.9,15231694,322.4
338.4,338.0,2025-10-03,343.7,15490540,335.0
337.95,344.5,2025-10-06,347.0,9813035,335.3
332.65,339.0,2025-10-07,348.85,13895093,331.5
342.2,333.4,2025-10-08,343.95,11126344,331.7
364.15,342.7,2025-10-09,365.5,44270098,341.25
344.55,365.0,2025-10-10,365.0,20873761,341.1
340.8,344.0,2025-10-13,348.0,9849453,337.5
330.15,346.5,2025-10-14,353.3,15332635,328.6
341.9,331.8,2025-10-15,343.35,10953927,330.45
342.2,343.3,2025-10-16,347.0,5538226,340.45
341.95,343.0,2025-10-17,347.25,6024481,338.1
345.35,343.75,2025-10-20,349.75,6883519,336.0
346.3,346.0,2025-10-21,350.4,2005789,344.0
330.65,347.0,2025-10-23,347.7,7549897,329.3
343.1,331.2,2025-10-24,345.0,13167009,331.2
348.3,346.7,2025-10-27,352.9,11747860,346.05
342.3,348.45,2025-10-28,350.5,4349254,341.05
351.5,344.0,2025-10-29,355.25,13944878,343.8
348.3,352.0,2025-10-30,352.3,3447619,345.05
340.25,346.9,2025-10-31,349.9,4401680,339.0
341.75,342.0,2025-11-03,346.5,4056269,339.6
332.4,341.0,2025-11-04,343.5,4146708,330.9
322.3,333.95,2025-11-06,334.0,4353679,321.1
332.8,319.5,2025-11-07,335.35,6409393,317.4
337.95,333.0,2025-11-10,342.6,7221580,332.05
359.7,340.0,2025-11-11,365.35,36648857,339.6
339.7,359.9,2025-11-12,359.9,17057756,338.5
337.05,343.0,2025-11-13,347.5,11113848,335.4
335.25,337.9,2025-11-14,338.55,5490018,332.05
338.55,336.4,2025-11-17,340.9,5215839,332.3
330.55,335.1,2025-11-18,335.5,5032784,327.5
327.75,330.55,2025-11-19,332.4,3351769,327.0
327.15,329.9,2025-11-20,333.5,4587205,323.15
314.15,325.0,2025-11-21,327.0,5632980,312.15
313.3,314.15,2025-11-24,319.4,4834709,308.5
