close,open,date,high,volume,low
430.2,424.85,2025-08-13,433.65,2072932,424.5
426.65,431.0,2025-08-14,432.7,1367682,422.5
427.1,430.7,2025-08-18,431.0,1443684,424.0
428.65,433.7,2025-08-19,433.7,3077711,426.45
430.0,428.65,2025-08-20,432.4,1945943,425.45
430.85,433.8,2025-08-21,433.8,1159668,430.0
424.9,431.0,2025-08-22,431.4,826451,424.5
434.7,423.0,2025-08-25,436.8,2994389,422.85
430.15,434.7,2025-08-26,434.7,1117706,429.25
421.7,429.0,2025-08-28,431.0,1139531,420.55
419.25,423.65,2025-08-29,427.0,1268832,418.0
435.9,424.0,2025-09-01,443.0,7587040,424.0
440.9,438.95,2025-09-02,444.2,2817685,438.0
444.6,443.0,2025-09-03,448.7,4756092,441.65
437.55,449.9,2025-09-04,449.9,2265053,435.3
440.1,437.7,2025-09-05,441.8,1953089,433.85
435.6,442.4,2025-09-08,442.65,1752942,434.7
433.45,436.75,2025-09-09,440.0,2291407,431.5
432.85,435.45,2025-09-10,436.7,1863865,430.75
446.25,434.5,2025-09-11,447.0,5122099,433.55
462.95,449.5,2025-09-12,464.35,11582146,447.5
460.15,466.0,2025-09-15,468.95,5717417,459.35
462.25,462.45,2025-09-16,464.0,3378600,458.1
459.45,464.0,2025-09-17,464.7,3397670,453.2
454.85,459.05,2025-09-18,460.1,2208920,451.55
453.05,456.0,2025-09-19,457.8,2190231,452.05
459.25,455.8,2025-09-22,466.65,5390225,455.55
461.5,461.35,2025-09-23,464.25,4028797,452.85
452.9,463.0,2025-09-24,463.9,2695976,452.0
466.75,453.3,2025-09-25,468.5,7193012,453.3
449.1,468.9,2025-09-26,468.9,6524790,445.6
466.15,455.8,2025-09-29,468.5,14939041,453.8
482.45,469.15,2025-09-30,483.9,15167002,468.05
481.35,485.1,2025-10-01,488.55,7265353,475.1
491.5,483.0,2025-10-03,496.6,9118935,478.9
491.5,497.0,2025-10-06,499.7,4193824,489.95
489.9,491.5,2025-10-07,493.25,3536988,485.15
490.5,491.05,2025-10-08,496.15,3971075,487.65
512.25,492.0,2025-10-09,515.0,16377426,488.15
498.3,512.7,2025-10-10,513.45,11928283,488.7
505.55,498.3,2025-10-13,507.4,7796400,494.0
505.65,515.0,2025-10-14,525.8,15420228,499.8
513.2,509.0,2025-10-15,516.1,6882125,506.35
506.7,516.5,2025-10-16,516.75,3256458,506.05
500.25,509.2,2025-10-17,510.55,8202471,495.3
486.4,500.0,2025-10-20,500.0,7340096,481.4
483.85,487.25,2025-10-21,489.35,2018621,482.0
482.15,482.75,2025-10-23,487.9,7890661,477.3
486.7,482.2,2025-10-24,496.35,6837879,482.2
482.3,489.0,2025-10-27,489.6,3767112,481.8
471.2,481.4,2025-10-28,481.4,5637647,468.2
483.6,474.7,2025-10-29,486.25,4830935,473.5
477.6,481.95,2025-10-30,482.5,3047179,474.65
476.5,479.9,2025-10-31,481.25,1821466,475.55
480.65,476.5,2025-11-03,481.3,1981640,475.65
473.35,479.15,2025-11-04,480.15,2221861,470.0
467.2,472.0,2025-11-06,474.0,1874384,466.0
474.5,465.0,2025-11-07,475.6,3011457,460.0
484.6,477.0,2025-11-10,486.75,4039654,476.05
487.5,486.95,2025-11-11,490.0,3280695,482.4
481.9,489.35,2025-11-12,490.4,1977730,481.2
495.2,490.0,2025-11-13,504.0,12867167,486.6
487.05,495.0,2025-11-14,497.4,3057432,482.5
483.9,486.95,2025-11-17,487.95,2199172,481.2
475.95,480.0,2025-11-18,480.95,6175474,468.2
