close,open,date,high,volume,low
292.95,293.45,2025-08-29,297.05,287851.0,292.15
299.15,293.55,2025-09-01,300.05,199943.0,293.0
297.25,299.5,2025-09-02,302.95,252533.0,296.35
301.75,298.55,2025-09-03,304.7,285358.0,297.3
302.1,309.7,2025-09-04,309.7,677226.0,300.0
299.9,303.9,2025-09-05,303.9,329240.0,296.85
299.95,300.0,2025-09-08,302.95,157438.0,297.1
302.0,301.7,2025-09-09,306.65,380332.0,299.3
303.35,302.0,2025-09-10,304.65,213399.0,300.5
300.3,303.35,2025-09-11,304.8,163018.0,299.1
299.6,301.0,2025-09-12,302.0,123770.0,298.75
299.55,300.75,2025-09-15,302.9,266874.0,299.2
306.05,299.6,2025-09-16,307.5,621970.0,299.25
303.5,308.6,2025-09-17,310.0,254379.0,301.2
305.1,304.2,2025-09-18,306.8,238503.0,301.1
301.4,306.45,2025-09-19,308.2,444737.0,300.0
300.45,301.5,2025-09-22,304.35,199667.0,298.65
301.1,300.45,2025-09-23,302.65,197976.0,298.25
300.2,301.45,2025-09-24,302.75,155637.0,298.9
294.85,298.0,2025-09-25,300.0,1009103.0,292.95
284.35,294.85,2025-09-26,294.85,946411.0,280.55
277.05,288.0,2025-09-29,288.0,397711.0,275.55
280.9,277.05,2025-09-30,282.0,126874.0,276.0
286.55,278.1,2025-10-01,287.95,165129.0,278.1
292.05,287.0,2025-10-03,299.0,573631.0,281.35
295.8,286.0,2025-10-06,296.9,209323.0,286.0
295.0,295.8,2025-10-07,296.5,144356.0,291.95
284.1,296.4,2025-10-08,297.2,287399.0,282.1
288.0,284.5,2025-10-09,289.0,101102.0,282.25
291.85,287.1,2025-10-10,295.0,173714.0,286.25
283.6,291.5,2025-10-13,291.5,176460.0,282.6
285.1,283.7,2025-10-14,290.0,340079.0,277.2
284.95,284.0,2025-10-15,285.95,183374.0,281.0
280.35,285.0,2025-10-16,286.6,234595.0,278.8
279.2,281.1,2025-10-17,281.7,160448.0,275.5
277.45,279.2,2025-10-20,279.2,300939.0,272.65
279.4,278.1,2025-10-21,282.0,24396.0,278.1
274.65,279.4,2025-10-23,280.5,259969.0,273.5
276.3,275.0,2025-10-24,280.0,215444.0,270.9
270.75,274.9,2025-10-27,275.3,344588.0,270.05
271.55,271.0,2025-10-28,277.0,589585.0,268.0
280.25,271.55,2025-10-29,282.4,299592.0,271.35
278.3,280.1,2025-10-30,280.1,214703.0,273.4
284.3,278.3,2025-10-31,293.65,1065787.0,276.95
279.15,285.5,2025-11-03,288.6,261631.0,278.1
280.9,281.0,2025-11-04,282.8,217305.0,277.35
276.95,280.0,2025-11-06,282.65,117003.0,276.35
273.95,276.0,2025-11-07,277.5,331159.0,270.3
274.45,272.1,2025-11-10,280.4,728721.0,266.05
274.85,274.95,2025-11-11,278.2,986925.0,271.15
282.05,279.9,2025-11-12,291.0,2445460.0,276.3
289.4,300.0,2025-11-13,308.2,17154104.0,286.35
292.1,286.65,2025-11-14,296.8,1427841.0,283.85
298.85,293.0,2025-11-17,302.3,1613769.0,285.4
288.1,299.0,2025-11-18,299.0,413137.0,286.85
293.75,286.0,2025-11-19,295.2,743359.0,284.1
290.25,293.05,2025-11-20,295.75,294598.0,288.65
286.7,289.65,2025-11-21,293.45,261770.0,285.65
290.35,286.9,2025-11-24,291.5,216852.0,284.3
295.05,289.65,2025-11-25,296.6,484467.0,286.25
293.65,295.05,2025-11-26,296.8,306474.0,289.5
289.6,294.0,2025-11-27,295.8,183454.0,287.85
289.9,289.55,2025-11-28,291.25,185834.0,286.5
286.55,289.6,2025-12-01,291.0,154544.0,284.5
285.75,286.55,2025-12-02,289.75,166983.0,284.35
281.25,285.45,2025-12-03,287.1,235363.0,279.75
278.15,281.0,2025-12-04,281.8,121773.0,277.05
274.95,276.0,2025-12-05,282.0,190556.0,273.35
256.4,273.7,2025-12-08,274.2,2343498.0,250.0
260.6,256.1,2025-12-09,262.35,2381580.0,250.7
257.25,259.7,2025-12-10,265.2,481710.0,255.55
256.3,257.5,2025-12-11,258.1,831385.0,248.4
261.45,260.0,2025-12-12,269.0,5342674.0,253.15
256.85,260.3,2025-12-15,260.7,774079.0,254.5
259.9,256.0,2025-12-16,262.15,897218.0,254.05
257.25,258.0,2025-12-17,260.95,1772371.0,254.65
