close,open,date,high,volume,low
40470.0,40600.0,2025-07-18,40880.0,2083,40210.0
40535.0,40875.0,2025-07-21,40875.0,3232,40040.0
40655.0,40535.0,2025-07-22,40900.0,1317,40280.0
40530.0,40655.0,2025-07-23,40870.0,2097,40210.0
39805.0,40895.0,2025-07-24,40895.0,13128,39600.0
39700.0,40000.0,2025-07-25,40045.0,4177,39135.0
38180.0,39500.0,2025-07-28,39855.0,3576,38100.0
38275.0,38180.0,2025-07-29,38515.0,3551,37565.0
38655.0,38280.0,2025-07-30,38935.0,1901,38280.0
38770.0,38350.0,2025-07-31,38990.0,1899,37995.0
38725.0,38700.0,2025-08-01,39235.0,2734,38505.0
38175.0,37955.0,2025-08-04,38300.0,7333,37010.0
37525.0,38490.0,2025-08-05,38490.0,4687,37410.0
37010.0,37995.0,2025-08-06,37995.0,2558,36700.0
36845.0,37000.0,2025-08-07,37010.0,2266,36365.0
36205.0,36845.0,2025-08-08,36880.0,1554,36025.0
35915.0,36205.0,2025-08-11,36420.0,2460,35725.0
35585.0,36005.0,2025-08-12,36195.0,2866,35300.0
36855.0,35765.0,2025-08-13,36975.0,2215,35575.0
37060.0,36475.0,2025-08-14,37440.0,3028,36475.0
37595.0,37500.0,2025-08-18,37950.0,2185,36660.0
38095.0,38200.0,2025-08-19,38350.0,4473,37430.0
38185.0,38095.0,2025-08-20,38390.0,2274,38005.0
37935.0,38185.0,2025-08-21,38545.0,2147,37725.0
38090.0,38270.0,2025-08-22,38340.0,1842,37800.0
38160.0,37910.0,2025-08-25,38810.0,2938,37905.0
37890.0,38160.0,2025-08-26,38420.0,2293,37740.0
39015.0,37985.0,2025-08-28,39200.0,8770,37705.0
38740.0,39100.0,2025-08-29,39330.0,3358,38520.0
38385.0,38995.0,2025-09-01,39045.0,2120,38100.0
37660.0,38575.0,2025-09-02,38575.0,3654,37555.0
36755.0,37660.0,2025-09-03,37935.0,6864,36655.0
36110.0,37255.0,2025-09-04,37255.0,4099,36000.0
35400.0,36490.0,2025-09-05,36520.0,4262,35300.0
35990.0,35850.0,2025-09-08,36390.0,5805,35330.0
35690.0,36100.0,2025-09-09,36295.0,3270,35550.0
36325.0,36250.0,2025-09-10,36585.0,3541,35985.0
36695.0,36480.0,2025-09-11,37000.0,3602,36445.0
37240.0,36950.0,2025-09-12,37535.0,4736,36825.0
36815.0,37240.0,2025-09-15,37600.0,3053,36630.0
36915.0,36815.0,2025-09-16,37245.0,2612,36695.0
37305.0,37335.0,2025-09-17,37400.0,2191,36980.0
37600.0,37605.0,2025-09-18,37900.0,2247,37360.0
37215.0,37820.0,2025-09-19,37890.0,3872,37000.0
36930.0,37450.0,2025-09-22,37635.0,2584,36860.0
36805.0,37245.0,2025-09-23,37280.0,2275,36530.0
36570.0,36805.0,2025-09-24,37030.0,2390,36500.0
36575.0,36570.0,2025-09-25,37140.0,2154,36450.0
36100.0,36675.0,2025-09-26,36770.0,2573,35900.0
36080.0,36250.0,2025-09-29,36495.0,4677,35595.0
36095.0,36320.0,2025-09-30,36320.0,1386,35865.0
35970.0,36390.0,2025-10-01,36540.0,3786,35900.0
35710.0,36400.0,2025-10-03,36400.0,3931,35520.0
35500.0,35845.0,2025-10-06,36065.0,6116,35405.0
35715.0,35510.0,2025-10-07,36315.0,17695,35505.0
36175.0,35715.0,2025-10-08,37110.0,9576,35710.0
36240.0,36190.0,2025-10-09,36585.0,5513,36025.0
36475.0,36635.0,2025-10-10,36635.0,2169,36055.0
36155.0,36355.0,2025-10-13,36640.0,2520,36035.0
36090.0,36470.0,2025-10-14,36500.0,1798,35890.0
36155.0,36450.0,2025-10-15,36450.0,1833,35920.0
36090.0,36450.0,2025-10-16,36450.0,1851,36000.0
36310.0,36090.0,2025-10-17,36460.0,2139,36040.0
36345.0,36310.0,2025-10-20,36495.0,1661,36175.0
36460.0,36345.0,2025-10-21,36550.0,237,36345.0
36325.0,36465.0,2025-10-23,36525.0,3157,36030.0
36680.0,36325.0,2025-10-24,36750.0,5693,36200.0
37010.0,37110.0,2025-10-27,37255.0,2438,36885.0
36935.0,37200.0,2025-10-28,37200.0,3970,36700.0
37395.0,37095.0,2025-10-29,37530.0,2995,36685.0
36870.0,37315.0,2025-10-30,37500.0,2416,36680.0
36495.0,36870.0,2025-10-31,37235.0,1898,36395.0
36615.0,36670.0,2025-11-03,37050.0,1432,36375.0
36745.0,36995.0,2025-11-04,37690.0,15548,36570.0
36240.0,37225.0,2025-11-06,37225.0,11235,35640.0
36070.0,36400.0,2025-11-07,36405.0,12510,35930.0
36015.0,36495.0,2025-11-10,36495.0,2163,35905.0
35505.0,36020.0,2025-11-11,36100.0,9836,35435.0
35495.0,35510.0,2025-11-12,35875.0,2876,35420.0
35515.0,35500.0,2025-11-13,35895.0,3695,35295.0
35530.0,35515.0,2025-11-14,35630.0,2037,35345.0
35450.0,35485.0,2025-11-17,35595.0,2140,35335.0
34830.0,34505.0,2025-11-18,35480.0,5890,34505.0
34795.0,35170.0,2025-11-19,35170.0,2846,34650.0
34685.0,34950.0,2025-11-20,35150.0,4665,34615.0
34135.0,34500.0,2025-11-21,34695.0,3325,34055.0
36265.0,34305.0,2025-11-24,37750.0,111025,34150.0
34955.0,35800.0,2025-11-25,36040.0,10787,34865.0
35745.0,34955.0,2025-11-26,36000.0,5403,34700.0
35505.0,36000.0,2025-11-27,36000.0,1969,35365.0
35395.0,35550.0,2025-11-28,35585.0,1373,35100.0
35510.0,35305.0,2025-12-01,36595.0,7826,35305.0
35275.0,35510.0,2025-12-02,35705.0,2305,35005.0
34990.0,35275.0,2025-12-03,35320.0,1634,34920.0
34850.0,35000.0,2025-12-04,35430.0,1531,34700.0
34895.0,34995.0,2025-12-05,35050.0,1945,34600.0
34250.0,34705.0,2025-12-08,34955.0,18429,34050.0
34190.0,34250.0,2025-12-09,34525.0,2974,34100.0
34065.0,34205.0,2025-12-10,34570.0,1673,34010.0
33845.0,34065.0,2025-12-11,34325.0,3131,33740.0
33895.0,34000.0,2025-12-12,34145.0,101347,33800.0
34065.0,33795.0,2025-12-15,34340.0,2035,33725.0
34010.0,33895.0,2025-12-16,34260.0,3249,33820.0
33840.0,34010.0,2025-12-17,34010.0,1829,33500.0
33625.0,33840.0,2025-12-18,33875.0,2098,33530.0
33785.0,33730.0,2025-12-19,34000.0,2101,33655.0
33600.0,33785.0,2025-12-22,34000.0,2196,33530.0
33355.0,33700.0,2025-12-23,33865.0,2335,33280.0
33230.0,33350.0,2025-12-24,33510.0,1963,33155.0
33005.0,33230.0,2025-12-26,33375.0,2603,32540.0
32990.0,33000.0,2025-12-29,33170.0,3456,32820.0
32995.0,32845.0,2025-12-30,33045.0,1602,32840.0
32805.0,33100.0,2025-12-31,33100.0,6356,32675.0
33050.0,32990.0,2026-01-01,33150.0,32244,32865.0
33625.0,33230.0,2026-01-02,33700.0,2889,33150.0
34330.0,33645.0,2026-01-05,34995.0,8892,33645.0
34175.0,34160.0,2026-01-06,34465.0,3763,34000.0
34100.0,34195.0,2026-01-07,34265.0,53964,33925.0
33730.0,34275.0,2026-01-08,34300.0,1707,33605.0
33500.0,33500.0,2026-01-09,33800.0,2813,33150.0
33165.0,33370.0,2026-01-12,33445.0,2288,32990.0
33270.0,33600.0,2026-01-13,33600.0,1291,33100.0
33550.0,33300.0,2026-01-14,33645.0,1524,33165.0
33965.0,33665.0,2026-01-16,34300.0,2828,33320.0
33720.0,33965.0,2026-01-19,34120.0,1629,33565.0
33405.0,33625.0,2026-01-20,34300.0,12587,33300.0
33495.0,33480.0,2026-01-21,34140.0,6434,33280.0
32390.0,33600.0,2026-01-22,33865.0,5063,32305.0
31375.0,32645.0,2026-01-23,32655.0,6196,31185.0
30790.0,31405.0,2026-01-27,31605.0,8270,30645.0
31580.0,30590.0,2026-01-28,31690.0,5352,30590.0
32295.0,31710.0,2026-01-29,32755.0,8187,31390.0
33375.0,32390.0,2026-01-30,34280.0,8293,32170.0
33610.0,32950.0,2026-02-02,33920.0,3290,32340.0
33835.0,33630.0,2026-02-03,34645.0,6621,33230.0
33020.0,33535.0,2026-02-04,33600.0,2573,32910.0
32500.0,33200.0,2026-02-05,33205.0,2877,32400.0
31955.0,32670.0,2026-02-06,32975.0,4281,31800.0
32490.0,32250.0,2026-02-09,32715.0,3710,32055.0
32185.0,32490.0,2026-02-10,32775.0,3524,32095.0
32220.0,32285.0,2026-02-11,32465.0,1978,32060.0
31865.0,32220.0,2026-02-12,32225.0,2217,31780.0
31375.0,31750.0,2026-02-13,31905.0,3289,31230.0
31195.0,31500.0,2026-02-16,31595.0,2817,30990.0
31375.0,31300.0,2026-02-17,31720.0,5056,31090.0
31375.0,31435.0,2026-02-18,31595.0,1922,31265.0
31100.0,31450.0,2026-02-19,31490.0,1685,31010.0
30895.0,31100.0,2026-02-20,31170.0,4481,30805.0
31570.0,31000.0,2026-02-23,31700.0,3484,30920.0
31610.0,31500.0,2026-02-24,31935.0,5824,31320.0
31440.0,31700.0,2026-02-25,32125.0,2499,31200.0
