close,open,date,high,volume,low
214.23,211.4,2025-08-19,216.15,3137737.0,210.0
214.39,213.5,2025-08-20,215.45,1880265.0,212.69
212.85,214.8,2025-08-21,215.47,2038006.0,212.15
211.84,213.39,2025-08-22,216.43,3788150.0,211.0
213.11,212.75,2025-08-25,213.82,2278471.0,210.8
207.88,212.75,2025-08-26,212.75,1976568.0,207.2
204.86,207.8,2025-08-28,208.99,2668169.0,204.1
204.49,206.0,2025-08-29,206.5,3592018.0,202.56
211.35,205.0,2025-09-01,211.7,2359741.0,204.45
216.31,211.35,2025-09-02,219.3,4475208.0,210.55
216.44,216.39,2025-09-03,218.54,1676598.0,215.76
214.2,218.0,2025-09-04,218.45,1388424.0,213.6
215.39,215.9,2025-09-05,217.88,1749321.0,213.26
217.07,216.3,2025-09-08,218.3,2327782.0,214.79
215.85,220.0,2025-09-09,220.84,4562982.0,215.0
216.38,217.0,2025-09-10,218.65,2451144.0,215.72
216.47,216.8,2025-09-11,219.19,1992458.0,216.0
216.48,216.59,2025-09-12,218.4,1594741.0,215.31
223.06,217.08,2025-09-15,225.49,8759008.0,216.63
224.17,223.99,2025-09-16,224.84,2701642.0,222.25
224.76,225.6,2025-09-17,227.38,4878113.0,223.14
223.03,225.01,2025-09-18,226.98,2098793.0,222.0
229.04,223.1,2025-09-19,229.33,7607031.0,222.6
239.96,230.0,2025-09-22,240.35,18637185.0,228.1
235.23,240.0,2025-09-23,240.6,4416382.0,235.0
232.54,235.0,2025-09-24,237.7,2982315.0,231.91
228.45,232.3,2025-09-25,235.5,2543528.0,227.8
220.05,227.8,2025-09-26,228.26,2317537.0,219.61
220.37,221.0,2025-09-29,223.38,2199725.0,219.15
223.63,221.04,2025-09-30,224.69,2078810.0,219.8
232.47,225.0,2025-10-01,235.24,17224500.0,225.0
233.79,232.4,2025-10-03,237.45,5360460.0,230.46
230.91,233.8,2025-10-06,234.6,2277509.0,230.09
231.43,231.3,2025-10-07,233.33,3872670.0,228.37
225.68,231.4,2025-10-08,231.98,1978002.0,225.0
229.47,225.6,2025-10-09,230.25,2110994.0,224.1
232.92,229.36,2025-10-10,234.65,4408067.0,228.99
230.41,230.89,2025-10-13,232.4,1674737.0,228.4
224.94,230.44,2025-10-14,231.0,2369411.0,224.26
228.76,224.95,2025-10-15,230.94,2448221.0,223.76
227.99,229.8,2025-10-16,232.8,2252561.0,227.6
224.56,228.0,2025-10-17,228.48,2084301.0,223.38
228.81,225.81,2025-10-20,229.9,2306371.0,225.26
228.2,228.01,2025-10-21,229.79,419395.0,227.57
228.76,229.5,2025-10-23,230.76,4566954.0,226.6
226.85,229.0,2025-10-24,229.92,1769681.0,225.9
227.01,227.99,2025-10-27,229.5,3307939.0,226.51
225.92,227.5,2025-10-28,228.71,2939875.0,224.51
235.68,226.9,2025-10-29,236.7,8765779.0,224.9
239.74,235.66,2025-10-30,240.65,7489689.0,233.4
237.0,240.0,2025-10-31,241.95,6042631.0,236.1
237.33,236.9,2025-11-03,240.91,3311734.0,235.1
233.04,237.4,2025-11-04,238.0,2955700.0,232.18
227.52,233.0,2025-11-06,233.61,2660105.0,226.5
230.69,226.0,2025-11-07,231.5,3027164.0,222.68
233.79,231.0,2025-11-10,236.45,4276399.0,230.2
230.7,235.0,2025-11-11,235.89,10810753.0,222.21
227.17,231.0,2025-11-12,234.66,3675194.0,226.2
225.39,227.2,2025-11-13,229.11,2187588.0,225.01
227.49,225.0,2025-11-14,228.45,2301154.0,224.25
239.14,228.7,2025-11-17,241.25,10098250.0,228.0
243.93,241.0,2025-11-18,246.85,21167476.0,238.44
237.28,243.99,2025-11-19,244.33,4946076.0,236.65
237.1,237.5,2025-11-20,240.8,3717275.0,235.15
230.02,235.5,2025-11-21,236.9,3724237.0,229.59
228.19,231.01,2025-11-24,233.99,2668520.0,227.43
230.76,229.31,2025-11-25,232.14,2672788.0,227.59
239.17,232.0,2025-11-26,239.7,5617672.0,231.51
239.57,240.22,2025-11-27,241.88,3173418.0,238.1
239.28,238.99,2025-11-28,242.3,3543356.0,238.0
238.52,239.86,2025-12-01,240.9,2265729.0,236.83
236.1,238.52,2025-12-02,239.05,1702452.0,235.05
225.39,235.0,2025-12-03,235.49,4436819.0,224.22
222.33,225.46,2025-12-04,226.45,4714312.0,220.55
225.22,222.44,2025-12-05,225.75,3893777.0,219.6
212.79,224.0,2025-12-08,224.9,6122357.0,210.93
213.48,211.3,2025-12-09,215.7,4044264.0,208.38
211.06,213.48,2025-12-10,216.7,2235122.0,210.35
212.53,212.0,2025-12-11,214.2,2603672.0,210.0
213.69,213.8,2025-12-12,214.86,1672572.0,211.78
214.85,213.15,2025-12-15,215.9,1834671.0,211.1
211.02,214.5,2025-12-16,214.85,1655063.0,209.97
207.91,211.0,2025-12-17,212.45,2135640.0,206.66
206.9,207.91,2025-12-18,208.62,2684522.0,204.05
211.27,207.7,2025-12-19,212.25,2439449.0,207.01
214.75,212.5,2025-12-22,215.7,2609267.0,212.0
216.07,215.01,2025-12-23,218.1,3616892.0,214.5
216.23,216.15,2025-12-24,219.85,2843615.0,215.77
221.63,215.77,2025-12-26,222.44,5995250.0,215.5
226.75,222.95,2025-12-29,227.7,10244849.0,222.22
223.99,227.51,2025-12-30,229.39,4062015.0,222.75
228.13,225.1,2025-12-31,229.25,4000119.0,225.0
227.58,229.75,2026-01-01,231.09,2136513.0,226.33
231.42,227.8,2026-01-02,232.19,6854934.0,225.6
226.32,232.0,2026-01-05,232.34,4157442.0,224.5
224.83,226.7,2026-01-06,228.3,2286676.0,223.3
226.82,225.0,2026-01-07,228.41,2076178.0,224.21
217.53,228.4,2026-01-08,229.72,7971205.0,215.59
214.91,218.0,2026-01-09,221.47,3133294.0,214.21
217.52,214.99,2026-01-12,218.4,4724520.0,210.93
215.04,217.55,2026-01-13,219.47,2302407.0,212.7
216.64,215.0,2026-01-14,217.89,1713446.0,214.4
215.27,217.58,2026-01-16,219.13,1562525.0,214.4
213.14,215.0,2026-01-19,215.18,1966337.0,211.99
205.81,213.5,2026-01-20,213.55,3255149.0,204.3
203.14,206.0,2026-01-21,207.6,4198595.0,201.3
207.11,207.0,2026-01-22,209.99,2896592.0,204.1
195.96,207.25,2026-01-23,207.74,7327876.0,193.96
198.13,196.1,2026-01-27,199.95,7025304.0,193.45
204.33,198.99,2026-01-28,204.55,3826196.0,196.76
203.97,205.0,2026-01-29,207.3,3351539.0,201.82
191.65,197.9,2026-01-30,197.9,12256692.0,188.63
187.79,192.0,2026-02-02,192.0,11857108.0,178.0
191.52,197.0,2026-02-03,197.78,5211799.0,188.51
197.14,191.52,2026-02-04,198.6,5746523.0,190.1
194.74,197.0,2026-02-05,198.5,2210358.0,192.81
192.17,193.0,2026-02-06,193.0,4861093.0,187.25
194.87,193.25,2026-02-09,195.55,2197501.0,193.0
193.91,195.2,2026-02-10,196.45,2218744.0,193.0
193.24,194.0,2026-02-11,194.41,2053871.0,190.82
201.93,192.0,2026-02-12,202.94,22244997.0,191.5
195.77,201.5,2026-02-13,201.5,10052817.0,193.78
