close,open,date,high,volume,low
2044.4,2055.4,2025-07-02,2060.7,501742,2028.8
2034.1,2041.3,2025-07-03,2047.8,305016,2030.0
2035.4,2041.2,2025-07-04,2046.5,381077,2029.2
2025.5,2035.4,2025-07-07,2052.0,814849,2015.2
2036.9,2025.9,2025-07-08,2045.1,629955,2018.1
2020.2,2035.0,2025-07-09,2039.0,337764,2009.0
1994.6,2012.0,2025-07-10,2015.0,643222,1980.0
2012.2,1994.6,2025-07-11,2022.9,598413,1990.0
2019.7,2012.2,2025-07-14,2041.5,757451,1990.2
2002.7,2029.7,2025-07-15,2045.8,696914,1989.2
1970.8,2030.0,2025-07-16,2052.0,2606181,1965.3
1948.9,1974.4,2025-07-17,1988.0,629807,1944.0
1912.8,1956.7,2025-07-18,1959.9,713897,1906.6
1952.2,1912.8,2025-07-21,1959.7,424520,1912.8
1962.3,1960.0,2025-07-22,1974.9,503349,1949.4
1936.8,1962.3,2025-07-23,1973.4,468985,1932.0
1906.9,1940.0,2025-07-24,1940.4,434409,1900.0
1921.3,1910.0,2025-07-25,1930.0,532479,1890.0
1904.1,1920.0,2025-07-28,1934.2,265181,1900.0
1915.5,1898.2,2025-07-29,1918.3,258618,1891.9
1920.4,1919.9,2025-07-30,1924.0,279986,1900.2
1927.0,1901.1,2025-07-31,1939.0,506162,1894.6
1867.3,1907.7,2025-08-01,1931.9,503165,1861.1
1895.6,1866.9,2025-08-04,1900.5,567203,1858.0
1900.2,1891.9,2025-08-05,1902.6,266143,1869.6
1884.0,1894.9,2025-08-06,1912.0,617362,1860.1
1903.4,1852.0,2025-08-07,1909.2,448145,1852.0
1894.7,1903.4,2025-08-08,1910.4,426758,1876.4
1901.7,1894.9,2025-08-11,1918.0,187046,1882.0
1902.9,1900.0,2025-08-12,1913.8,233350,1887.0
1912.7,1902.9,2025-08-13,1924.3,335318,1901.0
1898.3,1908.0,2025-08-14,1919.3,232464,1892.5
1946.4,1940.0,2025-08-18,1993.6,741272,1927.6
1952.9,1955.0,2025-08-19,1962.4,455745,1919.2
1968.5,1952.9,2025-08-20,1975.0,181091,1944.1
1967.1,1987.6,2025-08-21,1998.0,699719,1963.0
1910.7,1963.1,2025-08-22,1976.9,383276,1908.0
1919.0,1917.8,2025-08-25,1942.0,364098,1903.0
1872.7,1919.0,2025-08-26,1919.0,635729,1859.7
1860.3,1880.0,2025-08-28,1892.8,870926,1850.5
1839.6,1852.0,2025-08-29,1868.3,441249,1832.1
1840.3,1852.6,2025-09-01,1852.6,567867,1821.3
1822.7,1844.9,2025-09-02,1863.4,573486,1814.4
1822.0,1827.0,2025-09-03,1839.0,769780,1805.6
1871.5,1900.0,2025-09-04,1920.0,1112492,1851.2
1840.4,1875.0,2025-09-05,1880.7,524534,1830.0
1833.0,1849.9,2025-09-08,1853.9,480056,1816.1
1834.9,1845.9,2025-09-09,1854.3,571543,1818.0
1855.2,1838.0,2025-09-10,1861.0,530816,1837.1
1870.9,1855.2,2025-09-11,1881.0,424545,1836.4
1893.6,1870.9,2025-09-12,1907.0,853957,1857.6
1900.2,1893.5,2025-09-15,1907.3,252766,1879.2
1912.5,1900.0,2025-09-16,1915.5,581869,1890.4
1872.1,1912.1,2025-09-17,1912.1,468006,1864.2
1885.6,1873.9,2025-09-18,1887.0,286205,1865.2
1866.0,1885.6,2025-09-19,1891.7,878186,1849.1
1886.3,1852.0,2025-09-22,1891.7,369477,1852.0
1894.7,1885.0,2025-09-23,1902.6,891529,1871.0
1878.4,1870.4,2025-09-24,1899.3,821515,1866.8
1881.8,1882.0,2025-09-25,1886.0,563897,1855.8
1894.0,1889.8,2025-09-26,1906.9,1278304,1874.9
1903.5,1894.0,2025-09-29,1910.0,560303,1871.9
1889.8,1903.1,2025-09-30,1912.1,856568,1885.5
1903.6,1874.0,2025-10-01,1909.7,942398,1865.5
1911.6,1912.8,2025-10-03,1922.0,595592,1892.2
1925.8,1925.9,2025-10-06,1931.4,619624,1904.0
1906.0,1924.7,2025-10-07,1940.0,431565,1900.9
1878.1,1915.0,2025-10-08,1918.4,438884,1874.6
1882.7,1880.2,2025-10-09,1894.8,636816,1854.0
1862.8,1891.8,2025-10-10,1901.5,312123,1855.5
1833.4,1856.0,2025-10-13,1857.2,394441,1827.6
1854.8,1838.0,2025-10-14,1865.0,569296,1831.4
2020.3,1895.1,2025-10-15,2040.0,7140189,1895.1
