close,open,date,high,volume,low
609.5,604.85,2025-09-22,615.3,786924.0,603.05
600.85,609.5,2025-09-23,610.3,420953.0,599.4
596.65,600.85,2025-09-24,602.6,775181.0,594.15
595.0,596.65,2025-09-25,598.95,902584.0,592.8
585.5,593.8,2025-09-26,595.7,792307.0,582.1
589.15,586.05,2025-09-29,599.8,9274876.0,584.4
595.2,592.0,2025-09-30,603.45,1348136.0,589.7
596.6,596.9,2025-10-01,597.25,445018.0,587.6
601.1,596.5,2025-10-03,602.4,1380291.0,594.95
600.45,598.95,2025-10-06,603.2,842678.0,597.3
603.5,601.1,2025-10-07,609.75,841825.0,601.1
592.9,601.5,2025-10-08,605.85,972845.0,591.3
593.4,592.1,2025-10-09,596.55,461949.0,589.5
597.7,595.1,2025-10-10,604.35,844847.0,595.1
593.6,597.0,2025-10-13,601.0,383497.0,592.75
598.05,595.85,2025-10-14,610.95,2049147.0,591.25
588.0,590.0,2025-10-15,598.4,9413761.0,578.65
587.0,588.0,2025-10-16,589.6,1880912.0,582.45
595.75,588.05,2025-10-17,598.45,1404254.0,583.0
596.75,598.0,2025-10-20,600.95,1409667.0,588.45
595.3,592.95,2025-10-21,597.85,68916.0,592.1
607.15,599.55,2025-10-23,610.95,1468888.0,594.25
601.95,607.15,2025-10-24,608.5,392751.0,598.75
600.75,601.95,2025-10-27,604.95,2210274.0,598.0
600.5,601.4,2025-10-28,604.0,840483.0,598.35
601.0,604.0,2025-10-29,608.65,3541088.0,600.15
600.4,601.0,2025-10-30,604.5,740839.0,594.25
591.15,603.5,2025-10-31,604.2,931369.0,589.15
599.25,592.95,2025-11-03,601.05,1409594.0,590.0
607.55,599.0,2025-11-04,608.95,695525.0,598.05
603.75,609.8,2025-11-06,609.8,563718.0,601.45
615.35,603.0,2025-11-07,616.95,815618.0,599.85
614.8,619.8,2025-11-10,620.75,872520.0,612.0
624.7,612.2,2025-11-11,626.65,854265.0,609.1
632.95,627.75,2025-11-12,635.3,2488995.0,626.1
630.1,631.1,2025-11-13,633.95,592016.0,625.9
629.45,630.1,2025-11-14,633.85,652101.0,625.05
630.6,628.0,2025-11-17,632.9,363830.0,626.15
626.8,632.1,2025-11-18,632.1,587932.0,620.7
613.95,626.1,2025-11-19,626.1,1774466.0,609.0
618.4,615.0,2025-11-20,620.95,969004.0,609.05
610.9,621.0,2025-11-21,621.0,387131.0,609.6
607.35,610.9,2025-11-24,614.65,2202503.0,604.0
612.25,602.75,2025-11-25,616.0,905724.0,602.75
621.9,615.0,2025-11-26,623.0,284416.0,613.3
625.25,624.9,2025-11-27,627.95,441657.0,621.0
619.75,625.95,2025-11-28,626.8,1442638.0,614.5
621.55,619.75,2025-12-01,623.3,407679.0,616.0
616.55,620.0,2025-12-02,623.0,2230559.0,613.4
611.25,614.0,2025-12-03,615.75,985834.0,607.25
615.35,608.45,2025-12-04,617.0,367145.0,606.4
626.05,615.0,2025-12-05,627.2,386465.0,612.95
616.25,629.05,2025-12-08,634.8,1711904.0,613.35
623.6,616.25,2025-12-09,631.25,1276946.0,614.9
642.85,620.0,2025-12-10,646.0,2073986.0,619.0
635.85,644.5,2025-12-11,647.55,661780.0,633.8
647.55,635.85,2025-12-12,649.0,845174.0,633.3
648.5,650.0,2025-12-15,651.25,2602182.0,639.35
637.95,651.35,2025-12-16,652.8,2339227.0,634.25
630.5,638.0,2025-12-17,639.6,361180.0,627.0
645.65,632.05,2025-12-18,647.45,2632156.0,625.95
650.4,649.9,2025-12-19,653.0,820206.0,647.65
650.5,650.0,2025-12-22,652.1,543562.0,645.05
650.9,650.0,2025-12-23,656.2,850478.0,646.0
652.05,650.0,2025-12-24,654.0,672563.0,648.75
649.95,652.0,2025-12-26,654.6,253980.0,645.95
651.2,648.05,2025-12-29,653.95,462974.0,647.75
654.85,651.0,2025-12-30,658.0,1904206.0,648.35
668.25,659.0,2025-12-31,669.5,1551003.0,654.8
674.3,669.3,2026-01-01,676.4,393336.0,666.0
678.3,674.3,2026-01-02,681.5,351756.0,671.35
683.85,680.0,2026-01-05,688.4,579420.0,678.3
688.45,685.05,2026-01-06,697.5,920286.0,685.05
684.6,688.45,2026-01-07,695.5,1565458.0,682.4
681.35,684.6,2026-01-08,686.8,1909675.0,671.05
