close,open,date,high,volume,low
69.9,68.84,2025-08-18,70.4,24069098,68.83
71.29,69.76,2025-08-19,71.6,19496992,69.65
71.25,70.91,2025-08-20,71.7,8584487,70.91
70.08,71.21,2025-08-21,71.25,10786733,69.9
69.68,69.6,2025-08-22,70.45,15433275,69.47
70.28,69.6,2025-08-25,70.45,14729478,69.53
68.76,69.97,2025-08-26,70.23,16470005,68.55
68.05,68.76,2025-08-28,69.27,28319230,67.9
67.99,68.0,2025-08-29,69.3,20587732,67.8
68.94,68.0,2025-09-01,69.09,14918938,67.57
69.49,68.94,2025-09-02,70.3,15182005,68.76
70.59,69.44,2025-09-03,70.72,20534660,69.38
72.23,71.08,2025-09-04,72.36,39607790,70.37
72.6,72.54,2025-09-05,73.24,22699792,72.1
72.27,72.6,2025-09-08,73.15,14592689,72.07
73.53,72.4,2025-09-09,73.65,33394868,72.2
72.69,73.53,2025-09-10,73.99,15940386,72.56
72.44,72.69,2025-09-11,73.04,7368243,72.3
72.04,72.8,2025-09-12,72.81,8897944,71.95
71.62,72.0,2025-09-15,72.43,9123219,71.47
71.55,71.59,2025-09-16,71.8,12164809,70.95
71.84,71.75,2025-09-17,72.11,9443177,71.5
71.95,72.17,2025-09-18,72.56,15331745,71.65
71.75,72.0,2025-09-19,72.52,12449129,71.62
70.92,71.7,2025-09-22,72.13,16594479,70.8
70.51,70.92,2025-09-23,71.49,20655395,70.45
70.04,70.6,2025-09-24,71.31,17448652,69.89
69.93,69.7,2025-09-25,70.35,15686056,69.65
68.59,69.65,2025-09-26,69.84,14698569,68.42
69.5,68.89,2025-09-29,70.15,19074934,68.66
69.77,69.89,2025-09-30,70.25,16303775,69.3
69.02,69.94,2025-10-01,70.56,18087902,68.37
69.04,68.99,2025-10-03,69.77,11411405,68.77
71.09,69.06,2025-10-06,71.48,24736298,69.06
71.99,71.44,2025-10-07,72.15,21582240,71.06
71.99,71.98,2025-10-08,72.65,20547425,71.23
73.45,72.0,2025-10-09,73.73,24141745,72.0
74.43,73.4,2025-10-10,74.57,33334050,73.16
73.71,74.35,2025-10-13,74.65,19126198,73.5
72.8,73.73,2025-10-14,74.32,29228270,72.58
72.97,72.85,2025-10-15,74.0,20015593,72.83
71.79,73.26,2025-10-16,73.44,27633985,71.71
71.88,71.81,2025-10-17,72.8,23591016,71.71
76.93,72.75,2025-10-20,77.1,103343278,72.61
76.77,77.25,2025-10-21,77.35,10454110,76.5
78.96,76.8,2025-10-23,80.1,94119990,76.3
78.2,78.96,2025-10-24,79.49,23937221,77.95
78.03,78.2,2025-10-27,79.0,20561033,77.67
79.2,78.17,2025-10-28,80.13,40381121,78.0
79.35,79.2,2025-10-29,79.5,22727574,78.12
78.93,79.3,2025-10-30,79.92,25915170,78.34
81.77,78.73,2025-10-31,82.65,95666531,78.67
81.99,82.0,2025-11-03,82.7,30069092,81.48
81.13,82.0,2025-11-04,82.0,35458709,80.21
80.37,80.74,2025-11-06,81.42,34775868,79.69
81.47,80.0,2025-11-07,81.75,37744566,78.72
