close,open,date,high,volume,low
203.17,205.99,2025-07-30,206.55,2653338,202.01
205.05,199.98,2025-07-31,208.79,7964273,199.2
201.54,205.04,2025-08-01,211.41,2962044,200.75
206.19,202.11,2025-08-04,207.0,2812084,200.69
206.87,207.0,2025-08-05,207.6,1789793,204.13
204.07,206.0,2025-08-06,207.1,1322613,203.23
205.46,202.5,2025-08-07,206.24,2428635,200.73
202.17,204.9,2025-08-08,206.26,995233,201.8
202.63,202.17,2025-08-11,203.59,1404201,200.28
206.03,203.7,2025-08-12,208.83,2808234,202.63
206.31,206.0,2025-08-13,209.2,1747587,204.6
204.09,206.31,2025-08-14,207.33,858541,203.35
205.0,205.14,2025-08-18,206.5,1772831,202.4
204.54,205.0,2025-08-19,205.7,882419,203.1
205.23,204.55,2025-08-20,206.56,3471005,203.4
206.72,205.2,2025-08-21,208.1,2432531,205.0
207.21,206.09,2025-08-22,208.6,1464162,205.3
210.86,207.0,2025-08-25,212.82,3712727,206.64
207.58,211.0,2025-08-26,211.95,1623306,207.0
206.68,207.0,2025-08-28,208.46,2210268,205.84
206.74,206.6,2025-08-29,208.4,2478859,204.65
210.93,207.5,2025-09-01,211.21,1127626,206.07
216.87,213.25,2025-09-02,218.25,4119853,211.91
219.12,216.87,2025-09-03,220.27,1760111,216.8
217.2,219.12,2025-09-04,222.0,1067212,216.43
213.03,218.99,2025-09-05,218.99,1470158,211.38
213.33,213.59,2025-09-08,215.7,1317565,211.84
209.28,213.33,2025-09-09,213.91,1643656,208.76
211.33,210.0,2025-09-10,212.0,1380686,209.4
214.41,211.54,2025-09-11,216.37,4294558,211.54
214.79,216.0,2025-09-12,217.48,2150030,213.97
214.81,214.5,2025-09-15,215.4,1112122,212.91
215.71,215.0,2025-09-16,216.99,854409,214.76
215.06,216.5,2025-09-17,217.4,1119586,214.04
215.58,216.5,2025-09-18,217.0,598345,214.25
215.13,215.5,2025-09-19,216.7,3985981,214.43
211.56,215.13,2025-09-22,216.0,1027715,210.6
208.69,211.5,2025-09-23,212.85,799958,208.13
207.57,208.13,2025-09-24,209.18,1520999,206.14
204.95,207.57,2025-09-25,208.49,1025400,204.39
202.26,205.0,2025-09-26,205.1,1938840,200.8
206.73,203.0,2025-09-29,208.39,1537132,202.55
208.54,206.73,2025-09-30,210.0,2248009,205.1
209.02,208.0,2025-10-01,211.67,1830451,207.43
209.03,208.0,2025-10-03,209.87,2317920,205.0
208.06,209.7,2025-10-06,210.61,1564755,206.5
220.12,208.09,2025-10-07,222.2,24751654,208.09
