close,open,date,high,volume,low
508.55,503.1,2025-07-09,510.0,2748611,499.4
520.9,507.0,2025-07-10,522.5,4601660,505.25
519.75,516.15,2025-07-11,521.8,1676451,514.5
523.55,519.75,2025-07-14,525.4,1986292,518.0
525.0,525.0,2025-07-15,531.0,1064910,521.95
526.75,525.0,2025-07-16,529.95,770404,523.55
527.0,529.2,2025-07-17,531.0,1172703,523.1
532.95,527.0,2025-07-18,537.1,1878734,526.0
536.45,533.0,2025-07-21,538.15,897587,531.1
529.8,534.05,2025-07-22,536.4,1277909,527.15
533.85,530.0,2025-07-23,536.5,801217,523.1
529.15,534.0,2025-07-24,537.85,819155,527.9
516.85,528.0,2025-07-25,528.1,2126397,511.35
496.25,506.3,2025-07-28,521.5,2245993,492.8
514.9,497.0,2025-07-29,520.0,1698933,495.0
503.85,514.9,2025-07-30,521.5,934305,501.9
477.95,490.0,2025-07-31,496.75,3135193,470.1
427.2,472.6,2025-08-01,472.6,7363414,418.1
449.6,423.0,2025-08-04,451.15,3552231,419.75
437.35,447.0,2025-08-05,448.3,2059791,434.1
452.25,438.4,2025-08-06,456.5,3539104,436.25
454.45,452.0,2025-08-07,455.4,1488749,441.1
448.9,451.9,2025-08-08,454.35,982938,445.75
450.1,445.0,2025-08-11,453.0,1073847,444.0
449.4,454.0,2025-08-12,462.25,913298,446.85
445.75,452.0,2025-08-13,452.05,561081,443.5
441.7,445.75,2025-08-14,454.8,901508,440.55
449.0,445.05,2025-08-18,451.35,938340,443.1
471.9,448.95,2025-08-19,473.25,2263754,446.55
471.5,473.85,2025-08-20,475.5,982479,468.05
459.75,471.5,2025-08-21,472.75,655133,458.4
451.1,459.2,2025-08-22,463.1,662832,449.85
458.5,455.75,2025-08-25,465.0,979736,453.0
450.35,458.05,2025-08-26,458.05,1309754,446.1
436.2,446.0,2025-08-28,449.95,650392,431.55
427.6,436.0,2025-08-29,440.45,1027543,425.9
439.0,431.85,2025-09-01,440.65,487491,431.4
438.2,442.0,2025-09-02,447.5,677438,437.05
437.0,442.75,2025-09-03,444.45,1476024,434.15
432.25,440.0,2025-09-04,443.95,476234,431.5
435.0,433.5,2025-09-05,438.3,300203,430.5
447.4,436.0,2025-09-08,453.5,1044570,432.65
440.45,449.6,2025-09-09,450.45,339505,439.0
447.5,441.0,2025-09-10,450.2,557687,439.0
438.65,447.4,2025-09-11,449.15,799411,437.55
434.55,439.95,2025-09-12,442.2,424533,433.85
439.55,434.95,2025-09-15,443.0,675673,434.0
446.7,441.55,2025-09-16,455.1,994300,440.3
443.3,447.0,2025-09-17,448.65,646686,441.6
449.5,444.9,2025-09-18,456.15,1467832,444.9
454.05,451.5,2025-09-19,458.5,1218013,450.0
450.1,455.0,2025-09-22,458.7,1356319,448.8
451.0,452.0,2025-09-23,454.1,929925,442.0
441.75,450.0,2025-09-24,452.55,528922,440.1
436.2,441.0,2025-09-25,445.0,731726,434.75
419.35,432.0,2025-09-26,433.9,1781857,417.95
438.8,420.0,2025-09-29,440.4,1458037,419.6
451.9,438.8,2025-09-30,455.5,2039861,438.0
452.2,450.75,2025-10-01,454.3,1059014,442.15
457.2,450.2,2025-10-03,468.6,2139174,450.1
469.5,459.0,2025-10-06,472.4,1323283,455.05
475.5,472.0,2025-10-07,486.55,2894727,470.75
489.45,475.55,2025-10-08,492.5,2728202,470.5
495.15,497.0,2025-10-09,503.35,3729652,489.9
490.0,495.1,2025-10-10,496.95,986505,486.95
491.25,488.3,2025-10-13,493.95,897777,484.0
485.25,496.0,2025-10-14,497.95,950373,482.35
506.25,488.95,2025-10-15,508.5,2376538,485.25
499.9,508.2,2025-10-16,509.8,1142761,498.0
498.55,503.0,2025-10-17,505.85,1162766,491.65
499.7,499.95,2025-10-20,502.9,751053,489.85
499.65,501.75,2025-10-21,504.0,187200,494.5
491.4,502.9,2025-10-23,502.9,801557,489.05
489.8,493.0,2025-10-24,495.4,492929,487.9
505.35,492.15,2025-10-27,506.75,1658725,491.0
513.8,506.0,2025-10-28,520.0,2383613,505.85
523.0,513.0,2025-10-29,524.85,1453962,499.0
541.65,521.0,2025-10-30,549.3,6046891,521.0
534.6,540.0,2025-10-31,551.95,6221248,525.6
540.45,540.05,2025-11-03,559.75,3579789,537.1
539.25,543.0,2025-11-04,546.0,1236065,536.25
520.75,539.25,2025-11-06,539.4,1351016,518.25
526.3,520.0,2025-11-07,535.05,1484837,516.25
541.9,529.0,2025-11-10,544.0,1627548,524.5
540.75,544.0,2025-11-11,548.7,1213563,538.05
540.35,543.9,2025-11-12,544.8,566485,534.2
537.65,541.0,2025-11-13,543.8,396119,536.4
547.3,540.0,2025-11-14,558.0,3473801,539.95
561.6,551.0,2025-11-17,562.65,2078258,545.3
565.15,561.9,2025-11-18,567.0,2048417,550.8
557.55,565.9,2025-11-19,565.9,864945,556.4
544.75,557.1,2025-11-20,559.1,1182228,542.2
540.0,546.0,2025-11-21,548.5,875800,538.2
536.8,541.0,2025-11-24,551.1,1049730,532.35
557.4,538.0,2025-11-25,559.2,2234817,538.0
570.75,560.0,2025-11-26,577.5,3045743,557.05
568.8,572.5,2025-11-27,576.3,871320,565.3
578.7,570.8,2025-11-28,581.1,1817250,568.15
587.45,581.05,2025-12-01,592.8,2050694,579.0
580.75,587.0,2025-12-02,587.45,697398,578.05
574.4,580.75,2025-12-03,582.25,1191236,567.45
566.35,571.9,2025-12-04,579.5,438498,565.05
569.35,561.0,2025-12-05,571.55,746311,558.55
554.65,571.95,2025-12-08,571.95,664864,549.9
567.25,552.05,2025-12-09,569.15,962048,546.35
563.15,566.0,2025-12-10,577.0,1174675,560.35
568.2,564.8,2025-12-11,577.55,992062,561.8
581.0,570.0,2025-12-12,582.25,831174,566.45
575.2,581.0,2025-12-15,581.0,639544,570.65
566.7,573.6,2025-12-16,575.25,496565,562.65
563.1,569.25,2025-12-17,574.1,368303,561.0
560.5,566.7,2025-12-18,570.0,776247,554.95
564.6,565.35,2025-12-19,569.4,619576,558.6
569.35,566.55,2025-12-22,582.0,917665,562.15
572.75,573.45,2025-12-23,578.45,667423,567.5
602.15,574.0,2025-12-24,605.8,5216175,570.85
599.25,605.8,2025-12-26,607.55,1606505,595.0
593.95,595.5,2025-12-29,603.8,898715,591.6
603.15,591.2,2025-12-30,605.9,2238714,590.0
