close,open,date,high,volume,low
547.35,543.85,2025-09-01,549.95,262497.0,536.0
546.0,551.0,2025-09-02,556.55,310322.0,543.6
553.0,546.4,2025-09-03,555.65,203797.0,546.4
543.7,559.8,2025-09-04,560.0,416300.0,540.05
561.4,547.4,2025-09-05,563.8,279429.0,545.0
553.5,561.9,2025-09-08,562.15,229676.0,550.5
550.3,556.4,2025-09-09,559.55,145379.0,548.3
557.6,551.45,2025-09-10,568.2,429855.0,551.45
568.8,557.6,2025-09-11,571.0,331638.0,557.55
575.05,570.0,2025-09-12,576.3,334519.0,563.6
573.1,576.45,2025-09-15,581.25,332910.0,563.95
572.9,575.7,2025-09-16,580.0,425612.0,570.35
585.8,576.4,2025-09-17,596.8,1203035.0,575.05
585.95,589.95,2025-09-18,591.8,299546.0,584.0
586.55,589.5,2025-09-19,593.0,305110.0,584.55
577.6,584.0,2025-09-22,588.7,219208.0,575.7
574.8,575.6,2025-09-23,579.9,184918.0,571.3
572.35,571.0,2025-09-24,574.8,237175.0,568.0
571.9,570.0,2025-09-25,573.8,175757.0,567.0
575.4,567.95,2025-09-26,579.0,388972.0,558.95
573.0,575.4,2025-09-29,579.45,805826.0,558.8
561.0,573.0,2025-09-30,573.0,140123.0,559.0
565.85,562.7,2025-10-01,567.6,120309.0,559.35
579.75,565.95,2025-10-03,587.3,456133.0,562.25
571.9,585.75,2025-10-06,585.75,519181.0,569.0
551.8,570.9,2025-10-07,572.3,748953.0,550.0
550.35,555.0,2025-10-08,555.0,251518.0,540.6
553.5,554.9,2025-10-09,557.0,184493.0,547.0
556.65,551.1,2025-10-10,557.9,106170.0,549.5
548.35,554.1,2025-10-13,557.9,135508.0,545.05
532.65,549.9,2025-10-14,549.9,234576.0,531.0
544.55,537.0,2025-10-15,545.0,604179.0,531.0
539.85,546.0,2025-10-16,546.05,117976.0,536.85
542.65,543.9,2025-10-17,546.6,234931.0,537.9
556.8,542.95,2025-10-20,562.7,2918429.0,533.2
554.7,559.65,2025-10-21,559.65,39669.0,552.5
546.35,554.7,2025-10-23,555.55,214380.0,544.0
540.15,542.0,2025-10-24,545.0,169697.0,539.0
543.35,542.8,2025-10-27,545.0,283961.0,538.1
547.7,541.95,2025-10-28,552.4,136619.0,540.7
545.5,550.85,2025-10-29,550.85,169349.0,543.45
552.05,546.0,2025-10-30,557.5,398388.0,545.05
539.4,555.85,2025-10-31,556.4,446074.0,534.0
536.3,544.75,2025-11-03,544.75,231121.0,532.05
539.05,534.05,2025-11-04,543.7,153790.0,534.05
530.15,539.0,2025-11-06,539.05,225117.0,526.15
523.1,527.0,2025-11-07,528.65,511121.0,507.7
518.3,527.95,2025-11-10,527.95,372592.0,514.0
511.25,519.35,2025-11-11,519.35,318154.0,507.15
508.8,512.05,2025-11-12,519.65,272747.0,505.35
514.0,508.8,2025-11-13,518.5,183870.0,508.0
509.85,512.0,2025-11-14,516.0,129522.0,508.0
508.15,511.55,2025-11-17,515.6,177609.0,506.6
506.05,508.55,2025-11-18,510.7,254958.0,502.8
514.7,507.0,2025-11-19,516.0,251658.0,503.7
515.1,515.0,2025-11-20,516.95,160137.0,512.9
510.05,513.1,2025-11-21,513.6,207771.0,506.5
514.3,507.8,2025-11-24,517.85,266428.0,504.85
515.25,514.3,2025-11-25,518.15,418957.0,508.2
523.4,516.0,2025-11-26,525.5,170088.0,513.8
523.45,527.8,2025-11-27,528.0,159031.0,518.35
531.3,523.45,2025-11-28,533.0,256869.0,519.1
526.85,532.65,2025-12-01,534.55,152354.0,525.0
530.65,529.45,2025-12-02,535.0,239613.0,523.5
530.85,530.95,2025-12-03,534.8,267488.0,517.95
535.05,527.0,2025-12-04,536.8,166476.0,524.4
533.6,535.05,2025-12-05,536.3,181454.0,526.15
525.6,533.6,2025-12-08,537.6,319717.0,520.0
528.75,525.0,2025-12-09,533.5,241500.0,519.5
530.5,530.85,2025-12-10,534.35,150834.0,526.25
531.75,530.5,2025-12-11,533.5,138557.0,525.75
526.4,535.0,2025-12-12,537.0,207311.0,525.0
527.85,526.4,2025-12-15,530.0,148312.0,523.3
524.95,529.95,2025-12-16,529.95,163921.0,523.5
530.8,524.0,2025-12-17,532.4,144290.0,523.0
535.6,530.8,2025-12-18,539.6,251494.0,524.0
531.65,530.2,2025-12-19,534.95,122556.0,528.0
538.1,530.0,2025-12-22,544.0,251206.0,526.55
532.15,543.9,2025-12-23,543.9,226906.0,530.0
523.35,532.15,2025-12-24,533.9,180150.0,521.95
520.45,525.9,2025-12-26,525.9,193549.0,513.85
522.2,520.0,2025-12-29,524.3,350428.0,518.25
520.7,521.85,2025-12-30,525.05,272227.0,516.35
520.45,518.2,2025-12-31,523.25,178432.0,518.15
520.05,520.25,2026-01-01,522.8,62287.0,519.2
522.55,520.05,2026-01-02,526.5,145515.0,519.8
520.75,525.8,2026-01-05,525.8,179913.0,519.7
522.6,520.0,2026-01-06,525.0,192890.0,519.95
520.1,524.85,2026-01-07,526.6,148513.0,519.05
520.2,522.8,2026-01-08,522.8,184365.0,518.0
509.9,515.0,2026-01-09,519.95,208400.0,505.8
511.1,509.0,2026-01-12,514.5,223976.0,502.2
510.9,515.8,2026-01-13,515.8,85684.0,509.1
506.6,506.0,2026-01-14,513.55,220271.0,505.0
496.55,506.6,2026-01-16,507.95,151274.0,492.65
477.9,496.9,2026-01-19,496.9,228693.0,476.25
479.95,481.25,2026-01-20,483.95,233561.0,471.0
480.8,475.0,2026-01-21,490.6,235064.0,475.0
475.2,480.95,2026-01-22,483.9,172698.0,473.1
474.3,476.0,2026-01-23,477.9,165610.0,473.0
464.85,474.25,2026-01-27,474.45,407959.0,455.6
475.6,464.85,2026-01-28,481.75,311223.0,458.2
469.35,477.85,2026-01-29,477.85,285069.0,467.25
482.4,464.0,2026-01-30,497.0,617025.0,464.0
490.75,480.45,2026-02-02,496.0,222869.0,477.5
499.95,510.0,2026-02-03,510.75,544476.0,489.55
479.25,499.95,2026-02-04,500.0,286763.0,476.75
480.7,480.45,2026-02-05,484.0,244546.0,475.95
489.25,480.7,2026-02-06,493.0,185816.0,477.45
491.25,491.95,2026-02-09,494.7,413020.0,488.0
486.1,494.4,2026-02-10,497.35,392540.0,484.05
473.1,486.45,2026-02-11,487.15,143374.0,471.65
470.75,473.25,2026-02-12,473.25,110255.0,468.3
474.7,468.0,2026-02-13,486.6,1350088.0,460.5
477.15,483.0,2026-02-16,486.55,771628.0,471.3
497.0,483.0,2026-02-17,504.7,1293087.0,477.15
496.65,494.0,2026-02-18,508.25,568636.0,490.5
490.3,497.95,2026-02-19,501.0,250352.0,490.0
485.05,489.95,2026-02-20,497.1,122038.0,484.1
483.2,484.25,2026-02-23,490.9,134445.0,481.0
479.8,483.2,2026-02-24,484.0,558908.0,470.15
493.25,483.9,2026-02-25,502.0,503164.0,481.0
500.3,495.05,2026-02-26,505.0,659720.0,491.95
496.3,504.0,2026-02-27,511.75,268714.0,492.45
479.95,480.0,2026-03-02,488.0,248545.0,476.5
471.6,470.6,2026-03-04,481.65,424205.0,460.8
462.4,471.05,2026-03-05,475.0,600229.0,456.05
459.2,463.95,2026-03-06,465.95,313937.0,456.25
452.15,454.5,2026-03-09,457.4,365512.0,445.25
452.7,458.95,2026-03-10,463.35,308003.0,451.25
449.6,457.85,2026-03-11,464.15,332907.0,448.0
443.45,445.0,2026-03-12,450.55,274316.0,439.4
429.25,443.1,2026-03-13,443.5,827581.0,427.25
435.3,430.0,2026-03-16,443.7,461131.0,423.0
431.75,436.15,2026-03-17,437.6,530161.0,429.6
452.8,434.9,2026-03-18,457.9,429085.0,433.5
445.65,446.0,2026-03-19,453.55,266818.0,441.4
440.65,451.7,2026-03-20,453.5,196970.0,439.8
423.5,432.5,2026-03-23,437.2,422085.0,414.0
444.1,427.8,2026-03-24,450.0,558616.0,423.65
460.25,444.1,2026-03-25,465.0,390998.0,444.1
452.1,459.8,2026-03-27,461.0,442351.0,448.95
434.6,452.0,2026-03-30,453.2,1196127.0,432.8
464.55,456.4,2026-04-01,466.35,223596.0,442.35
472.6,462.15,2026-04-02,475.95,186598.0,448.15
470.25,475.0,2026-04-06,475.0,763852.0,450.5
464.65,463.9,2026-04-07,472.05,658815.0,461.0
483.15,484.95,2026-04-08,485.4,227182.0,471.6
490.25,482.9,2026-04-09,493.05,251548.0,469.0
490.25,495.0,2026-04-10,495.0,62063.0,485.9
483.6,478.1,2026-04-13,489.65,153945.0,470.8
496.65,487.0,2026-04-15,498.0,200831.0,483.9
489.15,501.6,2026-04-16,504.95,132749.0,485.7
487.4,492.5,2026-04-17,494.0,75422.0,485.4
482.5,491.9,2026-04-20,494.0,66634.0,481.0
487.25,486.0,2026-04-21,489.9,61037.0,480.05
498.7,488.0,2026-04-22,500.4,206759.0,482.1
492.95,490.05,2026-04-23,506.4,496534.0,488.1
491.75,497.9,2026-04-24,497.95,304897.0,481.5
497.3,488.0,2026-04-27,502.15,156179.0,487.05
498.9,498.0,2026-04-28,503.3,228539.0,491.85
495.45,503.05,2026-04-29,508.45,279590.0,491.45
499.75,481.1,2026-04-30,508.15,564840.0,481.1
533.35,505.0,2026-05-04,538.9,1141444.0,505.0
544.5,534.0,2026-05-05,554.0,860948.0,528.2
533.0,548.0,2026-05-06,548.2,182794.0,529.05
531.4,534.6,2026-05-07,541.55,214250.0,529.0
530.0,531.4,2026-05-08,535.0,155892.0,528.1
543.0,530.0,2026-05-11,545.0,296921.0,518.45
528.8,543.0,2026-05-12,546.15,270599.0,525.5
521.65,528.05,2026-05-13,534.0,102505.0,519.0
515.8,525.1,2026-05-14,526.35,168030.0,506.85
516.1,517.65,2026-05-15,521.95,181242.0,509.85
510.0,516.1,2026-05-18,516.1,193098.0,499.9
511.4,512.3,2026-05-19,520.0,68356.0,508.0
513.6,504.2,2026-05-20,519.8,241269.0,504.2
509.25,510.15,2026-05-21,517.85,72486.0,507.15
508.55,509.25,2026-05-22,514.25,72290.0,507.05
516.6,509.05,2026-05-25,525.65,177864.0,509.05
517.55,521.75,2026-05-26,525.0,112433.0,514.15
518.9,524.2,2026-05-27,532.0,172270.0,514.35
521.55,523.45,2026-05-29,535.0,582028.0,508.1
509.75,525.5,2026-06-01,530.0,137378.0,508.55
518.45,510.0,2026-06-02,520.55,223623.0,510.0
519.95,518.05,2026-06-03,521.3,202647.0,504.9
518.05,519.95,2026-06-04,521.5,75937.0,515.0
523.0,518.0,2026-06-05,530.65,248735.0,517.7
512.15,520.0,2026-06-08,530.9,253890.0,511.25
523.4,515.1,2026-06-09,527.5,227404.0,515.1
518.5,521.0,2026-06-10,536.45,436496.0,516.75
506.75,516.0,2026-06-11,523.6,151081.0,504.6
510.35,511.6,2026-06-12,516.1,166552.0,508.0
513.6,518.0,2026-06-15,524.95,108896.0,512.1
515.6,510.95,2026-06-16,523.85,108355.0,510.95
515.9,518.15,2026-06-17,521.95,190978.0,511.1
518.6,521.85,2026-06-18,526.6,129929.0,510.3
532.4,520.0,2026-06-19,535.0,237674.0,515.85
541.45,536.0,2026-06-22,546.8,441099.0,527.1
531.1,540.1,2026-06-23,550.35,227666.0,528.1
527.2,539.95,2026-06-24,539.95,230885.0,523.05
518.05,524.3,2026-06-25,528.7,119758.0,516.0
516.85,518.05,2026-06-29,528.55,131278.0,514.9
525.4,516.85,2026-06-30,528.0,158479.0,515.6
513.75,526.55,2026-07-01,534.0,187273.0,512.0
514.45,516.2,2026-07-02,517.65,152971.0,509.0
508.3,522.65,2026-07-03,523.8,390353.0,505.0
494.1499938964844,511.25,2026-07-06,511.2999877929688,301218.0,492.0
491.8500061035156,498.2999877929688,2026-07-07,500.4500122070313,201407.0,491.0
493.7000122070313,488.0,2026-07-08,509.9500122070313,493785.0,488.0
495.9500122070313,497.0,2026-07-09,507.7000122070313,165172.0,492.8999938964844
509.2999877929688,504.0,2026-07-10,523.0499877929688,413479.0,503.9500122070313
511.5499877929688,508.5,2026-07-13,515.0,164663.0,502.2000122070313
506.8500061035156,516.0,2026-07-14,520.0,106624.0,505.5499877929688
511.0,505.6499938964844,2026-07-15,515.5,87441.0,505.6499938964844
510.9500122070313,515.5,2026-07-16,515.5,62407.0,509.1000061035156
510.8999938964844,515.5,2026-07-17,515.5,115314.0,504.9500122070313
509.1000061035156,507.1000061035156,2026-07-20,512.9000244140625,90581.0,504.3999938964844
507.75,509.1000061035156,2026-07-21,512.0,54336.0,505.0
493.3500061035156,510.5,2026-07-22,510.5,101908.0,491.0
488.5,494.0,2026-07-23,494.0,139026.0,481.9500122070313
492.6499938964844,487.0,2026-07-24,495.0,84358.0,486.1000061035156
508.0499877929688,491.0,2026-07-27,511.3999938964844,165173.0,491.0
508.5,508.0499877929688,2026-07-28,517.2999877929688,113363.0,504.75
