close,open,date,high,volume,low
2598.0,2615.8,2025-06-30,2618.8,104825,2539.0
2597.8,2607.0,2025-07-01,2639.8,94488,2580.7
2569.5,2601.0,2025-07-02,2609.8,109048,2545.6
2580.1,2587.2,2025-07-03,2593.9,141522,2540.0
2546.7,2575.0,2025-07-04,2592.9,184456,2530.0
2538.4,2546.7,2025-07-07,2576.1,112040,2525.1
2553.6,2539.0,2025-07-08,2583.6,126752,2532.9
2587.7,2562.9,2025-07-09,2606.9,153409,2559.6
2586.2,2588.5,2025-07-10,2606.0,278842,2565.2
2604.6,2580.0,2025-07-11,2620.0,163378,2580.0
2741.6,2606.9,2025-07-14,2799.0,931241,2606.0
2713.2,2742.0,2025-07-15,2777.9,101249,2695.1
2658.9,2716.0,2025-07-16,2745.0,91545,2646.0
2626.7,2670.0,2025-07-17,2699.0,91939,2611.0
2652.6,2637.0,2025-07-18,2686.7,102006,2596.6
2600.2,2670.0,2025-07-21,2679.2,220570,2568.2
2552.0,2604.9,2025-07-22,2611.5,148343,2536.1
2591.0,2550.0,2025-07-23,2607.6,91750,2536.0
2621.0,2600.0,2025-07-24,2634.9,108154,2593.5
2560.5,2635.0,2025-07-25,2635.0,46652,2550.0
2556.3,2560.5,2025-07-28,2608.0,130601,2542.6
2588.9,2554.1,2025-07-29,2598.7,123459,2525.0
2585.2,2588.0,2025-07-30,2629.0,45456,2573.1
2589.2,2570.0,2025-07-31,2613.5,52545,2570.0
2598.8,2597.0,2025-08-01,2609.5,61705,2581.2
2525.1,2599.0,2025-08-04,2601.0,73505,2501.4
2486.8,2525.0,2025-08-05,2526.0,129572,2455.8
2519.1,2475.0,2025-08-06,2548.1,245032,2475.0
2560.2,2517.0,2025-08-07,2576.5,73327,2488.0
2561.3,2532.0,2025-08-08,2578.9,62684,2528.9
2540.6,2557.4,2025-08-11,2590.3,24580,2530.0
2521.3,2540.0,2025-08-12,2585.8,70842,2511.9
2552.9,2521.3,2025-08-13,2580.9,60775,2519.8
2545.8,2552.9,2025-08-14,2579.4,115254,2534.0
2572.9,2545.8,2025-08-18,2585.0,73774,2517.0
2589.4,2590.0,2025-08-19,2672.7,140502,2575.5
2623.6,2607.5,2025-08-20,2638.0,57937,2592.0
2659.9,2636.0,2025-08-21,2675.0,76600,2622.4
2670.5,2660.0,2025-08-22,2684.0,53643,2636.6
2637.6,2670.5,2025-08-25,2685.0,27317,2626.0
2654.6,2630.1,2025-08-26,2670.0,92167,2614.6
2577.7,2646.3,2025-08-28,2655.9,63247,2550.1
2597.2,2570.3,2025-08-29,2610.0,57395,2555.6
2600.2,2572.0,2025-09-01,2632.8,236644,2571.8
2548.0,2599.9,2025-09-02,2602.1,59942,2536.5
2527.8,2549.9,2025-09-03,2556.0,50427,2512.6
2561.2,2545.0,2025-09-04,2571.6,154729,2532.0
2555.1,2553.0,2025-09-05,2564.0,69875,2527.4
2574.6,2564.0,2025-09-08,2587.0,51099,2555.4
2574.8,2595.0,2025-09-09,2595.0,111438,2545.0
2576.4,2574.8,2025-09-10,2593.4,84948,2553.8
2612.4,2591.0,2025-09-11,2626.8,86257,2571.4
2600.7,2626.9,2025-09-12,2630.0,48135,2582.5
2609.1,2600.7,2025-09-15,2626.4,54163,2577.6
2597.8,2612.4,2025-09-16,2629.3,56396,2590.0
2550.8,2583.0,2025-09-17,2597.7,117441,2537.7
2523.0,2551.0,2025-09-18,2573.8,134570,2516.1
2469.6,2529.8,2025-09-19,2534.2,162591,2460.0
2449.3,2460.0,2025-09-22,2467.8,85214,2440.0
2391.0,2449.3,2025-09-23,2456.3,87449,2383.0
2376.7,2399.4,2025-09-24,2404.6,142665,2343.0
2373.6,2388.5,2025-09-25,2390.2,75828,2355.0
2366.8,2373.9,2025-09-26,2375.2,67852,2326.0
2330.4,2350.0,2025-09-29,2387.0,71405,2321.1
2356.4,2320.0,2025-09-30,2385.0,117802,2307.0
2398.9,2356.0,2025-10-01,2408.6,95062,2320.5
2371.4,2395.6,2025-10-03,2409.9,37676,2365.0
2376.0,2374.0,2025-10-06,2400.0,48987,2345.0
2346.6,2375.0,2025-10-07,2403.3,86061,2328.2
2437.6,2343.0,2025-10-08,2459.7,266420,2333.6
2412.2,2442.2,2025-10-09,2444.4,44174,2395.0
2391.4,2395.5,2025-10-10,2411.9,135622,2378.0
2398.5,2392.0,2025-10-13,2417.1,34819,2374.1
2334.8,2398.0,2025-10-14,2403.7,97073,2321.1
2329.7,2334.9,2025-10-15,2362.0,68161,2316.2
2356.2,2333.8,2025-10-16,2368.9,49079,2333.8
2344.1,2350.1,2025-10-17,2367.3,59188,2330.9
2334.7,2310.0,2025-10-20,2356.9,269950,2252.5
2376.7,2347.9,2025-10-21,2385.5,16940,2335.0
2349.8,2379.1,2025-10-23,2383.9,67302,2337.2
2370.8,2330.5,2025-10-24,2377.5,56110,2326.4
2455.1,2370.8,2025-10-27,2465.9,178806,2353.0
2480.4,2450.5,2025-10-28,2490.2,104061,2430.0
2483.7,2474.0,2025-10-29,2489.0,91985,2435.0
2469.6,2477.0,2025-10-30,2485.3,46086,2435.1
2457.9,2458.4,2025-10-31,2477.0,70640,2415.4
2466.8,2447.9,2025-11-03,2473.7,53005,2437.8
2468.2,2465.0,2025-11-04,2476.7,60053,2441.6
2473.1,2470.0,2025-11-06,2494.0,114451,2441.1
2447.5,2473.0,2025-11-07,2479.9,67233,2422.4
2451.8,2444.1,2025-11-10,2458.6,30194,2422.2
2452.0,2451.8,2025-11-11,2470.2,71520,2421.0
2504.5,2453.7,2025-11-12,2510.0,108635,2448.9
2477.1,2509.0,2025-11-13,2525.9,118124,2467.8
2451.4,2489.5,2025-11-14,2489.5,42105,2446.0
2475.5,2463.7,2025-11-17,2482.1,42898,2426.0
2446.2,2460.0,2025-11-18,2469.6,180243,2435.1
2413.3,2446.2,2025-11-19,2446.7,73904,2396.0
2391.8,2429.9,2025-11-20,2435.0,374542,2375.0
2341.8,2381.8,2025-11-21,2395.8,91738,2315.0
2307.5,2321.8,2025-11-24,2335.7,246974,2303.5
2359.5,2320.0,2025-11-25,2369.0,55858,2291.5
2339.5,2359.5,2025-11-26,2359.8,48238,2310.0
2323.1,2339.4,2025-11-27,2356.4,31663,2315.0
2310.0,2323.1,2025-11-28,2359.2,56915,2300.0
