close,open,date,high,volume,low
5781.5,5765.5,2025-08-05,5802.0,929923,5706.0
5893.5,5800.0,2025-08-06,5916.0,980678,5781.5
5859.0,5893.5,2025-08-07,5907.0,483125,5793.5
5769.5,5848.5,2025-08-08,5865.0,345649,5761.0
5878.5,5742.0,2025-08-11,5905.0,799984,5734.5
5927.5,5825.0,2025-08-12,5962.5,883247,5824.0
5969.5,5886.0,2025-08-13,5993.0,510227,5886.0
6002.5,5978.0,2025-08-14,6055.0,767646,5955.5
6096.5,6009.0,2025-08-18,6232.5,1148778,6009.0
6055.5,6060.0,2025-08-19,6129.0,499624,6021.0
6155.5,6050.0,2025-08-20,6173.5,501673,6026.5
6099.0,6100.0,2025-08-21,6125.0,689343,6010.0
6086.5,6099.0,2025-08-22,6145.0,596200,6072.5
6116.0,6149.5,2025-08-25,6149.5,478863,6028.5
6050.0,6100.0,2025-08-26,6101.5,920406,6017.0
5727.0,5875.0,2025-08-28,5875.0,18614885,5709.5
5646.0,5715.0,2025-08-29,5739.0,1628751,5610.0
5670.0,5629.5,2025-09-01,5710.0,1708748,5582.0
5665.5,5679.0,2025-09-02,5690.0,579446,5646.5
5740.0,5660.5,2025-09-03,5747.5,801254,5660.5
5695.0,5780.0,2025-09-04,5794.0,658347,5686.0
5670.0,5705.0,2025-09-05,5710.0,820854,5637.0
5696.5,5681.0,2025-09-08,5739.5,603400,5660.0
5637.5,5670.0,2025-09-09,5706.5,549536,5608.0
5619.0,5665.0,2025-09-10,5679.0,740160,5602.5
5667.0,5560.0,2025-09-11,5683.0,675142,5540.5
5727.5,5699.0,2025-09-12,5778.5,918969,5668.5
5728.5,5758.0,2025-09-15,5760.5,359796,5718.5
5727.5,5691.0,2025-09-16,5745.5,651834,5691.0
5746.5,5749.0,2025-09-17,5759.5,429255,5720.0
5715.5,5740.0,2025-09-18,5763.5,460346,5705.5
5679.0,5758.0,2025-09-19,5758.0,750086,5648.5
5747.5,5698.5,2025-09-22,5769.0,449815,5682.0
5732.0,5765.0,2025-09-23,5812.5,662077,5716.0
5686.0,5745.0,2025-09-24,5757.5,690321,5663.0
5674.5,5690.0,2025-09-25,5717.0,572155,5644.5
5561.0,5679.0,2025-09-26,5700.0,896954,5531.5
5707.0,5575.0,2025-09-29,5785.5,13795988,5501.0
5594.5,5551.0,2025-09-30,5655.5,1425301,5526.0
5606.0,5568.0,2025-10-01,5625.5,795729,5526.0
5657.0,5602.0,2025-10-03,5690.0,856525,5602.0
5694.5,5659.5,2025-10-06,5706.0,632790,5604.5
5664.0,5675.0,2025-10-07,5693.5,471217,5610.5
5635.0,5637.5,2025-10-08,5683.5,386534,5625.0
5724.5,5656.0,2025-10-09,5744.0,668462,5624.5
5735.0,5721.0,2025-10-10,5770.0,426462,5706.0
5787.5,5758.0,2025-10-13,5824.0,669754,5712.5
5759.0,5778.0,2025-10-14,5799.5,535051,5740.5
5860.5,5780.0,2025-10-15,5872.5,734165,5775.5
5881.0,5895.5,2025-10-16,5921.0,533386,5853.0
5848.0,5875.0,2025-10-17,5930.5,582184,5838.0
5934.0,5890.0,2025-10-20,5944.0,401435,5878.0
5913.0,5950.0,2025-10-21,5950.0,35982,5904.5
5789.0,5941.0,2025-10-23,5945.0,577925,5772.0
5779.0,5800.0,2025-10-24,5804.5,562338,5694.5
5835.0,5801.0,2025-10-27,5872.0,473915,5797.0
5809.0,5807.0,2025-10-28,5834.5,950434,5743.5
5813.0,5815.5,2025-10-29,5839.5,659529,5763.5
5725.0,5815.0,2025-10-30,5840.5,907522,5709.0
5625.0,5729.0,2025-10-31,5730.0,1168861,5602.0
5695.5,5625.0,2025-11-03,5704.5,615829,5615.0
5637.0,5696.0,2025-11-04,5699.5,644454,5581.5
5693.0,5750.0,2025-11-06,5833.5,2249415,5679.5
5583.5,5689.5,2025-11-07,5689.5,795267,5569.0
5588.5,5604.0,2025-11-10,5640.0,983156,5541.0
5782.5,5624.0,2025-11-11,5799.5,959131,5597.0
5795.5,5790.0,2025-11-12,5824.5,695865,5752.0
5905.5,5838.0,2025-11-13,5938.0,1250921,5811.0
5908.5,5900.0,2025-11-14,5935.0,643970,5864.0
5873.0,5900.0,2025-11-17,5905.0,608336,5839.5
5739.5,5876.0,2025-11-18,5888.5,906483,5733.5
5758.5,5712.0,2025-11-19,5773.0,784194,5674.0
5785.5,5761.5,2025-11-20,5836.0,429193,5750.0
5843.5,5785.0,2025-11-21,5873.5,410054,5755.0
5805.5,5953.0,2025-11-24,5970.0,1224537,5785.0
5775.0,5805.5,2025-11-25,5805.5,478426,5750.0
5913.0,5799.0,2025-11-26,5923.0,520063,5781.0
5919.0,5913.0,2025-11-27,5959.0,472382,5886.5
5901.5,5922.0,2025-11-28,5936.5,273162,5885.0
5794.0,5890.0,2025-12-01,5916.5,586223,5763.0
5697.5,5792.0,2025-12-02,5805.5,1179053,5680.0
5595.5,5675.0,2025-12-03,5694.0,1062464,5570.5
