close,open,date,high,volume,low
823.7,846.4,2025-07-25,848.4,2805230,821.4
802.05,825.0,2025-07-28,828.75,5922408,798.0
808.2,800.0,2025-07-29,818.85,16766666,790.0
801.9,811.0,2025-07-30,814.8,3218643,795.55
798.9,795.6,2025-07-31,806.0,4480429,789.1
783.7,792.5,2025-08-01,798.65,4739250,779.7
804.05,783.0,2025-08-04,805.6,2980888,781.0
819.15,820.0,2025-08-05,848.7,18982770,810.05
803.35,822.0,2025-08-06,822.0,5249912,795.4
807.35,801.85,2025-08-07,810.0,2553303,789.1
782.45,806.6,2025-08-08,808.5,2490574,779.0
783.25,784.5,2025-08-11,790.1,1629229,777.85
783.05,784.05,2025-08-12,791.35,1462522,780.8
773.45,787.0,2025-08-13,787.8,4114205,766.7
769.75,773.45,2025-08-14,779.8,1859573,765.7
788.65,777.5,2025-08-18,795.9,3029689,777.5
785.5,787.25,2025-08-19,790.7,2807872,780.85
778.2,786.45,2025-08-20,790.2,2332155,777.0
767.45,781.0,2025-08-21,781.85,3324022,766.5
760.1,767.45,2025-08-22,772.7,2483587,758.75
770.85,767.95,2025-08-25,775.0,2790762,761.5
756.4,770.85,2025-08-26,773.0,3306397,754.15
746.6,756.4,2025-08-28,762.4,3085661,744.85
739.5,743.0,2025-08-29,750.35,2538543,738.0
752.85,742.4,2025-09-01,754.0,1436082,741.5
751.2,753.0,2025-09-02,758.75,1330606,747.5
768.1,750.0,2025-09-03,769.0,1933362,749.2
754.85,771.8,2025-09-04,773.4,1401421,752.85
757.05,756.35,2025-09-05,759.5,2873689,750.0
750.75,759.5,2025-09-08,760.5,2330647,746.5
746.15,753.65,2025-09-09,755.1,1347461,745.1
751.25,750.2,2025-09-10,755.85,1350420,746.1
748.6,751.5,2025-09-11,754.3,975314,747.5
740.5,753.0,2025-09-12,754.35,1853165,739.25
739.9,741.0,2025-09-15,744.4,1499071,738.1
742.25,740.7,2025-09-16,748.95,2892657,734.6
739.05,745.0,2025-09-17,745.9,2280605,737.05
735.45,742.45,2025-09-18,743.0,2280312,732.5
744.4,738.0,2025-09-19,746.95,8190278,736.15
734.3,744.4,2025-09-22,748.3,1884250,733.4
755.25,735.0,2025-09-23,757.0,4501893,729.05
740.75,755.25,2025-09-24,758.95,2993982,738.9
740.75,740.95,2025-09-25,745.6,3037406,735.4
712.75,742.0,2025-09-26,742.65,5779485,710.6
723.4,717.75,2025-09-29,734.85,41100690,712.55
735.55,730.0,2025-09-30,737.7,3965781,722.55
743.15,732.2,2025-10-01,745.45,4127017,726.0
747.4,743.2,2025-10-03,758.95,4112610,741.75
739.3,742.0,2025-10-06,755.6,5118797,734.1
749.0,742.95,2025-10-07,752.4,4348518,740.45
740.95,747.05,2025-10-08,754.1,4238626,739.15
749.15,744.0,2025-10-09,753.3,3506978,743.0
763.35,749.6,2025-10-10,766.75,5386722,747.75
759.9,758.0,2025-10-13,767.95,2906803,757.05
750.4,758.0,2025-10-14,763.05,1833516,743.3
740.1,752.35,2025-10-15,753.0,2333738,733.2
739.5,742.9,2025-10-16,744.85,3056360,735.0
751.0,740.0,2025-10-17,761.0,4770012,734.5
759.75,743.0,2025-10-20,770.65,9184006,726.3
758.45,761.95,2025-10-21,762.9,350896,756.0
759.6,759.0,2025-10-23,766.0,5363491,751.8
755.05,759.95,2025-10-24,759.95,2001556,750.85
770.05,755.7,2025-10-27,772.0,3590863,753.15
799.75,773.9,2025-10-28,801.95,8948361,772.45
807.45,804.0,2025-10-29,810.05,4077629,793.8
800.95,807.0,2025-10-30,810.0,4103276,797.25
794.8,800.95,2025-10-31,806.5,3511425,792.0
796.9,794.8,2025-11-03,803.7,2640561,791.15
790.2,797.05,2025-11-04,799.25,3505823,785.1
786.2,791.0,2025-11-06,797.5,2640541,777.35
797.25,782.15,2025-11-07,801.95,2079256,779.1
799.35,791.0,2025-11-10,807.8,1894738,791.0
826.1,799.7,2025-11-11,828.2,7150449,792.8
864.4,830.05,2025-11-12,873.0,11714519,827.0
863.45,862.0,2025-11-13,892.35,9325204,859.05
848.25,864.0,2025-11-14,872.0,4460991,845.85
854.05,852.0,2025-11-17,861.75,4019335,838.5
847.95,854.05,2025-11-18,858.5,1958051,845.05
839.6,850.0,2025-11-19,850.3,2317710,836.3
829.4,844.0,2025-11-20,844.0,5136903,827.5
846.55,832.2,2025-11-21,856.8,7304707,830.55
836.05,847.1,2025-11-24,857.5,5082933,832.55
839.9,836.05,2025-11-25,844.9,3021941,829.05
850.7,844.9,2025-11-26,858.7,2939823,841.0
857.45,853.0,2025-11-27,863.75,3016014,846.55
858.55,859.65,2025-11-28,863.0,2901007,851.5
847.15,860.0,2025-12-01,862.4,3019328,842.65
850.3,847.15,2025-12-02,860.5,2674933,845.4
846.9,854.0,2025-12-03,856.3,2063761,841.35
863.0,846.0,2025-12-04,873.0,4259999,842.9
870.1,863.65,2025-12-05,874.4,3377823,856.1
841.4,870.1,2025-12-08,873.6,2015558,834.5
844.35,841.45,2025-12-09,848.7,3015385,832.15
833.85,847.8,2025-12-10,851.6,2623610,828.15
835.55,834.45,2025-12-11,842.8,2810755,827.5
846.15,840.05,2025-12-12,851.2,3492109,839.0
851.25,845.95,2025-12-15,853.5,2458486,835.4
845.05,854.0,2025-12-16,856.8,2811166,841.85
833.85,838.2,2025-12-17,846.1,3107473,827.8
834.9,830.8,2025-12-18,842.5,1537403,826.0
844.7,834.9,2025-12-19,847.9,7000947,831.0
856.4,845.0,2025-12-22,862.8,2387606,840.9
849.9,856.4,2025-12-23,859.7,1628642,846.2
848.05,850.0,2025-12-24,858.85,1947886,844.2
849.85,841.05,2025-12-26,858.9,4257972,837.1
839.6,849.8,2025-12-29,854.55,1907670,836.6
841.5,839.6,2025-12-30,844.1,4409838,833.25
864.2,841.5,2025-12-31,869.6,2887744,836.55
890.2,865.45,2026-01-01,891.6,4244931,863.5
902.45,896.0,2026-01-02,909.75,6250730,890.25
899.95,905.0,2026-01-05,910.0,2521435,892.5
914.25,898.0,2026-01-06,924.0,8308942,886.5
897.85,914.5,2026-01-07,924.7,2952528,892.85
883.45,897.0,2026-01-08,902.75,3567518,876.1
882.25,878.05,2026-01-09,892.0,2515780,878.05
905.45,880.2,2026-01-12,907.95,4015935,879.1
910.55,909.0,2026-01-13,913.7,3958844,897.5
944.5,913.0,2026-01-14,948.9,11559313,905.0
953.85,945.0,2026-01-16,960.2,10345071,938.05
949.8,947.95,2026-01-19,961.9,5455304,941.45
905.15,946.0,2026-01-20,948.0,6701234,899.05
907.15,908.0,2026-01-21,919.15,3567143,891.45
902.45,911.0,2026-01-22,916.2,2338485,892.9
892.45,900.05,2026-01-23,914.6,5907525,888.25
894.75,875.0,2026-01-27,897.0,8419598,851.15
901.7,898.75,2026-01-28,903.0,2982683,877.65
898.4,899.9,2026-01-29,904.5,4382116,890.7
896.1,892.1,2026-01-30,902.75,2867342,888.2
910.25,889.0,2026-02-02,914.5,3762702,884.35
922.4,951.3,2026-02-03,959.6,9608114,916.35
921.3,922.0,2026-02-04,932.0,2883259,915.8
914.4,918.1,2026-02-05,922.15,2552518,902.3
903.6,909.1,2026-02-06,917.05,2711855,895.0
927.9,910.0,2026-02-09,936.95,6863941,900.35
927.6,927.9,2026-02-10,933.0,2768617,920.0
925.0,927.9,2026-02-11,928.3,2473671,915.0
922.7,928.7,2026-02-12,937.0,3082642,915.0
926.05,922.0,2026-02-13,929.95,2860622,903.35
931.9,930.0,2026-02-16,933.7,2098887,912.15
943.8,931.9,2026-02-17,952.2,6284594,928.2
944.65,944.0,2026-02-18,950.0,3474257,932.8
927.35,944.5,2026-02-19,944.5,2641817,923.2
926.05,934.0,2026-02-20,947.9,6462199,922.65
919.75,926.05,2026-02-23,934.65,4217172,911.95
931.4,919.75,2026-02-24,934.4,3079572,912.0
937.35,934.0,2026-02-25,941.85,1173030,932.1
964.6,938.0,2026-02-26,968.85,8974624,936.3
956.75,963.0,2026-02-27,968.0,3745120,951.2
942.5,939.0,2026-03-02,955.95,1568186,933.2
927.55,930.0,2026-03-04,942.95,2527046,916.7
937.2,930.05,2026-03-05,947.55,1949212,926.95
917.85,935.0,2026-03-06,942.9,1153433,912.05
881.2,899.0,2026-03-09,900.0,3362985,870.55
898.7,892.0,2026-03-10,904.05,4547967,885.0
877.15,897.2,2026-03-11,907.5,2754525,873.15
831.35,870.0,2026-03-12,870.5,7514347,828.0
814.4,827.0,2026-03-13,833.15,5606889,804.8
825.05,814.55,2026-03-16,830.0,3107008,806.2
820.85,825.0,2026-03-17,825.0,3713235,808.0
842.15,819.6,2026-03-18,847.9,4695600,815.6
816.3,828.2,2026-03-19,831.25,5080824,812.95
818.6,822.0,2026-03-20,837.0,7872290,813.1
778.35,806.3,2026-03-23,809.0,7448050,771.9
797.25,789.85,2026-03-24,802.15,6347812,771.7
818.4,802.95,2026-03-25,834.3,3095936,802.95
792.55,809.0,2026-03-27,816.2,6211886,785.3
752.45,781.0,2026-03-30,784.0,7093604,750.5
785.65,765.95,2026-04-01,793.65,4336917,765.95
778.7,772.2,2026-04-02,784.75,2481604,754.0
786.2,774.6,2026-04-06,788.3,2512596,756.4
784.8,778.0,2026-04-07,787.8,1165539,770.3
835.95,812.0,2026-04-08,840.85,3572416,810.0
814.55,831.85,2026-04-09,834.9,2531440,812.0
830.9,818.5,2026-04-10,835.45,1509168,817.8
