close,open,date,high,volume,low
345.8,346.0,2025-08-04,348.15,6962596.0,339.25
342.85,348.0,2025-08-05,348.2,3459901.0,341.05
340.95,342.85,2025-08-06,346.4,8179886.0,339.8
334.65,339.55,2025-08-07,339.55,20953620.0,330.5
332.55,335.5,2025-08-08,339.45,13407199.0,330.7
337.4,335.0,2025-08-11,338.0,6020830.0,330.05
339.5,337.4,2025-08-12,343.4,3637933.0,337.2
337.3,341.5,2025-08-13,343.3,3352695.0,336.35
333.0,337.2,2025-08-14,337.8,8393964.0,330.2
337.6,336.0,2025-08-18,340.95,12633896.0,328.0
339.95,339.7,2025-08-19,342.5,3615727.0,335.25
349.1,341.85,2025-08-20,355.1,7536509.0,341.3
348.05,350.05,2025-08-21,353.45,2900166.0,346.6
353.55,352.5,2025-08-22,359.8,16977389.0,348.8
354.75,356.75,2025-08-25,357.7,4414881.0,351.3
342.55,345.9,2025-08-26,350.0,11956450.0,339.55
335.6,343.0,2025-08-28,344.0,7073411.0,334.65
338.6,337.0,2025-08-29,346.45,7338329.0,336.0
339.4,340.0,2025-09-01,342.3,3912531.0,338.35
329.45,340.0,2025-09-02,340.0,8558281.0,328.3
324.15,324.9,2025-09-03,326.5,50414456.0,312.55
324.05,329.0,2025-09-04,329.85,14259927.0,321.6
337.4,325.55,2025-09-05,341.9,17007563.0,324.3
344.1,339.65,2025-09-08,345.5,11053837.0,334.9
346.9,344.95,2025-09-09,349.7,8589184.0,343.0
349.3,355.0,2025-09-10,355.0,12143686.0,347.6
353.25,349.3,2025-09-11,355.8,9104627.0,348.35
361.85,355.5,2025-09-12,363.05,13224633.0,354.05
359.3,362.7,2025-09-15,369.55,7809090.0,358.1
357.6,359.8,2025-09-16,360.9,4475632.0,352.75
354.25,359.5,2025-09-17,359.5,6344314.0,352.3
354.3,355.7,2025-09-18,357.7,5598853.0,352.6
356.85,354.3,2025-09-19,361.7,7422079.0,350.95
356.0,356.0,2025-09-22,362.75,5271465.0,354.2
359.1,356.15,2025-09-23,360.0,7194465.0,353.35
358.15,359.1,2025-09-24,363.35,7448879.0,355.55
356.45,358.0,2025-09-25,361.0,6298204.0,355.05
346.3,355.45,2025-09-26,357.4,10014825.0,344.5
347.2,347.95,2025-09-29,350.85,5564080.0,344.9
342.9,344.8,2025-09-30,347.8,5785588.0,340.9
352.05,342.3,2025-10-01,353.0,4163278.0,342.3
353.1,350.1,2025-10-03,355.4,2694415.0,348.3
353.65,354.1,2025-10-06,355.95,2819005.0,349.2
357.9,352.0,2025-10-07,359.8,6631987.0,350.65
354.75,358.0,2025-10-08,360.5,2273254.0,353.8
354.85,355.0,2025-10-09,356.75,4320615.0,352.0
353.7,354.85,2025-10-10,358.9,4420019.0,353.0
349.9,354.0,2025-10-13,355.95,5017414.0,348.1
338.55,350.45,2025-10-14,351.45,9282025.0,337.8
344.8,339.9,2025-10-15,346.05,3966733.0,339.4
343.95,346.55,2025-10-16,346.55,3586844.0,343.35
343.0,345.0,2025-10-17,347.85,5754532.0,341.2
