close,open,date,high,volume,low
145.64,145.31,2025-08-07,146.74,4366735,142.4
139.72,145.6,2025-08-08,146.54,4681160,139.11
141.71,140.29,2025-08-11,142.44,4109434,139.06
140.76,142.45,2025-08-12,142.5,9769604,139.41
137.96,141.45,2025-08-13,142.08,4652786,137.7
137.03,138.5,2025-08-14,138.95,6395679,136.0
139.99,144.0,2025-08-18,144.0,31021799,135.5
144.48,141.0,2025-08-19,148.21,32327968,139.28
144.19,145.0,2025-08-20,145.12,6371522,142.54
142.67,144.25,2025-08-21,146.4,5173232,142.1
144.05,143.0,2025-08-22,146.45,7337916,142.6
142.65,144.88,2025-08-25,145.16,5352454,141.79
142.03,142.0,2025-08-26,142.5,5982219,139.85
136.99,142.03,2025-08-28,142.1,7054036,136.66
138.12,137.5,2025-08-29,140.17,9346025,136.38
140.83,139.39,2025-09-01,142.12,3470109,138.6
143.34,141.51,2025-09-02,145.26,8115836,141.04
144.71,144.0,2025-09-03,145.39,3705369,142.5
144.25,146.0,2025-09-04,147.49,6241440,144.0
145.82,145.1,2025-09-05,146.76,3311659,144.0
147.33,147.0,2025-09-08,149.75,5950809,145.74
146.75,148.67,2025-09-09,148.67,2367186,146.36
149.22,147.49,2025-09-10,151.1,6324855,147.49
148.48,149.95,2025-09-11,150.2,2519424,147.76
148.92,148.5,2025-09-12,150.0,2048029,148.02
151.32,149.7,2025-09-15,153.15,5147619,148.9
151.3,152.0,2025-09-16,152.4,3119100,150.5
150.4,152.0,2025-09-17,152.78,2944389,149.62
148.7,151.27,2025-09-18,151.4,3302704,147.97
151.34,148.89,2025-09-19,153.47,13993672,148.7
152.43,151.94,2025-09-22,154.9,5137336,150.7
149.63,152.5,2025-09-23,153.39,8282682,149.3
144.31,149.5,2025-09-24,149.98,4208993,144.02
141.14,144.5,2025-09-25,147.23,9003451,140.82
137.46,141.2,2025-09-26,142.19,4411168,136.8
138.7,137.6,2025-09-29,142.24,7485674,137.6
140.24,139.49,2025-09-30,141.0,4658511,137.73
142.15,140.2,2025-10-01,142.56,4519495,139.26
141.37,142.15,2025-10-03,143.4,4050261,140.1
139.38,142.5,2025-10-06,142.78,3528794,138.97
139.38,140.0,2025-10-07,142.7,6583478,139.06
141.41,139.8,2025-10-08,142.13,6927996,137.77
146.99,142.0,2025-10-09,147.8,11741660,141.17
150.08,148.09,2025-10-10,152.34,10002574,147.22
149.87,149.0,2025-10-13,151.29,4862347,148.18
147.2,150.5,2025-10-14,151.0,8204088,146.62
148.19,147.75,2025-10-15,149.8,6739763,146.69
146.84,148.4,2025-10-16,149.88,2690851,146.54
146.28,147.5,2025-10-17,148.0,14427806,144.54
146.79,146.5,2025-10-20,147.4,3286410,144.43
149.15,147.2,2025-10-21,150.8,3012646,147.2
152.21,150.0,2025-10-23,155.13,12254663,149.41
154.08,153.0,2025-10-24,156.9,10715355,152.8
