close,open,date,high,volume,low
37.95,37.82,2025-07-30,38.36,1973167.0,37.82
37.56,37.44,2025-07-31,37.88,2931308.0,37.2
36.81,37.56,2025-08-01,37.67,2963737.0,36.56
37.04,36.95,2025-08-04,37.2,3248540.0,36.65
36.9,37.04,2025-08-05,37.33,2517783.0,36.8
36.4,36.89,2025-08-06,37.15,3941451.0,36.25
36.14,36.16,2025-08-07,36.38,4558070.0,35.54
35.81,36.25,2025-08-08,36.69,3660905.0,35.65
36.0,36.19,2025-08-11,36.19,3098058.0,35.51
36.18,36.04,2025-08-12,36.27,2375020.0,35.93
36.12,36.4,2025-08-13,36.64,2838561.0,36.05
36.17,36.25,2025-08-14,36.33,2337002.0,35.97
36.66,36.65,2025-08-18,36.99,3506267.0,36.5
37.82,36.35,2025-08-19,37.94,6807640.0,36.32
38.14,37.52,2025-08-20,38.45,3757015.0,37.52
38.42,38.04,2025-08-21,38.89,5385366.0,37.9
38.07,38.16,2025-08-22,38.82,4035353.0,37.9
38.21,38.85,2025-08-25,38.98,6911302.0,38.05
38.18,38.06,2025-08-26,38.62,5097524.0,37.84
38.18,37.6,2025-08-28,38.44,5179440.0,37.59
38.09,38.01,2025-08-29,38.35,4105179.0,37.85
38.87,37.98,2025-09-01,38.95,6276708.0,37.9
40.0,38.87,2025-09-02,40.52,20550322.0,38.73
39.47,40.0,2025-09-03,40.28,8324086.0,39.4
37.96,39.82,2025-09-04,39.87,9898557.0,37.72
38.49,38.04,2025-09-05,38.6,5041667.0,37.72
39.08,38.64,2025-09-08,39.5,5855609.0,38.57
38.92,39.05,2025-09-09,39.18,4504186.0,38.59
39.58,38.99,2025-09-10,40.0,9653766.0,38.98
39.44,39.5,2025-09-11,40.2,8351792.0,39.33
39.43,39.62,2025-09-12,39.8,3481664.0,39.32
39.98,39.73,2025-09-15,40.16,7543665.0,39.41
40.11,40.0,2025-09-16,40.58,8941296.0,39.8
40.58,40.25,2025-09-17,40.66,20467425.0,40.05
40.21,40.9,2025-09-18,40.9,9053775.0,40.1
40.88,40.46,2025-09-19,41.32,78558593.0,40.23
39.8,41.13,2025-09-22,41.24,10795550.0,39.72
39.65,39.81,2025-09-23,40.0,6603921.0,39.18
39.53,40.0,2025-09-24,41.08,14041803.0,39.4
38.89,39.53,2025-09-25,39.99,6075290.0,38.65
38.2,38.89,2025-09-26,39.07,4892084.0,37.84
38.51,38.35,2025-09-29,39.1,13836522.0,38.03
39.54,38.5,2025-09-30,39.74,8178119.0,38.41
39.56,39.55,2025-10-01,39.72,5727702.0,39.18
39.89,39.58,2025-10-03,40.15,5350085.0,39.54
39.58,39.95,2025-10-06,40.43,5494079.0,39.39
39.6,39.76,2025-10-07,39.94,3119287.0,39.44
39.12,39.65,2025-10-08,39.8,3683799.0,38.98
39.14,39.02,2025-10-09,39.4,4614698.0,38.73
40.23,39.27,2025-10-10,40.71,12248734.0,39.05
39.8,40.22,2025-10-13,40.3,4463916.0,39.45
38.6,39.75,2025-10-14,39.77,8597175.0,38.45
40.23,38.8,2025-10-15,40.48,15203174.0,38.51
39.77,40.6,2025-10-16,41.05,26290094.0,39.55
38.83,40.35,2025-10-17,40.35,13114301.0,38.76
40.16,38.9,2025-10-20,40.99,26179348.0,38.7
40.67,40.4,2025-10-21,40.75,4025004.0,40.2
40.15,40.59,2025-10-23,41.8,22069209.0,40.0
39.55,40.15,2025-10-24,40.17,8249187.0,39.37
40.38,39.7,2025-10-27,41.0,10650714.0,39.45
40.59,40.2,2025-10-28,41.09,14317210.0,40.0
40.49,40.7,2025-10-29,40.77,7079902.0,40.25
40.03,40.5,2025-10-30,40.62,5840352.0,39.95
40.11,39.85,2025-10-31,41.29,19950257.0,39.78
40.45,40.31,2025-11-03,41.14,13780547.0,40.01
39.55,40.44,2025-11-04,40.49,9079597.0,39.45
38.72,39.74,2025-11-06,40.14,7979437.0,38.59
39.59,38.75,2025-11-07,39.85,10168806.0,38.01
39.83,39.81,2025-11-10,40.08,6504315.0,39.33
39.13,39.51,2025-11-11,39.76,5513460.0,38.83
38.97,39.19,2025-11-12,39.48,4752196.0,38.82
38.84,39.0,2025-11-13,39.17,4029934.0,38.7
38.79,38.84,2025-11-14,39.09,4033664.0,38.58
40.25,38.8,2025-11-17,40.74,21656290.0,38.8
39.89,40.25,2025-11-18,40.54,8042463.0,39.74
40.12,39.89,2025-11-19,40.25,8193083.0,39.37
39.44,40.25,2025-11-20,40.37,6151706.0,39.4
38.89,39.29,2025-11-21,39.44,4576679.0,38.77
38.43,39.0,2025-11-24,39.28,5183355.0,38.25
38.84,38.9,2025-11-25,39.0,5390274.0,38.16
39.52,39.83,2025-11-26,40.3,16297544.0,39.36
39.22,39.6,2025-11-27,39.74,4723495.0,39.03
38.79,39.09,2025-11-28,39.22,4392417.0,38.74
38.85,38.9,2025-12-01,39.38,5477877.0,38.75
38.52,38.88,2025-12-02,39.1,6445954.0,38.45
38.16,38.52,2025-12-03,38.63,5176989.0,37.99
37.79,38.1,2025-12-04,38.16,4382999.0,37.68
37.78,37.79,2025-12-05,38.0,4899159.0,37.51
36.85,37.73,2025-12-08,37.73,5909126.0,36.55
36.81,36.7,2025-12-09,37.0,7194057.0,35.84
36.64,36.75,2025-12-10,37.68,5037940.0,36.41
37.0,36.7,2025-12-11,37.11,3744038.0,36.41
37.03,37.09,2025-12-12,37.4,3236147.0,36.91
36.97,37.0,2025-12-15,37.1,2722086.0,36.66
36.57,36.8,2025-12-16,37.01,2113780.0,36.45
34.3,35.8,2025-12-17,35.8,35660312.0,34.15
34.08,34.1,2025-12-18,34.75,18280161.0,33.81
33.99,34.2,2025-12-19,34.37,9141276.0,33.88
34.11,34.21,2025-12-22,34.44,6672794.0,34.02
33.94,34.25,2025-12-23,34.25,7113342.0,33.89
33.92,33.99,2025-12-24,34.07,5832944.0,33.84
33.93,33.81,2025-12-26,34.07,3999606.0,33.71
33.84,33.93,2025-12-29,34.0,2712753.0,33.8
35.8,33.97,2025-12-30,36.35,25327392.0,33.76
36.13,35.93,2025-12-31,36.78,15141623.0,35.47
36.29,36.0,2026-01-01,36.41,5902372.0,35.8
37.23,36.29,2026-01-02,37.35,12005868.0,36.22
36.8,37.58,2026-01-05,38.02,8933067.0,36.56
36.65,36.71,2026-01-06,37.59,6617271.0,36.56
36.61,36.51,2026-01-07,36.85,3550016.0,36.4
35.55,36.55,2026-01-08,36.69,7052490.0,35.38
35.08,35.55,2026-01-09,35.89,5588782.0,35.0
35.29,35.1,2026-01-12,35.45,6879813.0,34.41
35.37,35.4,2026-01-13,35.81,5032415.0,35.16
36.11,35.5,2026-01-14,36.77,28478641.0,35.45
