close,open,date,high,volume,low
1336.7,1380.0,2025-08-11,1396.5,488727.0,1322.0
1376.7,1343.3,2025-08-12,1395.6,376991.0,1343.3
1364.6,1396.4,2025-08-13,1397.4,113370.0,1341.9
1365.9,1376.0,2025-08-14,1403.0,95383.0,1350.5
1383.8,1365.1,2025-08-18,1410.0,119136.0,1358.8
1383.5,1383.8,2025-08-19,1395.5,121085.0,1363.7
1370.4,1380.3,2025-08-20,1397.3,81465.0,1359.9
1359.1,1370.4,2025-08-21,1381.0,63277.0,1355.5
1418.4,1365.5,2025-08-22,1432.7,437422.0,1340.5
1399.9,1421.0,2025-08-25,1428.2,121663.0,1390.2
1434.5,1390.0,2025-08-26,1462.6,276774.0,1368.6
1418.5,1435.0,2025-08-28,1438.2,205145.0,1393.0
1384.4,1408.0,2025-08-29,1414.8,156601.0,1380.2
1370.1,1375.1,2025-09-01,1384.4,160654.0,1357.1
1367.6,1367.2,2025-09-02,1378.8,35637.0,1363.8
1352.0,1367.0,2025-09-03,1374.3,103658.0,1348.2
1339.2,1353.1,2025-09-04,1361.3,325213.0,1330.0
1335.0,1337.6,2025-09-05,1353.3,105496.0,1332.0
1320.4,1330.0,2025-09-08,1342.5,98181.0,1317.0
1320.1,1328.5,2025-09-09,1340.0,83745.0,1306.0
1313.0,1317.2,2025-09-10,1343.0,127010.0,1309.0
1312.2,1315.0,2025-09-11,1325.5,117956.0,1308.0
1314.8,1314.0,2025-09-12,1334.5,237370.0,1311.0
1310.3,1319.0,2025-09-15,1321.9,108722.0,1301.7
1311.5,1305.0,2025-09-16,1320.0,105808.0,1301.4
1311.2,1308.1,2025-09-17,1324.5,123604.0,1306.0
1340.8,1309.0,2025-09-18,1347.9,163404.0,1309.0
1441.0,1345.8,2025-09-19,1506.9,995320.0,1333.8
1399.3,1406.0,2025-09-22,1421.7,222708.0,1383.1
1395.2,1400.8,2025-09-23,1404.9,202440.0,1367.1
1348.4,1388.2,2025-09-24,1388.2,118793.0,1337.8
1350.5,1357.9,2025-09-25,1363.5,105951.0,1342.4
1371.2,1353.8,2025-09-26,1379.9,339048.0,1305.4
1317.0,1365.0,2025-09-29,1366.7,116499.0,1311.1
1339.0,1329.2,2025-09-30,1358.6,131478.0,1318.0
1327.3,1338.0,2025-10-01,1338.5,253514.0,1316.0
1313.1,1337.0,2025-10-03,1339.0,124762.0,1307.3
1323.2,1323.0,2025-10-06,1326.0,86344.0,1305.0
1359.8,1321.0,2025-10-07,1404.0,720078.0,1316.1
1352.1,1353.1,2025-10-08,1361.0,49362.0,1345.5
1339.5,1362.6,2025-10-09,1368.2,92193.0,1336.5
1334.5,1349.5,2025-10-10,1361.6,93288.0,1330.6
