close,open,date,high,volume,low
45.07,45.25,2025-07-31,45.66,7618707,45.0
44.33,45.07,2025-08-01,45.49,8233290,44.2
45.24,44.37,2025-08-04,45.41,8566971,44.05
45.0,45.25,2025-08-05,45.45,4341725,44.81
44.72,45.15,2025-08-06,45.29,5804766,44.31
44.8,44.28,2025-08-07,45.0,11275670,43.43
43.52,44.99,2025-08-08,44.99,6497652,43.4
44.25,43.65,2025-08-11,44.35,6046469,43.24
44.67,44.26,2025-08-12,45.0,5436763,44.1
44.79,44.75,2025-08-13,45.0,6286772,44.18
45.37,44.95,2025-08-14,46.48,17522244,44.45
44.96,46.6,2025-08-18,46.6,10774842,44.82
45.12,45.1,2025-08-19,45.2,6493036,44.51
44.6,45.13,2025-08-20,45.15,9225074,44.51
44.61,44.7,2025-08-21,45.08,6654503,44.5
43.78,44.61,2025-08-22,44.75,11363551,43.51
45.05,43.9,2025-08-25,45.45,18170815,43.65
44.21,45.0,2025-08-26,45.05,9498679,44.0
42.36,44.21,2025-08-28,44.23,49939788,42.1
42.9,42.5,2025-08-29,43.67,10112356,42.22
43.28,43.0,2025-09-01,43.46,6844127,42.83
42.8,43.5,2025-09-02,43.85,9441568,42.61
43.0,43.04,2025-09-03,43.24,7349593,42.68
42.71,43.5,2025-09-04,43.6,7194208,42.55
42.32,42.91,2025-09-05,43.04,6727108,42.1
42.25,42.6,2025-09-08,42.88,5461729,42.13
42.27,43.0,2025-09-09,43.75,16457834,42.11
42.32,42.6,2025-09-10,42.82,7852296,42.25
42.45,42.46,2025-09-11,42.86,5870885,42.33
42.68,42.67,2025-09-12,42.9,6301706,42.38
43.27,42.68,2025-09-15,43.73,8309139,42.62
43.41,43.5,2025-09-16,43.67,5736571,43.07
44.03,43.51,2025-09-17,44.5,14630403,43.51
44.09,44.38,2025-09-18,44.5,6808414,43.82
43.59,44.08,2025-09-19,44.09,10683493,43.25
43.46,43.59,2025-09-22,43.95,5165059,43.3
43.12,43.35,2025-09-23,43.57,4363692,42.91
42.41,43.0,2025-09-24,43.38,7706276,42.32
42.0,42.5,2025-09-25,42.63,5431847,41.9
41.01,41.97,2025-09-26,41.98,10819017,40.51
40.84,41.05,2025-09-29,41.26,8346067,40.56
41.19,40.9,2025-09-30,41.34,5162276,40.85
41.47,41.19,2025-10-01,41.56,3659042,41.01
42.01,41.5,2025-10-03,42.15,5837776,41.4
41.9,42.09,2025-10-06,42.25,4653206,41.6
41.49,41.8,2025-10-07,42.06,4742099,41.41
41.79,42.09,2025-10-08,42.44,11042447,41.71
42.31,42.49,2025-10-09,42.49,7781887,41.77
43.41,42.08,2025-10-10,43.99,22845323,42.08
42.73,43.2,2025-10-13,43.33,6954749,42.45
42.17,42.7,2025-10-14,42.85,8581234,41.78
42.14,42.0,2025-10-15,42.51,7012503,41.94
43.08,42.2,2025-10-16,43.2,6683429,42.12
42.82,42.9,2025-10-17,43.07,6529950,42.21
43.07,43.35,2025-10-20,43.35,4755952,42.75
43.23,43.15,2025-10-21,43.5,1609206,43.1
43.39,43.81,2025-10-23,43.81,5677661,43.23
43.52,43.1,2025-10-24,43.63,6377395,43.1
44.63,43.55,2025-10-27,45.5,32059830,43.48
44.66,44.9,2025-10-28,44.99,5397837,44.41
44.75,44.75,2025-10-29,44.91,7641788,43.9
44.61,45.0,2025-10-30,45.07,6473300,44.26
44.79,44.61,2025-10-31,45.25,6579335,44.37
45.19,45.0,2025-11-03,45.75,7927758,44.79
44.66,45.0,2025-11-04,45.24,5749434,44.5
44.87,44.66,2025-11-06,45.26,9407172,44.25
44.49,44.75,2025-11-07,44.85,6311148,43.66
43.42,44.47,2025-11-10,44.53,8290792,43.27
43.24,43.43,2025-11-11,43.73,8074332,42.64
43.29,43.5,2025-11-12,44.6,17399146,42.88
42.35,43.29,2025-11-13,43.49,11112140,42.12
42.96,42.2,2025-11-14,43.24,8484947,42.08
44.54,45.0,2025-11-17,45.95,97924485,44.15
44.11,44.5,2025-11-18,44.54,11561917,43.7
43.96,44.1,2025-11-19,44.2,6429552,43.65
43.97,44.0,2025-11-20,44.25,6164189,43.61
43.67,44.0,2025-11-21,44.27,9346559,43.47
43.2,43.6,2025-11-24,43.77,8123376,42.52
43.28,43.0,2025-11-25,43.44,5607589,42.61
43.28,43.28,2025-11-26,43.75,5930721,42.97
43.2,43.29,2025-11-27,43.58,6000489,42.93
42.91,43.0,2025-11-28,43.55,12343572,42.8
43.11,43.14,2025-12-01,44.0,9385242,42.64
42.79,43.12,2025-12-02,43.45,4854168,42.45
42.97,42.79,2025-12-03,43.09,5802369,42.28
43.01,43.0,2025-12-04,43.2,4937503,42.52
42.8,42.94,2025-12-05,43.1,4341458,42.53
41.89,42.7,2025-12-08,42.79,6848620,41.51
41.4,41.52,2025-12-09,41.86,7668285,40.81
41.93,42.01,2025-12-10,43.34,14378873,41.75
41.78,42.01,2025-12-11,42.09,5537223,41.4
41.26,41.99,2025-12-12,42.33,10877672,41.0
42.03,41.25,2025-12-15,42.11,7909723,41.25
41.43,41.99,2025-12-16,41.99,4120606,41.34
