close,open,date,high,volume,low
411.45,414.25,2025-08-14,415.05,9580361,411.0
406.3,413.0,2025-08-18,413.7,30950814,404.85
409.1,406.35,2025-08-19,409.4,16681331,404.5
406.05,409.1,2025-08-20,410.25,18188129,405.45
405.55,406.05,2025-08-21,406.85,15028966,403.35
398.3,406.0,2025-08-22,406.5,13087624,397.5
399.35,399.0,2025-08-25,400.55,10440286,396.25
403.35,399.3,2025-08-26,405.4,13715752,398.4
400.9,404.5,2025-08-28,404.5,12471719,400.0
409.75,402.0,2025-08-29,410.45,25255050,401.9
405.85,409.75,2025-09-01,410.2,12268090,405.0
406.75,406.55,2025-09-02,407.85,19808255,404.45
411.75,408.5,2025-09-03,413.25,12936588,407.3
415.9,423.95,2025-09-04,427.0,27274123,415.0
407.35,416.9,2025-09-05,417.0,16000675,404.4
407.55,407.45,2025-09-08,410.55,7419022,406.8
410.05,408.5,2025-09-09,410.95,8825896,407.4
413.05,411.0,2025-09-10,413.7,9252397,408.95
415.05,413.05,2025-09-11,416.7,8274406,412.45
413.75,415.35,2025-09-12,417.05,7803379,412.85
412.65,413.05,2025-09-15,414.3,5707331,411.75
413.1,413.2,2025-09-16,414.35,8239087,412.0
409.3,413.95,2025-09-17,414.6,14113882,408.05
411.55,411.35,2025-09-18,413.05,15647808,410.1
410.65,411.55,2025-09-19,412.6,19505321,408.95
406.95,410.65,2025-09-22,411.0,8930779,406.05
403.2,407.1,2025-09-23,408.1,14936357,402.1
401.0,403.2,2025-09-24,404.65,12380865,400.7
400.1,401.45,2025-09-25,403.0,22006368,398.0
405.1,400.1,2025-09-26,405.9,14414044,399.8
407.25,406.9,2025-09-29,408.0,19717660,403.2
401.55,406.75,2025-09-30,406.75,9465490,400.4
405.6,402.35,2025-10-01,406.0,17643039,399.75
404.3,404.9,2025-10-03,405.5,16987141,402.3
400.75,403.0,2025-10-06,403.9,13989077,399.8
399.8,402.5,2025-10-07,402.6,12298968,399.5
399.75,400.0,2025-10-08,401.75,8402463,398.0
399.9,399.0,2025-10-09,401.4,15656267,398.95
402.8,400.45,2025-10-10,403.85,15085738,399.5
399.25,400.0,2025-10-13,400.95,9508594,398.55
396.8,400.0,2025-10-14,400.85,10291102,396.2
399.9,398.0,2025-10-15,400.85,16043867,397.25
405.15,401.0,2025-10-16,406.0,22962049,399.55
412.15,405.35,2025-10-17,413.85,21071344,405.25
413.05,412.55,2025-10-20,414.85,13083621,411.3
412.85,413.5,2025-10-21,413.95,1142130,412.35
415.95,416.0,2025-10-23,420.45,24305990,413.55
416.8,415.95,2025-10-24,417.95,14935678,413.45
420.65,417.0,2025-10-27,422.7,11603679,416.6
417.9,420.5,2025-10-28,421.65,17163147,415.9
421.6,418.2,2025-10-29,422.2,11470661,416.05
418.75,421.6,2025-10-30,421.7,12938674,416.15
420.35,420.5,2025-10-31,426.4,18599864,418.2
413.95,419.95,2025-11-03,421.65,7635440,413.3
408.9,414.0,2025-11-04,414.5,10085404,408.35
407.5,410.0,2025-11-06,413.3,10095563,406.55
404.05,406.05,2025-11-07,409.1,8411611,403.1
405.55,404.05,2025-11-10,407.1,6650003,403.65
406.85,406.0,2025-11-11,408.05,12005318,404.6
407.0,408.0,2025-11-12,408.1,7987236,405.55
405.7,407.0,2025-11-13,407.5,6617185,404.5
408.15,404.7,2025-11-14,408.75,64020258,400.1
407.1,409.75,2025-11-17,412.0,7855399,406.0
405.85,408.25,2025-11-18,409.8,7661681,404.55
403.55,404.85,2025-11-19,405.55,7882450,402.8
405.45,403.55,2025-11-20,407.0,6693410,403.25
407.85,405.0,2025-11-21,408.5,5808131,404.7
403.55,408.4,2025-11-24,408.8,11037491,402.85
400.8,403.55,2025-11-25,404.5,8199785,400.1
402.3,401.0,2025-11-26,403.95,11443953,400.95
404.3,403.5,2025-11-27,405.95,8679529,402.1
404.25,404.3,2025-11-28,405.0,6883500,402.5
404.25,402.8,2025-12-01,405.5,13442658,398.2
400.95,404.25,2025-12-02,405.5,8093808,400.5
400.5,401.7,2025-12-03,402.2,10772192,398.85
403.05,400.1,2025-12-04,403.55,8057989,399.05
404.95,403.05,2025-12-05,405.35,4419747,402.0
402.3,404.95,2025-12-08,405.25,6056866,400.55
401.05,402.0,2025-12-09,404.5,9426717,400.0
403.15,401.1,2025-12-10,404.4,6969146,401.0
402.9,403.15,2025-12-11,404.0,6980147,401.1
400.1,402.9,2025-12-12,404.0,12407516,399.85
402.3,400.1,2025-12-15,403.35,7756564,399.5
401.7,401.4,2025-12-16,405.75,12347384,401.05
399.8,401.0,2025-12-17,403.1,8087490,399.1
400.4,400.0,2025-12-18,401.95,7227668,399.85
401.05,400.25,2025-12-19,402.65,10654835,400.25
402.7,401.6,2025-12-22,403.65,6847871,401.2
407.35,402.5,2025-12-23,408.9,10081997,401.8
406.6,407.95,2025-12-24,409.5,5777430,405.65
404.15,406.5,2025-12-26,407.15,3152453,403.85
402.6,404.1,2025-12-29,404.8,6647710,401.45
400.6,403.0,2025-12-30,403.45,12340527,400.3
403.0,401.1,2025-12-31,403.75,9945109,400.85
363.85,402.7,2026-01-01,402.7,282626710,362.7
350.05,360.0,2026-01-02,360.0,118790358,345.25
349.7,350.2,2026-01-05,353.95,48358124,346.05
342.45,350.25,2026-01-06,350.7,72582738,337.75
341.25,343.0,2026-01-07,344.55,29440734,339.3
340.9,341.5,2026-01-08,345.15,36706319,339.05
337.15,340.9,2026-01-09,341.0,35193201,336.1
338.4,338.25,2026-01-12,339.5,16156143,335.8
334.7,339.0,2026-01-13,339.5,24922339,333.7
334.75,336.0,2026-01-14,336.0,14913422,333.45
329.2,337.5,2026-01-16,337.5,30526898,328.55
333.2,330.0,2026-01-19,334.65,15507440,327.3
326.3,334.05,2026-01-20,334.5,18771011,325.5
324.75,326.0,2026-01-21,329.3,14177965,324.35
324.85,326.1,2026-01-22,328.7,18622852,321.05
323.4,325.55,2026-01-23,326.4,11950089,322.7
318.65,323.6,2026-01-27,324.7,47847784,317.85
321.15,319.95,2026-01-28,323.7,28400238,319.35
318.6,322.6,2026-01-29,322.6,17719420,318.05
322.15,318.8,2026-01-30,325.15,41975824,316.45
314.7,309.45,2026-02-02,315.4,35227572,302.0
316.65,321.2,2026-02-03,324.75,33168353,311.6
313.85,312.5,2026-02-04,314.95,11196759,311.35
310.2,313.95,2026-02-05,315.35,15816704,309.3
325.8,310.0,2026-02-06,327.7,68057745,308.3
322.8,327.95,2026-02-09,328.7,20059198,321.65
321.4,323.0,2026-02-10,323.55,11489090,320.75
318.25,321.95,2026-02-11,322.2,24843366,316.3
317.45,317.3,2026-02-12,320.4,13294561,316.9
313.75,316.0,2026-02-13,318.4,8730618,313.25
317.95,313.75,2026-02-16,318.25,11693763,313.15
325.45,318.45,2026-02-17,328.05,39360672,318.15
332.45,326.0,2026-02-18,332.95,35473203,324.8
326.0,334.05,2026-02-19,334.25,19911747,325.0
327.0,325.05,2026-02-20,327.85,11282027,325.05
325.4,327.0,2026-02-23,328.1,13486092,324.4
323.5,324.0,2026-02-24,325.4,13135859,322.05
319.75,325.5,2026-02-25,326.6,13492101,318.1
318.3,320.0,2026-02-26,321.4,11270119,317.6
313.6,316.0,2026-02-27,317.75,13892595,312.65
314.9,307.0,2026-03-02,315.75,22194311,307.0
311.95,310.6,2026-03-04,315.5,24165489,310.5
311.5,312.2,2026-03-05,313.6,19938009,308.2
309.7,310.05,2026-03-06,312.3,21288269,309.2
306.0,305.0,2026-03-09,307.2,14084931,303.6
309.05,309.0,2026-03-10,310.0,18352950,303.75
309.0,309.05,2026-03-11,310.65,14842485,307.7
304.1,307.05,2026-03-12,308.0,23319679,302.85
301.45,304.0,2026-03-13,306.0,25659996,300.65
308.25,302.55,2026-03-16,309.45,37472204,302.0
304.85,309.95,2026-03-17,309.95,25649286,304.05
304.05,305.9,2026-03-18,306.95,16702554,303.5
298.0,301.5,2026-03-19,305.5,17851126,297.1
299.95,301.05,2026-03-20,308.75,58679529,298.15
290.45,298.9,2026-03-23,299.0,31788160,289.55
291.25,295.95,2026-03-24,296.0,33335721,288.75
295.7,292.7,2026-03-25,298.5,26184716,292.25
294.7,294.7,2026-03-27,296.85,22179022,291.55
287.7,293.6,2026-03-30,294.45,24586921,287.0
291.7,293.0,2026-04-01,294.45,18604340,290.9
292.85,290.25,2026-04-02,293.65,18082775,288.4
294.85,293.0,2026-04-06,295.35,18047063,290.25
298.45,294.15,2026-04-07,299.0,26963485,292.75
302.45,303.9,2026-04-08,304.6,22310207,301.55
303.0,301.5,2026-04-09,304.4,17691477,301.25
304.25,303.0,2026-04-10,305.4,17744386,302.6
298.65,300.0,2026-04-13,301.45,16522014,298.1
302.05,300.7,2026-04-15,304.0,18701403,300.55
303.4,302.95,2026-04-16,305.35,16512053,301.85
306.8,303.85,2026-04-17,309.95,35111203,303.85
305.0,307.0,2026-04-20,307.95,13540471,304.45
309.65,305.0,2026-04-21,311.1,24411865,304.55
305.5,310.0,2026-04-22,310.55,24500511,305.1
305.3,304.0,2026-04-23,306.35,10701849,303.25
301.6,306.65,2026-04-24,306.65,17011704,301.1
303.85,303.65,2026-04-27,305.65,14382348,302.85
304.45,304.4,2026-04-28,305.8,12907339,302.55
316.25,305.1,2026-04-29,317.5,31199038,305.1
314.9,316.25,2026-04-30,317.5,11541956,313.3
311.1,317.9,2026-05-04,317.9,20245091,310.5
311.45,311.1,2026-05-05,313.7,26795704,309.65
310.7,312.8,2026-05-06,313.6,20287609,309.25
307.4,311.45,2026-05-07,311.65,25718615,307.0
307.45,308.9,2026-05-08,308.9,17739844,305.7
305.85,307.0,2026-05-11,308.0,14968661,305.15
300.7,305.35,2026-05-12,306.25,15968338,300.1
304.45,302.0,2026-05-13,305.8,13024778,301.05
307.2,305.0,2026-05-14,309.2,11113377,304.85
309.45,307.2,2026-05-15,312.05,11954564,306.3
310.15,309.45,2026-05-18,312.3,14422870,306.5
310.3,311.95,2026-05-19,314.25,17519355,308.35
307.55,309.0,2026-05-20,309.65,12127920,306.2
308.05,309.85,2026-05-21,311.3,21868988,305.8
301.7,305.9,2026-05-22,307.0,30751752,301.0
303.95,303.95,2026-05-25,305.5,15734247,302.35
301.65,304.35,2026-05-26,304.4,37560542,301.1
291.95,295.65,2026-05-27,296.35,25446093,291.05
286.9,292.0,2026-05-29,292.4,31930439,285.9
279.65,287.8,2026-06-01,288.55,23477875,278.3
283.25,279.5,2026-06-02,283.6,20206131,277.1
277.0,282.35,2026-06-03,282.35,28001438,275.2
280.3,277.0,2026-06-04,280.65,22017634,275.05
280.7,280.0,2026-06-05,281.4,16065822,277.85
279.45,279.0,2026-06-08,283.45,15779677,276.95
280.0,281.7,2026-06-09,281.7,12302522,277.15
283.65,280.0,2026-06-10,285.85,19823743,278.65
282.4,283.0,2026-06-11,283.25,12603100,281.2
285.1,283.55,2026-06-12,285.85,12893433,283.0
287.9,287.0,2026-06-15,288.85,11194950,286.7
291.65,288.15,2026-06-16,292.15,14467499,287.5
290.75,291.95,2026-06-17,292.35,8626353,290.0
291.15,291.05,2026-06-18,291.9,10409670,288.0
292.5,289.8,2026-06-19,294.55,13874008,288.4
291.25,292.8,2026-06-22,293.95,9947873,290.05
290.0,291.25,2026-06-23,293.15,9410364,289.65
290.35,290.0,2026-06-24,291.4,6218635,289.45
290.0,290.35,2026-06-25,292.25,11230239,289.2
290.7,290.45,2026-06-29,291.9,10110022,289.35
286.95,291.5,2026-06-30,291.6,18180676,285.5
290.3,287.85,2026-07-01,291.0,6551425,287.1
289.9,290.7,2026-07-02,291.0,12722639,287.7
289.95,291.3,2026-07-03,291.6,6517591,289.0
288.25,289.95001220703125,2026-07-06,290.3999938964844,27122919,287.6000061035156
288.75,288.29998779296875,2026-07-07,290.70001220703125,18489823,286.54998779296875
280.6499938964844,286.8999938964844,2026-07-08,287.8500061035156,21590787,280.0
282.04998779296875,281.25,2026-07-09,284.3999938964844,12509277,281.0
281.75,282.8500061035156,2026-07-10,283.6499938964844,11768231,280.8500061035156
279.6499938964844,281.3500061035156,2026-07-13,281.5,12548497,279.5
275.54998779296875,279.25,2026-07-14,280.6499938964844,15006157,275.0
276.6499938964844,276.6499938964844,2026-07-15,277.70001220703125,8521206,275.29998779296875
279.3500061035156,277.0,2026-07-16,280.45001220703125,11216307,276.0
280.70001220703125,279.3500061035156,2026-07-17,281.95001220703125,15212666,277.79998779296875
282.70001220703125,280.70001220703125,2026-07-20,283.70001220703125,9911225,279.5
281.0,283.0,2026-07-21,283.95001220703125,9852105,278.79998779296875
280.79998779296875,280.5,2026-07-22,282.20001220703125,12993715,278.5
281.29998779296875,279.95001220703125,2026-07-23,284.0,21142308,279.6499938964844
283.45001220703125,279.54998779296875,2026-07-24,284.8500061035156,24953605,279.54998779296875
285.8500061035156,287.75,2026-07-27,287.8999938964844,19308929,285.5
284.6499938964844,284.8999938964844,2026-07-28,287.95001220703125,14843878,282.29998779296875
286.25,285.6000061035156,2026-07-29,289.04998779296875,19029524,284.1499938964844
