close,open,date,high,volume,low
293.55,303.4,2025-07-28,305.65,274114,292.2
300.25,297.0,2025-07-29,302.0,175641,291.55
293.95,301.95,2025-07-30,302.4,164346,292.2
290.55,292.5,2025-07-31,293.85,138897,286.45
285.85,291.9,2025-08-01,293.0,111402,285.0
292.55,286.0,2025-08-04,294.0,157798,285.25
289.6,293.75,2025-08-05,295.2,135685,288.1
299.55,293.0,2025-08-06,304.05,1905933,293.0
320.3,305.0,2025-08-07,325.75,12671623,305.0
303.65,320.0,2025-08-08,320.0,1086308,300.5
300.85,300.5,2025-08-11,303.0,628048,292.3
302.6,303.3,2025-08-12,309.0,502609,301.25
302.6,303.6,2025-08-13,310.85,480010,300.15
291.3,300.0,2025-08-14,300.2,505036,289.55
294.15,299.9,2025-08-18,304.0,571528,292.75
295.2,296.0,2025-08-19,296.4,170409,292.75
295.15,296.35,2025-08-20,297.9,155580,294.15
297.6,296.5,2025-08-21,304.4,350435,295.05
295.9,297.6,2025-08-22,302.25,372083,293.2
294.0,298.8,2025-08-25,298.8,154589,293.15
288.05,293.7,2025-08-26,294.1,151915,287.0
283.05,287.85,2025-08-28,287.85,183347,282.1
284.15,282.85,2025-08-29,286.1,156844,280.05
284.4,285.75,2025-09-01,286.5,153975,282.0
301.9,285.55,2025-09-02,311.9,5079876,284.0
315.25,303.4,2025-09-03,322.0,4472628,303.0
310.65,317.9,2025-09-04,319.85,1417471,307.1
308.05,311.9,2025-09-05,316.0,509760,306.05
314.1,309.25,2025-09-08,317.15,596915,304.5
309.0,315.1,2025-09-09,315.1,258510,307.0
308.8,309.9,2025-09-10,314.0,370568,307.2
307.3,309.0,2025-09-11,310.1,241535,305.55
309.5,308.2,2025-09-12,312.3,287372,306.0
322.55,310.85,2025-09-15,331.5,3904949,310.85
323.05,323.5,2025-09-16,326.4,654902,318.5
319.95,324.45,2025-09-17,326.0,394371,318.1
316.65,321.2,2025-09-18,321.9,354496,315.2
320.35,316.8,2025-09-19,323.0,605954,314.65
323.25,320.35,2025-09-22,329.9,914854,319.05
322.55,324.8,2025-09-23,333.25,937274,318.0
316.6,321.05,2025-09-24,323.45,315968,315.15
310.55,315.4,2025-09-25,317.0,403393,309.1
303.35,309.9,2025-09-26,310.75,333812,301.5
301.15,304.55,2025-09-29,307.75,320399,299.05
301.6,301.25,2025-09-30,304.65,193860,299.3
307.05,302.0,2025-10-01,308.5,229386,301.1
315.85,307.0,2025-10-03,317.7,580011,305.8
317.45,319.0,2025-10-06,329.8,1031847,313.15
324.15,320.4,2025-10-07,331.7,1750161,318.5
356.65,340.0,2025-10-08,372.85,70864481,333.0
337.7,356.35,2025-10-09,358.5,8966017,336.0
340.5,337.7,2025-10-10,358.45,15760713,331.2
340.45,339.0,2025-10-13,345.6,2603750,332.35
327.6,338.0,2025-10-14,339.75,1544814,324.1
325.1,326.95,2025-10-15,330.4,1055084,322.25
336.55,325.5,2025-10-16,351.4,15343202,325.5
336.35,332.0,2025-10-17,340.5,2035585,331.15
333.95,337.0,2025-10-20,337.8,862608,328.65
335.35,336.6,2025-10-21,342.0,418348,333.45
328.7,336.05,2025-10-23,337.75,779795,327.1
329.75,328.7,2025-10-24,333.8,947372,327.35
332.6,331.05,2025-10-27,340.4,1305006,329.2
329.95,333.5,2025-10-28,333.5,491563,328.25
332.6,332.0,2025-10-29,336.95,862202,328.3
329.2,332.6,2025-10-30,335.0,428317,328.05
324.7,330.5,2025-10-31,330.9,445498,323.0
327.0,324.8,2025-11-03,330.4,514697,323.55
323.4,327.0,2025-11-04,328.0,345430,321.1
315.85,324.8,2025-11-06,325.0,437667,314.5
314.55,315.0,2025-11-07,318.35,413254,310.85
317.55,315.8,2025-11-10,320.8,435176,314.7
316.25,319.5,2025-11-11,319.5,248279,312.7
321.85,317.8,2025-11-12,328.95,1400939,317.3
323.0,323.65,2025-11-13,327.6,559373,321.05
316.55,318.0,2025-11-14,321.0,416302,314.05
316.2,316.55,2025-11-17,319.9,297463,314.5
311.95,317.1,2025-11-18,318.5,221284,310.25
308.15,313.95,2025-11-19,313.95,262131,305.0
305.65,307.5,2025-11-20,311.45,361242,305.0
297.25,305.5,2025-11-21,307.5,445987,295.05
325.15,297.7,2025-11-24,332.95,33742009,297.0
311.05,322.95,2025-11-25,323.0,3863075,308.3
309.6,308.0,2025-11-26,313.15,1040434,306.6
314.1,308.9,2025-11-27,324.55,2600915,308.9
309.4,314.0,2025-11-28,314.0,544313,307.85
308.4,311.0,2025-12-01,314.4,411764,307.1
305.95,309.0,2025-12-02,309.6,409365,304.65
305.05,307.8,2025-12-03,308.8,363876,303.0
303.0,305.2,2025-12-04,307.25,289139,302.2
301.6,303.95,2025-12-05,305.2,328884,298.2
306.0,304.5,2025-12-08,317.55,3210923,301.75
304.8,304.5,2025-12-09,306.0,800474,296.0
301.35,307.9,2025-12-10,311.2,501778,300.3
302.55,303.0,2025-12-11,303.75,290040,299.5
305.1,303.95,2025-12-12,306.7,359037,302.5
303.6,306.95,2025-12-15,306.95,216061,302.4
301.85,304.2,2025-12-16,304.4,256384,300.5
299.5,301.95,2025-12-17,303.95,260950,298.15
294.25,299.4,2025-12-18,299.7,242009,293.4
313.8,312.95,2025-12-19,331.75,32273744,308.2
312.6,313.9,2025-12-22,317.5,1593951,308.35
310.35,313.0,2025-12-23,313.9,520665,308.4
313.1,311.7,2025-12-24,317.55,1354456,310.1
313.95,314.2,2025-12-26,328.0,2700046,310.25
312.55,314.35,2025-12-29,314.35,796799,306.05
310.25,313.35,2025-12-30,315.0,509591,307.2
309.85,311.75,2025-12-31,316.95,582173,308.15
310.85,312.4,2026-01-01,314.85,419012,310.1
312.05,311.95,2026-01-02,314.4,422132,310.35
312.25,313.0,2026-01-05,321.45,530592,311.3
309.45,313.45,2026-01-06,314.25,305608,308.15
310.1,310.0,2026-01-07,310.95,278370,307.2
303.6,310.1,2026-01-08,311.35,338433,301.1
298.55,303.0,2026-01-09,304.35,419831,296.5
296.1,300.5,2026-01-12,300.5,531006,289.3
305.0,298.8,2026-01-13,317.85,15723808,298.35
301.05,305.0,2026-01-14,305.0,640265,300.1
301.95,302.35,2026-01-16,304.9,507557,300.5
297.6,299.1,2026-01-19,300.0,286699,296.2
290.55,297.0,2026-01-20,300.7,617105,289.0
286.6,290.55,2026-01-21,291.75,605205,281.25
290.7,291.9,2026-01-22,293.8,340402,288.0
279.65,292.0,2026-01-23,292.0,302733,277.0
279.05,280.0,2026-01-27,283.5,470325,271.0
292.9,282.0,2026-01-28,302.0,2246016,281.8
291.35,295.0,2026-01-29,296.0,541792,286.05
288.95,288.5,2026-01-30,295.8,567610,285.7
283.45,284.5,2026-02-02,287.9,406319,276.5
289.3,295.0,2026-02-03,295.95,317971,285.9
290.75,289.5,2026-02-04,292.0,288425,287.0
293.35,290.8,2026-02-05,300.8,940925,288.8
289.9,291.9,2026-02-06,291.9,281882,287.6
294.0,290.25,2026-02-09,295.35,447703,290.25
296.0,296.0,2026-02-10,305.6,737642,294.5
293.5,297.8,2026-02-11,298.0,231689,291.4
293.6,293.0,2026-02-12,296.55,360751,288.75
289.1,291.95,2026-02-13,291.95,243309,285.8
282.75,289.8,2026-02-16,289.8,352116,281.55
283.85,283.5,2026-02-17,287.0,188239,282.85
285.8,286.9,2026-02-18,289.9,223911,284.9
281.75,288.0,2026-02-19,288.0,180101,280.0
280.6,283.0,2026-02-20,283.35,185673,278.5
278.45,280.9,2026-02-23,282.75,155455,276.5
273.5,276.0,2026-02-24,278.35,191152,272.15
270.8,274.9,2026-02-25,278.2,203931,270.0
273.6,272.0,2026-02-26,277.6,245016,272.0
270.3,273.0,2026-02-27,274.65,114609,268.0
260.5,251.1,2026-03-02,267.0,379240,251.1
253.3,255.3,2026-03-04,257.05,278853,250.55
256.7,255.0,2026-03-05,262.55,377816,252.5
259.15,258.05,2026-03-06,268.2,441526,256.1
250.8,253.0,2026-03-09,253.9,245110,246.1
256.8,254.0,2026-03-10,257.7,198775,251.25
253.4,256.8,2026-03-11,263.9,249594,252.1
258.95,253.35,2026-03-12,262.6,428538,246.35
242.3,261.0,2026-03-13,261.0,488634,240.45
277.15,243.05,2026-03-16,289.8,87087971,240.0
275.25,293.15,2026-03-17,297.7,40480691,270.0
264.4,275.0,2026-03-18,276.55,7475145,261.35
274.55,261.6,2026-03-19,285.7,30474771,257.5
270.6,272.55,2026-03-20,274.4,2147397,267.1
253.45,266.0,2026-03-23,269.0,1289598,250.05
256.05,262.0,2026-03-24,262.3,941119,251.05
260.6,257.0,2026-03-25,263.2,703395,257.0
252.0,260.15,2026-03-27,260.6,725989,250.0
239.05,251.1,2026-03-30,251.1,764353,237.0
255.34,248.79,2026-04-01,256.8,931855,245.03
254.83,250.01,2026-04-02,256.87,571761,245.87
258.22,254.99,2026-04-06,259.54,581799,250.61
256.84,257.0,2026-04-07,261.95,500345,255.21
266.75,268.39,2026-04-08,268.39,982278,261.63
297.39,268.3,2026-04-09,303.9,96009610,265.22
292.46,296.0,2026-04-10,298.08,7160762,290.15
289.07,287.14,2026-04-13,291.0,1863100,278.49
291.6,294.75,2026-04-15,296.99,1331304,290.88
291.04,294.0,2026-04-16,296.75,808172,289.25
297.33,292.1,2026-04-17,307.93,3123698,291.28
291.91,297.0,2026-04-20,297.68,671337,291.0
294.19,291.0,2026-04-21,302.96,983066,291.0
304.23,293.95,2026-04-22,319.9,32536647,292.61
303.85,302.76,2026-04-23,306.95,1571872,300.11
298.19,304.0,2026-04-24,306.75,972669,295.01
299.67,299.29,2026-04-27,303.2,732437,298.51
305.51,300.0,2026-04-28,312.34,1944429,298.13
302.77,305.32,2026-04-29,306.89,627403,301.07
298.88,302.5,2026-04-30,302.55,555272,294.54
299.9,301.4,2026-05-04,303.7,563978,296.3
301.7,300.0,2026-05-05,310.8,987823,299.3
302.1,303.3,2026-05-06,304.2,484423,299.1
303.65,303.5,2026-05-07,307.5,813302,300.5
300.05,303.65,2026-05-08,304.6,491285,299.3
293.15,298.55,2026-05-11,298.8,435052,292.05
283.0,292.75,2026-05-12,294.05,393254,281.1
289.05,284.0,2026-05-13,290.0,394699,283.25
291.3,290.1,2026-05-14,294.2,479567,283.05
286.75,292.2,2026-05-15,293.4,361700,285.1
284.25,285.0,2026-05-18,285.5,293169,277.5
285.85,284.0,2026-05-19,289.7,290491,284.0
286.0,283.75,2026-05-20,287.5,280335,280.25
287.2,289.9,2026-05-21,292.2,334795,286.15
288.6,288.0,2026-05-22,292.35,318979,287.4
290.75,290.75,2026-05-25,295.75,491161,290.0
300.3,293.0,2026-05-26,312.2,4401502,292.0
301.4,303.0,2026-05-27,303.95,640114,298.6
300.4,307.15,2026-05-29,313.65,1947665,297.15
295.45,301.8,2026-06-01,304.0,481825,293.5
296.6,294.5,2026-06-02,298.05,375933,289.0
297.55,296.5,2026-06-03,298.8,388430,292.3
301.8,296.1,2026-06-04,309.0,1206671,294.9
302.0,302.8,2026-06-05,310.45,777791,300.1
296.3,298.95,2026-06-08,306.6,453318,293.0
300.2,296.95,2026-06-09,302.25,299267,295.65
293.75,302.0,2026-06-10,303.65,249396,292.0
288.8,293.0,2026-06-11,293.5,234982,287.25
299.25,295.9,2026-06-12,301.0,763910,292.0
301.75,302.0,2026-06-15,306.45,457627,301.0
303.15,303.85,2026-06-16,309.45,546786,301.75
306.2,305.95,2026-06-17,314.4,1350463,304.55
311.15,308.9,2026-06-18,316.8,1654990,307.0
312.45,310.75,2026-06-19,325.85,2700187,309.15
311.25,313.65,2026-06-22,318.5,746842,310.3
308.6,312.0,2026-06-23,313.1,481302,305.8
307.45,308.0,2026-06-24,311.3,305563,305.1
301.6,308.6,2026-06-25,311.0,399401,300.05
296.1,303.1,2026-06-29,304.0,313321,295.05
297.7,296.75,2026-06-30,300.45,204863,296.75
301.8,298.0,2026-07-01,308.4,780567,298.0
299.7,303.15,2026-07-02,304.0,296627,298.2
297.95,303.85,2026-07-03,304.0,262814,296.3
297.1000061035156,300.0,2026-07-06,303.29998779296875,311799,296.3999938964844
292.1499938964844,298.0,2026-07-07,298.45001220703125,307033,290.6000061035156
284.8999938964844,292.45001220703125,2026-07-08,294.45001220703125,353845,283.20001220703125
287.75,286.20001220703125,2026-07-09,291.04998779296875,271958,286.0
290.25,291.0,2026-07-10,294.8500061035156,274652,288.75
290.54998779296875,290.25,2026-07-13,291.6499938964844,235357,287.8500061035156
