close,open,date,high,volume,low
646.65,646.0,2025-07-17,657.0,315155,643.7
640.35,646.0,2025-07-18,648.2,149180,638.5
643.65,640.05,2025-07-21,646.65,161022,636.15
634.1,645.35,2025-07-22,647.95,167422,632.05
645.3,638.0,2025-07-23,648.8,353164,634.0
674.05,646.45,2025-07-24,680.0,3027985,640.1
658.1,676.0,2025-07-25,676.0,598110,652.15
638.8,650.0,2025-07-28,658.75,323004,635.65
647.15,636.0,2025-07-29,650.0,241537,633.2
654.15,650.0,2025-07-30,668.0,721576,639.85
638.6,634.0,2025-07-31,648.4,328886,625.05
626.0,639.0,2025-08-01,649.95,319084,621.0
628.45,626.0,2025-08-04,632.65,205505,618.0
626.6,626.0,2025-08-05,637.95,167431,622.55
618.6,626.15,2025-08-06,632.45,145785,616.0
612.4,613.0,2025-08-07,618.7,329289,596.05
593.15,611.0,2025-08-08,614.55,194839,590.0
593.45,593.0,2025-08-11,599.5,218058,585.0
601.2,594.0,2025-08-12,606.2,211849,593.5
606.7,604.0,2025-08-13,624.0,319649,600.0
606.15,607.0,2025-08-14,610.4,120137,600.0
626.5,614.7,2025-08-18,631.0,415510,610.25
642.0,625.0,2025-08-19,647.9,548119,621.0
642.9,641.0,2025-08-20,648.0,226673,638.2
633.35,643.6,2025-08-21,654.0,213904,632.0
638.4,632.0,2025-08-22,647.0,318388,628.0
636.65,640.0,2025-08-25,663.9,1120867,634.0
618.1,636.0,2025-08-26,637.0,508921,615.0
603.7,617.0,2025-08-28,617.1,257372,602.0
594.95,605.0,2025-08-29,611.05,291554,592.8
612.65,595.0,2025-09-01,617.0,309680,595.0
611.45,613.0,2025-09-02,617.75,267961,607.0
614.45,610.0,2025-09-03,624.1,232082,607.4
606.45,628.5,2025-09-04,634.4,379358,605.0
613.6,607.05,2025-09-05,619.5,229416,605.0
622.8,618.5,2025-09-08,632.7,297646,614.1
626.75,625.0,2025-09-09,631.9,270579,616.5
631.35,625.9,2025-09-10,638.0,393309,623.2
625.85,631.35,2025-09-11,641.5,245561,623.4
712.95,644.0,2025-09-12,732.8,43244953,643.95
736.75,715.0,2025-09-15,764.3,23550754,713.1
717.95,736.75,2025-09-16,748.0,5740997,710.0
735.95,720.1,2025-09-17,758.5,9811287,711.1
735.75,735.9,2025-09-18,744.25,1405140,727.3
725.6,734.95,2025-09-19,742.5,1080266,722.7
741.7,725.8,2025-09-22,747.0,2069456,721.0
738.2,750.0,2025-09-23,790.0,11236046,731.15
727.85,739.9,2025-09-24,740.0,1022302,724.6
712.75,722.25,2025-09-25,726.9,736257,710.0
686.0,705.0,2025-09-26,706.85,867632,682.5
678.65,686.0,2025-09-29,696.0,525215,676.0
670.25,681.0,2025-09-30,686.3,463126,667.3
681.35,671.8,2025-10-01,684.8,390920,670.4
682.8,681.5,2025-10-03,688.4,375227,675.95
677.4,682.8,2025-10-06,691.1,279485,675.7
668.95,673.05,2025-10-07,678.9,271469,667.1
659.0,669.0,2025-10-08,673.5,335362,656.25
652.85,658.8,2025-10-09,662.8,246582,650.9
664.55,652.55,2025-10-10,671.45,639582,652.55
650.65,657.25,2025-10-13,659.9,313144,647.0
638.05,650.65,2025-10-14,654.6,370545,635.2
653.0,635.5,2025-10-15,657.85,379984,635.0
659.9,658.0,2025-10-16,666.95,318259,650.85
649.55,657.0,2025-10-17,658.0,194234,645.0
653.6,650.0,2025-10-20,667.9,373253,650.0
655.35,653.6,2025-10-21,662.5,81694,653.0
654.0,660.0,2025-10-23,662.0,195236,651.7
649.0,652.5,2025-10-24,656.5,149480,645.0
654.2,649.0,2025-10-27,668.7,474312,647.35
657.25,655.0,2025-10-28,664.55,231496,653.0
677.65,664.0,2025-10-29,684.5,979666,660.1
680.95,680.1,2025-10-30,691.2,546225,678.0
665.0,680.0,2025-10-31,680.0,428056,662.0
658.95,669.0,2025-11-03,672.95,299205,655.85
649.15,659.7,2025-11-04,663.15,168804,648.0
639.75,650.0,2025-11-06,652.85,250913,632.0
634.1,640.0,2025-11-07,640.05,227031,628.35
627.2,630.65,2025-11-10,639.0,141361,625.0
632.45,626.0,2025-11-11,635.0,195917,621.05
635.55,632.45,2025-11-12,643.45,221931,632.45
631.55,633.55,2025-11-13,645.0,234305,629.35
633.4,632.0,2025-11-14,635.25,119353,628.0
642.35,639.4,2025-11-17,645.0,207497,634.15
630.8,641.0,2025-11-18,641.0,157382,629.15
624.95,629.0,2025-11-19,632.7,137047,623.7
624.55,631.0,2025-11-20,634.25,102670,623.25
614.6,626.5,2025-11-21,627.65,152343,610.1
606.25,614.5,2025-11-24,614.6,177263,603.0
606.5,606.25,2025-11-25,612.4,126654,603.3
617.25,606.4,2025-11-26,618.9,139417,604.05
618.15,620.6,2025-11-27,624.45,87641,615.0
614.0,619.95,2025-11-28,621.45,101169,612.15
612.85,612.0,2025-12-01,627.8,188432,611.0
612.15,615.05,2025-12-02,616.55,121464,607.7
604.75,610.0,2025-12-03,615.0,116687,602.05
602.35,601.05,2025-12-04,609.0,115767,599.3
590.05,602.95,2025-12-05,603.15,192133,586.85
567.3,590.0,2025-12-08,592.0,236134,564.05
571.5,565.0,2025-12-09,580.0,272731,551.7
558.7,573.95,2025-12-10,578.25,146245,556.05
565.15,559.95,2025-12-11,567.2,151948,551.9
570.85,566.0,2025-12-12,585.0,128189,564.0
576.1,570.25,2025-12-15,579.0,112766,563.8
562.9,576.1,2025-12-16,576.1,108048,560.6
552.35,562.15,2025-12-17,568.5,164142,550.15
543.9,551.7,2025-12-18,553.95,211012,540.2
572.1,550.0,2025-12-19,586.0,4535569,547.25
572.45,569.95,2025-12-22,580.1,257400,569.65
577.95,574.0,2025-12-23,584.1,264762,569.6
639.95,582.4,2025-12-24,658.8,35985695,580.0
622.5,639.95,2025-12-26,640.1,2552664,615.6
608.7,616.0,2025-12-29,627.45,637908,605.2
634.2,608.0,2025-12-30,648.5,8205131,605.0
627.35,631.5,2025-12-31,633.8,756592,620.05
625.65,625.0,2026-01-01,633.1,293274,622.45
666.6,626.25,2026-01-02,674.65,13084529,625.0
651.3,659.2,2026-01-05,664.9,743273,647.2
640.5,648.6,2026-01-06,652.5,345028,638.55
665.4,639.0,2026-01-07,681.0,4258923,634.0
637.35,660.0,2026-01-08,662.8,847849,634.3
613.7,637.35,2026-01-09,639.05,625257,610.45
599.75,613.55,2026-01-12,613.55,1039989,585.3
607.7,603.0,2026-01-13,623.6,832077,598.1
600.9,607.05,2026-01-14,611.0,427796,596.6
592.8,601.0,2026-01-16,608.7,351251,590.0
586.8,592.05,2026-01-19,593.8,303938,583.25
562.65,586.0,2026-01-20,588.1,495585,553.65
552.4,558.0,2026-01-21,568.25,543503,548.15
551.95,558.5,2026-01-22,566.3,342802,550.0
529.0,555.0,2026-01-23,557.9,431556,525.3
537.5,530.25,2026-01-27,543.75,527212,518.0
561.85,537.0,2026-01-28,566.75,923832,534.05
561.6,564.6,2026-01-29,567.25,381667,546.4
564.05,558.0,2026-01-30,573.6,726826,548.0
556.3,545.0,2026-02-02,567.9,502013,542.1
570.1,601.45,2026-02-03,603.0,369505,567.35
597.85,572.95,2026-02-04,618.4,4395376,567.35
585.15,593.8,2026-02-05,593.8,383426,580.6
580.65,580.0,2026-02-06,588.85,275189,573.0
597.75,585.0,2026-02-09,601.95,354260,583.55
603.65,598.0,2026-02-10,612.4,335319,598.0
610.1,603.65,2026-02-11,612.4,485619,601.0
596.5,608.05,2026-02-12,608.05,228087,592.9
579.85,593.05,2026-02-13,593.05,206986,578.0
