close,open,date,high,volume,low
931.45,943.0,2025-07-16,945.7,1500910,929.7
950.45,935.5,2025-07-17,953.0,1652952,929.85
957.15,951.9,2025-07-18,962.9,1480756,948.35
960.05,957.95,2025-07-21,972.65,1346529,957.6
965.0,963.2,2025-07-22,973.45,1858427,960.0
977.4,969.45,2025-07-23,981.0,1618809,963.55
1000.45,980.0,2025-07-24,1006.35,3629756,978.2
1000.15,1001.95,2025-07-25,1003.1,2197185,990.35
977.7,1000.45,2025-07-28,1001.4,1295974,972.0
984.35,975.0,2025-07-29,989.0,499540,973.0
982.85,989.4,2025-07-30,993.45,964425,980.7
965.0,971.2,2025-07-31,979.3,2114119,958.35
945.5,968.1,2025-08-01,971.0,1363054,941.55
980.2,948.1,2025-08-04,991.0,2939641,948.1
999.8,983.0,2025-08-05,1003.2,1411354,978.0
985.9,998.5,2025-08-06,1001.7,1098509,983.1
999.5,985.85,2025-08-07,1003.2,2528535,980.55
974.1,999.5,2025-08-08,1000.25,923189,971.25
991.0,975.05,2025-08-11,993.0,585167,972.35
998.5,981.2,2025-08-12,1004.0,1211533,979.7
996.35,1007.0,2025-08-13,1021.75,3231630,988.0
975.4,999.05,2025-08-14,999.45,1846204,968.2
992.85,990.0,2025-08-18,999.55,1909764,980.0
1005.25,995.0,2025-08-19,1009.1,1121842,990.55
1016.25,1003.2,2025-08-20,1022.0,1564199,997.6
1010.15,1016.25,2025-08-21,1019.35,3047183,1006.2
997.25,1010.0,2025-08-22,1010.75,1818098,993.8
996.2,1003.1,2025-08-25,1004.4,1542533,992.1
977.15,994.95,2025-08-26,999.45,6927411,970.9
964.7,980.0,2025-08-28,982.0,673705,960.75
945.8,970.4,2025-08-29,974.4,968556,943.55
962.85,944.95,2025-09-01,965.0,1593811,943.3
975.15,964.45,2025-09-02,982.0,1277690,956.1
1028.35,973.0,2025-09-03,1030.0,4521491,973.0
1031.85,1028.0,2025-09-04,1037.4,1350756,1020.2
1034.85,1031.85,2025-09-05,1039.0,793972,1027.2
1041.55,1036.95,2025-09-08,1057.15,1823229,1036.15
1034.1,1043.0,2025-09-09,1044.45,766328,1023.2
1039.6,1036.0,2025-09-10,1042.05,722139,1030.05
1040.4,1037.0,2025-09-11,1044.7,882337,1032.6
1035.95,1041.95,2025-09-12,1046.3,578783,1027.2
1046.3,1034.9,2025-09-15,1049.95,618202,1033.2
1053.35,1046.3,2025-09-16,1056.0,1224328,1038.45
1033.65,1056.95,2025-09-17,1059.4,634304,1029.35
1047.65,1039.95,2025-09-18,1052.55,702731,1030.3
1046.0,1048.0,2025-09-19,1049.95,943974,1036.0
1032.45,1045.5,2025-09-22,1051.6,685776,1029.6
1062.7,1035.0,2025-09-23,1069.7,1889834,1028.05
1052.65,1062.7,2025-09-24,1065.75,729744,1046.05
1051.7,1048.0,2025-09-25,1059.3,1534438,1045.0
1029.5,1048.0,2025-09-26,1061.95,858507,1027.85
