close,open,date,high,volume,low
162.91,166.26,2025-07-28,172.9,6149706,161.7
163.38,162.91,2025-07-29,164.7,5611784,159.47
157.01,163.85,2025-07-30,164.52,3867005,156.09
157.83,155.2,2025-07-31,160.54,4139160,154.91
151.92,157.8,2025-08-01,157.89,3731425,151.4
157.2,151.92,2025-08-04,157.99,5283261,149.9
154.13,158.0,2025-08-05,159.17,2742145,153.0
154.33,154.87,2025-08-06,156.45,3147416,152.6
155.02,154.1,2025-08-07,155.6,2763958,151.99
155.29,154.52,2025-08-08,160.44,5909482,154.4
159.99,156.5,2025-08-11,166.8,24737584,152.75
162.65,166.42,2025-08-12,167.6,18004600,158.55
187.07,164.45,2025-08-13,190.0,92462028,163.51
185.89,185.81,2025-08-14,189.59,23446982,182.5
186.31,188.5,2025-08-18,191.7,11439374,184.01
188.37,186.52,2025-08-19,189.0,7545537,181.88
184.57,188.4,2025-08-20,188.55,4965155,183.5
189.73,185.4,2025-08-21,196.0,17760812,183.39
193.02,190.0,2025-08-22,199.8,21636789,187.75
192.46,193.77,2025-08-25,195.4,6344959,190.9
186.68,190.1,2025-08-26,191.6,4965878,186.11
182.98,187.0,2025-08-28,187.98,3805904,177.7
177.48,180.5,2025-08-29,185.08,5573665,176.55
185.07,178.5,2025-09-01,186.8,6587253,178.5
183.25,186.0,2025-09-02,186.55,3909744,181.03
189.51,183.69,2025-09-03,193.0,11540884,183.69
182.13,190.1,2025-09-04,191.08,7821087,181.64
184.38,182.8,2025-09-05,189.18,5403476,182.13
192.24,185.9,2025-09-08,193.6,8641775,182.82
190.72,192.95,2025-09-09,195.6,5382054,189.37
175.66,190.99,2025-09-10,192.39,10612384,174.53
180.42,177.0,2025-09-11,181.25,6323283,176.28
179.96,181.1,2025-09-12,184.54,3901588,178.12
180.53,180.0,2025-09-15,181.74,3114873,178.15
178.03,180.9,2025-09-16,183.35,3225738,175.8
175.95,179.45,2025-09-17,180.3,2832430,174.06
176.13,177.1,2025-09-18,177.75,1990064,175.0
171.6,176.13,2025-09-19,176.35,4264145,171.0
171.25,170.1,2025-09-22,174.41,5397972,167.63
172.65,172.07,2025-09-23,176.0,4742146,171.41
171.24,173.1,2025-09-24,173.61,2605452,170.15
165.37,171.69,2025-09-25,171.69,3316732,164.51
163.3,166.0,2025-09-26,170.42,5596857,161.98
161.77,162.55,2025-09-29,164.38,2763013,160.6
159.7,162.6,2025-09-30,164.22,3113479,157.63
163.2,160.5,2025-10-01,164.0,3364464,158.0
168.28,164.3,2025-10-03,169.55,3624660,162.45
175.79,168.97,2025-10-06,177.39,7890958,166.11
174.53,175.31,2025-10-07,176.31,2922380,172.77
177.83,175.0,2025-10-08,179.9,5484613,173.4
176.33,177.82,2025-10-09,178.34,2000874,175.14
170.87,176.33,2025-10-10,177.27,2914470,170.0
177.7,169.25,2025-10-13,178.5,4331856,169.01
173.06,177.7,2025-10-14,179.8,3141325,172.22
177.95,172.96,2025-10-15,178.62,2281455,172.51
175.14,177.99,2025-10-16,182.5,6240928,173.04
171.48,175.03,2025-10-17,175.4,2791160,170.2
173.54,171.65,2025-10-20,175.0,2709457,170.0
170.9,173.7,2025-10-21,174.85,1002935,169.68
171.0,172.8,2025-10-23,175.7,2751665,170.14
171.49,171.6,2025-10-24,174.1,1256036,171.06
169.79,172.25,2025-10-27,174.45,2160836,169.11
170.46,170.11,2025-10-28,172.1,1688172,168.35
171.16,171.49,2025-10-29,171.57,3587412,164.21
167.19,171.5,2025-10-30,173.02,2006907,166.12
164.02,166.91,2025-10-31,168.53,2260566,162.53
167.61,164.02,2025-11-03,168.3,1798995,164.02
165.39,168.21,2025-11-04,168.3,1233953,165.0
161.93,166.04,2025-11-06,168.4,3491933,160.97
158.85,158.69,2025-11-07,161.07,4224242,153.85
146.9,157.01,2025-11-10,158.45,10214451,145.24
147.42,147.64,2025-11-11,148.0,4108918,143.4
151.47,148.05,2025-11-12,152.0,3197763,146.62
154.1,151.47,2025-11-13,164.56,25115859,151.47
150.67,154.8,2025-11-14,154.8,3558536,149.05
149.7,151.0,2025-11-17,151.48,3601693,147.35
146.71,149.71,2025-11-18,150.39,2826708,146.24
147.52,146.8,2025-11-19,151.35,3004924,146.6
144.48,148.5,2025-11-20,148.7,2206161,144.0
140.06,144.81,2025-11-21,144.81,4294234,138.76
137.38,140.06,2025-11-24,141.4,4814560,136.6
139.9,138.3,2025-11-25,141.98,3749394,137.5
145.56,140.4,2025-11-26,146.03,4769271,139.9
146.41,146.01,2025-11-27,149.39,3768711,144.72
145.35,147.5,2025-11-28,148.67,2534292,144.1
154.58,146.5,2025-12-01,159.73,61803708,146.5
153.12,153.1,2025-12-02,153.5,6284056,150.5
149.14,153.0,2025-12-03,153.11,3322628,148.11
143.69,148.8,2025-12-04,149.06,4178888,142.74
141.66,144.31,2025-12-05,145.35,2896819,141.13
138.27,141.66,2025-12-08,142.34,3172693,136.95
139.93,138.0,2025-12-09,140.7,4642576,134.2
140.82,140.1,2025-12-10,145.49,5816287,139.17
142.82,141.5,2025-12-11,143.83,2379949,139.4
146.2,143.53,2025-12-12,146.91,2974275,142.68
145.93,146.2,2025-12-15,146.89,1503283,144.7
143.53,145.98,2025-12-16,146.46,3495218,141.4
141.22,143.76,2025-12-17,144.5,1870544,140.51
143.07,141.9,2025-12-18,145.5,4244385,138.68
142.56,143.07,2025-12-19,145.0,4190489,140.36
143.43,144.2,2025-12-22,145.55,2720864,142.4
144.89,144.5,2025-12-23,148.3,3359188,143.6
144.91,145.61,2025-12-24,147.5,2010283,144.41
144.29,145.45,2025-12-26,146.2,2181347,143.6
144.16,144.0,2025-12-29,145.25,1323086,143.2
148.26,144.75,2025-12-30,149.49,8007101,144.4
150.1,148.42,2025-12-31,151.9,3426752,148.42
147.56,150.59,2026-01-01,150.66,1393299,146.95
149.06,148.0,2026-01-02,150.0,2017501,146.11
147.94,149.0,2026-01-05,149.7,1977255,145.79
143.64,148.0,2026-01-06,148.29,2285959,143.05
146.69,143.64,2026-01-07,147.23,2566080,142.01
141.98,146.2,2026-01-08,146.64,1878786,141.51
138.88,141.55,2026-01-09,143.21,2195988,137.85
136.97,138.44,2026-01-12,138.44,2581189,134.36
135.33,137.1,2026-01-13,138.8,2360889,133.94
138.96,136.0,2026-01-14,139.45,2468698,135.55
137.43,139.9,2026-01-16,142.3,2351448,135.5
134.67,136.9,2026-01-19,136.9,1595699,133.34
128.84,134.9,2026-01-20,134.91,2723070,128.31
127.14,128.5,2026-01-21,130.45,3445578,126.11
131.28,129.8,2026-01-22,132.14,1834007,128.27
128.26,131.8,2026-01-23,131.9,1657510,127.16
127.49,128.3,2026-01-27,128.64,1981004,125.5
129.5,127.99,2026-01-28,129.99,2271673,126.65
128.18,128.8,2026-01-29,132.0,4154474,124.99
128.95,126.22,2026-01-30,130.0,2020669,125.51
122.05,121.63,2026-02-02,123.2,3237029,116.39
127.3,127.1,2026-02-03,129.0,3252541,125.0
131.46,127.5,2026-02-04,132.0,2380349,126.26
124.9,132.0,2026-02-05,132.0,3154381,124.5
122.24,124.76,2026-02-06,124.76,7363243,117.5
130.68,124.4,2026-02-09,132.0,4778095,123.83
140.43,133.7,2026-02-10,142.0,18667456,132.53
138.19,140.43,2026-02-11,140.43,4842396,135.24
141.1,137.8,2026-02-12,141.79,4213635,135.13
136.5,139.5,2026-02-13,139.79,2598697,135.7
135.99,135.56,2026-02-16,137.39,4518274,130.38
137.78,135.99,2026-02-17,138.7,1547647,134.56
142.81,138.98,2026-02-18,144.9,7557411,137.15
138.1,143.0,2026-02-19,143.93,1835205,137.5
134.83,138.1,2026-02-20,138.11,2716453,133.89
134.72,135.63,2026-02-23,137.41,1522093,134.05
132.88,134.26,2026-02-24,135.0,1260677,131.26
133.59,135.0,2026-02-25,135.0,1739740,132.31
132.78,134.5,2026-02-26,135.99,1572229,132.08
127.74,133.15,2026-02-27,133.8,3248284,127.0
125.63,125.0,2026-03-02,127.44,3089971,123.0
122.31,123.14,2026-03-04,124.12,3253821,120.5
125.25,122.7,2026-03-05,129.0,2511126,120.0
121.74,124.63,2026-03-06,125.88,1470367,120.01
115.73,117.5,2026-03-09,119.67,3549038,114.5
121.05,118.09,2026-03-10,124.01,3780224,115.6
121.69,121.5,2026-03-11,128.6,5637927,119.61
123.38,121.5,2026-03-12,126.2,4036935,118.2
118.44,122.0,2026-03-13,122.45,2739305,117.5
119.3,119.6,2026-03-16,121.8,4063699,115.0
119.98,119.8,2026-03-17,122.35,3278478,117.17
127.39,121.0,2026-03-18,128.99,6402462,120.4
122.47,123.22,2026-03-19,125.96,2345985,122.0
123.16,124.28,2026-03-20,125.39,1800489,122.08
117.66,120.56,2026-03-23,120.57,3779260,115.84
120.44,121.9,2026-03-24,121.9,2240096,118.05
124.54,121.97,2026-03-25,126.4,4056796,121.25
119.74,124.3,2026-03-27,124.3,3390016,119.25
113.61,117.8,2026-03-30,118.5,4151488,112.0
120.3,118.65,2026-04-01,121.46,2415457,116.93
120.15,115.83,2026-04-02,120.62,1947782,115.4
122.28,120.5,2026-04-06,123.23,2909776,119.17
120.64,121.5,2026-04-07,122.8,1659298,120.0
128.9,124.61,2026-04-08,133.15,5210257,124.11
130.32,128.99,2026-04-09,133.95,5506847,127.0
134.04,132.0,2026-04-10,134.85,3209291,131.2
132.6,131.8,2026-04-13,133.33,2528134,128.7
135.14,135.0,2026-04-15,136.52,2554906,134.06
134.67,135.5,2026-04-16,137.3,1728082,133.03
137.39,135.4,2026-04-17,138.61,2854641,134.47
133.31,137.39,2026-04-20,138.6,2633492,132.7
133.46,133.48,2026-04-21,135.41,1494229,132.29
133.83,132.8,2026-04-22,135.43,1698167,132.0
139.1,133.11,2026-04-23,139.9,5031807,132.42
138.71,141.89,2026-04-24,143.82,7851083,137.0
140.56,139.36,2026-04-27,141.9,2791666,137.75
137.83,140.56,2026-04-28,141.86,1779641,136.8
136.81,139.0,2026-04-29,140.7,1651321,136.36
139.07,136.03,2026-04-30,139.88,3301259,133.91
142.54,140.0,2026-05-04,143.2,3455317,139.27
142.33,142.9,2026-05-05,144.9,2442658,141.5
143.03,143.4,2026-05-06,144.25,1274342,141.05
142.85,143.7,2026-05-07,146.16,2777531,142.28
145.25,142.85,2026-05-08,147.2,3008373,142.09
140.93,144.53,2026-05-11,144.53,1675874,140.22
135.72,140.0,2026-05-12,140.6,2581826,135.05
139.33,135.7,2026-05-13,139.7,1799889,135.05
137.5,139.44,2026-05-14,140.0,1091419,135.91
133.81,138.2,2026-05-15,138.24,1026241,133.15
129.18,132.89,2026-05-18,132.89,1826062,127.0
129.05,128.56,2026-05-19,130.63,1807262,128.1
128.1,127.97,2026-05-20,128.88,2113332,125.74
129.65,129.7,2026-05-21,131.98,1651304,128.42
128.98,130.28,2026-05-22,130.28,1248222,127.78
132.35,130.0,2026-05-25,133.15,1965233,129.45
132.51,133.0,2026-05-26,136.9,2238224,132.05
131.5,133.7,2026-05-27,134.1,1268339,131.15
130.36,132.15,2026-05-29,133.9,2377331,129.0
118.75,125.01,2026-06-01,127.74,9371443,117.4
129.16,117.97,2026-06-02,130.9,18600489,114.5
122.67,129.16,2026-06-03,129.42,5560345,121.86
121.19,122.67,2026-06-04,122.73,2881857,120.5
121.41,121.5,2026-06-05,124.56,2762499,120.52
117.8,120.5,2026-06-08,121.1,2153152,117.1
119.22,118.91,2026-06-09,120.4,2321948,118.6
117.95,119.25,2026-06-10,120.5,1792994,117.5
115.69,117.5,2026-06-11,118.26,2201819,115.0
120.63,116.5,2026-06-12,122.0,4099737,116.17
