close,open,date,high,volume,low
18.8,19.28,2025-07-02,19.3,84150019,18.57
18.67,18.85,2025-07-03,18.94,67561555,18.37
18.95,18.67,2025-07-04,19.09,74804403,18.52
22.65,19.1,2025-07-07,22.74,931561171,18.95
22.39,23.2,2025-07-08,23.84,708814670,21.83
22.37,22.39,2025-07-09,23.54,414818397,22.1
23.03,22.47,2025-07-10,23.5,344609519,22.15
23.63,23.15,2025-07-11,24.85,499795562,23.15
27.23,24.2,2025-07-14,27.7,1033357031,23.08
24.51,27.1,2025-07-15,27.14,477464349,24.5
23.75,24.51,2025-07-16,24.93,322107383,22.92
22.73,23.75,2025-07-17,23.94,155253637,22.39
22.86,22.76,2025-07-18,23.48,191936022,22.41
21.52,23.05,2025-07-21,23.08,125656706,21.41
21.42,21.61,2025-07-22,22.4,85553417,21.32
21.51,21.8,2025-07-23,22.19,91552131,20.86
21.11,21.6,2025-07-24,21.66,40396347,21.0
20.12,21.04,2025-07-25,21.06,57037915,20.05
20.41,20.1,2025-07-28,20.9,52797533,19.77
21.43,20.41,2025-07-29,21.43,46578689,20.12
21.45,21.89,2025-07-30,22.1,63397527,21.16
21.0,20.74,2025-07-31,21.36,50443294,20.5
20.14,21.0,2025-08-01,21.15,37951209,20.02
19.45,20.0,2025-08-04,20.17,52723883,19.26
19.27,19.49,2025-08-05,19.65,35057217,18.95
19.08,19.4,2025-08-06,19.5,37482095,18.71
18.94,18.97,2025-08-07,19.05,37400028,18.36
19.16,19.0,2025-08-08,19.64,57981153,18.82
19.36,19.45,2025-08-11,19.56,30920088,19.0
18.88,19.35,2025-08-12,19.37,21184280,18.81
18.91,18.9,2025-08-13,19.27,21135041,18.81
18.56,19.0,2025-08-14,19.0,27191900,18.37
18.25,18.84,2025-08-18,18.91,25366702,18.18
19.16,18.27,2025-08-19,19.16,35812300,18.14
19.05,19.48,2025-08-20,19.57,45791238,18.9
19.07,19.3,2025-08-21,19.84,46130513,19.01
18.87,19.07,2025-08-22,19.15,19707261,18.83
18.7,18.94,2025-08-25,19.03,20276698,18.61
18.05,18.61,2025-08-26,18.72,20964626,18.01
18.95,18.95,2025-08-28,18.95,36511359,18.66
18.39,19.3,2025-08-29,19.63,65744817,18.29
18.52,18.6,2025-09-01,18.86,31307679,18.39
18.38,18.51,2025-09-02,18.93,25233583,18.25
18.36,18.41,2025-09-03,18.67,29464321,18.27
18.17,18.5,2025-09-04,18.85,34372489,18.14
19.07,18.44,2025-09-05,19.07,64484330,18.08
20.02,20.02,2025-09-08,20.02,19018486,19.5
19.25,20.4,2025-09-09,20.4,79616973,19.13
19.26,19.38,2025-09-10,19.74,41275098,19.2
19.09,19.26,2025-09-11,19.4,23543555,19.01
18.91,19.1,2025-09-12,19.23,22374177,18.86
18.87,18.97,2025-09-15,19.14,23202929,18.71
19.08,18.87,2025-09-16,19.27,23690463,18.76
19.05,19.2,2025-09-17,19.25,17867498,19.0
18.83,19.06,2025-09-18,19.13,18026472,18.8
18.68,18.83,2025-09-19,19.04,31215105,18.5
18.52,18.68,2025-09-22,18.87,17467712,18.5
18.32,18.57,2025-09-23,18.62,18543532,18.22
18.03,18.3,2025-09-24,18.49,23161417,17.93
17.81,18.04,2025-09-25,18.18,17272755,17.8
17.59,17.81,2025-09-26,17.86,19377884,17.51
17.53,17.58,2025-09-29,17.86,17481324,17.45
17.43,17.55,2025-09-30,17.79,14265057,17.31
17.76,17.45,2025-10-01,17.85,18144155,17.43
18.55,17.8,2025-10-03,18.64,38277229,17.74
18.06,18.6,2025-10-06,18.6,16170046,18.02
17.9,18.06,2025-10-07,18.53,30629003,17.8
17.97,18.1,2025-10-08,18.42,32775722,17.81
17.95,18.1,2025-10-09,18.12,15993480,17.81
18.47,17.99,2025-10-10,19.15,66119449,17.92
18.35,18.4,2025-10-13,18.54,21962234,18.19
17.95,18.35,2025-10-14,18.46,23530424,17.9
18.09,18.09,2025-10-15,18.26,18485417,18.03
18.01,18.14,2025-10-16,18.24,12235912,17.95
17.91,18.04,2025-10-17,18.1,14577227,17.84
17.88,17.99,2025-10-20,17.99,18034158,17.61
18.01,18.03,2025-10-21,18.1,4518671,17.97
17.99,18.06,2025-10-23,18.32,30013964,17.86
17.96,18.07,2025-10-24,18.13,15673249,17.9
17.9,18.0,2025-10-27,18.19,11776344,17.87
17.89,17.89,2025-10-28,18.0,19281491,17.65
18.2,17.98,2025-10-29,18.4,42074601,17.78
17.89,18.22,2025-10-30,18.44,19683051,17.85
18.02,17.96,2025-10-31,18.24,25445670,17.78
18.0,18.02,2025-11-03,18.4,24570197,17.94
17.89,17.99,2025-11-04,18.15,20726505,17.86
17.69,17.89,2025-11-06,17.96,22761318,17.52
17.61,17.65,2025-11-07,17.7,18014512,17.33
17.93,17.89,2025-11-10,18.35,31413591,17.78
18.01,18.01,2025-11-11,18.12,13653620,17.8
17.98,18.18,2025-11-12,18.3,23123151,17.93
17.94,17.96,2025-11-13,18.33,31676088,17.92
17.76,17.8,2025-11-14,17.99,17883896,17.71
17.84,17.85,2025-11-17,18.2,21533262,17.78
17.64,17.84,2025-11-18,17.9,19823498,17.6
20.27,17.8,2025-11-19,20.75,652366086,17.8
21.64,21.22,2025-11-20,22.79,714154580,21.06
20.01,21.56,2025-11-21,21.58,279718135,19.79
19.36,20.01,2025-11-24,20.23,120484567,19.18
19.65,19.41,2025-11-25,20.3,148687852,19.4
19.22,19.92,2025-11-26,19.92,79967185,19.14
18.65,19.24,2025-11-27,19.35,91293432,18.43
18.79,19.04,2025-11-28,19.75,184566014,18.66
18.77,19.0,2025-12-01,19.05,46428579,18.66
19.17,18.75,2025-12-02,19.78,145807027,18.7
19.36,19.25,2025-12-03,19.59,72806978,19.08
19.02,19.36,2025-12-04,19.45,45047370,18.9
18.92,19.0,2025-12-05,19.05,36417631,18.75
18.29,19.27,2025-12-08,19.27,49460327,18.14
18.71,18.2,2025-12-09,18.8,59261193,17.93
18.35,18.71,2025-12-10,18.83,30427625,18.3
18.29,18.39,2025-12-11,18.45,29577734,18.11
18.25,18.34,2025-12-12,18.62,26331136,18.2
18.11,18.25,2025-12-15,18.27,21705871,18.08
17.89,18.11,2025-12-16,18.17,22269191,17.79
17.92,17.91,2025-12-17,18.12,25438875,17.75
17.53,17.9,2025-12-18,18.03,45494773,17.5
17.94,17.63,2025-12-19,18.05,32660128,17.61
17.79,17.98,2025-12-22,18.05,24953013,17.75
17.78,17.85,2025-12-23,17.96,22200578,17.7
17.61,17.83,2025-12-24,17.94,25482472,17.5
17.31,17.61,2025-12-26,17.68,30160277,17.22
17.11,17.31,2025-12-29,17.4,28537002,17.0
16.97,17.08,2025-12-30,17.11,24442028,16.87
