close,open,date,high,volume,low
533.15,534.6,2025-08-12,539.4,1582468.0,531.1
535.0,534.1,2025-08-13,538.95,1205129.0,533.85
529.15,535.0,2025-08-14,535.75,1062841.0,525.85
533.6,534.5,2025-08-18,540.65,2426463.0,531.15
533.3,533.6,2025-08-19,535.0,1331520.0,530.4
531.75,532.2,2025-08-20,539.15,2552499.0,531.0
521.3,532.0,2025-08-21,532.3,2595769.0,519.2
517.9,520.7,2025-08-22,522.6,2099250.0,513.3
521.45,518.9,2025-08-25,525.8,3246470.0,515.8
513.1,520.0,2025-08-26,521.6,1985173.0,511.45
497.65,513.0,2025-08-28,513.0,2117153.0,496.2
488.45,498.05,2025-08-29,498.85,2020026.0,485.5
501.1,490.0,2025-09-01,501.9,1287794.0,488.0
511.3,504.0,2025-09-02,513.1,2096621.0,499.55
509.05,511.3,2025-09-03,515.5,1579405.0,508.35
502.5,509.9,2025-09-04,513.75,1691028.0,501.5
504.1,502.1,2025-09-05,507.15,1075403.0,499.55
510.2,505.2,2025-09-08,520.0,1649154.0,505.2
506.1,511.95,2025-09-09,512.35,1197551.0,505.0
519.0,508.9,2025-09-10,523.0,2428381.0,508.2
521.55,518.65,2025-09-11,529.5,2031990.0,516.45
525.75,525.0,2025-09-12,529.6,1823634.0,523.1
532.0,523.95,2025-09-15,535.0,1875958.0,523.15
540.05,532.45,2025-09-16,551.25,5756908.0,532.0
535.0,541.9,2025-09-17,545.3,1370817.0,534.0
537.8,535.4,2025-09-18,542.5,1135518.0,533.8
545.5,551.0,2025-09-19,552.0,4396075.0,542.65
542.95,547.0,2025-09-22,549.45,1883318.0,539.35
543.85,542.5,2025-09-23,555.5,3398352.0,541.1
535.15,546.05,2025-09-24,551.0,2427695.0,533.25
528.6,536.0,2025-09-25,539.85,2098712.0,527.15
520.1,526.15,2025-09-26,528.4,1451737.0,518.3
528.55,521.0,2025-09-29,531.85,1476731.0,520.2
530.85,526.5,2025-09-30,534.35,1505150.0,525.0
536.45,532.9,2025-10-01,538.0,840361.0,528.2
539.9,537.0,2025-10-03,542.35,1851581.0,532.05
541.0,539.9,2025-10-06,542.8,1940149.0,536.1
548.05,541.0,2025-10-07,557.4,4233559.0,538.55
534.45,547.05,2025-10-08,547.95,3256894.0,530.1
542.8,534.0,2025-10-09,544.0,1425566.0,532.55
546.0,542.8,2025-10-10,547.5,1605532.0,541.5
544.45,543.0,2025-10-13,546.5,1373686.0,538.65
541.05,546.0,2025-10-14,549.5,2538458.0,534.9
545.75,541.25,2025-10-15,547.1,1730184.0,537.6
548.6,545.75,2025-10-16,551.5,2481559.0,545.0
540.8,550.0,2025-10-17,552.7,3399859.0,536.75
525.2,539.6,2025-10-20,539.6,5106756.0,514.0
528.1,531.5,2025-10-21,531.5,489245.0,525.3
533.3,528.25,2025-10-23,535.0,2656263.0,522.85
531.15,533.0,2025-10-24,538.05,2323758.0,528.25
529.35,531.0,2025-10-27,535.85,2154794.0,527.8
