close,open,date,high,volume,low
630.9,626.0,2025-09-01,633.7,639421.0,625.7
635.6,635.0,2025-09-02,638.5,916379.0,626.6
634.85,638.4,2025-09-03,639.2,593520.0,633.3
654.2,646.9,2025-09-04,664.05,2541357.0,640.0
656.0,654.9,2025-09-05,661.2,1227777.0,650.7
659.8,654.0,2025-09-08,665.45,1032570.0,653.95
663.8,659.8,2025-09-09,666.0,748419.0,657.5
657.05,666.3,2025-09-10,667.75,1023567.0,653.2
651.65,657.05,2025-09-11,658.0,353574.0,650.65
635.15,653.7,2025-09-12,653.95,1509984.0,631.5
631.8,635.5,2025-09-15,636.0,861349.0,627.75
632.95,632.75,2025-09-16,637.3,1342924.0,629.9
627.7,634.0,2025-09-17,636.0,1451523.0,623.3
626.45,632.0,2025-09-18,632.05,2197144.0,620.05
626.4,629.95,2025-09-19,631.35,1518691.0,624.7
622.8,626.0,2025-09-22,631.6,1381355.0,621.05
616.7,624.6,2025-09-23,625.65,1702093.0,614.5
630.4,616.7,2025-09-24,632.6,3120429.0,611.55
621.7,629.0,2025-09-25,634.9,1675879.0,618.2
606.9,622.9,2025-09-26,623.95,2045929.0,604.4
607.05,610.0,2025-09-29,618.65,3154893.0,604.15
617.4,610.8,2025-09-30,620.85,1991845.0,609.0
619.4,617.4,2025-10-01,624.9,983213.0,614.35
628.45,619.6,2025-10-03,630.0,580209.0,619.4
623.35,629.0,2025-10-06,635.0,1531490.0,618.0
613.9,624.5,2025-10-07,628.95,2065698.0,611.25
603.0,613.9,2025-10-08,616.15,1674676.0,602.1
599.15,604.9,2025-10-09,605.75,1733574.0,597.5
602.3,599.15,2025-10-10,603.0,1355094.0,597.4
597.1,602.3,2025-10-13,603.7,1610741.0,593.6
583.65,602.0,2025-10-14,602.0,3465924.0,582.15
584.7,588.0,2025-10-15,588.0,879705.0,581.5
595.3,584.7,2025-10-16,597.0,1285374.0,584.55
592.65,597.0,2025-10-17,600.0,705171.0,590.2
590.75,595.05,2025-10-20,595.5,408741.0,589.45
590.7,592.0,2025-10-21,595.55,117879.0,588.25
599.4,593.5,2025-10-23,601.6,777837.0,589.25
590.55,601.75,2025-10-24,602.2,863280.0,586.5
595.7,591.55,2025-10-27,596.2,804991.0,587.6
600.75,595.7,2025-10-28,601.65,1169233.0,592.1
613.05,604.0,2025-10-29,614.9,2442944.0,598.0
613.25,613.05,2025-10-30,615.15,842569.0,607.2
597.85,616.25,2025-10-31,618.75,1402478.0,595.5
600.4,597.85,2025-11-03,601.3,681584.0,593.55
593.45,600.4,2025-11-04,603.3,1126048.0,588.6
583.25,592.0,2025-11-06,593.4,950388.0,581.5
576.5,581.9,2025-11-07,581.9,1703407.0,564.95
584.35,577.95,2025-11-10,588.9,866793.0,575.5
580.05,584.35,2025-11-11,590.6,2599968.0,576.05
585.3,581.05,2025-11-12,586.65,1226844.0,578.0
573.5,585.5,2025-11-13,588.75,2703484.0,570.95
615.3,604.95,2025-11-14,622.95,15681619.0,599.3
603.2,615.6,2025-11-17,619.0,2846271.0,601.15
600.35,605.9,2025-11-18,605.9,1729923.0,595.1
595.15,600.35,2025-11-19,603.25,1189327.0,593.5
591.15,594.2,2025-11-20,595.8,2658325.0,587.8
589.05,591.15,2025-11-21,597.0,1887192.0,587.0
589.05,589.05,2025-11-24,593.25,3314692.0,582.05
593.05,589.05,2025-11-25,596.5,1338159.0,586.5
605.0,593.0,2025-11-26,609.4,1896432.0,592.1
606.65,605.0,2025-11-27,612.9,922708.0,602.75
601.5,606.65,2025-11-28,608.65,923045.0,596.1
609.35,601.5,2025-12-01,610.5,1073603.0,600.15
603.45,610.0,2025-12-02,610.0,1067276.0,599.0
589.2,602.5,2025-12-03,602.95,1130814.0,588.0
590.9,589.2,2025-12-04,592.0,838723.0,585.75
593.2,590.0,2025-12-05,594.9,1155927.0,583.95
584.2,593.0,2025-12-08,595.6,921220.0,580.75
583.5,580.0,2025-12-09,588.45,740390.0,575.0
583.1,584.5,2025-12-10,588.6,860357.0,581.55
597.9,583.75,2025-12-11,599.2,1047488.0,581.35
583.55,599.0,2025-12-12,606.35,2413068.0,577.35
577.45,581.95,2025-12-15,581.95,1661085.0,570.55
560.2,577.5,2025-12-16,577.85,4616765.0,559.25
554.05,560.2,2025-12-17,562.95,1554041.0,548.4
558.7,557.0,2025-12-18,561.35,1224222.0,550.55
563.7,558.7,2025-12-19,566.4,1860282.0,557.0
568.5,567.0,2025-12-22,570.4,1672475.0,562.1
566.35,568.5,2025-12-23,570.1,1539279.0,563.1
563.65,568.0,2025-12-24,568.0,2850948.0,560.3
