close,open,date,high,volume,low
834.55,821.8,2025-07-17,851.8,847354,819.15
831.2,835.4,2025-07-18,843.3,275618,825.15
825.65,830.8,2025-07-21,843.45,215230,823.0
818.85,832.05,2025-07-22,833.65,178657,815.65
801.85,825.0,2025-07-23,825.0,500530,797.85
819.2,800.0,2025-07-24,829.0,282326,796.35
779.65,815.0,2025-07-25,815.0,477701,773.85
788.35,782.0,2025-07-28,802.5,281178,779.35
803.7,788.05,2025-07-29,809.0,223205,780.75
810.6,804.0,2025-07-30,815.9,229618,796.45
782.7,805.65,2025-07-31,845.55,1374167,776.2
754.4,784.1,2025-08-01,799.0,742052,743.15
747.5,755.3,2025-08-04,762.5,247186,738.75
732.7,747.5,2025-08-05,752.0,366956,725.65
717.0,731.1,2025-08-06,736.45,361696,708.9
708.3,715.0,2025-08-07,715.0,253289,695.25
700.8,708.0,2025-08-08,711.9,206705,695.0
696.65,697.0,2025-08-11,704.95,174255,682.0
696.9,696.0,2025-08-12,702.95,109788,689.1
698.2,701.0,2025-08-13,714.0,170560,696.0
701.7,707.1,2025-08-14,709.9,107301,697.8
707.35,704.6,2025-08-18,713.5,144381,694.75
700.65,711.4,2025-08-19,720.0,331538,698.1
702.4,700.95,2025-08-20,708.3,114544,695.1
713.25,705.95,2025-08-21,719.1,196151,705.9
717.05,713.2,2025-08-22,719.45,143064,708.2
722.9,716.95,2025-08-25,729.5,236738,711.65
728.2,722.9,2025-08-26,734.95,330866,712.85
728.05,727.0,2025-08-28,733.2,171178,721.3
725.4,730.9,2025-08-29,734.65,263899,722.0
730.75,732.6,2025-09-01,737.6,83840,723.05
731.45,731.95,2025-09-02,735.95,80744,726.95
731.7,734.9,2025-09-03,736.35,200293,729.5
731.85,735.5,2025-09-04,735.5,107206,729.9
717.8,736.85,2025-09-05,738.55,174988,715.55
717.7,719.45,2025-09-08,724.5,183557,706.55
713.0,721.6,2025-09-09,742.95,246251,710.0
715.3,715.95,2025-09-10,720.0,149862,710.05
713.9,715.3,2025-09-11,723.0,100447,711.95
708.35,713.9,2025-09-12,717.65,181239,698.3
706.8,712.0,2025-09-15,713.95,154867,700.05
716.7,704.0,2025-09-16,723.0,174097,703.3
717.7,716.7,2025-09-17,722.6,159783,708.55
709.3,716.0,2025-09-18,719.25,89395,707.0
673.85,711.8,2025-09-19,715.0,2085693,656.0
685.4,684.25,2025-09-22,693.95,291535,673.45
671.95,685.4,2025-09-23,687.6,228885,666.05
662.7,671.0,2025-09-24,671.7,252032,660.0
669.9,660.0,2025-09-25,672.5,132948,658.0
650.0,669.9,2025-09-26,669.9,397430,645.1
639.7,651.0,2025-09-29,654.25,197415,633.3
639.35,637.7,2025-09-30,642.05,117920,626.9
649.65,645.0,2025-10-01,652.0,236002,628.4
667.4,649.85,2025-10-03,670.3,220418,648.0
653.7,667.0,2025-10-06,667.15,120363,650.2
663.5,657.1,2025-10-07,667.4,219033,648.9
654.55,666.85,2025-10-08,671.75,231434,651.65
648.25,669.55,2025-10-09,669.55,186960,646.85
651.2,651.5,2025-10-10,657.4,145079,643.05
706.25,660.0,2025-10-13,719.0,8007607,654.0
712.8,694.35,2025-10-14,720.0,788313,681.5
697.8,709.75,2025-10-15,711.45,677470,679.05
706.65,702.85,2025-10-16,716.9,265024,695.05
699.35,704.95,2025-10-17,706.1,188240,690.15
677.4,700.0,2025-10-20,700.0,387655,669.45
686.2,671.0,2025-10-21,691.9,42570,671.0
684.9,684.05,2025-10-23,698.4,663147,672.45
677.7,681.0,2025-10-24,685.75,108220,675.45
677.25,679.0,2025-10-27,684.0,205316,670.65
692.35,679.8,2025-10-28,694.8,827620,664.2
689.15,693.5,2025-10-29,707.95,285910,684.1
697.5,685.2,2025-10-30,701.0,144954,684.9
689.95,695.1,2025-10-31,701.55,251771,682.75
691.6,691.0,2025-11-03,698.45,254804,683.8
690.55,691.55,2025-11-04,694.95,87521,686.3
664.4,687.1,2025-11-06,688.35,157304,661.7
654.8,662.95,2025-11-07,672.0,319827,643.8
