close,open,date,high,volume,low
515.0,525.3,2025-09-18,525.75,2750835.0,512.0
511.4,515.0,2025-09-19,517.5,2544795.0,510.75
505.25,511.5,2025-09-22,513.75,2318111.0,504.05
494.95,506.9,2025-09-23,506.9,3515718.0,494.0
479.1,496.95,2025-09-24,496.95,3388990.0,476.0
462.55,480.0,2025-09-25,485.1,7815628.0,460.5
455.8,463.5,2025-09-26,466.2,6220406.0,448.0
448.3,458.95,2025-09-29,459.15,7231883.0,442.25
454.3,455.3,2025-09-30,472.1,10172021.0,447.4
465.3,457.7,2025-10-01,466.25,2860820.0,455.45
492.15,468.0,2025-10-03,498.25,9945564.0,462.7
485.35,495.0,2025-10-06,495.65,4548669.0,479.0
487.7,488.55,2025-10-07,493.2,3252885.0,480.95
481.95,488.85,2025-10-08,496.4,3503857.0,480.15
482.95,485.0,2025-10-09,488.55,2192277.0,481.1
484.85,485.1,2025-10-10,488.9,1546536.0,482.3
474.8,483.0,2025-10-13,483.55,2122526.0,473.65
469.45,476.0,2025-10-14,478.2,2006000.0,468.0
477.0,468.0,2025-10-15,479.9,1519312.0,467.05
487.15,479.3,2025-10-16,492.3,4326210.0,476.05
489.85,487.05,2025-10-17,502.5,6416427.0,485.85
494.9,492.25,2025-10-20,498.8,2212049.0,489.65
492.1,500.0,2025-10-21,500.0,580370.0,490.0
494.15,494.95,2025-10-23,505.55,3922147.0,492.25
495.3,495.0,2025-10-24,500.35,1789782.0,492.35
505.85,496.75,2025-10-27,506.95,3225633.0,494.2
504.9,506.4,2025-10-28,514.3,2705182.0,503.2
513.2,505.0,2025-10-29,515.8,2747376.0,501.65
512.9,510.95,2025-10-30,520.0,2585955.0,508.1
509.7,513.1,2025-10-31,516.0,1364332.0,508.65
515.85,510.55,2025-11-03,518.7,2116978.0,507.55
522.6,515.0,2025-11-04,528.5,5177171.0,515.0
512.85,523.7,2025-11-06,525.0,2055368.0,510.15
512.8,514.9,2025-11-07,515.4,1994042.0,501.15
510.4,516.8,2025-11-10,526.15,7066021.0,505.95
509.4,513.0,2025-11-11,513.0,4125402.0,498.0
508.75,510.25,2025-11-12,515.0,1756494.0,505.7
498.75,509.75,2025-11-13,511.9,2684487.0,497.0
495.5,500.0,2025-11-14,501.4,2174899.0,491.0
495.45,498.7,2025-11-17,499.2,1393599.0,493.0
490.65,495.0,2025-11-18,495.4,1812929.0,486.05
499.6,490.0,2025-11-19,502.7,2396175.0,487.75
504.1,501.0,2025-11-20,514.3,3199562.0,499.8
496.45,504.1,2025-11-21,505.65,1396093.0,495.25
484.4,496.45,2025-11-24,499.55,1878992.0,481.05
482.8,482.35,2025-11-25,485.85,1222062.0,479.1
497.55,482.8,2025-11-26,498.8,1696869.0,481.5
493.9,500.0,2025-11-27,500.0,827820.0,490.1
505.35,495.0,2025-11-28,509.85,2786839.0,492.05
506.95,507.8,2025-12-01,516.0,2105078.0,504.55
501.3,506.95,2025-12-02,506.95,1013055.0,500.3
490.0,500.05,2025-12-03,500.95,2128152.0,486.85
490.1,491.9,2025-12-04,493.85,1122566.0,485.8
492.5,490.0,2025-12-05,494.5,1280000.0,486.5
475.05,492.5,2025-12-08,494.6,2067370.0,470.25
473.35,470.0,2025-12-09,475.8,2486218.0,459.05
460.7,475.0,2025-12-10,477.25,4168041.0,460.0
470.05,463.6,2025-12-11,474.9,1616190.0,459.9
479.3,473.35,2025-12-12,480.0,1471440.0,470.1
