close,open,date,high,volume,low
5808.5,5852.0,2025-08-12,5915.5,219706,5790.5
6060.0,5834.5,2025-08-13,6155.0,890291,5815.5
6116.5,6095.0,2025-08-14,6174.5,348121,6031.0
6279.0,6248.0,2025-08-18,6340.0,500720,6168.0
6272.0,6280.0,2025-08-19,6349.5,341755,6200.0
6200.5,6249.0,2025-08-20,6327.0,293182,6167.5
6145.5,6230.0,2025-08-21,6246.5,197399,6134.0
6209.0,6160.0,2025-08-22,6246.5,280060,6090.0
6231.5,6224.0,2025-08-25,6297.0,293849,6181.5
6197.5,6210.0,2025-08-26,6279.0,545935,6055.5
6195.0,6180.0,2025-08-28,6236.0,288821,6075.5
6123.0,6189.5,2025-08-29,6260.0,197699,6110.0
6600.0,6163.0,2025-09-01,6631.0,1581296,6150.0
6573.0,6650.0,2025-09-02,6730.0,745510,6508.0
6744.0,6573.0,2025-09-03,6792.0,710942,6573.0
6768.0,6800.5,2025-09-04,6900.0,518130,6724.0
6841.5,6798.0,2025-09-05,6930.0,463781,6777.0
7041.5,6984.5,2025-09-08,7198.0,873566,6832.0
7100.5,7041.5,2025-09-09,7154.0,534418,6960.0
7097.5,7139.0,2025-09-10,7174.5,359575,7059.5
7120.5,7080.0,2025-09-11,7196.0,300814,7072.0
7171.5,7149.0,2025-09-12,7239.5,367060,7081.0
7130.0,7198.5,2025-09-15,7210.0,222877,7120.5
7183.0,7130.0,2025-09-16,7239.0,375876,7070.0
7257.5,7210.5,2025-09-17,7275.0,435071,7157.0
7227.5,7275.0,2025-09-18,7294.0,190914,7211.0
7151.5,7225.0,2025-09-19,7344.5,1246689,6882.0
7083.5,7100.0,2025-09-22,7270.0,355487,7067.0
7242.0,7100.0,2025-09-23,7299.0,433904,7100.0
7454.0,7237.0,2025-09-24,7527.0,1033396,7224.0
7503.0,7455.0,2025-09-25,7624.0,756582,7451.5
7341.0,7490.0,2025-09-26,7509.0,413119,7279.0
7050.5,7399.0,2025-09-29,7489.5,695466,7021.0
7052.0,7120.0,2025-09-30,7120.0,310041,6990.0
7157.0,7086.0,2025-10-01,7244.0,288274,7068.0
7273.0,7170.0,2025-10-03,7296.0,182784,7122.5
7466.5,7304.5,2025-10-06,7650.0,487370,7190.5
7593.0,7505.0,2025-10-07,7705.0,791550,7452.0
7189.0,7593.0,2025-10-08,7609.0,798839,7165.5
7102.5,7223.0,2025-10-09,7272.0,691656,7082.5
7102.0,7110.0,2025-10-10,7183.0,344930,7053.5
6838.5,7070.0,2025-10-13,7074.0,1194945,6709.5
6911.0,6874.0,2025-10-14,7043.0,556166,6852.0
6958.5,6945.0,2025-10-15,7012.0,258385,6889.0
6991.5,7100.0,2025-10-16,7137.0,629817,6960.5
7019.0,7019.0,2025-10-17,7105.0,460516,6931.5
6862.5,7061.5,2025-10-20,7080.0,306344,6840.0
6867.0,6925.0,2025-10-21,6930.0,81514,6846.0
6704.0,6910.0,2025-10-23,6935.0,359839,6688.0
6689.0,6732.0,2025-10-24,6794.0,275988,6651.0
6737.5,6677.5,2025-10-27,6751.0,257074,6638.0
6842.0,6925.0,2025-10-28,6998.0,1025039,6804.0
6918.5,6867.0,2025-10-29,6964.0,344081,6733.5
6800.0,6875.0,2025-10-30,6917.5,228909,6780.0
6704.5,6813.0,2025-10-31,6852.5,206306,6682.5
6652.5,6709.0,2025-11-03,6712.5,222733,6613.0
6658.5,6664.5,2025-11-04,6725.0,437052,6540.0
6358.5,6890.0,2025-11-06,6890.0,1539949,6302.5
6225.0,6304.5,2025-11-07,6314.5,596124,6161.0
6482.0,6225.0,2025-11-10,6513.5,731274,6167.5
6455.5,6482.0,2025-11-11,6491.0,376612,6350.0
6433.5,6471.5,2025-11-12,6529.0,230312,6415.5
6376.5,6435.0,2025-11-13,6497.5,284213,6360.0
6332.0,6365.5,2025-11-14,6405.5,287029,6277.0
6237.0,6346.0,2025-11-17,6347.0,316277,6190.0
5889.0,6202.0,2025-11-18,6202.0,3155999,5855.5
5974.0,5889.0,2025-11-19,5996.5,702111,5778.5
5967.5,6010.0,2025-11-20,6034.5,335154,5951.5
5883.5,5936.0,2025-11-21,6048.5,503982,5870.0
5826.0,5900.0,2025-11-24,5938.0,418110,5801.0
5777.5,5860.0,2025-11-25,5864.0,412553,5755.5
5796.5,5830.0,2025-11-26,5962.0,1447755,5772.0
5573.5,5828.0,2025-11-27,5838.0,1546834,5543.5
5490.0,5595.0,2025-11-28,5610.0,951787,5475.5
5358.5,5510.0,2025-12-01,5529.0,922227,5321.5
5408.5,5369.0,2025-12-02,5458.0,556050,5331.5
5307.0,5419.0,2025-12-03,5433.5,548423,5274.5
4978.0,5307.0,2025-12-04,5307.0,2668338,4941.0
4353.5,4865.0,2025-12-05,4959.0,8397954,4311.0
3807.0,4409.5,2025-12-08,4530.0,10952174,3750.0
4331.0,3920.0,2025-12-09,4435.0,18448771,3712.5
3890.5,4417.5,2025-12-10,4517.5,13660579,3861.5
4041.5,3914.0,2025-12-11,4129.0,10748408,3830.0
4265.5,4119.0,2025-12-12,4281.5,7232940,4100.0
4197.5,4305.0,2025-12-15,4389.5,5369015,4172.0
4186.5,4214.0,2025-12-16,4240.0,2330821,4125.5
