close,open,date,high,volume,low
824.75,816.1,2025-08-22,830.5,330389.0,810.0
824.7,824.75,2025-08-25,830.0,163556.0,821.0
818.6,824.0,2025-08-26,824.0,380245.0,806.0
809.05,815.95,2025-08-28,815.95,208650.0,802.0
808.1,809.1,2025-08-29,814.45,263698.0,795.25
818.05,810.0,2025-09-01,819.0,204534.0,805.0
862.05,819.5,2025-09-02,878.0,2614207.0,814.75
847.75,864.65,2025-09-03,868.8,320426.0,844.6
861.15,851.05,2025-09-04,862.75,459834.0,843.3
853.05,859.9,2025-09-05,859.9,320316.0,847.2
856.15,850.05,2025-09-08,863.95,345891.0,847.45
879.15,858.95,2025-09-09,881.3,911925.0,856.15
870.3,880.0,2025-09-10,887.6,616900.0,863.0
858.95,871.0,2025-09-11,875.4,255800.0,854.15
876.8,861.95,2025-09-12,886.35,536059.0,854.15
882.25,881.65,2025-09-15,894.0,472062.0,870.95
882.55,881.0,2025-09-16,885.45,251673.0,873.45
881.4,882.0,2025-09-17,894.0,322491.0,878.05
873.85,882.5,2025-09-18,883.9,403419.0,863.2
866.1,875.0,2025-09-19,881.0,559869.0,861.0
866.15,866.1,2025-09-22,878.9,247603.0,862.8
883.9,891.0,2025-09-23,937.8,16870109.0,878.1
882.85,890.0,2025-09-24,896.25,790007.0,878.3
868.9,882.6,2025-09-25,883.0,362597.0,865.5
846.05,868.9,2025-09-26,870.85,383864.0,844.0
832.35,846.0,2025-09-29,851.75,411364.0,828.0
872.95,839.7,2025-09-30,880.9,1081080.0,838.15
853.7,862.9,2025-10-01,862.9,520635.0,847.55
854.55,853.7,2025-10-03,858.3,315588.0,845.3
857.55,854.55,2025-10-06,867.0,524298.0,850.0
862.2,864.0,2025-10-07,867.95,322109.0,855.0
861.95,863.85,2025-10-08,865.0,199792.0,853.85
855.2,862.2,2025-10-09,862.7,170660.0,852.5
853.8,857.8,2025-10-10,864.9,240845.0,852.1
858.15,852.55,2025-10-13,865.4,270104.0,848.05
857.15,892.0,2025-10-14,893.0,2439178.0,851.1
852.5,861.6,2025-10-15,861.6,549572.0,848.55
854.45,864.8,2025-10-16,865.5,869249.0,849.35
845.5,854.0,2025-10-17,854.0,326858.0,842.0
852.5,848.6,2025-10-20,868.4,386949.0,842.0
854.25,859.8,2025-10-21,859.8,78163.0,851.5
848.85,855.0,2025-10-23,858.8,326412.0,846.0
845.4,850.0,2025-10-24,850.35,185548.0,841.5
840.75,851.3,2025-10-27,851.95,224962.0,838.2
832.2,843.95,2025-10-28,845.5,253821.0,830.0
826.9,835.0,2025-10-29,835.5,230976.0,825.45
824.35,831.7,2025-10-30,832.0,381835.0,817.05
817.75,825.1,2025-10-31,826.3,197816.0,816.0
811.5,818.0,2025-11-03,821.05,204380.0,810.0
809.2,812.0,2025-11-04,814.4,398498.0,802.7
787.0,809.0,2025-11-06,811.1,436973.0,783.05
759.35,787.0,2025-11-07,787.0,1289302.0,757.6
722.25,765.0,2025-11-10,765.2,1277017.0,718.0
768.05,750.0,2025-11-11,774.0,6874619.0,722.0
797.7,772.75,2025-11-12,803.4,1845377.0,765.8
784.6,792.6,2025-11-13,792.6,664571.0,777.1
791.55,784.0,2025-11-14,803.05,717179.0,778.55
785.1,792.95,2025-11-17,796.7,569155.0,782.0
781.7,800.0,2025-11-18,800.0,1113263.0,770.0
710.35,747.65,2025-11-19,747.65,8337682.0,697.4
700.7,725.0,2025-11-20,725.0,5254242.0,697.6
699.2,703.0,2025-11-21,714.4,1476354.0,692.05
707.25,705.0,2025-11-24,712.0,1305593.0,692.55
699.75,710.0,2025-11-25,710.0,542913.0,698.2
700.55,704.75,2025-11-26,709.75,1804034.0,698.1
696.9,705.95,2025-11-27,711.9,1033999.0,694.0
685.75,700.0,2025-11-28,700.9,491046.0,682.0
694.25,688.0,2025-12-01,697.05,1088633.0,682.25
712.35,694.0,2025-12-02,717.7,1649718.0,690.5
720.35,712.8,2025-12-03,724.0,702489.0,708.75
713.6,718.75,2025-12-04,718.75,686910.0,702.05
703.9,714.0,2025-12-05,714.95,369739.0,701.6
