close,open,date,high,volume,low
1232.6,1263.0,2025-07-24,1263.5,684175,1225.0
1164.6,1201.0,2025-07-25,1208.0,4336918,1139.0
1149.0,1150.0,2025-07-28,1165.3,1308160,1142.0
1126.3,1135.0,2025-07-29,1149.0,934848,1114.5
1109.2,1128.0,2025-07-30,1137.0,1290937,1105.1
1082.9,1091.0,2025-07-31,1105.3,1360170,1077.2
1101.5,1082.9,2025-08-01,1124.2,2136082,1082.5
1123.8,1102.4,2025-08-04,1128.8,731600,1094.3
1120.6,1131.8,2025-08-05,1135.6,472698,1110.5
1110.9,1120.6,2025-08-06,1128.0,479104,1099.5
1089.7,1100.0,2025-08-07,1120.9,1123685,1072.5
1073.0,1085.1,2025-08-08,1088.3,1959646,1048.1
1091.4,1073.1,2025-08-11,1097.0,883832,1068.4
1086.3,1098.0,2025-08-12,1112.0,831097,1082.3
1114.5,1096.0,2025-08-13,1125.2,925152,1088.1
1128.9,1115.0,2025-08-14,1133.0,741668,1107.7
1115.5,1149.0,2025-08-18,1149.0,949186,1105.5
1125.4,1115.5,2025-08-19,1129.9,644479,1110.0
1115.8,1131.0,2025-08-20,1132.8,683902,1107.4
1127.7,1124.0,2025-08-21,1131.6,1125821,1108.8
1126.2,1126.0,2025-08-22,1139.7,843260,1115.5
1109.6,1132.0,2025-08-25,1136.7,565192,1105.1
1054.1,1111.0,2025-08-26,1114.7,1357572,1050.0
1050.0,1054.1,2025-08-28,1071.8,1160529,1039.1
1021.2,1042.0,2025-08-29,1052.4,1097260,1018.7
1070.2,1028.3,2025-09-01,1077.0,823855,1027.1
1057.0,1076.1,2025-09-02,1077.0,499827,1054.8
1067.0,1058.0,2025-09-03,1074.1,420037,1055.9
1058.0,1078.1,2025-09-04,1079.0,1072142,1051.2
1087.5,1058.0,2025-09-05,1098.1,1053785,1058.0
1098.9,1087.5,2025-09-08,1107.8,393307,1084.6
1099.4,1097.7,2025-09-09,1101.0,377783,1085.0
1115.9,1100.0,2025-09-10,1128.0,762476,1100.0
