close,open,date,high,volume,low
916.0,904.05,2025-07-23,926.5,289919,901.0
940.35,916.0,2025-07-24,945.0,339469,911.35
915.5,942.2,2025-07-25,942.95,260311,910.0
902.65,915.0,2025-07-28,916.6,171898,892.7
920.8,895.05,2025-07-29,924.0,132864,893.55
918.15,924.6,2025-07-30,931.9,64077,913.8
904.2,902.0,2025-07-31,914.0,91555,895.3
872.3,903.0,2025-08-01,907.2,99821,865.1
883.85,872.3,2025-08-04,888.9,161701,863.0
865.1,880.0,2025-08-05,890.7,102529,859.2
919.5,875.0,2025-08-06,943.45,4618879,869.75
910.8,914.0,2025-08-07,917.0,495767,883.95
904.85,909.45,2025-08-08,919.05,293446,896.8
912.25,905.0,2025-08-11,915.8,432839,898.0
896.2,910.65,2025-08-12,914.4,240104,888.35
905.0,898.2,2025-08-13,922.0,245991,891.2
902.5,905.0,2025-08-14,919.75,210732,898.7
944.1,911.8,2025-08-18,952.2,470473,908.05
961.3,952.0,2025-08-19,978.0,966827,940.0
961.2,968.2,2025-08-20,972.0,317142,950.2
946.85,969.0,2025-08-21,969.0,249379,931.3
948.9,943.95,2025-08-22,966.6,196116,936.0
976.7,948.9,2025-08-25,988.0,874360,948.15
923.6,978.0,2025-08-26,981.8,560452,915.1
900.2,910.0,2025-08-28,917.95,219245,894.25
898.45,895.0,2025-08-29,909.2,152381,895.0
916.4,896.0,2025-09-01,919.0,193547,892.4
916.4,919.95,2025-09-02,940.25,205933,912.05
893.5,910.0,2025-09-03,911.85,713647,870.95
880.2,905.1,2025-09-04,905.3,296194,871.65
866.5,885.0,2025-09-05,885.0,261630,862.0
863.1,866.5,2025-09-08,871.3,166512,855.8
863.0,863.1,2025-09-09,878.35,131302,861.0
888.1,870.0,2025-09-10,897.0,346801,864.65
881.95,891.0,2025-09-11,894.95,119226,880.0
886.3,890.0,2025-09-12,891.45,130621,879.35
889.35,891.55,2025-09-15,899.95,85959,887.0
931.2,888.45,2025-09-16,970.0,3812274,888.45
950.2,938.4,2025-09-17,954.9,375712,930.95
941.3,951.4,2025-09-18,958.0,170712,935.5
964.65,939.0,2025-09-19,970.0,352026,938.25
965.0,975.0,2025-09-22,976.8,199617,954.0
953.5,969.15,2025-09-23,971.1,101433,950.95
973.0,953.0,2025-09-24,984.2,377022,950.0
944.75,973.0,2025-09-25,973.95,162349,939.0
915.2,938.0,2025-09-26,950.0,175745,913.4
920.3,915.2,2025-09-29,933.5,321860,906.35
918.8,921.8,2025-09-30,927.0,100187,904.4
925.95,914.6,2025-10-01,933.05,240461,914.6
901.75,928.0,2025-10-03,928.5,227785,893.15
893.05,904.95,2025-10-06,905.7,146227,890.2
881.1,897.45,2025-10-07,900.05,183836,877.5
883.15,885.35,2025-10-08,896.0,133804,880.95
880.35,887.45,2025-10-09,888.8,71214,875.05
891.1,881.95,2025-10-10,897.65,123463,877.0
884.3,889.85,2025-10-13,892.0,80514,876.5
869.55,884.3,2025-10-14,886.75,85619,865.55
875.8,876.0,2025-10-15,879.0,56570,867.0
881.2,876.0,2025-10-16,902.95,156530,876.0
890.1,881.1,2025-10-17,897.65,170823,873.2
882.65,893.55,2025-10-20,894.1,142541,878.45
894.95,882.8,2025-10-21,898.0,32917,882.0
895.55,896.0,2025-10-23,903.85,145970,883.4
899.3,896.5,2025-10-24,913.5,177895,893.8
941.35,905.95,2025-10-27,946.75,325433,890.9
1005.7,941.35,2025-10-28,1014.9,3995688,938.05
1018.1,1005.0,2025-10-29,1025.0,782781,986.0
1016.6,1015.0,2025-10-30,1029.0,336016,1005.0
999.9,1018.0,2025-10-31,1023.0,200692,997.4
1018.95,990.1,2025-11-03,1023.0,346406,990.1
1015.2,1018.35,2025-11-04,1039.85,533970,1001.9
988.55,1012.7,2025-11-06,1029.0,285222,968.85
964.35,980.0,2025-11-07,981.35,187723,955.0
954.5,961.0,2025-11-10,966.15,162165,945.0
945.4,950.0,2025-11-11,960.65,101811,933.2
1058.65,1010.0,2025-11-12,1100.0,11370557,1010.0
1084.9,1060.0,2025-11-13,1094.35,1490971,1054.75
1092.05,1070.0,2025-11-14,1099.4,1008020,1064.25
1109.9,1102.45,2025-11-17,1122.4,639184,1091.45
1141.6,1114.0,2025-11-18,1148.0,727156,1101.45
1177.2,1145.0,2025-11-19,1185.5,1203236,1136.6
1181.45,1177.0,2025-11-20,1194.95,578678,1160.0
1163.2,1179.05,2025-11-21,1180.15,235733,1151.05
1130.0,1163.9,2025-11-24,1172.0,290689,1123.1
1157.5,1129.0,2025-11-25,1163.85,178174,1120.1
1147.85,1157.95,2025-11-26,1167.1,114689,1142.15
1141.7,1147.75,2025-11-27,1162.55,124251,1128.15
1124.85,1147.25,2025-11-28,1156.85,113233,1114.65
1118.1,1138.5,2025-12-01,1155.8,205892,1114.3
1113.6,1123.6,2025-12-02,1127.5,84817,1105.0
1085.2,1119.2,2025-12-03,1172.0,1021637,1068.3
1165.1,1085.8,2025-12-04,1180.0,3030054,1083.3
1130.8,1159.0,2025-12-05,1162.4,474065,1116.3
1096.8,1130.0,2025-12-08,1154.0,450111,1091.5
1123.4,1098.8,2025-12-09,1140.0,456314,1078.1
1112.5,1124.9,2025-12-10,1144.7,171757,1102.3
1116.3,1112.4,2025-12-11,1126.5,80137,1097.4
1144.6,1110.0,2025-12-12,1148.9,165950,1109.6
1136.1,1144.6,2025-12-15,1163.0,133584,1125.6
1227.1,1136.1,2025-12-16,1263.7,4788476,1136.1
1281.4,1237.0,2025-12-17,1290.0,4793330,1212.9
1285.4,1254.9,2025-12-18,1303.3,1626968,1214.7
1244.8,1280.0,2025-12-19,1294.2,606280,1240.0
1311.9,1258.3,2025-12-22,1329.0,1856879,1255.4
1298.3,1309.0,2025-12-23,1327.6,492681,1281.1
1263.6,1290.1,2025-12-24,1296.0,194350,1259.0
1269.8,1263.6,2025-12-26,1275.0,231331,1243.3
