close,open,date,high,volume,low
1213.0,1215.9,2025-08-14,1230.0,704643,1206.0
1208.5,1215.1,2025-08-18,1229.4,663130,1201.0
1199.5,1208.5,2025-08-19,1214.0,596405,1191.9
1214.6,1201.9,2025-08-20,1221.4,1116352,1193.6
1214.1,1214.6,2025-08-21,1225.0,560998,1208.2
1196.6,1212.5,2025-08-22,1218.6,858810,1192.5
1203.0,1213.4,2025-08-25,1237.5,1881697,1200.0
1200.1,1200.0,2025-08-26,1217.8,921540,1191.2
1184.4,1204.0,2025-08-28,1206.1,1213402,1176.0
1190.5,1180.0,2025-08-29,1197.4,730129,1167.5
1225.5,1192.0,2025-09-01,1228.0,540595,1186.7
1206.1,1225.5,2025-09-02,1229.5,1018542,1204.5
1216.4,1210.1,2025-09-03,1219.9,643844,1203.1
1224.9,1221.0,2025-09-04,1227.0,504560,1215.9
1233.0,1229.9,2025-09-05,1249.4,1009918,1220.0
1230.9,1233.0,2025-09-08,1238.2,462820,1217.9
1240.4,1234.0,2025-09-09,1254.5,963684,1229.3
1288.5,1241.0,2025-09-10,1291.9,1543794,1240.4
1261.3,1288.5,2025-09-11,1290.0,622590,1257.0
1252.9,1265.5,2025-09-12,1271.9,454361,1250.0
1251.8,1246.0,2025-09-15,1256.8,347973,1240.9
1248.2,1256.0,2025-09-16,1259.9,742090,1244.0
1296.9,1262.0,2025-09-17,1299.0,1588234,1259.0
1301.4,1303.2,2025-09-18,1328.0,1993365,1294.0
1285.2,1305.0,2025-09-19,1309.8,714104,1280.9
1262.4,1257.0,2025-09-22,1271.0,761244,1250.0
1249.7,1262.4,2025-09-23,1275.0,1018057,1246.6
1240.6,1249.7,2025-09-24,1249.7,391064,1238.0
1255.7,1239.0,2025-09-25,1280.0,1018183,1234.8
1212.8,1259.9,2025-09-26,1259.9,643346,1208.0
1209.8,1215.9,2025-09-29,1228.4,428466,1204.6
1097.7,1215.7,2025-09-30,1220.0,5978196,1066.2
1153.2,1110.0,2025-10-01,1163.3,3024116,1105.6
1157.7,1153.2,2025-10-03,1160.6,589353,1142.0
1156.7,1157.8,2025-10-06,1168.8,733234,1148.1
1170.5,1160.0,2025-10-07,1173.0,645531,1144.1
1160.8,1170.0,2025-10-08,1184.0,1506566,1151.5
1162.4,1160.8,2025-10-09,1168.7,575948,1145.3
1154.1,1162.4,2025-10-10,1175.9,739324,1150.9
1155.0,1145.0,2025-10-13,1159.7,415973,1135.7
1156.6,1159.8,2025-10-14,1190.0,599444,1142.0
1165.8,1156.0,2025-10-15,1170.0,411190,1148.1
1161.9,1170.0,2025-10-16,1173.5,693986,1150.1
1144.8,1160.0,2025-10-17,1163.3,804419,1141.0
1146.6,1145.0,2025-10-20,1154.4,312821,1142.0
1152.4,1152.0,2025-10-21,1155.3,78204,1148.0
1161.0,1159.9,2025-10-23,1179.2,1191842,1157.1
1178.7,1169.7,2025-10-24,1180.4,467315,1161.0
1207.0,1188.9,2025-10-27,1214.0,708504,1181.3
1190.3,1223.0,2025-10-28,1228.8,812079,1180.2
1194.1,1190.7,2025-10-29,1198.7,446515,1162.3
1171.5,1195.4,2025-10-30,1199.6,879409,1166.1
1166.7,1170.0,2025-10-31,1181.1,385752,1161.4
1164.0,1166.7,2025-11-03,1170.0,385914,1148.7
1155.4,1160.0,2025-11-04,1169.4,473254,1149.0
1159.2,1155.4,2025-11-06,1161.6,477984,1143.5
1153.0,1150.6,2025-11-07,1156.4,544548,1141.0
1192.9,1156.3,2025-11-10,1209.5,2229653,1147.2
1212.5,1184.1,2025-11-11,1216.4,976816,1170.7
1244.3,1212.0,2025-11-12,1246.9,1128899,1206.5
1238.7,1244.3,2025-11-13,1251.7,553299,1230.9
1222.2,1234.1,2025-11-14,1244.0,612843,1215.6
1216.0,1222.2,2025-11-17,1227.0,509828,1210.1
1195.1,1216.0,2025-11-18,1217.3,881401,1193.1
1203.1,1190.0,2025-11-19,1218.9,883112,1190.0
1196.6,1203.1,2025-11-20,1226.1,966267,1193.5
1168.9,1196.0,2025-11-21,1196.0,386138,1163.1
1198.2,1165.1,2025-11-24,1210.6,1478312,1165.1
1172.0,1198.3,2025-11-25,1199.6,450864,1168.8
1194.9,1172.5,2025-11-26,1197.5,476916,1168.1
1218.9,1194.5,2025-11-27,1222.0,750796,1194.0
1222.4,1219.0,2025-11-28,1228.9,462489,1210.5
1258.2,1218.3,2025-12-01,1272.0,1195256,1212.5
1253.5,1253.6,2025-12-02,1262.7,486300,1243.8
1258.7,1250.0,2025-12-03,1267.1,573428,1249.0
1269.8,1258.7,2025-12-04,1284.9,828119,1256.0
1267.0,1275.0,2025-12-05,1275.0,435214,1258.6
1220.5,1261.0,2025-12-08,1261.4,454257,1213.4
1206.1,1208.0,2025-12-09,1223.0,547606,1194.0
1198.7,1206.9,2025-12-10,1219.8,494500,1192.0
1232.5,1198.0,2025-12-11,1236.2,420052,1195.0
1237.9,1233.8,2025-12-12,1240.0,382004,1220.0
1207.4,1237.0,2025-12-15,1237.7,760377,1205.0
1176.3,1207.4,2025-12-16,1210.0,932672,1165.6
1168.9,1170.0,2025-12-17,1178.1,514626,1164.1
1160.8,1168.0,2025-12-18,1175.2,402540,1150.0
1224.6,1166.5,2025-12-19,1229.0,1651986,1161.5
1229.3,1225.0,2025-12-22,1238.4,500071,1216.0
1230.2,1229.3,2025-12-23,1237.3,260961,1217.1
1217.3,1234.9,2025-12-24,1236.5,189895,1213.3
1209.2,1217.3,2025-12-26,1236.2,283503,1205.0
1188.2,1209.1,2025-12-29,1217.7,281890,1182.6
1161.7,1183.0,2025-12-30,1193.4,485220,1160.0
1172.5,1162.0,2025-12-31,1177.0,289565,1160.1
1163.2,1178.0,2026-01-01,1184.0,284550,1160.0
1167.6,1163.2,2026-01-02,1169.0,413208,1150.8
1151.0,1167.6,2026-01-05,1174.2,555257,1147.2
1139.9,1151.0,2026-01-06,1154.2,345389,1131.0
1208.5,1139.8,2026-01-07,1217.7,2462611,1139.4
1180.3,1210.9,2026-01-08,1242.7,1377247,1170.0
1182.4,1174.0,2026-01-09,1193.0,473167,1166.1
1172.6,1170.1,2026-01-12,1181.2,403250,1154.4
1173.6,1172.7,2026-01-13,1185.5,266815,1161.4
1179.4,1179.2,2026-01-14,1205.7,683650,1167.8
1187.2,1180.0,2026-01-16,1223.4,734628,1180.0
1163.1,1185.0,2026-01-19,1186.8,527328,1154.0
1131.3,1168.9,2026-01-20,1168.9,757504,1119.8
1114.9,1129.8,2026-01-21,1129.8,1063983,1088.8
1109.2,1132.0,2026-01-22,1141.2,497662,1105.4
1114.5,1114.0,2026-01-23,1123.0,749846,1097.0
1104.4,1098.5,2026-01-27,1116.3,919507,1092.3
1105.8,1110.0,2026-01-28,1117.4,735524,1089.1
1042.8,1109.0,2026-01-29,1110.1,2536989,1035.0
1041.9,1036.0,2026-01-30,1057.7,2183053,1018.3
998.5,991.0,2026-02-02,1011.3,1616312,984.6
989.8,1062.0,2026-02-03,1063.0,1343955,987.0
981.4,976.2,2026-02-04,986.5,1305703,953.7
959.5,981.4,2026-02-05,988.0,891033,955.5
958.4,959.5,2026-02-06,960.5,887854,943.2
964.0,959.0,2026-02-09,971.2,960204,955.0
