close,open,date,high,volume,low
1201.3,1189.4,2025-07-22,1214.9,215894,1171.0
1239.9,1204.7,2025-07-23,1245.9,466017,1197.0
1243.0,1248.0,2025-07-24,1257.0,532614,1197.4
1183.8,1247.0,2025-07-25,1249.0,380141,1175.1
1179.2,1186.1,2025-07-28,1201.0,415922,1139.0
1150.6,1179.2,2025-07-29,1179.2,212515,1140.3
1178.4,1147.1,2025-07-30,1187.1,327233,1147.0
1140.0,1137.0,2025-07-31,1152.8,634954,1115.1
1067.2,1140.0,2025-08-01,1140.1,520379,1065.0
1049.7,1051.8,2025-08-04,1066.8,637614,1022.4
1061.5,1045.0,2025-08-05,1067.1,501209,1025.2
1038.8,1056.1,2025-08-06,1056.2,430584,1025.7
1016.4,1010.0,2025-08-07,1021.0,750835,975.0
984.8,982.1,2025-08-08,1024.9,280587,980.1
993.0,975.0,2025-08-11,998.4,351909,963.3
955.6,994.0,2025-08-12,1001.7,459066,949.5
968.6,954.0,2025-08-13,972.7,236144,951.8
949.6,976.7,2025-08-14,977.7,192660,946.5
997.7,975.0,2025-08-18,1006.3,419167,960.2
997.8,1000.2,2025-08-19,1007.0,309074,980.1
1021.8,1002.7,2025-08-20,1028.6,394224,1002.7
1020.8,1026.7,2025-08-21,1028.7,189030,1012.5
1027.1,1021.0,2025-08-22,1032.0,173610,1007.7
1020.5,1015.6,2025-08-25,1035.7,160711,1011.3
980.0,1011.2,2025-08-26,1028.9,835271,973.6
982.1,962.1,2025-08-28,989.0,350210,954.8
986.4,982.0,2025-08-29,993.4,327351,963.4
985.0,989.7,2025-09-01,1001.2,553586,979.0
997.0,993.65,2025-09-02,1022.3,233020,982.0
996.45,998.9,2025-09-03,1013.2,127352,987.9
991.5,1007.5,2025-09-04,1012.35,250250,979.0
989.2,987.0,2025-09-05,995.0,138084,965.0
1008.35,988.75,2025-09-08,1013.95,113456,985.4
996.55,1007.7,2025-09-09,1014.4,207687,994.3
996.2,1012.95,2025-09-10,1028.9,841699,991.0
996.1,999.8,2025-09-11,1012.3,474861,991.5
1010.9,1000.0,2025-09-12,1027.5,481617,998.5
1047.0,1010.0,2025-09-15,1052.0,480653,1009.9
1090.65,1050.0,2025-09-16,1121.8,1684249,1050.0
1107.2,1094.0,2025-09-17,1111.6,599795,1087.6
1118.45,1112.75,2025-09-18,1122.0,195079,1095.0
1133.45,1120.0,2025-09-19,1144.0,625451,1094.7
1138.4,1131.55,2025-09-22,1145.0,251165,1102.95
1119.3,1127.05,2025-09-23,1131.7,196376,1103.9
1102.7,1110.6,2025-09-24,1117.95,127398,1098.0
1081.5,1102.95,2025-09-25,1106.35,84003,1073.6
1070.9,1073.95,2025-09-26,1083.5,79008,1056.25
1103.4,1080.0,2025-09-29,1120.45,237506,1041.6
1064.85,1103.0,2025-09-30,1110.15,436978,1040.25
1053.2,1064.9,2025-10-01,1068.0,228529,1044.0
1070.8,1053.1,2025-10-03,1075.8,95735,1044.8
1065.1,1070.6,2025-10-06,1070.6,89580,1054.0
1038.0,1065.5,2025-10-07,1069.4,333900,1026.1
1014.4,1030.0,2025-10-08,1035.3,143795,1009.8
1004.4,1019.0,2025-10-09,1020.9,86240,1001.0
1004.3,1004.4,2025-10-10,1009.2,198210,996.2
991.3,1004.3,2025-10-13,1004.5,262780,985.5
1010.6,991.3,2025-10-14,1042.3,557204,991.3
1017.4,1013.9,2025-10-15,1025.5,107387,1006.7
1045.5,1017.4,2025-10-16,1051.8,258227,1017.4
1037.7,1044.9,2025-10-17,1065.0,154087,1026.6
1026.5,1037.9,2025-10-20,1042.5,169077,1017.9
1023.4,1021.0,2025-10-21,1034.2,17199,1017.0
1082.6,1059.1,2025-10-23,1094.0,1410574,1058.5
1043.9,1085.0,2025-10-24,1086.0,276521,1035.7
1061.4,1044.7,2025-10-27,1065.7,142490,1030.1
1069.5,1055.0,2025-10-28,1077.6,119946,1055.0
1080.2,1066.0,2025-10-29,1092.1,321744,1035.4
1087.1,1080.2,2025-10-30,1092.8,125848,1060.7
1069.4,1084.1,2025-10-31,1094.1,93418,1065.0
1076.7,1072.9,2025-11-03,1089.0,171532,1067.0
1056.2,1069.9,2025-11-04,1081.2,158820,1048.8
1080.6,1062.0,2025-11-06,1085.0,133278,1040.2
1070.9,1083.0,2025-11-07,1083.0,117001,1051.5
1043.6,1071.9,2025-11-10,1078.0,166594,1040.4
1094.2,1053.1,2025-11-11,1124.0,662269,1017.8
1089.3,1103.6,2025-11-12,1109.0,1497039,1059.1
1089.7,1100.0,2025-11-13,1108.2,570830,1080.3
1078.4,1089.9,2025-11-14,1091.7,320212,1071.4
1086.3,1075.0,2025-11-17,1098.8,291793,1066.0
1121.6,1090.0,2025-11-18,1129.6,826654,1072.7
1109.7,1126.9,2025-11-19,1138.0,382035,1099.1
1094.7,1105.7,2025-11-20,1118.2,208975,1090.1
1087.9,1089.0,2025-11-21,1104.5,236363,1080.0
1107.9,1086.4,2025-11-24,1114.0,395817,1082.9
1079.0,1107.9,2025-11-25,1107.9,190951,1075.0
1095.7,1078.9,2025-11-26,1099.9,258875,1053.1
1081.4,1097.0,2025-11-27,1101.5,150234,1076.2
1079.5,1080.0,2025-11-28,1086.0,84243,1072.0
1043.1,1080.0,2025-12-01,1089.0,255705,1036.0
1027.0,1033.0,2025-12-02,1037.9,148832,1022.1
1006.2,1027.6,2025-12-03,1027.9,129776,1000.0
982.5,1005.6,2025-12-04,1010.6,224285,976.0
981.6,982.5,2025-12-05,990.0,207790,969.8
973.8,992.3,2025-12-08,999.0,224899,962.5
977.6,965.0,2025-12-09,981.1,191780,940.0
979.5,978.0,2025-12-10,986.9,447443,968.1
971.1,979.9,2025-12-11,979.9,190252,958.0
973.9,979.6,2025-12-12,989.0,261436,963.0
970.0,978.0,2025-12-15,979.0,85311,964.9
970.8,966.0,2025-12-16,972.0,130555,958.0
965.2,965.0,2025-12-17,976.9,133758,958.0
965.6,966.0,2025-12-18,969.6,89553,954.1
974.6,963.0,2025-12-19,978.6,118639,961.4
963.5,972.0,2025-12-22,976.0,110560,960.0
954.0,968.7,2025-12-23,972.7,130594,951.5
940.8,955.7,2025-12-24,955.7,116225,937.0
938.1,940.7,2025-12-26,958.9,204247,930.8
955.4,946.7,2025-12-29,959.0,132996,938.2
922.3,951.6,2025-12-30,953.2,727761,905.3
942.4,922.3,2025-12-31,947.0,355286,915.6
912.4,942.4,2026-01-01,942.45,222223,905.5
909.75,912.4,2026-01-02,915.9,138894,906.65
903.05,913.0,2026-01-05,914.65,205683,894.0
909.5,909.0,2026-01-06,914.4,131873,892.5
885.7,908.0,2026-01-07,914.7,197453,883.5
849.6,885.7,2026-01-08,894.0,257697,842.9
828.55,850.0,2026-01-09,852.0,700425,820.5
827.85,820.0,2026-01-12,834.9,427560,807.55
854.35,837.2,2026-01-13,863.8,337169,833.75
858.95,854.45,2026-01-14,863.5,226156,843.2
837.4,865.9,2026-01-16,875.0,177566,834.1
832.3,837.4,2026-01-19,837.4,148227,815.8
812.85,832.3,2026-01-20,832.3,132014,806.1
859.05,818.8,2026-01-21,899.0,1018076,804.05
859.8,875.35,2026-01-22,918.0,1172156,852.0
848.9,865.0,2026-01-23,865.0,469272,843.1
900.4,869.95,2026-01-27,933.45,3656306,852.3
926.8,936.3,2026-01-28,946.5,1103014,913.1
863.35,936.0,2026-01-29,936.0,769527,856.0
869.55,861.7,2026-01-30,879.15,544907,842.0
859.0,887.0,2026-02-02,887.0,406148,848.1
988.95,1030.8,2026-02-03,1030.8,4445582,974.5
996.45,988.9,2026-02-04,1014.9,1528776,968.4
987.5,990.0,2026-02-05,996.3,340454,975.1
977.3,987.45,2026-02-06,987.45,417806,946.0
978.85,999.1,2026-02-09,1013.6,1078295,972.0
950.75,948.1,2026-02-10,963.6,1041234,936.05
907.45,951.7,2026-02-11,957.0,702315,896.9
897.8,906.2,2026-02-12,927.9,745816,892.2
930.5,897.0,2026-02-13,988.7,3875768,869.05
908.85,929.95,2026-02-16,929.95,348401,903.2
