close,open,date,high,volume,low
776.0,759.8,2025-07-04,777.9,3230212,756.65
776.25,777.7,2025-07-07,779.45,1174377,763.55
778.3,775.0,2025-07-08,779.7,1558057,761.2
794.4,776.85,2025-07-09,797.8,3672922,775.15
793.5,798.8,2025-07-10,800.0,2030879,783.15
790.2,790.2,2025-07-11,797.6,1476275,787.4
823.85,788.2,2025-07-14,827.5,5083453,788.2
827.05,825.75,2025-07-15,834.35,2080040,820.45
822.55,821.0,2025-07-16,832.65,968965,819.25
821.5,825.9,2025-07-17,830.0,1518302,815.2
827.0,825.1,2025-07-18,829.0,989477,814.5
829.45,827.2,2025-07-21,833.9,1216659,824.15
823.35,831.9,2025-07-22,832.0,947754,815.0
822.5,825.0,2025-07-23,825.9,1156632,817.05
836.5,823.95,2025-07-24,842.0,2358313,817.15
837.75,839.1,2025-07-25,846.0,5268018,825.05
889.25,833.0,2025-07-28,901.5,17617498,828.05
909.85,889.0,2025-07-29,913.7,4989767,875.65
881.45,909.9,2025-07-30,922.5,5553033,876.55
874.35,869.0,2025-07-31,881.45,3033606,866.25
849.35,874.3,2025-08-01,874.95,2233515,846.0
861.2,849.35,2025-08-04,864.9,1442403,840.05
857.5,861.15,2025-08-05,872.0,1168162,852.3
836.2,850.2,2025-08-06,854.1,2085404,829.3
838.25,828.0,2025-08-07,842.85,1678103,824.35
821.85,839.0,2025-08-08,840.25,1073904,817.55
831.5,818.0,2025-08-11,834.0,1335688,816.85
830.95,834.0,2025-08-12,840.6,1863616,810.05
863.15,836.6,2025-08-13,866.0,2817582,833.05
859.7,867.2,2025-08-14,878.85,2949617,855.25
865.65,865.7,2025-08-18,873.0,2335154,858.4
883.9,869.95,2025-08-19,886.5,1565331,865.8
876.05,883.9,2025-08-20,892.4,1232442,874.2
889.9,876.1,2025-08-21,891.95,1539571,864.0
879.1,889.95,2025-08-22,895.05,1548015,875.1
873.2,883.6,2025-08-25,888.7,1451413,870.6
868.65,867.6,2025-08-26,870.4,1477730,854.35
862.0,868.65,2025-08-28,876.5,1373559,856.2
856.9,864.0,2025-08-29,872.6,646790,854.75
860.0,856.75,2025-09-01,869.75,997411,854.05
860.1,860.55,2025-09-02,874.0,1284028,850.4
874.7,860.15,2025-09-03,882.65,1423174,858.45
874.1,885.0,2025-09-04,885.0,988966,862.25
880.65,875.6,2025-09-05,887.95,1035333,871.2
895.2,883.85,2025-09-08,905.65,1630387,877.85
902.3,899.0,2025-09-09,904.0,1227755,894.6
896.4,907.0,2025-09-10,911.45,1541022,889.95
895.6,899.6,2025-09-11,904.1,724408,887.4
896.05,897.6,2025-09-12,909.9,1299814,891.6
895.0,896.3,2025-09-15,901.0,538522,889.05
894.85,895.0,2025-09-16,906.55,852948,892.6
893.95,895.95,2025-09-17,903.85,1122856,889.05
923.25,891.0,2025-09-18,926.3,3054360,885.8
932.1,926.0,2025-09-19,944.0,3380153,917.1
903.8,937.3,2025-09-22,937.3,1771352,898.1
910.05,905.1,2025-09-23,916.4,1599124,890.95
909.75,911.9,2025-09-24,925.0,1724529,907.5
896.35,909.75,2025-09-25,918.0,965496,893.05
832.3,880.3,2025-09-26,886.85,5612259,823.1
840.95,833.4,2025-09-29,849.8,2764351,826.2
841.8,841.0,2025-09-30,844.85,1844424,827.25
872.0,845.0,2025-10-01,874.4,2074466,845.0
864.4,872.0,2025-10-03,881.3,1995777,862.3
863.0,866.05,2025-10-06,868.8,1494313,857.45
863.4,865.0,2025-10-07,868.5,1833050,858.05
853.85,863.0,2025-10-08,872.65,1005858,850.2
865.1,861.1,2025-10-09,875.3,2609957,845.35
876.75,873.0,2025-10-10,891.15,3985430,843.0
874.3,877.45,2025-10-13,890.15,1985637,869.1
877.95,876.3,2025-10-14,881.8,3218266,864.7
875.3,880.0,2025-10-15,881.15,781858,872.1
872.85,877.0,2025-10-16,886.5,1018243,871.45
900.05,872.85,2025-10-17,902.0,2517414,870.45
920.65,903.05,2025-10-20,923.0,2200955,901.4
923.9,925.85,2025-10-21,929.8,522764,921.15
934.4,927.4,2025-10-23,943.0,4121681,920.7
926.4,943.0,2025-10-24,943.0,8920106,902.35
940.15,930.4,2025-10-27,955.95,4885418,926.85
959.65,941.0,2025-10-28,962.7,2716006,936.8
961.7,964.15,2025-10-29,970.0,1555478,956.5
970.35,962.9,2025-10-30,972.55,2111499,948.2
953.65,970.9,2025-10-31,972.4,1545420,950.2
975.4,957.95,2025-11-03,979.6,1954182,955.7
983.15,978.0,2025-11-04,986.0,2347486,970.55
979.8,985.0,2025-11-06,994.8,1667068,975.5
982.15,977.0,2025-11-07,989.8,1087182,975.0
1001.05,985.0,2025-11-10,1004.0,1569187,983.0
985.7,1001.05,2025-11-11,1005.0,1828103,970.35
989.25,994.0,2025-11-12,997.4,1468376,984.85
997.05,989.25,2025-11-13,1005.0,1039405,984.65
999.0,1001.2,2025-11-14,1014.4,1785705,992.95
1021.85,1001.05,2025-11-17,1025.0,1696744,997.3
1006.9,1028.0,2025-11-18,1033.5,2922214,1000.6
987.5,1010.0,2025-11-19,1010.0,1288996,982.15
987.1,990.0,2025-11-20,993.9,1375536,970.25
978.2,988.6,2025-11-21,994.15,1425481,975.1
979.55,979.0,2025-11-24,988.7,1348847,974.5
977.55,982.0,2025-11-25,988.0,1005154,971.4
986.6,981.0,2025-11-26,989.45,2951910,973.35
1003.2,990.0,2025-11-27,1011.9,2606483,981.1
1031.35,1007.0,2025-11-28,1032.75,2486519,1006.5
1029.4,1035.0,2025-12-01,1040.2,2002768,1006.1
1020.2,1028.2,2025-12-02,1036.9,1465264,1015.0
1016.5,1023.3,2025-12-03,1026.9,972564,1007.8
1013.5,1016.5,2025-12-04,1021.3,971897,1001.6
1026.1,1017.5,2025-12-05,1028.5,936977,1005.8
1004.1,1026.0,2025-12-08,1032.0,1382140,996.1
1021.4,1003.2,2025-12-09,1026.9,1464780,985.9
1018.4,1024.0,2025-12-10,1035.9,1186441,1015.8
1019.3,1021.8,2025-12-11,1032.2,818322,1013.4
1012.3,1016.1,2025-12-12,1027.5,1244218,1006.1
1004.9,1006.9,2025-12-15,1011.7,895430,994.2
1001.3,1000.0,2025-12-16,1007.6,945609,992.6
1010.0,1005.9,2025-12-17,1018.8,1284797,1001.6
1015.5,1006.6,2025-12-18,1020.1,870778,997.4
1045.2,1020.0,2025-12-19,1049.0,2844049,1018.6
1064.2,1050.7,2025-12-22,1070.0,1357581,1047.6
1068.4,1068.5,2025-12-23,1073.1,1229233,1055.1
1084.8,1073.9,2025-12-24,1092.6,1711875,1070.5
1085.0,1086.0,2025-12-26,1089.1,940862,1078.9
1081.4,1085.0,2025-12-29,1089.0,1522054,1076.3
1091.9,1082.9,2025-12-30,1098.4,2806339,1077.0
