close,open,date,high,volume,low
147.37,146.4,2025-08-13,148.6,2247829.0,144.04
145.25,148.5,2025-08-14,148.79,1437478.0,145.0
152.98,150.0,2025-08-18,155.0,6602935.0,148.71
148.8,153.7,2025-08-19,153.74,2468121.0,148.3
155.57,148.75,2025-08-20,157.6,9857634.0,148.6
166.34,156.9,2025-08-21,169.9,15481193.0,155.5
169.45,167.0,2025-08-22,174.9,20805271.0,166.0
168.23,170.52,2025-08-25,174.9,10878236.0,167.42
165.19,168.0,2025-08-26,168.22,3361348.0,164.48
167.8,166.14,2025-08-28,168.63,4550659.0,165.19
165.83,171.44,2025-08-29,172.18,8595106.0,163.9
170.22,166.3,2025-09-01,170.95,4003961.0,165.31
165.27,172.0,2025-09-02,172.5,5522609.0,164.66
169.71,166.01,2025-09-03,171.8,9300523.0,165.05
170.95,173.1,2025-09-04,176.5,13855530.0,168.3
175.17,170.95,2025-09-05,177.95,9295950.0,170.75
177.93,176.0,2025-09-08,180.68,7541380.0,173.05
176.62,178.0,2025-09-09,178.19,3466392.0,174.7
172.87,176.78,2025-09-10,177.79,4043903.0,171.79
174.87,171.5,2025-09-11,179.59,7608390.0,171.5
175.37,175.65,2025-09-12,177.7,3991284.0,173.51
176.49,175.94,2025-09-15,178.9,3439190.0,175.81
176.19,177.0,2025-09-16,177.79,1962886.0,175.2
173.83,176.8,2025-09-17,176.85,2123820.0,173.2
172.13,174.75,2025-09-18,174.75,2393458.0,171.0
172.9,172.25,2025-09-19,177.8,5690272.0,170.5
169.55,173.5,2025-09-22,173.5,3024745.0,169.0
171.03,169.99,2025-09-23,171.75,2342117.0,168.62
171.78,171.98,2025-09-24,173.75,2933885.0,169.53
169.52,172.39,2025-09-25,173.25,1751084.0,168.5
165.86,169.2,2025-09-26,169.52,1879543.0,165.1
163.37,165.4,2025-09-29,167.31,4268653.0,160.99
166.31,163.37,2025-09-30,166.95,2024547.0,163.24
166.28,167.14,2025-10-01,167.69,1501570.0,165.1
173.24,168.4,2025-10-03,173.68,6234684.0,167.0
170.67,174.18,2025-10-06,174.2,1618089.0,170.14
167.23,170.76,2025-10-07,171.48,1468137.0,166.9
166.2,167.23,2025-10-08,168.47,1335973.0,165.5
163.85,166.5,2025-10-09,167.48,1645281.0,163.5
164.43,164.99,2025-10-10,166.87,2188408.0,163.93
165.71,163.47,2025-10-13,167.06,3433570.0,161.1
161.63,165.05,2025-10-14,165.46,2549962.0,161.1
163.01,162.25,2025-10-15,163.5,1488892.0,161.61
163.57,163.21,2025-10-16,167.9,3817557.0,163.1
166.12,164.0,2025-10-17,167.0,2451461.0,164.0
166.25,166.9,2025-10-20,169.3,2711396.0,165.2
168.47,169.74,2025-10-21,169.84,896146.0,168.0
166.79,169.31,2025-10-23,169.5,1347868.0,166.3
166.46,166.79,2025-10-24,168.91,2106332.0,165.2
166.01,166.46,2025-10-27,166.76,952847.0,165.01
164.7,166.08,2025-10-28,166.65,965634.0,163.36
165.08,164.79,2025-10-29,166.2,1392217.0,164.01
168.21,165.08,2025-10-30,168.75,2288534.0,164.41
165.27,168.35,2025-10-31,170.68,2780930.0,163.84
168.3,165.36,2025-11-03,168.59,1293133.0,165.27
168.01,168.93,2025-11-04,168.93,1060473.0,167.0
166.05,166.62,2025-11-06,168.19,1434471.0,164.34
162.71,164.88,2025-11-07,164.88,1380773.0,162.25
161.19,162.39,2025-11-10,162.85,1787596.0,161.0
159.55,161.41,2025-11-11,162.31,2265674.0,155.55
163.24,160.78,2025-11-12,163.7,1306748.0,159.66
155.19,160.0,2025-11-13,160.88,6213313.0,154.56
156.52,155.29,2025-11-14,160.45,3680103.0,155.11
156.74,156.52,2025-11-17,158.53,1543216.0,156.38
155.12,156.74,2025-11-18,156.85,1140139.0,155.01
150.98,155.89,2025-11-19,155.9,3035709.0,150.1
152.46,151.51,2025-11-20,155.0,2159567.0,151.05
153.75,152.5,2025-11-21,155.0,2561944.0,152.5
148.43,152.75,2025-11-24,152.75,3011591.0,147.2
150.0,147.75,2025-11-25,151.48,1524293.0,147.75
151.54,150.49,2025-11-26,151.95,1519162.0,149.25
154.35,152.0,2025-11-27,154.8,1729406.0,151.51
158.27,155.89,2025-11-28,159.9,5430310.0,155.3
163.28,159.9,2025-12-01,163.95,4576050.0,159.1
162.27,162.5,2025-12-02,163.85,2102522.0,160.61
162.85,162.0,2025-12-03,163.77,2020166.0,161.0
162.1,163.2,2025-12-04,164.7,1424182.0,160.24
164.53,162.1,2025-12-05,165.0,2531847.0,162.1
159.86,164.89,2025-12-08,167.87,4163116.0,158.4
164.9,159.86,2025-12-09,165.49,2220700.0,157.98
161.38,165.6,2025-12-10,166.88,2056098.0,160.72
161.27,162.0,2025-12-11,163.5,1163152.0,159.24
162.9,162.0,2025-12-12,164.69,1952373.0,161.0
161.25,162.89,2025-12-15,162.89,823482.0,160.9
161.55,162.0,2025-12-16,162.63,954606.0,160.3
158.65,161.85,2025-12-17,163.57,1412974.0,158.1
158.97,159.08,2025-12-18,160.4,704432.0,157.1
159.83,159.35,2025-12-19,160.4,904603.0,158.84
163.7,160.69,2025-12-22,164.26,2422146.0,160.3
162.55,163.7,2025-12-23,166.5,1747123.0,162.09
162.84,162.7,2025-12-24,164.39,720482.0,162.21
161.58,162.86,2025-12-26,163.45,825150.0,161.18
160.31,161.8,2025-12-29,162.85,1247126.0,159.1
161.72,159.99,2025-12-30,163.74,1144932.0,159.98
159.26,162.23,2025-12-31,162.84,1113660.0,158.67
156.89,160.0,2026-01-01,163.2,2852078.0,156.59
153.99,157.44,2026-01-02,158.0,3033540.0,153.8
150.59,153.99,2026-01-05,154.1,2958807.0,149.9
148.55,151.0,2026-01-06,151.21,1942276.0,148.2
152.79,148.26,2026-01-07,157.7,17573532.0,144.7
