close,open,date,high,volume,low
922.4,926.55,2025-07-11,933.95,602074,920.5
916.4,920.6,2025-07-14,921.7,843161,912.0
925.2,916.4,2025-07-15,927.0,409783,916.4
932.65,927.5,2025-07-16,933.65,538370,925.2
928.25,933.0,2025-07-17,935.75,402400,927.0
923.15,928.25,2025-07-18,932.85,311216,920.3
928.15,920.0,2025-07-21,929.95,458335,917.6
919.05,929.1,2025-07-22,932.7,480584,916.3
922.0,922.5,2025-07-23,925.45,625338,914.7
917.0,922.0,2025-07-24,925.35,481852,910.05
886.85,910.0,2025-07-25,910.0,1223102,882.1
890.8,881.1,2025-07-28,898.9,980461,880.05
899.05,888.95,2025-07-29,902.95,530162,886.65
902.0,899.0,2025-07-30,906.95,587832,899.0
895.0,895.95,2025-07-31,896.95,583642,888.15
884.85,895.0,2025-08-01,900.25,882601,881.7
895.3,880.05,2025-08-04,897.5,818695,878.0
892.25,890.0,2025-08-05,899.1,454682,890.0
892.75,890.0,2025-08-06,902.0,691080,888.0
885.0,894.9,2025-08-07,896.3,554212,874.0
912.95,905.0,2025-08-08,927.1,4531839,904.0
906.35,914.0,2025-08-11,916.8,1320560,892.1
916.5,905.0,2025-08-12,928.0,1284334,903.9
887.5,916.0,2025-08-13,920.95,1526696,881.2
887.75,890.0,2025-08-14,894.6,761942,885.0
890.15,909.6,2025-08-18,915.2,1334084,888.4
894.3,891.0,2025-08-19,896.3,1160144,883.0
899.35,892.85,2025-08-20,901.3,432997,890.7
895.6,917.0,2025-08-21,917.0,1844457,886.6
889.1,895.6,2025-08-22,900.8,755980,886.05
894.05,891.0,2025-08-25,895.65,621627,887.5
888.35,891.25,2025-08-26,894.5,1030729,885.05
869.5,887.0,2025-08-28,889.6,903333,866.0
852.15,868.9,2025-08-29,870.3,926244,850.1
859.15,853.8,2025-09-01,864.95,784731,852.15
864.15,863.35,2025-09-02,868.85,500854,856.0
870.7,868.45,2025-09-03,872.95,648680,865.95
878.1,910.0,2025-09-04,910.0,2687918,873.35
877.35,879.65,2025-09-05,882.25,990252,865.2
876.55,878.9,2025-09-08,882.2,484893,871.6
874.7,875.0,2025-09-09,879.9,583070,872.55
877.65,874.7,2025-09-10,880.0,546181,874.7
877.1,878.0,2025-09-11,879.2,970028,871.4
874.75,875.2,2025-09-12,878.85,958584,873.4
883.7,876.0,2025-09-15,885.95,1113115,875.15
882.55,882.0,2025-09-16,889.0,877033,878.55
885.35,883.0,2025-09-17,888.0,664758,882.1
889.4,889.05,2025-09-18,892.95,646298,886.75
893.55,890.2,2025-09-19,899.85,1473366,890.2
904.5,893.55,2025-09-22,913.8,2590163,893.0
897.65,904.45,2025-09-23,908.65,2448827,896.45
894.25,897.65,2025-09-24,902.1,553360,892.35
888.2,890.5,2025-09-25,898.25,1069593,884.0
872.45,887.6,2025-09-26,887.6,499920,870.55
895.05,872.45,2025-09-29,896.5,872365,872.25
900.35,897.0,2025-09-30,907.0,1077331,892.65
904.1,900.35,2025-10-01,910.0,1284460,895.6
905.25,904.1,2025-10-03,912.8,891706,900.7
907.15,900.0,2025-10-06,911.35,1402898,898.5
912.35,907.15,2025-10-07,920.6,1186472,907.1
893.8,911.0,2025-10-08,912.55,1271632,890.15
895.2,893.8,2025-10-09,897.7,693273,889.1
897.8,895.0,2025-10-10,907.4,815586,891.3
897.25,892.1,2025-10-13,902.1,538867,890.1
902.0,899.0,2025-10-14,906.0,1576596,895.0
898.95,900.9,2025-10-15,908.0,574962,897.35
894.15,899.0,2025-10-16,903.5,765783,891.5
885.5,894.15,2025-10-17,897.65,561015,884.1
891.85,888.0,2025-10-20,897.7,373495,886.85
892.1,890.0,2025-10-21,894.7,114200,890.0
899.95,893.0,2025-10-23,904.9,1449541,893.0
889.65,902.7,2025-10-24,903.0,567658,885.0
897.65,887.25,2025-10-27,900.8,871092,885.55
899.9,897.65,2025-10-28,920.6,2518859,895.55
908.75,899.0,2025-10-29,916.9,1649697,899.0
900.75,910.85,2025-10-30,910.85,756385,897.1
894.7,897.15,2025-10-31,901.0,1279740,890.3
919.9,894.7,2025-11-03,923.0,2966669,894.7
905.7,925.0,2025-11-04,925.0,1969201,902.1
