close,open,date,high,volume,low
6703.5,6731.0,2025-07-18,6765.0,11378,6653.0
6689.0,6690.0,2025-07-21,6723.0,11750,6650.0
6608.0,6650.0,2025-07-22,6709.0,13930,6590.0
6582.0,6610.0,2025-07-23,6639.5,16383,6542.5
6605.5,6645.0,2025-07-24,6824.5,26666,6595.0
6464.0,6655.0,2025-07-25,6655.0,20554,6445.0
6501.0,6411.0,2025-07-28,6619.5,21976,6402.5
6565.0,6501.0,2025-07-29,6590.0,13658,6434.5
6617.5,6615.0,2025-07-30,6649.5,8405,6575.0
6573.5,6511.0,2025-07-31,6645.0,13275,6511.0
6575.0,6617.0,2025-08-01,6618.0,13710,6530.0
6597.5,6645.0,2025-08-04,6645.0,9671,6534.5
6539.0,6645.0,2025-08-05,6645.0,14174,6524.5
6464.0,6590.0,2025-08-06,6637.0,12817,6411.0
6533.0,6459.5,2025-08-07,6575.0,15955,6355.0
6375.5,6499.5,2025-08-08,6499.5,20534,6350.0
6219.5,6303.0,2025-08-11,6321.0,44773,6105.0
6214.0,6180.0,2025-08-12,6342.0,12485,6180.0
6226.0,6215.0,2025-08-13,6291.5,10292,6199.5
6212.5,6195.0,2025-08-14,6256.0,6718,6194.0
6392.5,6245.0,2025-08-18,6527.0,32335,6212.5
6417.5,6397.0,2025-08-19,6524.0,16311,6341.0
6366.0,6450.0,2025-08-20,6450.0,10616,6349.5
6348.5,6400.0,2025-08-21,6423.5,8207,6325.0
6311.5,6359.0,2025-08-22,6360.5,7242,6295.5
6295.0,6321.0,2025-08-25,6368.5,16824,6211.0
6418.0,6265.0,2025-08-26,6589.0,120576,6211.5
6374.0,6401.0,2025-08-28,6425.5,8955,6339.5
6378.5,6397.0,2025-08-29,6446.5,12671,6306.0
6368.5,6379.5,2025-09-01,6427.5,13745,6335.0
6380.0,6387.0,2025-09-02,6430.0,10290,6334.0
6438.5,6410.0,2025-09-03,6450.0,9147,6369.5
6456.5,6507.0,2025-09-04,6513.0,12137,6403.0
6425.5,6468.0,2025-09-05,6511.5,15655,6355.0
6494.0,6463.0,2025-09-08,6501.0,12190,6380.0
6463.0,6550.0,2025-09-09,6568.0,16935,6438.0
6465.0,6500.0,2025-09-10,6500.0,21570,6446.0
6443.0,6478.0,2025-09-11,6565.0,12099,6404.0
6439.0,6425.0,2025-09-12,6510.5,8793,6410.0
6529.5,6439.0,2025-09-15,6560.0,17601,6409.0
6510.5,6559.5,2025-09-16,6559.5,11406,6490.0
6443.0,6534.5,2025-09-17,6600.0,38858,6433.0
6446.0,6500.0,2025-09-18,6500.0,17455,6410.0
6314.5,6450.0,2025-09-19,6457.5,30609,6275.0
6379.0,6315.0,2025-09-22,6464.0,14744,6315.0
6480.0,6373.0,2025-09-23,6519.5,27984,6360.5
6371.5,6473.5,2025-09-24,6520.0,21797,6346.0
6378.0,6385.0,2025-09-25,6410.0,12111,6355.0
6317.0,6378.0,2025-09-26,6408.0,12256,6275.0
6201.0,6370.0,2025-09-29,6370.0,15751,6176.0
6245.5,6227.0,2025-09-30,6265.0,9602,6200.0
6266.5,6245.5,2025-10-01,6342.5,44639,6213.5
6226.0,6222.0,2025-10-03,6299.0,11313,6201.0
6145.5,6240.0,2025-10-06,6265.0,25249,6102.0
6144.5,6155.0,2025-10-07,6196.0,10514,6119.0
6116.0,6140.0,2025-10-08,6188.0,10825,6084.5
6180.5,6136.0,2025-10-09,6230.0,13539,6112.5
6198.5,6192.0,2025-10-10,6240.0,13049,6170.0
6177.5,6180.0,2025-10-13,6206.0,9114,6158.0
6181.0,6180.5,2025-10-14,6242.0,7412,6143.5
6177.5,6180.5,2025-10-15,6239.5,13806,6150.0
6191.0,6210.0,2025-10-16,6280.0,16792,6179.5
6153.5,6207.0,2025-10-17,6230.0,61246,6128.5
6093.5,6131.0,2025-10-20,6161.0,21890,6081.0
6138.0,6101.5,2025-10-21,6151.0,1811,6101.5
6107.5,6150.5,2025-10-23,6180.0,11806,6091.5
6108.0,6130.0,2025-10-24,6141.0,15032,6066.0
6085.0,6123.0,2025-10-27,6131.0,13199,6048.0
6065.0,6089.5,2025-10-28,6129.0,11731,6055.5
6066.0,6070.0,2025-10-29,6100.0,7637,6059.0
6059.5,6048.0,2025-10-30,6080.0,7349,6048.0
6013.5,6075.0,2025-10-31,6094.5,9493,6000.0
6023.0,6029.0,2025-11-03,6041.0,14224,5985.0
5986.5,6023.0,2025-11-04,6023.0,13728,5972.5
5843.0,6020.0,2025-11-06,6020.0,17094,5808.5
5878.5,6105.0,2025-11-07,6105.0,161877,5844.0
5839.0,5910.0,2025-11-10,5950.0,23690,5821.5
5779.5,5880.0,2025-11-11,5890.0,26995,5751.0
5801.0,5779.0,2025-11-12,5839.0,21319,5779.0
5758.0,5821.0,2025-11-13,5850.0,27689,5740.5
5743.0,5768.0,2025-11-14,5795.0,69104,5707.5
5741.0,5743.0,2025-11-17,5800.0,21650,5715.0
5695.5,5750.5,2025-11-18,5760.0,30093,5673.0
6076.5,5707.0,2025-11-19,6122.5,234547,5678.0
6125.5,6060.5,2025-11-20,6332.0,146715,6035.0
5966.5,6120.0,2025-11-21,6123.0,41575,5924.0
5894.5,5975.5,2025-11-24,6000.0,27584,5847.5
5890.0,5900.0,2025-11-25,5944.0,20980,5865.0
5908.0,5909.0,2025-11-26,6074.0,142346,5871.0
6022.5,5966.0,2025-11-27,6035.0,36102,5925.0
5966.0,6024.0,2025-11-28,6063.5,32279,5927.0
5884.5,6023.0,2025-12-01,6023.0,19886,5865.0
5793.0,5880.0,2025-12-02,5905.0,28529,5747.0
5771.0,5828.0,2025-12-03,5828.0,13990,5732.0
5800.0,5741.0,2025-12-04,5855.5,18552,5741.0
5910.0,5787.0,2025-12-05,6034.0,116174,5775.0
5854.0,5947.0,2025-12-08,6219.0,171457,5820.0
5923.0,5849.0,2025-12-09,5944.5,20289,5765.0
5865.0,5923.0,2025-12-10,6017.0,19949,5840.0
5971.5,5940.0,2025-12-11,5994.0,35328,5870.0
6008.5,5965.0,2025-12-12,6052.5,23652,5952.0
6137.5,6033.5,2025-12-15,6190.0,47979,5965.0
6044.0,6136.0,2025-12-16,6136.0,13108,6027.5
6003.5,6054.0,2025-12-17,6065.0,20573,5930.0
5940.5,5989.5,2025-12-18,6010.0,12704,5890.5
5896.0,5930.0,2025-12-19,5982.0,28926,5870.0
5914.0,5933.0,2025-12-22,5953.0,9674,5886.5
5883.0,5920.0,2025-12-23,5953.0,13206,5866.5
5833.0,5947.0,2025-12-24,5947.0,13422,5818.5
5956.0,5832.0,2025-12-26,6000.0,44590,5803.5
5948.5,5914.0,2025-12-29,5992.0,21842,5892.0
5905.0,5948.5,2025-12-30,5979.0,27646,5880.0
5955.5,5915.0,2025-12-31,5970.0,17026,5893.0
5908.0,5935.0,2026-01-01,5961.0,7219,5887.0
5955.5,5994.0,2026-01-02,5994.0,16263,5901.5
5927.5,5955.5,2026-01-05,6010.0,12963,5894.0
5951.0,5949.0,2026-01-06,5980.0,13389,5880.0
5968.0,5958.0,2026-01-07,6000.0,19669,5930.0
5878.0,5967.5,2026-01-08,5967.5,17936,5855.5
5907.5,5878.0,2026-01-09,6027.0,21219,5835.5
6105.0,5978.5,2026-01-12,6309.5,309281,5890.5
6083.0,6105.5,2026-01-13,6237.5,29655,6061.0
6080.0,6081.0,2026-01-14,6099.5,11067,6011.5
6101.0,6100.0,2026-01-16,6120.0,18938,6017.0
6119.0,6090.0,2026-01-19,6135.0,19456,6002.5
5958.5,6172.0,2026-01-20,6172.0,25839,5950.0
5898.5,5929.0,2026-01-21,5989.0,24641,5825.0
5981.5,5937.0,2026-01-22,6003.5,14246,5868.5
5863.5,5981.5,2026-01-23,5981.5,14670,5836.5
5843.5,5902.0,2026-01-27,5924.0,18780,5746.0
5929.5,5876.5,2026-01-28,5980.0,11792,5842.5
5846.5,5966.0,2026-01-29,5966.0,13562,5826.0
6007.0,5850.0,2026-01-30,6048.0,17611,5835.0
5930.5,5926.0,2026-02-02,5950.0,21193,5821.0
6003.5,5959.5,2026-02-03,6022.5,16166,5950.0
5972.5,5990.0,2026-02-04,6010.5,20115,5925.0
5968.5,5969.0,2026-02-05,6007.0,18969,5906.0
6063.0,5950.0,2026-02-06,6145.0,65196,5928.0
6292.5,6094.0,2026-02-09,6325.0,59564,6094.0
6533.0,6575.0,2026-02-10,6907.0,688417,6385.0
6487.5,6596.0,2026-02-11,6596.0,47265,6455.5
6440.5,6500.0,2026-02-12,6516.5,41787,6338.0
6900.0,6419.0,2026-02-13,6967.0,404286,6394.0
6768.0,6900.0,2026-02-16,6935.5,67539,6740.0
6818.5,6700.0,2026-02-17,6945.0,72226,6655.5
6799.5,6861.0,2026-02-18,6880.0,44596,6782.5
6789.5,6816.0,2026-02-19,6980.0,55806,6765.0
6794.0,6798.5,2026-02-20,6965.5,67117,6725.5
6739.5,6840.0,2026-02-23,6880.0,27587,6698.0
6636.5,6727.0,2026-02-24,6734.5,24382,6556.0
6710.5,6680.0,2026-02-25,6850.0,40053,6636.0
6895.5,6719.5,2026-02-26,6967.0,75386,6714.0
6730.0,6910.0,2026-02-27,6910.5,22937,6710.5
6664.5,6510.0,2026-03-02,6861.5,54901,6510.0
6661.5,6600.0,2026-03-04,6699.0,33473,6523.5
6767.0,6696.5,2026-03-05,6826.5,24702,6638.0
6784.5,6790.0,2026-03-06,6960.0,57148,6676.5
6572.0,6719.5,2026-03-09,6719.5,30487,6550.5
6643.5,6650.0,2026-03-10,6705.0,26981,6606.0
6776.0,6675.0,2026-03-11,6820.0,38670,6640.0
7189.5,6740.5,2026-03-12,7224.5,164617,6630.0
6944.5,7200.0,2026-03-13,7248.0,70527,6925.0
7172.5,6850.0,2026-03-16,7242.5,89401,6840.0
7327.0,7230.0,2026-03-17,7393.5,94458,7122.5
7221.5,7348.0,2026-03-18,7400.0,51562,7200.5
7011.5,7090.0,2026-03-19,7216.0,41870,6980.0
7014.5,7188.0,2026-03-20,7197.5,35247,6980.0
6765.0,7015.0,2026-03-23,7025.0,71879,6558.0
7393.5,6900.0,2026-03-24,7515.0,247642,6854.5
7356.5,7350.0,2026-03-25,7514.0,95494,7282.0
7118.0,7310.0,2026-03-27,7344.0,80419,7100.0
6844.0,6950.0,2026-03-30,7148.0,88919,6720.0
7002.0,7089.0,2026-04-01,7182.0,56032,6857.0
7296.5,6900.0,2026-04-02,7322.0,78863,6772.5
7133.0,7316.0,2026-04-06,7380.0,54886,7110.0
7096.0,7150.0,2026-04-07,7205.0,22546,7057.5
7174.0,7250.0,2026-04-08,7296.5,69625,7104.5
7183.5,7193.0,2026-04-09,7254.5,26186,7143.0
7190.0,7220.0,2026-04-10,7370.0,45500,7165.0
7240.0,7140.0,2026-04-13,7300.0,51195,6944.5
7301.5,7300.0,2026-04-15,7368.5,56279,7250.0
7221.5,7368.5,2026-04-16,7464.0,44256,7200.0
7239.5,7251.0,2026-04-17,7295.0,24912,7209.0
7065.0,7240.0,2026-04-20,7318.5,41965,7009.0
7069.0,7077.0,2026-04-21,7129.0,32612,7040.5
7272.0,7100.0,2026-04-22,7299.0,62766,7021.0
7232.5,7264.5,2026-04-23,7399.0,42616,7205.0
7216.5,7263.5,2026-04-24,7443.0,60756,7180.5
7242.0,7260.0,2026-04-27,7310.0,20847,7203.5
