close,open,date,high,volume,low
3594.6,3590.0,2025-07-04,3600.0,696402,3570.1
3581.4,3599.9,2025-07-07,3609.8,719539,3575.1
3606.4,3580.0,2025-07-08,3614.0,1513912,3560.0
3579.7,3605.0,2025-07-09,3605.1,1008876,3568.2
3574.7,3575.0,2025-07-10,3589.9,1063910,3569.0
3540.6,3575.0,2025-07-11,3586.6,1439747,3535.5
3495.9,3540.6,2025-07-14,3548.7,1358844,3488.0
3494.0,3519.0,2025-07-15,3521.0,1585193,3481.7
3503.8,3504.0,2025-07-16,3516.0,1266964,3477.0
3474.0,3515.0,2025-07-17,3515.0,2217275,3467.5
3464.8,3489.0,2025-07-18,3499.0,1818696,3450.0
3502.8,3467.6,2025-07-21,3508.1,1521623,3444.9
3464.6,3502.0,2025-07-22,3507.6,2586522,3454.1
3484.9,3476.2,2025-07-23,3490.0,1192261,3458.6
3477.5,3484.9,2025-07-24,3493.4,1083671,3461.0
3442.9,3470.0,2025-07-25,3477.0,1338744,3437.4
3422.2,3430.1,2025-07-28,3446.1,2256080,3405.1
3495.6,3418.0,2025-07-29,3504.3,1241060,3406.5
3665.1,3622.0,2025-07-30,3685.3,8760659,3590.0
3636.5,3625.0,2025-07-31,3662.9,1927627,3621.0
3587.3,3636.0,2025-08-01,3636.0,1205945,3578.1
3631.1,3595.2,2025-08-04,3636.8,1033049,3577.0
3652.6,3630.0,2025-08-05,3657.7,1158433,3608.3
3628.4,3650.0,2025-08-06,3671.0,931383,3622.2
3641.6,3610.3,2025-08-07,3649.0,1211790,3599.2
3607.6,3641.6,2025-08-08,3662.3,1337067,3600.0
3668.4,3610.0,2025-08-11,3676.9,1822410,3600.0
3686.1,3680.0,2025-08-12,3727.9,2280103,3673.1
3693.7,3696.0,2025-08-13,3716.0,1227196,3681.3
3677.0,3700.0,2025-08-14,3708.5,1769702,3641.7
3635.1,3699.0,2025-08-18,3701.5,1950151,3621.7
3613.0,3648.9,2025-08-19,3654.0,1352944,3608.2
3592.3,3613.5,2025-08-20,3619.9,1325096,3580.0
3612.6,3599.0,2025-08-21,3648.0,1624009,3588.0
3595.8,3610.0,2025-08-22,3634.5,1060447,3582.0
3603.1,3616.0,2025-08-25,3617.9,980393,3584.3
3541.3,3599.0,2025-08-26,3600.0,1787363,3531.0
3560.1,3540.0,2025-08-28,3576.9,1695226,3537.2
3601.0,3575.6,2025-08-29,3615.0,1678055,3540.2
3598.4,3601.0,2025-09-01,3628.6,1094155,3581.9
3574.9,3598.4,2025-09-02,3619.9,1230950,3560.0
3600.8,3594.0,2025-09-03,3606.3,1314831,3560.0
3592.6,3622.9,2025-09-04,3624.9,1434998,3572.5
3553.6,3592.8,2025-09-05,3609.1,830812,3549.1
