close,open,date,high,volume,low
203.35,205.2,2025-07-16,205.42,4871054,201.88
199.78,203.26,2025-07-17,204.16,5656944,198.75
203.15,201.01,2025-07-18,206.79,20357652,199.78
210.58,201.9,2025-07-21,212.85,28403671,201.31
209.21,212.0,2025-07-22,212.1,10487847,205.25
213.51,209.91,2025-07-23,214.8,16326707,208.44
210.1,214.38,2025-07-24,214.45,9010760,209.2
204.91,207.8,2025-07-25,207.8,17693694,201.0
201.99,203.0,2025-07-28,208.5,4362416,201.42
206.02,202.9,2025-07-29,206.48,7218561,201.83
203.4,206.0,2025-07-30,207.13,6921827,202.15
202.59,201.49,2025-07-31,204.79,3524054,200.31
201.14,202.8,2025-08-01,203.95,4549986,200.33
204.02,200.0,2025-08-04,204.48,6730889,199.23
204.27,204.0,2025-08-05,205.49,3651783,201.7
201.67,204.27,2025-08-06,205.4,3221530,200.31
200.28,201.35,2025-08-07,202.0,5360975,195.91
195.75,201.0,2025-08-08,201.58,2094580,195.0
197.95,195.3,2025-08-11,198.75,2728485,194.4
197.78,198.0,2025-08-12,200.18,3283444,195.4
201.34,198.8,2025-08-13,202.6,3781634,198.33
202.08,201.34,2025-08-14,202.84,2597438,199.76
210.45,204.9,2025-08-18,213.84,9569765,204.26
217.03,210.88,2025-08-19,217.65,9449871,208.0
216.53,218.01,2025-08-20,218.19,6493172,214.63
221.79,216.4,2025-08-21,223.5,10194494,216.02
222.7,222.48,2025-08-22,225.48,8534537,221.79
217.69,222.7,2025-08-25,223.25,4476151,217.41
220.0,217.25,2025-08-26,220.8,15435312,215.75
216.44,219.3,2025-08-28,220.33,5719437,215.26
217.16,216.41,2025-08-29,219.9,15451569,216.1
222.59,218.0,2025-09-01,223.69,5291371,216.6
221.93,223.4,2025-09-02,224.19,7095067,220.45
227.15,223.03,2025-09-03,228.17,9145986,222.19
227.85,228.03,2025-09-04,230.2,6093291,226.0
230.51,229.3,2025-09-05,232.87,5790664,228.8
233.57,231.67,2025-09-08,236.45,6334110,230.71
233.97,234.4,2025-09-09,235.15,1980326,232.31
232.72,233.6,2025-09-10,235.71,3161164,231.6
233.51,232.25,2025-09-11,235.19,1993358,232.25
234.96,233.51,2025-09-12,236.5,2813664,233.51
237.1,234.96,2025-09-15,238.35,5279320,233.8
241.03,237.6,2025-09-16,241.28,7347308,237.17
242.89,241.0,2025-09-17,243.7,5606036,238.93
247.37,243.25,2025-09-18,250.79,9009825,243.16
246.7,247.04,2025-09-19,249.03,4800420,245.44
248.09,246.7,2025-09-22,252.2,7646105,246.7
246.41,248.95,2025-09-23,249.73,3369508,244.2
246.82,246.0,2025-09-24,249.52,4991261,245.17
244.06,246.5,2025-09-25,249.2,3255852,242.95
236.29,243.55,2025-09-26,246.04,6695936,235.45
244.84,235.05,2025-09-29,247.55,14344044,235.05
249.28,245.75,2025-09-30,249.9,5767268,245.15
258.58,249.99,2025-10-01,259.31,9166397,246.94
262.33,259.0,2025-10-03,263.9,9109317,257.82
259.87,264.7,2025-10-06,264.7,9534057,252.51
259.28,259.87,2025-10-07,261.66,2508278,258.7
255.55,258.9,2025-10-08,260.45,2485985,254.32
260.24,255.95,2025-10-09,261.0,3597676,255.55
256.04,260.02,2025-10-10,262.14,6067478,254.66
266.58,255.25,2025-10-13,267.1,10792642,254.93
262.93,268.0,2025-10-14,268.6,4871445,261.4
271.55,263.0,2025-10-15,272.19,7835400,262.87
269.19,265.0,2025-10-16,273.57,11133785,264.92
266.26,270.95,2025-10-17,270.95,3844212,264.0
267.54,268.83,2025-10-20,270.36,4113186,266.33
267.85,269.78,2025-10-21,269.78,543455,267.0
266.96,268.65,2025-10-23,269.47,5794136,264.23
267.0,266.0,2025-10-24,269.57,4221358,265.91
267.15,267.5,2025-10-27,269.59,8987153,264.22
268.35,268.5,2025-10-28,270.81,21647191,266.28
268.17,268.45,2025-10-29,270.76,9391552,266.04
267.89,268.01,2025-10-30,271.99,5883403,267.28
270.49,269.7,2025-10-31,273.29,4506941,268.46
279.7,270.5,2025-11-03,279.95,9607771,269.9
280.0,280.05,2025-11-04,284.45,6516048,278.65
275.2,279.7,2025-11-06,280.65,5515746,272.2
303.6,272.0,2025-11-07,305.4,70587337,272.0
300.9,304.0,2025-11-10,308.25,8155155,300.1
295.05,300.5,2025-11-11,302.45,16005871,291.65
294.9,296.5,2025-11-12,301.4,5279025,293.9
292.2,295.1,2025-11-13,295.5,3630010,291.3
294.15,291.95,2025-11-14,296.75,4821228,290.15
299.4,295.05,2025-11-17,301.5,11584288,292.95
296.5,299.9,2025-11-18,300.05,4592406,295.75
297.65,296.55,2025-11-19,301.6,3905961,295.85
292.3,297.65,2025-11-20,298.4,3801781,292.0
288.7,290.2,2025-11-21,292.9,5136647,288.2
292.55,288.7,2025-11-24,294.6,5328979,287.35
296.9,292.95,2025-11-25,298.05,5580342,291.7
307.6,298.0,2025-11-26,308.8,11140520,297.35
308.25,308.9,2025-11-27,310.05,4988540,305.4
312.35,309.6,2025-11-28,315.35,14286349,308.5
309.15,313.75,2025-12-01,314.0,3746757,307.6
306.05,309.15,2025-12-02,310.9,3419184,305.25
302.8,306.05,2025-12-03,308.1,6688481,296.6
300.45,302.7,2025-12-04,304.6,3259199,299.1
309.6,299.1,2025-12-05,311.15,8154419,298.0
299.3,311.3,2025-12-08,311.75,5368362,297.5
307.3,298.0,2025-12-09,310.2,8915028,294.8
303.95,307.45,2025-12-10,310.4,2644098,302.35
301.7,303.9,2025-12-11,305.4,2764759,299.9
307.85,303.5,2025-12-12,309.0,3551485,302.6
305.1,307.05,2025-12-15,309.7,3130247,303.5
300.8,304.0,2025-12-16,304.4,2957216,299.5
301.9,301.0,2025-12-17,306.6,4018638,299.6
299.85,301.95,2025-12-18,303.75,4654752,297.85
300.3,300.2,2025-12-19,303.4,5032118,296.7
303.35,301.25,2025-12-22,303.9,4601018,299.15
303.5,304.75,2025-12-23,307.35,3550546,301.7
303.25,303.75,2025-12-24,310.5,4437672,302.2
301.3,303.25,2025-12-26,304.85,3394545,299.7
300.0,301.3,2025-12-29,303.5,3522551,299.25
305.45,299.0,2025-12-30,307.45,25281188,298.45
315.95,304.4,2025-12-31,316.6,9647536,302.45
317.25,315.95,2026-01-01,321.9,5017284,313.4
319.75,319.5,2026-01-02,321.5,3861694,316.3
320.3,319.0,2026-01-05,321.6,4877876,316.3
319.35,324.4,2026-01-06,329.45,8344558,316.85
313.95,319.0,2026-01-07,319.0,4959976,311.1
307.3,312.8,2026-01-08,313.4,5757228,305.0
299.7,306.0,2026-01-09,310.55,5438329,298.3
296.15,299.7,2026-01-12,301.15,6677927,292.4
288.65,298.4,2026-01-13,302.25,8485545,285.35
295.8,286.1,2026-01-14,296.45,10569647,283.7
296.4,298.0,2026-01-16,299.55,6787271,292.75
300.05,284.5,2026-01-19,301.8,21465689,282.3
293.8,300.0,2026-01-20,309.4,10309616,292.5
281.35,293.25,2026-01-21,296.6,13697608,276.75
287.3,288.0,2026-01-22,290.05,8091520,283.8
288.0,289.0,2026-01-23,295.3,6502459,285.3
285.25,288.0,2026-01-27,290.4,5836546,280.35
289.4,288.0,2026-01-28,292.0,2299975,285.95
289.15,291.6,2026-01-29,293.95,3987000,286.0
286.35,288.85,2026-01-30,293.35,4445140,283.75
277.55,279.0,2026-02-02,279.15,9193919,269.0
284.7,290.6,2026-02-03,298.75,5355155,283.3
287.1,285.45,2026-02-04,290.65,3593559,282.1
283.4,286.0,2026-02-05,286.8,3934618,278.5
285.3,282.0,2026-02-06,286.1,3821007,275.55
296.85,289.4,2026-02-09,297.3,4735377,287.5
294.0,297.55,2026-02-10,298.5,3691851,291.25
288.3,297.0,2026-02-11,299.9,6843457,286.4
292.05,288.2,2026-02-12,292.5,3739412,285.15
285.1,291.0,2026-02-13,291.2,4322331,283.7
294.0,284.0,2026-02-16,295.45,6790971,281.2
297.65,295.35,2026-02-17,299.4,5138868,290.85
300.25,297.65,2026-02-18,303.05,4525435,296.8
294.9,300.3,2026-02-19,301.6,3811926,293.25
297.75,294.5,2026-02-20,299.0,3472541,292.8
299.65,299.0,2026-02-23,303.0,3420472,298.0
297.45,299.65,2026-02-24,299.65,3623378,295.05
303.35,301.0,2026-02-25,310.5,9098084,298.9
299.9,304.65,2026-02-26,304.65,3806988,296.4
283.95,297.5,2026-02-27,297.5,99977962,278.0
275.8,273.65,2026-03-02,282.0,8061770,272.1
271.05,270.6,2026-03-04,273.7,8234278,265.55
275.5,272.0,2026-03-05,276.9,3609412,270.0
271.9,274.9,2026-03-06,276.95,2656845,271.25
266.2,265.6,2026-03-09,266.9,4006690,259.8
274.05,270.0,2026-03-10,275.95,3026037,269.1
266.65,273.0,2026-03-11,275.85,2386052,265.6
265.5,265.15,2026-03-12,269.35,3821356,260.75
258.0,264.0,2026-03-13,264.55,3511148,256.3
260.65,257.0,2026-03-16,262.5,3213126,255.15
263.15,262.85,2026-03-17,263.7,5303707,256.4
268.8,265.0,2026-03-18,272.7,6289105,264.1
256.65,265.0,2026-03-19,266.9,5586363,255.15
261.2,260.1,2026-03-20,264.55,6384030,258.5
247.65,260.2,2026-03-23,260.25,8126742,245.6
254.8,254.0,2026-03-24,255.75,6736385,248.9
261.3,257.6,2026-03-25,266.5,5174550,257.35
251.65,260.5,2026-03-27,260.5,7078996,249.6
240.2,247.0,2026-03-30,247.5,9535511,238.95
244.64,248.86,2026-04-01,250.78,5176161,242.89
240.35,240.1,2026-04-02,242.64,5044052,234.9
255.45,243.9,2026-04-06,257.48,11678955,242.1
254.56,252.5,2026-04-07,257.31,5784978,250.7
275.46,268.0,2026-04-08,278.89,8622875,268.0
272.18,275.95,2026-04-09,277.67,4688665,271.0
278.43,274.9,2026-04-10,279.8,5871745,273.8
274.04,272.94,2026-04-13,276.55,4802310,266.21
281.01,278.3,2026-04-15,283.99,5323702,278.3
280.41,285.0,2026-04-16,286.99,5424731,277.47
287.14,280.4,2026-04-17,287.9,3415046,277.73
290.15,287.14,2026-04-20,293.97,4638480,283.71
291.9,292.64,2026-04-21,294.14,5395677,287.66
294.04,293.0,2026-04-22,295.29,3357979,291.3
292.12,291.99,2026-04-23,295.19,3503151,287.14
290.05,293.9,2026-04-24,295.01,3567361,287.22
287.79,291.7,2026-04-27,300.83,15681505,286.81
285.78,288.0,2026-04-28,292.58,5658687,284.71
285.42,286.0,2026-04-29,290.45,3376266,284.38
279.73,284.42,2026-04-30,284.42,3778162,277.38
285.65,280.0,2026-05-04,287.8,4980539,280.0
290.45,286.6,2026-05-05,291.4,4655749,283.1
300.3,295.0,2026-05-06,303.0,8849214,294.45
303.65,301.8,2026-05-07,305.2,3760248,297.85
303.4,303.0,2026-05-08,305.2,2525155,300.7
295.0,303.0,2026-05-11,305.0,3447625,294.15
280.65,292.0,2026-05-12,295.1,6656358,279.25
281.9,281.0,2026-05-13,290.25,6270211,278.8
281.3,284.0,2026-05-14,285.8,8516619,275.75
280.75,281.1,2026-05-15,283.75,2918519,276.1
278.75,277.2,2026-05-18,280.0,3171834,272.3
277.95,279.0,2026-05-19,281.05,3945508,274.7
275.65,275.05,2026-05-20,276.6,4150742,271.85
269.85,279.05,2026-05-21,281.2,6141512,268.1
270.15,269.05,2026-05-22,271.55,6958075,262.75
