close,open,date,high,volume,low
436.7,435.0,2025-09-02,441.05,312409,431.3
449.4,437.9,2025-09-03,451.0,913161,436.75
440.75,455.0,2025-09-04,460.0,800894,437.2
443.1,440.5,2025-09-05,444.8,399504,438.0
444.95,443.55,2025-09-08,449.0,470865,438.95
440.1,446.8,2025-09-09,447.9,280022,438.1
453.4,442.95,2025-09-10,455.0,939096,441.6
463.2,453.45,2025-09-11,468.0,1168941,453.1
462.8,462.65,2025-09-12,466.0,750449,457.7
459.9,461.8,2025-09-15,465.0,666815,454.0
458.3,461.9,2025-09-16,462.65,331922,457.45
462.05,461.0,2025-09-17,467.0,338773,459.45
464.2,465.0,2025-09-18,467.8,328800,460.0
472.75,465.0,2025-09-19,480.0,1555710,462.65
456.65,472.6,2025-09-22,473.3,902803,452.3
429.9,459.0,2025-09-23,459.0,2373426,421.6
432.25,433.95,2025-09-24,433.95,998864,421.0
425.65,432.45,2025-09-25,432.55,600010,422.55
415.75,423.7,2025-09-26,424.75,699444,412.0
404.3,417.75,2025-09-29,418.0,819502,402.5
405.6,404.95,2025-09-30,415.4,989046,398.0
401.3,407.6,2025-10-01,409.0,1197407,399.15
403.85,404.0,2025-10-03,408.05,574701,401.3
394.15,404.0,2025-10-06,405.2,636709,393.1
397.15,397.2,2025-10-07,403.65,933544,393.6
394.25,399.0,2025-10-08,399.0,822240,385.15
386.85,395.0,2025-10-09,396.7,487799,385.2
402.05,387.0,2025-10-10,403.9,1062896,384.0
400.3,402.0,2025-10-13,402.25,606115,391.1
407.4,401.0,2025-10-14,409.9,1068851,396.75
412.8,409.05,2025-10-15,418.75,1127024,407.0
413.7,415.0,2025-10-16,415.9,698454,405.0
419.2,415.0,2025-10-17,423.0,835361,410.55
422.6,422.85,2025-10-20,423.85,814251,409.75
430.9,426.25,2025-10-21,432.4,332650,425.15
425.5,433.05,2025-10-23,433.75,939327,421.5
425.95,427.45,2025-10-24,429.8,582749,420.15
422.9,427.95,2025-10-27,428.0,456808,420.5
415.7,422.85,2025-10-28,424.45,272575,415.0
422.6,418.0,2025-10-29,423.45,325372,414.35
417.15,423.85,2025-10-30,423.85,631313,413.35
420.5,429.8,2025-10-31,431.0,1656736,408.2
415.1,420.0,2025-11-03,420.45,1103629,409.0
403.6,415.0,2025-11-04,417.75,976510,399.0
407.7,407.0,2025-11-06,411.55,793888,402.0
404.3,407.95,2025-11-07,408.0,441924,398.6
404.7,405.85,2025-11-10,406.65,615428,396.55
407.15,402.5,2025-11-11,408.4,412651,400.25
416.2,408.95,2025-11-12,417.5,575264,406.0
410.25,416.15,2025-11-13,416.15,525520,407.35
412.9,412.3,2025-11-14,415.95,388042,409.05
412.65,413.45,2025-11-17,417.0,319275,410.3
407.9,415.0,2025-11-18,415.25,609018,402.8
414.6,407.95,2025-11-19,421.0,703088,407.95
408.25,416.4,2025-11-20,417.8,310767,406.9
409.55,407.75,2025-11-21,410.5,331203,401.45
402.05,408.0,2025-11-24,408.95,236651,400.0
404.75,401.1,2025-11-25,407.0,218169,400.0
405.0,409.75,2025-11-26,409.75,173793,403.6
404.95,405.95,2025-11-27,409.5,250647,404.0
408.3,405.5,2025-11-28,412.8,419546,403.0
415.25,413.0,2025-12-01,417.95,518534,407.6
415.4,414.95,2025-12-02,416.85,385052,408.25
402.05,414.5,2025-12-03,416.1,359991,400.2
408.6,400.25,2025-12-04,409.65,345637,400.25
396.4,407.2,2025-12-05,407.65,479787,393.1
393.5,393.8,2025-12-08,398.5,502278,387.2
390.7,380.0,2025-12-09,397.0,3907191,362.2
387.6,392.0,2025-12-10,392.0,782988,378.9
382.25,387.0,2025-12-11,387.65,274810,381.1
382.0,382.95,2025-12-12,384.85,618326,379.6
383.8,380.5,2025-12-15,385.25,465049,378.25
401.35,382.0,2025-12-16,402.7,886461,381.05
396.45,401.0,2025-12-17,404.6,409977,393.05
395.7,394.0,2025-12-18,399.1,243502,390.2
401.35,395.7,2025-12-19,402.4,356357,393.25
404.3,397.0,2025-12-22,406.9,334791,396.95
405.25,406.55,2025-12-23,409.5,381598,402.0
404.1,404.9,2025-12-24,406.4,394816,399.0
400.95,404.0,2025-12-26,405.9,259597,399.0
392.15,402.0,2025-12-29,404.8,291370,390.15
382.25,394.85,2025-12-30,394.85,1499128,377.55
389.45,382.75,2025-12-31,390.9,329481,381.15
386.1,389.8,2026-01-01,389.95,227277,382.0
390.45,387.5,2026-01-02,391.15,244236,383.2
380.6,389.0,2026-01-05,389.2,925919,373.65
378.8,381.0,2026-01-06,381.6,469354,373.8
381.2,378.75,2026-01-07,382.5,444632,374.3
366.5,381.5,2026-01-08,385.5,639772,365.1
366.2,365.2,2026-01-09,370.5,462745,361.95
363.75,366.25,2026-01-12,367.05,479565,357.2
374.1,357.3,2026-01-13,385.0,1147341,351.3
370.9,374.1,2026-01-14,374.85,457364,364.7
364.5,369.95,2026-01-16,370.0,180639,362.15
355.35,362.25,2026-01-19,362.7,188061,354.3
337.25,355.0,2026-01-20,355.4,715385,333.15
337.9,336.0,2026-01-21,345.75,579719,334.1
349.8,340.95,2026-01-22,351.3,301606,340.85
345.9,349.95,2026-01-23,351.2,382311,339.5
356.25,346.0,2026-01-27,358.1,406352,337.55
357.9,358.0,2026-01-28,360.3,428769,347.15
360.85,360.95,2026-01-29,364.85,545494,349.65
372.8,358.05,2026-01-30,375.95,427515,355.95
360.4,360.0,2026-02-02,366.5,268575,350.0
411.9,424.1,2026-02-03,424.1,3686183,392.85
408.9,414.0,2026-02-04,414.6,891094,403.4
396.5,406.1,2026-02-05,408.1,756432,391.6
400.6,395.6,2026-02-06,403.4,2737235,390.3
422.55,405.0,2026-02-09,424.0,1439103,402.6
413.4,425.0,2026-02-10,425.6,1085943,411.0
421.95,413.4,2026-02-11,426.8,2563957,411.0
428.85,422.0,2026-02-12,437.0,1339946,416.3
434.8,427.0,2026-02-13,441.95,1145234,423.0
426.5,434.8,2026-02-16,435.0,263516,425.05
425.6,426.55,2026-02-17,429.9,309923,423.35
421.55,426.35,2026-02-18,429.4,271363,419.0
413.05,421.55,2026-02-19,422.05,257072,410.15
414.35,414.45,2026-02-20,418.6,252827,410.15
421.0,419.0,2026-02-23,442.4,1778183,416.4
408.7,419.5,2026-02-24,419.5,360814,407.45
408.5,410.75,2026-02-25,412.15,395092,403.65
407.85,414.0,2026-02-26,417.0,502238,403.15
402.3,403.2,2026-02-27,406.65,406874,398.4
380.2,369.0,2026-03-02,395.0,1324217,360.0
367.55,374.0,2026-03-04,379.3,521042,366.05
430.15,368.0,2026-03-05,438.95,46424507,368.0
393.5,443.0,2026-03-06,471.95,56352435,387.15
379.8,393.45,2026-03-09,393.45,10104849,369.6
378.0,389.0,2026-03-10,393.45,2875073,373.8
382.75,378.0,2026-03-11,395.95,2431226,376.75
390.0,380.75,2026-03-12,392.0,1399157,374.25
385.25,388.0,2026-03-13,404.5,5018425,381.0
383.6,385.55,2026-03-16,388.95,944256,375.0
389.6,387.0,2026-03-17,392.05,703103,383.0
394.7,392.0,2026-03-18,400.5,629800,390.35
383.2,390.6,2026-03-19,393.55,443330,380.5
378.45,388.35,2026-03-20,388.35,399854,376.4
364.0,375.9,2026-03-23,375.9,515461,362.0
379.05,376.0,2026-03-24,385.45,781612,366.6
384.05,384.8,2026-03-25,390.7,469671,379.95
372.2,383.0,2026-03-27,383.05,456141,370.45
363.3,368.0,2026-03-30,371.9,633170,359.1
384.0,371.0,2026-04-01,387.7,804237,371.0
386.05,378.0,2026-04-02,387.0,503069,370.25
383.85,386.0,2026-04-06,389.7,471985,376.15
384.7,384.05,2026-04-07,387.5,221847,380.4
408.6,404.0,2026-04-08,415.5,1338936,396.2
405.15,408.5,2026-04-09,413.35,481155,402.55
410.4,407.25,2026-04-10,414.15,507240,406.0
406.3,399.0,2026-04-13,412.5,463690,395.5
411.9,413.3,2026-04-15,421.05,589089,410.5
419.15,416.9,2026-04-16,420.45,596415,411.3
422.0,419.15,2026-04-17,423.85,395171,418.45
415.65,421.7,2026-04-20,422.75,381844,413.5
420.5,415.65,2026-04-21,424.9,341840,415.65
423.5,420.0,2026-04-22,427.9,363449,419.0
417.9,424.0,2026-04-23,425.3,215199,417.0
420.05,418.2,2026-04-24,421.7,439103,411.6
428.8,420.05,2026-04-27,431.9,471476,418.4
425.0,428.8,2026-04-28,431.0,286359,423.5
425.1,425.1,2026-04-29,438.0,537071,423.05
430.65,425.1,2026-04-30,436.2,542946,424.0
430.8,432.8,2026-05-04,439.9,373273,429.15
425.6,430.8,2026-05-05,431.0,204864,424.0
428.8,426.0,2026-05-06,430.35,267327,421.5
432.2,430.0,2026-05-07,434.85,423885,424.6
429.9,432.2,2026-05-08,432.25,202846,427.0
416.3,427.9,2026-05-11,428.0,254017,414.35
405.5,415.5,2026-05-12,418.7,335853,403.05
413.05,405.8,2026-05-13,419.05,313419,405.5
411.0,416.55,2026-05-14,420.0,194599,407.85
409.35,404.75,2026-05-15,413.85,734531,395.8
404.55,405.2,2026-05-18,407.9,298483,393.05
411.65,402.05,2026-05-19,412.9,235048,402.0
403.9,409.25,2026-05-20,410.3,318317,398.6
402.3,407.0,2026-05-21,409.0,160188,399.7
396.45,402.3,2026-05-22,403.95,290984,395.2
405.35,399.0,2026-05-25,407.65,197627,399.0
410.45,410.1,2026-05-26,415.75,300355,404.1
404.7,410.0,2026-05-27,411.15,166028,404.0
392.1,406.9,2026-05-29,411.0,452284,388.5
381.55,393.95,2026-06-01,396.0,591635,379.0
391.6,380.0,2026-06-02,397.8,362409,377.0
380.95,390.8,2026-06-03,390.8,552694,377.0
385.35,378.0,2026-06-04,388.75,223219,378.0
384.85,385.35,2026-06-05,391.65,307421,381.55
372.85,378.6,2026-06-08,383.2,453402,370.35
375.95,372.85,2026-06-09,379.85,237265,372.05
367.9,375.0,2026-06-10,382.9,298476,365.1
374.15,367.3,2026-06-11,375.75,362767,364.05
380.9,375.5,2026-06-12,382.5,584802,371.0
381.3,391.6,2026-06-15,396.0,2709084,379.0
381.5,382.6,2026-06-16,393.6,1564216,378.0
382.0,383.55,2026-06-17,384.35,599960,378.4
386.45,385.8,2026-06-18,391.35,604160,383.0
383.0,385.25,2026-06-19,388.85,465674,380.4
386.65,383.0,2026-06-22,388.0,565780,382.1
379.1,385.25,2026-06-23,387.7,576472,375.85
387.3,376.6,2026-06-24,391.55,594493,373.3
385.55,387.0,2026-06-25,392.0,822806,383.0
374.95,385.0,2026-06-29,385.65,665491,373.25
367.0,376.75,2026-06-30,377.0,391347,366.25
375.15,367.0,2026-07-01,377.0,418503,367.0
379.65,378.1,2026-07-02,383.85,413226,376.4
379.15,381.65,2026-07-03,382.7,289966,377.7
379.1000061035156,379.1000061035156,2026-07-06,381.25,271159,376.1000061035156
381.5,377.9500122070313,2026-07-07,383.6000061035156,571280,373.0
380.2999877929688,378.0499877929688,2026-07-08,391.5,940258,375.0499877929688
388.3999938964844,378.5499877929688,2026-07-09,390.8999938964844,556196,378.5499877929688
389.1000061035156,393.7999877929688,2026-07-10,393.7999877929688,401681,387.1000061035156
384.8500061035156,386.1499938964844,2026-07-13,388.6000061035156,211808,382.3999938964844
380.6499938964844,381.8999938964844,2026-07-14,384.1000061035156,440265,376.2999877929688
386.6499938964844,380.0499877929688,2026-07-15,389.8500061035156,915697,377.0
382.7000122070313,385.0,2026-07-16,391.8500061035156,915564,376.6499938964844
382.9500122070313,382.3999938964844,2026-07-17,385.3999938964844,297524,378.1000061035156
385.3500061035156,382.9500122070313,2026-07-20,386.4500122070313,284639,381.0
380.0,384.0,2026-07-21,388.0,256175,378.5
378.6499938964844,380.3500061035156,2026-07-22,380.9500122070313,270045,375.3500061035156
373.25,376.25,2026-07-23,378.3999938964844,282144,370.75
375.6000061035156,370.2000122070313,2026-07-24,377.0499877929688,220480,369.3999938964844
