close,open,date,high,volume,low
4402.1,4400.0,2025-06-30,4410.0,68695,4358.5
4354.2,4402.1,2025-07-01,4440.0,94633,4325.0
4323.8,4360.4,2025-07-02,4404.9,96650,4296.1
4331.6,4330.5,2025-07-03,4360.1,70826,4306.4
4383.6,4331.6,2025-07-04,4407.0,65617,4330.0
4378.0,4409.0,2025-07-07,4409.0,34023,4355.0
4336.0,4374.2,2025-07-08,4388.0,106255,4308.1
4314.4,4336.0,2025-07-09,4351.1,74156,4287.1
4349.2,4328.9,2025-07-10,4381.3,124119,4264.2
4410.5,4281.0,2025-07-11,4423.9,128566,4281.0
4343.2,4400.0,2025-07-14,4400.0,56491,4322.0
4350.5,4358.0,2025-07-15,4384.9,85523,4322.5
4346.8,4365.0,2025-07-16,4425.2,93035,4338.0
4411.6,4350.0,2025-07-17,4500.0,425801,4345.6
4401.9,4430.0,2025-07-18,4448.9,79686,4364.4
4368.2,4401.0,2025-07-21,4430.0,75598,4311.9
4321.8,4375.0,2025-07-22,4395.6,44116,4313.2
4312.8,4329.9,2025-07-23,4337.9,63881,4284.9
4300.2,4312.0,2025-07-24,4324.6,39142,4290.0
4220.8,4300.9,2025-07-25,4304.0,49326,4198.1
4242.1,4230.6,2025-07-28,4263.3,67289,4196.0
4287.2,4240.1,2025-07-29,4309.0,58900,4171.8
4309.6,4323.3,2025-07-30,4337.4,49562,4250.7
4308.2,4268.0,2025-07-31,4328.0,35739,4252.1
4274.6,4304.2,2025-08-01,4311.7,24653,4256.0
4266.1,4240.0,2025-08-04,4289.9,40308,4225.8
4238.5,4290.0,2025-08-05,4294.9,34602,4224.0
4258.0,4238.5,2025-08-06,4267.9,45981,4225.3
4206.6,4236.8,2025-08-07,4260.0,73506,4190.0
4180.6,4230.0,2025-08-08,4236.7,32043,4161.9
4145.1,4190.0,2025-08-11,4198.4,46447,4130.0
4188.8,4176.6,2025-08-12,4219.0,30204,4144.6
4138.6,4220.0,2025-08-13,4235.0,41522,4125.0
4153.8,4149.0,2025-08-14,4206.3,25528,4139.3
4161.4,4198.0,2025-08-18,4198.0,22934,4151.1
4173.2,4162.0,2025-08-19,4221.7,29718,4148.0
4233.6,4161.2,2025-08-20,4246.9,65541,4155.0
4289.5,4268.0,2025-08-21,4308.0,69313,4235.9
4274.2,4289.6,2025-08-22,4315.0,26056,4235.5
4376.7,4304.0,2025-08-25,4421.0,129354,4278.4
4325.0,4360.0,2025-08-26,4369.9,65907,4303.8
4226.3,4300.0,2025-08-28,4324.9,38258,4206.1
4223.5,4249.0,2025-08-29,4267.1,28840,4202.0
4244.0,4216.5,2025-09-01,4281.6,23010,4216.5
4206.9,4240.0,2025-09-02,4258.5,49531,4192.4
4195.4,4217.0,2025-09-03,4219.4,129059,4181.2
4173.0,4234.0,2025-09-04,4250.0,40031,4160.0
4120.6,4198.0,2025-09-05,4198.0,87337,4090.0
4100.4,4149.0,2025-09-08,4152.7,70785,4084.9
4097.6,4100.3,2025-09-09,4149.3,57759,4081.0
4205.9,4138.0,2025-09-10,4252.0,92480,4121.4
4206.2,4208.0,2025-09-11,4241.4,26241,4194.9
4216.6,4213.0,2025-09-12,4237.5,35495,4180.0
4191.2,4225.0,2025-09-15,4235.0,22436,4185.0
4261.7,4210.0,2025-09-16,4278.0,40905,4182.5
4288.0,4287.0,2025-09-17,4319.7,64113,4255.0
4392.4,4304.0,2025-09-18,4497.0,383861,4304.0
4345.4,4395.0,2025-09-19,4414.4,53493,4328.2
4192.2,4269.9,2025-09-22,4295.8,113444,4040.0
4190.0,4212.4,2025-09-23,4220.0,49064,4165.3
4183.1,4190.0,2025-09-24,4218.9,31700,4170.5
4120.8,4183.2,2025-09-25,4195.8,50508,4061.6
4058.9,4120.8,2025-09-26,4120.8,37163,4034.1
3987.1,4066.0,2025-09-29,4117.7,64298,3951.3
4113.9,3989.9,2025-09-30,4129.9,72509,3985.0
4186.7,4150.0,2025-10-01,4196.0,58285,4105.5
4289.7,4190.0,2025-10-03,4296.4,51998,4166.8
4300.8,4289.7,2025-10-06,4329.0,46276,4235.0
4302.0,4314.0,2025-10-07,4320.9,33833,4260.1
4231.5,4300.0,2025-10-08,4331.5,51468,4215.8
4274.6,4230.0,2025-10-09,4284.4,31587,4209.3
4317.1,4282.0,2025-10-10,4324.0,33286,4256.0
4193.8,4252.0,2025-10-13,4299.3,57145,4181.0
4152.7,4202.2,2025-10-14,4225.4,50826,4128.0
4134.5,4184.6,2025-10-15,4199.2,55336,4119.0
4196.8,4167.0,2025-10-16,4212.0,36703,4141.9
4154.7,4213.5,2025-10-17,4213.5,50198,4130.0
4199.7,4210.0,2025-10-20,4219.0,74044,4150.0
4204.9,4235.0,2025-10-21,4235.0,8405,4190.6
4203.7,4250.0,2025-10-23,4256.8,80225,4191.4
4172.7,4220.0,2025-10-24,4220.0,34351,4155.0
4194.4,4175.0,2025-10-27,4220.0,68733,4142.1
4134.6,4204.9,2025-10-28,4204.9,61282,4130.0
4106.3,4134.9,2025-10-29,4139.0,99498,4065.2
4110.0,4136.0,2025-10-30,4136.0,68973,4070.8
4118.8,4111.1,2025-10-31,4127.8,36858,4092.0
4119.5,4120.1,2025-11-03,4133.9,93784,4075.5
4090.3,4110.0,2025-11-04,4132.2,52027,4074.8
4100.6,4100.0,2025-11-06,4115.0,42372,4060.1
4089.2,4075.0,2025-11-07,4114.0,62961,4022.1
4086.5,4115.0,2025-11-10,4115.0,47337,4053.9
4103.6,4086.5,2025-11-11,4109.1,83902,4071.0
4181.1,4120.0,2025-11-12,4218.8,125217,4104.2
4156.8,4210.0,2025-11-13,4210.0,50324,4133.1
4086.5,4139.1,2025-11-14,4139.1,87544,4075.0
4105.4,4101.1,2025-11-17,4137.1,117854,4082.0
4074.5,4107.0,2025-11-18,4126.0,59192,4054.0
4440.0,4085.0,2025-11-19,4460.0,1180329,4085.0
4331.3,4400.0,2025-11-20,4424.0,160625,4280.0
